Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.23,1.23,1.20,1.20,178000,1.20
2011-08-03,1.18,1.24,1.17,1.23,278000,1.23
2011-08-02,1.23,1.24,1.20,1.21,116000,1.21
2011-08-01,1.22,1.25,1.22,1.23,212000,1.23
2011-07-29,1.22,1.23,1.21,1.23,51000,1.23
2011-07-28,1.22,1.24,1.22,1.23,348000,1.23
2011-07-27,1.18,1.26,1.18,1.24,696000,1.24
2011-07-26,1.17,1.19,1.16,1.19,108000,1.19
2011-07-25,1.17,1.18,1.17,1.17,246000,1.17
2011-07-22,1.15,1.17,1.15,1.17,318000,1.17
2011-07-21,1.14,1.15,1.14,1.14,61000,1.14
2011-07-20,1.15,1.16,1.13,1.15,273000,1.15
2011-07-19,1.13,1.14,1.12,1.14,155000,1.14
2011-07-18,1.13,1.14,1.12,1.13,291000,1.13
2011-07-15,1.16,1.16,1.15,1.15,136000,1.15
2011-07-14,1.17,1.18,1.17,1.17,75000,1.17
2011-07-13,1.17,1.18,1.16,1.17,70000,1.17
2011-07-12,1.16,1.17,1.16,1.17,146000,1.17
2011-07-11,1.18,1.19,1.18,1.18,199000,1.18
2011-07-08,1.20,1.20,1.18,1.20,75000,1.20
2011-07-07,1.18,1.20,1.18,1.20,150000,1.20
2011-07-06,1.19,1.20,1.18,1.20,133000,1.20
2011-07-05,1.21,1.21,1.18,1.19,269000,1.19
2011-07-04,1.21,1.22,1.21,1.21,81000,1.21
2011-07-01,1.22,1.22,1.20,1.20,157000,1.20
2011-06-30,1.20,1.22,1.20,1.21,291000,1.21
2011-06-29,1.20,1.20,1.19,1.19,117000,1.19
2011-06-28,1.21,1.21,1.19,1.19,96000,1.19
2011-06-27,1.18,1.21,1.18,1.21,64000,1.21
2011-06-24,1.19,1.21,1.18,1.21,243000,1.21
2011-06-23,1.19,1.20,1.18,1.20,138000,1.20
2011-06-22,1.23,1.23,1.19,1.19,121000,1.19
2011-06-21,1.19,1.21,1.19,1.21,76000,1.21
2011-06-20,1.22,1.22,1.19,1.19,224000,1.19
2011-06-17,1.17,1.22,1.16,1.22,438000,1.22
2011-06-16,1.17,1.17,1.15,1.15,201000,1.15
2011-06-15,1.20,1.21,1.18,1.18,173000,1.18
2011-06-14,1.19,1.21,1.19,1.20,122000,1.20
2011-06-13,1.20,1.21,1.20,1.21,85000,1.21
2011-06-10,1.24,1.24,1.22,1.22,115000,1.22
2011-06-09,1.24,1.24,1.22,1.23,66000,1.23
2011-06-08,1.22,1.24,1.22,1.24,91000,1.24
2011-06-07,1.22,1.23,1.21,1.22,191000,1.22
2011-06-06,1.23,1.23,1.22,1.22,93000,1.22
2011-06-03,1.23,1.24,1.23,1.24,36000,1.24
2011-06-02,1.23,1.23,1.22,1.23,142000,1.23
2011-06-01,1.25,1.25,1.23,1.24,83000,1.24
2011-05-31,1.24,1.25,1.23,1.25,128000,1.25
2011-05-30,1.25,1.25,1.22,1.23,154000,1.23
2011-05-27,1.23,1.25,1.23,1.25,72000,1.25
2011-05-26,1.23,1.23,1.22,1.22,63000,1.22
2011-05-25,1.24,1.24,1.22,1.24,313000,1.24
2011-05-24,1.22,1.24,1.22,1.23,91000,1.23
2011-05-23,1.25,1.25,1.21,1.21,612000,1.21
2011-05-20,1.27,1.27,1.24,1.26,352000,1.26
2011-05-19,1.26,1.27,1.26,1.27,331000,1.27
2011-05-18,1.26,1.27,1.26,1.26,175000,1.26
2011-05-16,1.27,1.27,1.25,1.25,224000,1.25
2011-05-13,1.29,1.29,1.27,1.28,679000,1.28
2011-05-12,1.30,1.30,1.29,1.29,181000,1.29
2011-05-11,1.31,1.32,1.29,1.30,693000,1.30
2011-05-10,1.30,1.32,1.30,1.31,298000,1.31
2011-05-09,1.31,1.32,1.30,1.30,73000,1.30
2011-05-06,1.30,1.33,1.30,1.30,361000,1.30
2011-05-05,1.31,1.31,1.28,1.29,313000,1.29
2011-05-04,1.32,1.33,1.31,1.32,162000,1.32
2011-05-03,1.36,1.36,1.33,1.33,109000,1.33
2011-04-29,1.35,1.35,1.34,1.35,170000,1.35
2011-04-28,1.37,1.37,1.36,1.36,59000,1.36
2011-04-27,1.37,1.38,1.36,1.37,109000,1.37
2011-04-26,1.37,1.37,1.37,1.37,46000,1.37
2011-04-25,1.39,1.40,1.36,1.38,77000,1.38
2011-04-21,1.40,1.40,1.39,1.39,116000,1.39
