Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.06,0.06,0.06,0.06,150000,0.06
2011-08-03,0.06,0.06,0.06,0.06,20000,0.06
2011-08-02,0.06,0.06,0.06,0.06,50000,0.06
2011-08-01,0.07,0.07,0.07,0.07,50000,0.07
2011-07-29,0.07,0.07,0.07,0.07,50000,0.07
2011-07-28,0.07,0.07,0.07,0.07,10000,0.07
2011-07-27,0.07,0.08,0.07,0.07,000,0.07
2011-07-26,0.07,0.08,0.07,0.07,000,0.07
2011-07-25,0.07,0.07,0.07,0.07,100000,0.07
2011-07-22,0.07,0.08,0.07,0.07,000,0.07
2011-07-21,0.07,0.07,0.07,0.07,220000,0.07
2011-07-20,0.08,0.08,0.08,0.08,162000,0.08
2011-07-19,0.08,0.08,0.08,0.08,556000,0.08
2011-07-18,0.07,0.08,0.07,0.07,1151000,0.07
2011-07-15,0.07,0.07,0.07,0.07,280000,0.07
2011-07-14,0.06,0.07,0.06,0.06,000,0.06
2011-07-13,0.06,0.06,0.06,0.06,000,0.06
2011-07-12,0.06,0.06,0.06,0.06,000,0.06
2011-07-11,0.06,0.07,0.06,0.06,000,0.06
2011-07-08,0.06,0.06,0.06,0.06,32000,0.06
2011-07-07,0.06,0.06,0.06,0.06,000,0.06
2011-07-06,0.06,0.06,0.06,0.06,50000,0.06
2011-07-05,0.07,0.07,0.06,0.06,485000,0.06
2011-07-04,0.07,0.07,0.07,0.07,490000,0.07
2011-07-01,0.07,0.08,0.07,0.07,000,0.07
2011-06-30,0.07,0.08,0.07,0.07,000,0.07
2011-06-29,0.08,0.08,0.08,0.08,270000,0.08
2011-06-28,0.07,0.08,0.07,0.08,709000,0.08
2011-06-27,0.07,0.07,0.07,0.07,800000,0.07
2011-06-24,0.06,0.07,0.06,0.06,000,0.06
2011-06-23,0.06,0.06,0.06,0.06,000,0.06
2011-06-22,0.06,0.06,0.06,0.06,000,0.06
2011-06-21,0.06,0.06,0.06,0.06,30000,0.06
2011-06-20,0.06,0.06,0.06,0.06,581000,0.06
2011-06-17,0.05,0.06,0.05,0.05,000,0.05
2011-06-16,0.06,0.06,0.06,0.06,1141000,0.06
2011-06-15,0.05,0.06,0.05,0.06,335000,0.06
2011-06-14,0.05,0.05,0.05,0.05,100000,0.05
2011-06-13,0.05,0.05,0.05,0.05,112000,0.05
2011-06-10,0.05,0.05,0.05,0.05,118000,0.05
2011-06-09,0.06,0.06,0.06,0.06,350000,0.06
2011-06-08,0.06,0.06,0.06,0.06,70000,0.06
2011-06-07,0.06,0.06,0.06,0.06,000,0.06
2011-06-06,0.06,0.06,0.06,0.06,50000,0.06
2011-06-03,0.06,0.07,0.06,0.07,151000,0.07
2011-06-02,0.06,0.06,0.06,0.06,278000,0.06
2011-06-01,0.06,0.06,0.06,0.06,000,0.06
2011-05-31,0.06,0.07,0.06,0.06,000,0.06
2011-05-30,0.06,0.07,0.06,0.06,000,0.06
2011-05-27,0.06,0.06,0.06,0.06,70000,0.06
2011-05-26,0.06,0.07,0.06,0.06,000,0.06
2011-05-25,0.06,0.07,0.06,0.06,000,0.06
2011-05-24,0.06,0.07,0.06,0.07,92000,0.07
2011-05-23,0.06,0.06,0.06,0.06,150000,0.06
2011-05-20,0.08,0.08,0.08,0.08,64000,0.08
2011-05-19,0.07,0.08,0.07,0.08,396000,0.08
2011-05-18,0.07,0.07,0.07,0.07,260000,0.07
2011-05-16,0.07,0.07,0.07,0.07,47000,0.07
2011-05-13,0.07,0.07,0.07,0.07,186000,0.07
2011-05-12,0.07,0.08,0.07,0.07,772000,0.07
2011-05-11,0.07,0.08,0.07,0.07,000,0.07
2011-05-10,0.07,0.07,0.07,0.07,40000,0.07
2011-05-09,0.07,0.08,0.07,0.07,000,0.07
2011-05-06,0.07,0.07,0.07,0.07,10000,0.07
2011-05-05,0.08,0.08,0.08,0.08,92000,0.08
2011-05-04,0.08,0.08,0.08,0.08,750000,0.08
2011-05-03,0.07,0.08,0.07,0.07,000,0.07
2011-04-29,0.07,0.08,0.07,0.07,000,0.07
2011-04-28,0.07,0.08,0.07,0.07,000,0.07
2011-04-27,0.08,0.08,0.08,0.08,50000,0.08
2011-04-26,0.08,0.08,0.08,0.08,1000,0.08
2011-04-25,0.08,0.08,0.08,0.08,000,0.08
2011-04-21,0.08,0.08,0.08,0.08,000,0.08
2011-04-20,0.08,0.08,0.08,0.08,000,0.08
2011-04-19,0.08,0.08,0.08,0.08,30000,0.08
2011-04-18,0.08,0.08,0.08,0.08,439000,0.08
2011-04-15,0.08,0.08,0.08,0.08,231000,0.08
2011-04-14,0.08,0.08,0.08,0.08,30000,0.08
2011-04-13,0.08,0.09,0.08,0.08,000,0.08
2011-04-12,0.08,0.08,0.08,0.08,580000,0.08
2011-04-11,0.08,0.08,0.08,0.08,49000,0.08
2011-04-08,0.07,0.08,0.07,0.08,251000,0.08
2011-04-07,0.07,0.07,0.07,0.07,68000,0.07
2011-04-06,0.07,0.07,0.07,0.07,288000,0.07
2011-04-05,0.07,0.08,0.07,0.07,000,0.07
2011-04-04,0.07,0.08,0.07,0.07,000,0.07
2011-04-01,0.07,0.08,0.07,0.07,000,0.07
2011-03-31,0.07,0.08,0.07,0.08,398000,0.08
2011-03-30,0.08,0.08,0.08,0.08,667000,0.08
2011-03-29,0.08,0.08,0.08,0.08,485000,0.08
2011-03-28,0.07,0.07,0.07,0.07,140000,0.07
2011-03-25,0.08,0.08,0.07,0.07,270000,0.07
2011-03-24,0.08,0.08,0.08,0.08,297000,0.08
2011-03-23,0.08,0.08,0.08,0.08,300000,0.08
2011-03-22,0.07,0.07,0.07,0.07,400000,0.07
2011-03-21,0.06,0.07,0.06,0.07,1156000,0.07
2011-03-18,0.06,0.06,0.06,0.06,308000,0.06
2011-03-17,0.05,0.05,0.05,0.05,1245000,0.05
2011-03-16,0.06,0.06,0.06,0.06,000,0.06
2011-03-15,0.06,0.06,0.05,0.05,182000,0.05
2011-03-14,0.06,0.06,0.06,0.06,200000,0.06
2011-03-11,0.06,0.06,0.06,0.06,150000,0.06
2011-03-10,0.07,0.07,0.06,0.06,243000,0.06
2011-03-09,0.06,0.07,0.06,0.07,755000,0.07
2011-03-08,0.07,0.08,0.07,0.07,000,0.07
2011-03-07,0.08,0.08,0.07,0.07,170000,0.07
2011-03-04,0.07,0.08,0.07,0.08,53000,0.08
2011-03-03,0.07,0.08,0.07,0.08,103000,0.08
2011-03-02,0.06,0.07,0.06,0.07,1397000,0.07
2011-03-01,0.06,0.07,0.06,0.07,547000,0.07
2011-02-28,0.07,0.07,0.06,0.07,832000,0.07
2011-02-25,0.07,0.08,0.07,0.08,653000,0.08
2011-02-24,0.08,0.08,0.07,0.07,280000,0.07
2011-02-23,0.07,0.08,0.07,0.08,740000,0.08
2011-02-22,0.08,0.08,0.08,0.08,884000,0.08
2011-02-21,0.08,0.08,0.08,0.08,195000,0.08
2011-02-18,0.08,0.08,0.08,0.08,816000,0.08
2011-02-17,0.08,0.08,0.08,0.08,10000,0.08
2011-02-16,0.08,0.08,0.08,0.08,97000,0.08
2011-02-15,0.09,0.09,0.09,0.09,370000,0.09
2011-02-14,0.09,0.09,0.09,0.09,000,0.09
2011-02-11,0.09,0.09,0.09,0.09,000,0.09
2011-02-10,0.09,0.09,0.09,0.09,480000,0.09
2011-02-09,0.09,0.09,0.09,0.09,60000,0.09
2011-02-08,0.09,0.09,0.09,0.09,1159000,0.09
2011-02-07,0.09,0.09,0.09,0.09,60000,0.09
2011-02-02,0.09,0.09,0.09,0.09,228000,0.09
2011-02-01,0.09,0.09,0.09,0.09,384000,0.09
2011-01-31,0.09,0.09,0.08,0.08,280000,0.08
2011-01-28,0.09,0.09,0.09,0.09,268000,0.09
2011-01-27,0.09,0.09,0.09,0.09,613000,0.09
2011-01-26,0.09,0.09,0.09,0.09,291000,0.09
2011-01-25,0.09,0.09,0.09,0.09,1150000,0.09
2011-01-24,0.08,0.09,0.08,0.09,10311000,0.09
2011-01-21,0.08,0.08,0.08,0.08,8000,0.08
2011-01-20,0.09,0.09,0.09,0.09,808000,0.09
2011-01-19,0.09,0.09,0.09,0.09,393000,0.09
2011-01-18,0.09,0.09,0.09,0.09,1124000,0.09
2011-01-17,0.08,0.08,0.08,0.08,104000,0.08
2011-01-14,0.08,0.08,0.08,0.08,430000,0.08
2011-01-13,0.08,0.09,0.08,0.08,000,0.08
2011-01-12,0.08,0.08,0.08,0.08,920000,0.08
2011-01-11,0.08,0.08,0.08,0.08,350000,0.08
2011-01-10,0.08,0.08,0.08,0.08,1140000,0.08
2011-01-07,0.08,0.08,0.08,0.08,000,0.08
2011-01-06,0.08,0.08,0.08,0.08,372000,0.08
2011-01-05,0.08,0.08,0.08,0.08,405000,0.08
2011-01-04,0.08,0.08,0.08,0.08,90000,0.08
2011-01-03,0.08,0.09,0.08,0.09,674000,0.09
2010-12-31,0.08,0.08,0.08,0.08,5000,0.08
2010-12-30,0.08,0.08,0.08,0.08,233000,0.08
2010-12-29,0.08,0.08,0.08,0.08,426000,0.08
2010-12-28,0.08,0.08,0.08,0.08,216000,0.08
2010-12-27,0.08,0.08,0.07,0.08,231000,0.08
2010-12-24,0.07,0.08,0.07,0.07,594000,0.07
2010-12-23,0.07,0.08,0.07,0.08,87000,0.08
2010-12-22,0.08,0.08,0.07,0.08,1015000,0.08
2010-12-21,0.07,0.07,0.07,0.07,151000,0.07
2010-12-20,0.08,0.08,0.07,0.08,650000,0.08
2010-12-17,0.08,0.08,0.08,0.08,500000,0.08
2010-12-16,0.08,0.08,0.08,0.08,720000,0.08
2010-12-15,0.08,0.08,0.08,0.08,1817000,0.08
2010-12-14,0.08,0.09,0.08,0.09,1354000,0.09
2010-12-13,0.07,0.08,0.07,0.08,4794000,0.08
2010-12-10,0.08,0.08,0.08,0.08,1460000,0.08
2010-12-09,0.08,0.09,0.08,0.08,1858000,0.08
2010-12-08,0.08,0.09,0.08,0.09,560000,0.09
2010-12-07,0.08,0.08,0.08,0.08,534000,0.08
2010-12-06,0.09,0.09,0.09,0.09,203000,0.09
2010-12-03,0.09,0.09,0.09,0.09,202000,0.09
2010-12-02,0.09,0.09,0.09,0.09,650000,0.09
2010-12-01,0.09,0.09,0.09,0.09,000,0.09
2010-11-30,0.09,0.09,0.09,0.09,1000,0.09
2010-11-29,0.09,0.09,0.09,0.09,95000,0.09
2010-11-26,0.09,0.09,0.09,0.09,50000,0.09
2010-11-25,0.09,0.10,0.09,0.09,3177000,0.09
2010-11-24,0.09,0.09,0.09,0.09,50000,0.09
2010-11-23,0.09,0.09,0.09,0.09,255000,0.09
2010-11-22,0.09,0.09,0.09,0.09,310000,0.09
2010-11-19,0.10,0.10,0.09,0.09,840000,0.09
2010-11-18,0.09,0.10,0.09,0.09,471000,0.09
2010-11-16,0.09,0.09,0.09,0.09,69000,0.09
2010-11-15,0.09,0.09,0.09,0.09,105000,0.09
2010-11-12,0.10,0.10,0.09,0.09,97000,0.09
2010-11-11,0.09,0.10,0.09,0.10,659000,0.10
2010-11-10,0.09,0.09,0.09,0.09,399000,0.09
2010-11-09,0.09,0.10,0.09,0.09,191000,0.09
2010-11-08,0.09,0.09,0.09,0.09,170000,0.09
2010-11-04,0.09,0.10,0.09,0.09,000,0.09
2010-11-03,0.09,0.09,0.09,0.09,688000,0.09
2010-11-02,0.10,0.10,0.09,0.09,441000,0.09
2010-11-01,0.10,0.10,0.10,0.10,310000,0.10
2010-10-29,0.10,0.10,0.10,0.10,195000,0.10
2010-10-28,0.10,0.10,0.10,0.10,294000,0.10
2010-10-27,0.10,0.10,0.10,0.10,19000,0.10
2010-10-26,0.10,0.10,0.10,0.10,120000,0.10
2010-10-25,0.10,0.10,0.10,0.10,50000,0.10
2010-10-22,0.10,0.10,0.10,0.10,13000,0.10
2010-10-21,0.10,0.10,0.10,0.10,53000,0.10
2010-10-20,0.11,0.11,0.10,0.10,322000,0.10
