Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.01,0.01,0.01,0.01,700000,0.01
2011-08-03,0.01,0.01,0.01,0.01,30000,0.01
2011-08-02,0.01,0.01,0.01,0.01,130000,0.01
2011-08-01,0.01,0.01,0.01,0.01,500000,0.01
2011-07-29,0.01,0.01,0.01,0.01,440000,0.01
2011-07-28,0.01,0.01,0.01,0.01,150000,0.01
2011-07-27,0.01,0.01,0.01,0.01,50000,0.01
2011-07-26,0.01,0.01,0.01,0.01,700000,0.01
2011-07-25,0.01,0.01,0.01,0.01,680000,0.01
2011-07-22,0.01,0.01,0.01,0.01,317000,0.01
2011-07-21,0.01,0.01,0.01,0.01,369000,0.01
2011-07-20,0.01,0.01,0.01,0.01,722000,0.01
2011-07-19,0.01,0.01,0.01,0.01,816000,0.01
2011-07-18,0.01,0.01,0.01,0.01,351000,0.01
2011-07-15,0.01,0.01,0.01,0.01,420000,0.01
2011-07-14,0.01,0.01,0.01,0.01,795000,0.01
2011-07-13,0.01,0.01,0.01,0.01,100000,0.01
2011-07-12,0.01,0.01,0.01,0.01,350000,0.01
2011-07-11,0.01,0.01,0.01,0.01,1826000,0.01
2011-07-08,0.01,0.01,0.01,0.01,290000,0.01
2011-07-07,0.01,0.01,0.01,0.01,1740000,0.01
2011-07-06,0.01,0.01,0.01,0.01,1401000,0.01
2011-07-05,0.01,0.01,0.01,0.01,170000,0.01
2011-07-04,0.01,0.01,0.01,0.01,198000,0.01
2011-07-01,0.01,0.01,0.01,0.01,30000,0.01
2011-06-30,0.01,0.01,0.01,0.01,65000,0.01
2011-06-29,0.01,0.01,0.01,0.01,1900000,0.01
2011-06-28,0.01,0.01,0.01,0.01,50000,0.01
2011-06-27,0.01,0.01,0.01,0.01,150000,0.01
2011-06-24,0.01,0.01,0.01,0.01,000,0.01
2011-06-23,0.01,0.01,0.01,0.01,000,0.01
2011-06-22,0.01,0.01,0.01,0.01,53000,0.01
2011-06-21,0.01,0.01,0.01,0.01,000,0.01
2011-06-20,0.01,0.01,0.01,0.01,238000,0.01
2011-06-17,0.01,0.01,0.01,0.01,000,0.01
2011-06-16,0.01,0.01,0.01,0.01,20000,0.01
2011-06-15,0.01,0.01,0.01,0.01,000,0.01
2011-06-14,0.01,0.01,0.01,0.01,150000,0.01
2011-06-13,0.01,0.01,0.01,0.01,000,0.01
2011-06-10,0.01,0.01,0.01,0.01,10000,0.01
2011-06-09,0.01,0.01,0.01,0.01,000,0.01
2011-06-08,0.01,0.01,0.01,0.01,115000,0.01
2011-06-07,0.01,0.01,0.01,0.01,260000,0.01
2011-06-06,0.01,0.01,0.01,0.01,000,0.01
2011-06-03,0.01,0.01,0.01,0.01,140000,0.01
2011-06-02,0.01,0.01,0.01,0.01,000,0.01
2011-06-01,0.01,0.01,0.01,0.01,2511000,0.01
2011-05-31,0.01,0.01,0.01,0.01,400000,0.01
2011-05-30,0.01,0.01,0.01,0.01,000,0.01
2011-05-27,0.01,0.01,0.01,0.01,925000,0.01
2011-05-26,0.01,0.01,0.01,0.01,560000,0.01
2011-05-25,0.01,0.01,0.01,0.01,176000,0.01
2011-05-24,0.01,0.01,0.01,0.01,125000,0.01
2011-05-23,0.01,0.02,0.01,0.02,670000,0.02
2011-05-20,0.01,0.01,0.01,0.01,200000,0.01
2011-05-19,0.01,0.01,0.01,0.01,600000,0.01
2011-05-18,0.01,0.01,0.01,0.01,2720000,0.01
2011-05-16,0.01,0.01,0.01,0.01,980000,0.01
2011-05-13,0.01,0.01,0.01,0.01,177000,0.01
2011-05-12,0.01,0.01,0.01,0.01,512000,0.01
2011-05-11,0.01,0.01,0.01,0.01,628000,0.01
2011-05-10,0.01,0.01,0.01,0.01,9883000,0.01
2011-05-09,0.01,0.02,0.01,0.02,50000,0.02
2011-05-06,0.01,0.01,0.01,0.01,480000,0.01
2011-05-05,0.01,0.01,0.01,0.01,225000,0.01
2011-05-04,0.01,0.01,0.01,0.01,55000,0.01
2011-05-03,0.01,0.01,0.01,0.01,1180000,0.01
2011-04-29,0.01,0.01,0.01,0.01,1500000,0.01
2011-04-28,0.01,0.01,0.01,0.01,1241000,0.01
2011-04-27,0.01,0.02,0.01,0.02,1820000,0.02
2011-04-26,0.01,0.01,0.01,0.01,160000,0.01
2011-04-25,0.01,0.01,0.01,0.01,1360000,0.01
2011-04-21,0.01,0.01,0.01,0.01,15000,0.01
2011-04-20,0.01,0.01,0.01,0.01,4000,0.01
2011-04-19,0.01,0.01,0.01,0.01,2301000,0.01
2011-04-18,0.01,0.01,0.01,0.01,431000,0.01
2011-04-15,0.01,0.01,0.01,0.01,1500000,0.01
2011-04-14,0.01,0.01,0.01,0.01,205000,0.01
2011-04-13,0.01,0.01,0.01,0.01,248000,0.01
2011-04-12,0.01,0.01,0.01,0.01,120000,0.01
2011-04-11,0.01,0.01,0.01,0.01,800000,0.01
2011-04-08,0.01,0.01,0.01,0.01,53000,0.01
2011-04-07,0.01,0.01,0.01,0.01,600000,0.01
2011-04-06,0.01,0.01,0.01,0.01,300000,0.01
2011-04-05,0.01,0.02,0.01,0.02,200000,0.02
2011-04-04,0.01,0.01,0.01,0.01,30000,0.01
2011-04-01,0.01,0.02,0.01,0.01,000,0.01
2011-03-31,0.01,0.02,0.01,0.01,90000,0.01
2011-03-30,0.02,0.02,0.01,0.01,600000,0.01
