Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,65.79,65.79,65.78,65.78,5000,65.78
2011-07-28,66.26,66.26,66.26,66.26,200,66.26
2011-07-22,67.36,67.36,67.36,67.36,600,67.36
2011-07-20,66.29,67.96,66.29,67.77,3400,67.77
2011-07-15,65.00,65.01,64.93,64.93,15000,64.93
2011-07-14,65.44,65.44,65.16,65.44,36400,65.44
2011-07-12,65.24,65.24,65.24,65.24,5000,65.24
2011-06-29,64.05,64.05,64.05,64.05,000,64.05
2011-06-28,62.97,62.98,62.95,62.98,16000,62.98
2011-06-24,63.92,63.92,63.54,63.56,30400,63.56
2011-06-22,63.03,63.03,62.96,63.03,8000,63.03
2011-06-20,61.49,61.49,61.46,61.46,12000,61.46
2011-06-17,62.02,62.06,62.02,62.06,12000,62.06
2011-06-16,62.23,62.23,61.97,62.22,31500,62.22
2011-06-15,64.03,64.03,63.33,63.33,29100,63.33
2011-06-09,63.63,63.63,63.63,63.63,2000,63.63
2011-05-31,66.30,66.30,66.30,66.30,200,66.30
2011-05-11,68.41,68.41,68.41,68.41,100,68.41
2011-04-15,65.33,65.33,65.33,65.33,2000,65.33
2011-03-22,65.00,65.00,65.00,65.00,100,65.00
2011-03-17,63.22,63.66,63.19,63.66,51200,63.66
2011-03-16,64.87,64.97,64.87,64.97,800,64.97
2011-03-15,65.61,65.61,64.32,64.42,32400,64.42
2011-03-14,66.01,66.01,65.60,65.70,75000,65.70
2011-03-11,65.91,65.91,65.24,65.34,10000,65.34
2011-03-10,66.73,66.73,66.63,66.68,18000,66.68
2011-03-09,67.50,67.50,67.36,67.36,3000,67.36
2011-03-08,67.31,67.43,67.31,67.34,9400,67.34
2011-03-07,68.03,68.03,68.03,68.03,5000,68.03
2011-03-02,67.02,67.02,67.02,67.02,20000,67.02
2011-02-24,66.52,66.54,66.52,66.54,20000,66.54
2011-02-07,68.97,69.04,68.97,69.04,20000,69.04
2011-02-02,66.57,67.99,66.57,67.99,26400,67.99
2011-01-31,66.50,66.50,66.50,66.50,1000,66.50
2011-01-28,67.89,67.89,67.89,67.89,000,67.89
2011-01-27,67.70,67.70,67.70,67.70,5000,67.70
2011-01-21,66.35,66.35,66.35,66.35,000,66.35
2011-01-20,67.34,67.34,67.32,67.32,5400,67.32
2011-01-18,67.08,67.12,67.08,67.12,8000,67.12
2011-01-12,66.65,66.65,66.65,66.65,2000,66.65
2011-01-05,65.12,65.12,65.03,65.03,28000,65.03
2011-01-04,65.66,65.66,65.05,65.05,10000,65.05
2010-12-28,64.74,64.76,64.73,64.73,6000,64.73
2010-12-23,64.75,64.75,64.75,64.75,000,64.75
