Date,Open,High,Low,Close,Volume,Adj Close
2011-03-24,0.24,0.17,0.24,0.24,000,0.24
2011-03-23,0.19,0.19,0.19,0.19,000,0.19
2011-03-22,0.19,0.19,0.19,0.19,000,0.19
2011-03-21,0.25,0.26,0.19,0.19,139905000,0.19
2011-03-18,0.25,0.26,0.25,0.25,13495000,0.25
2011-03-17,0.22,0.25,0.22,0.25,13926000,0.25
2011-03-16,0.22,0.25,0.22,0.23,33443000,0.23
2011-03-15,0.24,0.24,0.22,0.22,28297000,0.22
2011-03-14,0.24,0.25,0.24,0.24,5984000,0.24
2011-03-11,0.25,0.25,0.25,0.25,7799000,0.25
2011-03-10,0.26,0.26,0.25,0.26,3350000,0.26
2011-03-09,0.26,0.27,0.26,0.26,12952000,0.26
2011-03-08,0.26,0.26,0.25,0.26,18010000,0.26
2011-03-07,0.24,0.26,0.24,0.26,28506000,0.26
2011-03-04,0.23,0.25,0.23,0.24,15646000,0.24
2011-03-03,0.23,0.24,0.22,0.23,12502000,0.23
2011-03-02,0.25,0.25,0.23,0.23,15075000,0.23
2011-03-01,0.25,0.25,0.23,0.25,17092000,0.25
2011-02-28,0.26,0.26,0.25,0.25,17634000,0.25
2011-02-25,0.25,0.26,0.25,0.26,10972000,0.26
2011-02-24,0.26,0.26,0.25,0.25,10885000,0.25
2011-02-23,0.25,0.26,0.25,0.26,9511000,0.26
2011-02-22,0.26,0.27,0.25,0.26,11887000,0.26
2011-02-21,0.28,0.28,0.27,0.27,11966000,0.27
2011-02-18,0.26,0.28,0.26,0.28,32913000,0.28
2011-02-17,0.26,0.27,0.26,0.26,22533000,0.26
2011-02-16,0.26,0.27,0.25,0.27,24342000,0.27
2011-02-15,0.28,0.28,0.25,0.26,70918000,0.26
2011-02-14,0.30,0.30,0.29,0.29,4743000,0.29
2011-02-11,0.31,0.31,0.29,0.29,21279000,0.29
2011-02-10,0.31,0.31,0.30,0.31,18583000,0.31
2011-02-09,0.32,0.32,0.31,0.31,27399000,0.31
2011-02-08,0.31,0.32,0.31,0.32,29694000,0.32
2011-02-07,0.31,0.31,0.30,0.31,16549000,0.31
2011-02-02,0.31,0.31,0.30,0.31,14848000,0.31
2011-02-01,0.32,0.32,0.30,0.30,22009000,0.30
2011-01-31,0.31,0.32,0.31,0.31,13028000,0.31
2011-01-28,0.32,0.34,0.32,0.34,50680000,0.34
2011-01-27,0.31,0.32,0.30,0.32,64002000,0.32
2011-01-26,0.34,0.35,0.31,0.32,57889000,0.32
2011-01-25,0.41,0.41,0.34,0.34,110844000,0.34
2011-01-24,0.43,0.44,0.43,0.44,52055000,0.44
2011-01-21,0.42,0.43,0.41,0.42,34128000,0.42
2011-01-20,0.43,0.43,0.41,0.42,15029000,0.42
2011-01-19,0.41,0.43,0.41,0.42,42732000,0.42
2011-01-18,0.41,0.42,0.41,0.41,18685000,0.41
2011-01-17,0.42,0.42,0.41,0.41,20083000,0.41
2011-01-14,0.40,0.43,0.40,0.42,46844000,0.42
2011-01-13,0.47,0.40,0.47,0.47,000,0.47
2011-01-12,0.47,0.43,0.47,0.47,000,0.47
2011-01-11,0.46,0.47,0.44,0.44,83993000,0.44
