Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,33.43,33.63,32.95,33.00,13700,33.00
2011-08-03,33.47,33.56,33.23,33.53,11000,33.53
2011-08-02,34.35,34.35,34.04,34.04,3800,34.04
2011-08-01,34.78,34.86,34.64,34.76,37100,34.76
2011-07-29,34.26,34.26,33.90,33.90,2900,33.90
2011-07-28,34.26,34.56,34.22,34.56,5700,34.56
2011-07-27,34.61,34.67,34.61,34.67,900,34.67
2011-07-26,34.44,34.65,34.44,34.65,600,34.65
2011-07-25,34.20,34.26,34.20,34.26,1500,34.26
2011-07-22,34.26,34.61,34.18,34.55,74300,34.55
2011-07-21,34.07,34.29,33.94,34.22,80400,34.22
2011-07-20,34.09,34.13,33.88,33.91,17300,33.91
2011-07-19,33.56,33.68,33.45,33.56,15800,33.56
2011-07-18,33.56,33.59,33.51,33.54,4100,33.54
2011-07-15,33.83,33.83,33.76,33.83,2700,33.83
2011-07-14,33.39,34.00,33.39,34.00,9800,34.00
2011-07-13,33.59,33.67,33.46,33.67,2400,33.67
2011-07-12,33.33,33.33,33.04,33.04,5200,33.04
2011-07-11,34.85,34.85,34.20,34.20,6800,34.20
2011-07-08,34.90,34.97,34.79,34.93,12300,34.93
2011-07-07,34.57,34.89,34.51,34.81,21600,34.81
2011-07-06,34.50,34.61,34.38,34.38,5100,34.38
2011-07-05,34.49,34.54,34.47,34.47,2700,34.47
2011-07-04,34.45,34.82,34.43,34.57,41800,34.57
2011-07-01,34.00,34.55,34.00,34.02,32000,34.02
2011-06-30,33.72,33.78,33.68,33.68,13100,33.68
2011-06-29,33.32,33.32,33.28,33.28,300,33.28
2011-06-28,33.14,33.17,32.87,32.87,4300,32.87
2011-06-24,32.99,33.18,32.99,33.18,2200,33.18
2011-06-22,32.66,33.00,32.66,32.82,4400,32.82
2011-06-21,32.48,32.76,32.21,32.76,24600,32.76
2011-06-20,32.53,32.79,32.14,32.19,20300,32.19
2011-06-17,32.80,32.83,32.69,32.70,11100,32.70
2011-06-16,32.84,32.84,32.67,32.74,4600,32.74
2011-06-15,33.49,33.49,33.38,33.38,3200,33.38
2011-06-14,33.18,33.54,33.18,33.48,1500,33.48
2011-06-13,33.11,33.24,33.03,33.24,5900,33.24
2011-06-10,33.41,33.42,33.19,33.22,7000,33.22
2011-06-09,33.76,33.77,33.48,33.55,10800,33.55
2011-06-08,34.02,34.02,33.81,33.89,6000,33.89
2011-06-07,34.01,34.22,34.01,34.14,2400,34.14
2011-06-06,34.08,36.00,34.03,34.03,3300,34.03
2011-06-03,34.49,34.73,34.27,34.27,12900,34.27
2011-06-02,34.38,34.61,34.16,34.61,22500,34.61
2011-06-01,34.70,35.05,34.70,34.90,12700,34.90
