Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,45.49,45.62,45.49,45.62,2200,45.62
2011-08-03,44.62,45.24,44.62,45.24,4400,45.24
2011-08-02,46.53,46.53,46.17,46.17,6600,46.17
2011-08-01,48.05,48.20,48.05,48.20,8200,48.20
2011-07-27,48.74,48.74,48.74,48.74,1100,48.74
2011-07-26,48.41,48.41,48.41,48.41,1100,48.41
2011-07-22,48.87,48.87,48.87,48.87,2500,48.87
2011-07-15,47.00,47.00,47.00,47.00,2300,47.00
2011-07-13,46.67,46.67,46.67,46.67,2300,46.67
2011-07-12,46.25,46.25,45.68,45.68,5600,45.68
2011-07-06,49.85,49.85,49.85,49.85,2300,49.85
2011-06-30,48.71,48.71,48.71,48.71,200,48.71
2011-06-23,47.17,47.18,47.17,47.18,3000,47.18
2011-06-10,48.65,48.65,48.65,48.65,300,48.65
2011-06-02,49.17,49.32,49.17,49.25,8200,49.25
2011-06-01,50.71,50.71,50.34,50.43,9300,50.43
2011-05-27,49.46,49.46,49.34,49.34,14200,49.34
2011-05-25,48.04,48.04,47.57,47.57,21500,47.57
2011-05-24,48.13,48.13,48.13,48.13,2000,48.13
2011-05-09,49.82,50.13,49.82,50.13,24500,50.13
2011-04-26,50.02,50.02,50.02,50.02,900,50.02
2011-04-25,50.28,50.28,50.28,50.28,000,50.28
2011-04-21,50.51,50.51,50.48,50.48,5300,50.48
2011-04-20,49.35,49.35,49.35,49.35,000,49.35
2011-04-07,49.38,49.38,49.35,49.35,400,49.35
2011-04-06,49.12,49.12,49.12,49.12,200,49.12
2011-04-05,48.90,48.90,48.90,48.90,200,48.90
2011-04-04,48.77,48.77,48.51,48.75,23900,48.75
2011-04-01,48.04,48.33,48.04,48.33,6900,48.33
2011-03-21,46.69,47.12,46.69,47.12,9200,47.12
2011-03-18,45.88,46.31,45.88,46.31,20100,46.31
2011-03-17,44.62,45.06,44.56,45.06,34300,45.06
2011-03-16,45.69,45.75,45.69,45.75,7300,45.75
2011-03-07,47.99,47.99,47.99,47.99,2300,47.99
2011-03-03,48.05,48.10,48.05,48.10,200,48.10
2011-02-24,46.98,46.98,46.98,46.98,2300,46.98
2011-02-22,47.79,47.79,47.58,47.60,19500,47.60
2011-02-14,48.09,48.09,48.06,48.06,2300,48.06
2011-01-27,47.24,47.24,47.14,47.14,200,47.14
2011-01-26,47.09,47.09,47.09,47.09,200,47.09
2011-01-24,46.65,46.96,46.65,46.86,24100,46.86
2011-01-07,44.65,44.65,44.65,44.65,3300,44.65
2011-01-05,45.38,45.38,45.38,45.38,2300,45.38
2011-01-03,44.91,45.34,44.91,45.24,31000,45.24
2010-12-03,43.86,43.86,43.86,43.86,300,43.86
2010-11-30,42.06,42.06,41.96,41.96,5300,41.96
2010-11-26,43.23,43.23,43.23,43.23,2300,43.23
2010-11-24,43.36,43.36,43.36,43.36,2300,43.36
2010-11-16,44.73,44.73,44.73,44.73,3000,44.73
2010-11-15,44.77,44.77,44.77,44.77,100,44.77
2010-11-12,44.17,44.46,44.03,44.46,15900,44.46
2010-11-09,46.01,46.01,46.01,46.01,2300,46.01
2010-11-08,46.32,46.35,46.32,46.35,2300,46.35
2010-11-02,45.40,45.40,45.40,45.40,100,45.40
2010-11-01,45.54,45.54,45.50,45.51,5600,45.51
2010-10-27,45.06,45.06,45.06,45.06,2300,45.06
2010-10-25,45.68,45.96,45.68,45.96,22500,45.96
2010-10-19,45.14,45.14,45.14,45.14,2300,45.14
2010-10-18,44.69,44.69,44.69,44.69,2300,44.69
2010-10-13,44.75,44.75,44.75,44.75,3000,44.75
2010-10-12,44.31,44.33,44.31,44.33,10300,44.33
2010-10-04,43.16,43.16,43.16,43.16,2300,43.16
2010-10-01,43.42,43.42,43.42,43.42,2300,43.42
2010-09-28,42.95,42.97,42.95,42.97,4600,42.97
2010-09-23,42.50,42.50,42.48,42.48,4600,42.48
2010-09-20,41.81,41.81,41.81,41.81,2300,41.81
2010-09-08,40.35,40.35,40.35,40.35,2300,40.35
2010-08-16,39.75,39.77,39.75,39.77,4300,39.77
2010-07-27,40.55,40.84,40.53,40.84,8600,40.84
2010-07-15,39.42,39.72,39.42,39.65,5900,39.65
2010-07-14,39.65,39.65,39.62,39.62,4600,39.62
2010-07-07,36.84,36.84,36.82,36.82,4300,36.82
2010-06-30,36.26,36.26,36.17,36.19,8600,36.19
2010-06-28,37.52,37.54,37.41,37.41,6900,37.41
2010-06-23,38.09,38.09,38.09,38.09,2300,38.09
2010-06-21,39.44,39.44,39.09,39.09,4600,39.09
2010-06-16,37.90,37.90,37.90,37.90,300,37.90
2010-06-15,37.44,37.44,37.44,37.44,300,37.44
2010-06-07,35.00,35.00,35.00,35.00,200,35.00
2010-05-27,34.89,35.80,34.89,35.80,17400,35.80
2010-05-26,35.18,35.18,35.18,35.18,1000,35.18
2010-05-25,34.57,34.57,34.15,34.15,4900,34.15
2010-05-24,36.00,36.00,36.00,36.00,200,36.00
2010-05-20,36.25,36.81,36.25,36.81,7700,36.81
2010-05-19,35.94,35.96,35.94,35.96,4600,35.96
2010-05-18,37.61,37.63,37.61,37.63,4600,37.63
2010-05-17,37.20,37.22,36.50,36.95,9100,36.95
2010-05-13,39.50,39.63,39.50,39.61,9200,39.61
2010-05-11,38.51,38.51,38.32,38.32,9200,38.32
2010-05-10,38.41,39.27,38.41,39.27,9400,39.27
2010-05-06,38.60,38.60,38.60,38.60,100,38.60
2010-05-05,39.54,39.54,39.54,39.54,400,39.54
2010-05-04,41.15,41.15,40.95,40.95,2400,40.95
2010-05-03,40.99,40.99,40.99,40.99,2300,40.99
2010-04-13,43.61,43.75,43.60,43.75,25800,43.75
2010-04-12,44.04,44.07,44.03,44.03,9200,44.03
2010-04-09,42.78,43.20,42.71,43.13,20100,43.13
2010-04-08,42.36,42.41,42.32,42.32,10900,42.32
2010-04-01,42.82,42.99,42.78,42.99,6000,42.99
2010-03-31,42.21,42.33,42.21,42.33,3000,42.33
2010-03-29,42.46,42.81,42.46,42.59,13000,42.59
2010-03-18,42.43,42.69,42.43,42.66,6800,42.66
2010-03-17,42.78,42.78,42.77,42.77,2000,42.77
2010-03-15,42.32,42.38,42.32,42.38,1100,42.38
2010-03-12,42.30,42.30,42.30,42.30,1000,42.30
2010-03-11,41.88,41.88,41.87,41.87,2000,41.87
2010-03-05,41.20,41.20,41.20,41.20,1000,41.20
2010-03-04,41.03,41.03,40.71,40.82,12000,40.82
2010-03-01,40.28,40.70,40.14,40.67,6000,40.67
2010-02-26,39.82,39.99,39.62,39.62,6200,39.62
2010-02-25,40.09,40.09,39.29,39.31,11000,39.31
2010-02-24,40.06,40.06,39.86,39.86,3000,39.86
2010-02-19,39.73,39.73,39.36,39.45,8000,39.45
2010-02-12,39.74,39.77,39.74,39.77,2000,39.77
2010-02-11,39.75,39.75,39.75,39.75,000,39.75
2010-02-08,38.49,38.94,38.49,38.94,2000,38.94
2010-02-05,39.50,39.50,39.50,39.50,100,39.50
2010-02-04,41.20,41.20,41.20,41.20,000,41.20
2010-02-01,40.42,40.42,40.42,40.42,000,40.42
2010-01-29,40.43,40.43,40.43,40.43,1000,40.43
2010-01-27,41.42,41.42,41.42,41.42,000,41.42
2010-01-26,41.94,41.96,41.10,41.10,2000,41.10
2010-01-25,42.14,42.14,41.70,41.89,7100,41.89
2010-01-20,43.86,43.86,43.86,43.86,100,43.86
2010-01-04,43.02,43.10,43.02,43.10,6000,43.10
2009-12-28,43.61,43.61,43.61,43.61,1000,43.61
2009-12-11,42.86,42.89,42.86,42.89,2000,42.89
2009-12-09,41.81,41.84,41.81,41.84,2000,41.84
2009-12-04,44.00,44.04,44.00,44.04,2000,44.04
2009-12-02,44.20,44.20,44.20,44.20,000,44.20
2009-11-20,43.51,43.57,43.51,43.57,3000,43.57
2009-11-09,43.06,43.06,43.06,43.06,000,43.06
2009-11-04,41.53,41.56,41.52,41.56,4000,41.56
2009-10-27,42.88,42.90,42.88,42.90,3000,42.90
2009-10-22,43.91,43.91,43.91,43.91,1000,43.91
2009-10-15,44.09,44.09,44.07,44.07,2500,44.07
2009-10-06,40.74,41.42,40.74,41.39,6000,41.39
2009-10-02,40.78,40.78,40.76,40.76,3100,40.76
2009-10-01,41.76,42.34,41.76,42.29,4000,42.29
2009-09-28,41.35,41.41,41.18,41.38,8000,41.38
2009-09-25,41.49,41.49,41.46,41.46,2000,41.46
2009-09-23,43.15,43.15,43.08,43.08,200,43.08
2009-09-22,42.57,42.93,42.57,42.93,3000,42.93
2009-09-08,40.37,40.66,40.37,40.66,4000,40.66
2009-08-31,40.13,40.13,39.88,39.99,7000,39.99
2009-08-26,40.24,40.42,40.24,40.42,5700,40.42
2009-08-12,38.05,38.05,38.05,38.05,1100,38.05
2009-08-03,38.17,38.17,38.17,38.17,7500,38.17
2009-07-31,37.65,37.88,37.65,37.83,47500,37.83
2009-07-15,34.34,34.40,34.34,34.40,400,34.40
