Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,6.59,6.59,6.57,6.57,13000,6.57
2011-08-03,6.69,6.69,6.69,6.69,1100,6.69
2011-08-02,6.86,6.86,6.82,6.82,1000,6.82
2011-08-01,7.01,7.01,7.01,7.01,700,7.01
2011-07-29,6.87,6.87,6.80,6.80,49400,6.80
2011-07-26,7.09,7.09,7.09,7.09,10000,7.09
2011-07-25,7.00,7.00,6.99,6.99,13000,6.99
2011-07-22,7.06,7.06,7.06,7.06,10000,7.06
2011-07-21,6.84,6.89,6.84,6.89,13500,6.89
2011-07-20,6.90,6.91,6.90,6.91,20000,6.91
2011-07-19,6.83,6.85,6.83,6.85,6100,6.85
2011-07-18,6.87,6.87,6.87,6.87,3000,6.87
2011-07-15,6.91,6.91,6.88,6.88,3800,6.88
2011-07-14,7.00,7.00,6.98,6.98,20200,6.98
2011-07-13,6.89,6.94,6.89,6.94,25900,6.94
2011-07-12,6.90,6.90,6.86,6.86,23000,6.86
2011-07-11,7.10,7.10,7.10,7.10,100,7.10
2011-07-04,7.36,7.36,7.36,7.36,10000,7.36
2011-06-29,7.13,7.14,7.13,7.14,13000,7.14
2011-06-22,6.99,6.99,6.99,6.99,10000,6.99
2011-06-21,6.91,6.91,6.91,6.91,3500,6.91
2011-06-20,6.90,6.90,6.84,6.84,26500,6.84
2011-06-16,6.93,6.93,6.93,6.93,10000,6.93
2011-06-15,7.04,7.04,7.04,7.04,10000,7.04
2011-06-14,7.03,7.05,7.03,7.05,24000,7.05
2011-06-08,7.15,7.15,7.14,7.14,20000,7.14
2011-06-07,7.14,7.14,7.14,7.14,10000,7.14
2011-06-06,7.23,7.24,7.23,7.24,23000,7.24
2011-06-03,7.26,7.26,7.25,7.25,20000,7.25
2011-06-02,7.20,7.20,7.20,7.20,1000,7.20
2011-05-31,7.25,7.27,7.25,7.27,30000,7.27
2011-05-27,7.15,7.15,7.15,7.15,1000,7.15
2011-05-26,6.99,6.99,6.99,6.99,13000,6.99
2011-05-25,6.99,6.99,6.96,6.96,13000,6.96
2011-05-23,6.92,6.92,6.84,6.84,70000,6.84
2011-05-19,7.02,7.02,7.00,7.00,26000,7.00
2011-05-16,6.88,6.88,6.88,6.88,3200,6.88
2011-05-13,7.08,7.08,7.08,7.08,10000,7.08
2011-05-11,7.28,7.28,7.28,7.28,400,7.28
2011-05-06,7.08,7.09,7.04,7.04,30500,7.04
2011-05-04,7.24,7.24,7.24,7.24,3000,7.24
2011-05-03,7.39,7.39,7.36,7.36,10000,7.36
2011-04-29,7.39,7.39,7.36,7.39,45000,7.39
2011-04-27,7.68,7.68,7.68,7.68,100,7.68
2011-04-26,7.58,7.58,7.58,7.58,10000,7.58
2011-04-21,7.68,7.68,7.68,7.68,14000,7.68
2011-04-20,7.54,7.54,7.54,7.54,10000,7.54
2011-04-18,7.52,7.52,7.49,7.49,30000,7.49
2011-04-15,7.46,7.46,7.46,7.46,200,7.46
2011-04-13,7.47,7.50,7.46,7.50,40000,7.50
2011-04-12,7.64,7.64,7.62,7.63,30000,7.63
2011-04-04,7.69,7.69,7.65,7.65,40000,7.65
2011-03-31,7.42,7.42,7.42,7.42,000,7.42
2011-03-28,7.28,7.29,7.28,7.29,1000,7.29
2011-03-23,7.26,7.26,7.26,7.26,11000,7.26
2011-03-22,7.16,7.16,7.16,7.16,500,7.16
2011-03-21,7.22,7.22,7.22,7.22,10000,7.22
2011-03-18,7.10,7.10,7.10,7.10,500,7.10
2011-03-17,6.96,7.03,6.96,7.03,70000,7.03
2011-03-16,7.16,7.16,7.15,7.15,20000,7.15
2011-03-15,7.16,7.16,7.16,7.16,200,7.16
2011-03-11,7.08,7.09,7.08,7.09,20000,7.09
2011-03-10,7.24,7.24,7.22,7.22,20000,7.22
2011-03-09,7.30,7.36,7.29,7.29,76000,7.29
2011-03-08,7.32,7.32,7.32,7.32,13000,7.32
2011-03-04,7.40,7.40,7.40,7.40,10000,7.40
2011-03-03,7.27,7.29,7.27,7.29,30000,7.29
2011-03-02,7.12,7.12,7.12,7.12,10000,7.12
2011-03-01,7.26,7.28,7.26,7.28,20000,7.28
2011-02-28,7.19,7.19,7.18,7.18,26000,7.18
2011-02-25,7.18,7.19,7.17,7.19,25000,7.19
2011-02-24,7.16,7.16,7.16,7.16,13000,7.16
2011-02-23,7.09,7.10,7.09,7.10,20000,7.10
2011-02-22,7.26,7.26,7.12,7.12,118800,7.12
2011-02-21,7.27,7.27,7.27,7.27,15000,7.27
2011-02-18,7.25,7.25,7.22,7.24,35000,7.24
2011-02-17,7.20,7.24,7.20,7.24,42000,7.24
2011-02-16,7.13,7.15,7.13,7.15,21200,7.15
2011-02-15,7.09,7.09,7.07,7.08,55400,7.08
2011-02-14,7.02,7.03,7.02,7.03,30000,7.03
2011-02-11,6.85,6.85,6.85,6.85,10000,6.85
2011-02-10,6.91,6.91,6.84,6.84,2500,6.84
2011-02-08,6.99,7.00,6.99,7.00,4000,7.00
2011-02-07,7.00,7.02,7.00,7.02,31000,7.02
2011-01-20,7.48,7.48,7.48,7.48,200,7.48
2011-01-17,7.49,7.49,7.49,7.49,200,7.49
2011-01-14,7.52,7.52,7.52,7.52,000,7.52
2011-01-10,7.39,7.39,7.39,7.39,200,7.39
2011-01-07,7.50,7.50,7.45,7.45,3200,7.45
2011-01-06,7.55,7.56,7.55,7.55,16200,7.55
2011-01-04,7.53,7.53,7.53,7.53,10000,7.53
2011-01-03,7.43,7.45,7.43,7.45,25000,7.45
2010-12-20,7.03,7.04,7.03,7.04,20000,7.04
2010-12-17,7.05,7.05,7.05,7.05,3700,7.05
2010-12-16,7.03,7.03,7.03,7.03,500,7.03
2010-12-15,7.17,7.17,7.17,7.17,200,7.17
2010-12-13,7.20,7.20,7.20,7.20,300,7.20
2010-12-07,7.29,7.29,7.29,7.29,5000,7.29
2010-12-06,7.29,7.29,7.29,7.29,5000,7.29
2010-12-03,7.23,7.23,7.23,7.23,500,7.23
2010-12-02,7.06,7.16,7.06,7.15,13400,7.15
2010-12-01,6.93,7.01,6.93,7.00,27000,7.00
2010-11-29,7.10,7.10,7.10,7.10,100,7.10
2010-11-26,7.10,7.10,7.10,7.10,1000,7.10
2010-11-24,6.96,6.96,6.96,6.96,1000,6.96
2010-11-19,7.28,7.28,7.28,7.28,1000,7.28
2010-11-09,7.56,7.56,7.56,7.56,900,7.56
2010-11-08,7.61,7.61,7.60,7.60,8000,7.60
2010-11-04,7.47,7.49,7.46,7.49,21000,7.49
2010-11-03,7.42,7.45,7.42,7.45,33000,7.45
2010-11-02,7.37,7.37,7.37,7.37,2000,7.37
2010-11-01,7.33,7.34,7.33,7.34,14300,7.34
2010-10-29,7.20,7.20,7.20,7.20,6000,7.20
2010-10-28,7.19,7.19,7.19,7.19,3000,7.19
2010-10-27,7.30,7.30,7.30,7.30,5000,7.30
2010-10-25,7.22,7.22,7.22,7.22,3700,7.22
2010-10-20,7.26,7.28,7.26,7.28,4000,7.28
2010-10-19,7.49,7.49,7.49,7.49,100,7.49
2010-10-14,7.62,7.62,7.62,7.62,100,7.62
2010-10-11,7.44,7.44,7.44,7.44,700,7.44
2010-10-08,7.31,7.31,7.31,7.31,000,7.31
2010-10-07,7.38,7.38,7.38,7.38,900,7.38
2010-10-06,7.52,7.52,7.51,7.51,11600,7.51
2010-10-04,7.28,7.28,7.28,7.28,10000,7.28
2010-10-01,7.23,7.23,7.23,7.23,3000,7.23
2010-09-30,7.16,7.16,7.15,7.15,20000,7.15
2010-09-29,7.06,7.06,7.06,7.06,2000,7.06
2010-09-27,6.95,6.95,6.95,6.95,10000,6.95
2010-09-24,6.93,6.93,6.93,6.93,000,6.93
2010-09-21,7.00,7.00,7.00,7.00,300,7.00
2010-09-20,6.93,6.93,6.93,6.93,100,6.93
2010-09-16,6.80,6.93,6.80,6.93,300,6.93
2010-09-09,6.74,6.74,6.74,6.74,10000,6.74
2010-09-07,6.63,6.64,6.63,6.64,20000,6.64
2010-09-01,6.53,6.53,6.53,6.53,100,6.53
2010-08-27,6.34,6.34,6.34,6.34,200,6.34
2010-08-23,6.52,6.54,6.52,6.54,30000,6.54
2010-08-16,6.56,6.56,6.56,6.56,200,6.56
2010-08-13,6.59,6.59,6.59,6.59,100,6.59
2010-07-28,6.62,6.62,6.62,6.62,1000,6.62
2010-07-22,6.35,6.35,6.35,6.35,200,6.35
2010-07-15,6.33,6.33,6.33,6.33,200,6.33
2010-07-06,6.00,6.00,6.00,6.00,20000,6.00
2010-06-22,6.50,6.50,6.49,6.49,21000,6.49
2010-06-15,6.19,6.19,6.19,6.19,200,6.19
2010-06-08,5.84,5.84,5.84,5.84,200,5.84
2010-06-07,5.84,5.84,5.84,5.84,300,5.84
2010-05-31,5.82,6.09,5.82,6.09,200,6.09
2010-05-27,5.77,5.78,5.77,5.78,600,5.78
2010-05-26,5.70,5.70,5.70,5.70,000,5.70
2010-05-25,5.57,5.57,5.56,5.56,300,5.56
2010-05-24,5.72,5.72,5.72,5.72,500,5.72
2010-05-21,5.41,5.41,5.41,5.41,3500,5.41
2010-05-19,5.93,5.93,5.93,5.93,500,5.93
2010-05-17,6.19,6.30,6.19,6.30,30200,6.30
2010-05-07,6.09,6.15,6.09,6.15,6400,6.15
2010-04-23,6.95,6.95,6.95,6.95,3000,6.95
2010-04-16,7.17,7.17,7.09,7.11,17000,7.11
2010-04-15,7.19,7.19,7.19,7.19,300,7.19
2010-04-14,7.17,7.17,7.17,7.17,500,7.17
2010-04-06,7.16,7.16,7.16,7.16,500,7.16
2010-04-01,7.08,7.08,7.03,7.05,80000,7.05
2010-03-30,6.92,6.92,6.92,6.92,1000,6.92
2010-03-26,6.56,6.69,6.56,6.67,76000,6.67
2010-03-18,7.00,7.01,7.00,7.01,8000,7.01
2010-03-15,6.94,6.95,6.94,6.95,1000,6.95
2010-03-09,6.78,6.78,6.78,6.78,1000,6.78
2010-02-10,6.20,6.20,6.20,6.20,1000,6.20
2010-02-04,6.51,6.51,6.51,6.51,300,6.51
2010-02-02,6.38,6.38,6.38,6.38,1000,6.38
2010-02-01,6.29,6.29,6.29,6.29,300,6.29
2010-01-27,6.33,6.33,6.33,6.33,100,6.33
2010-01-26,6.54,6.54,6.47,6.47,600,6.47
2010-01-25,6.55,6.55,6.55,6.55,1600,6.55
2010-01-22,6.57,6.57,6.54,6.55,2700,6.55
2010-01-20,7.00,7.00,7.00,7.00,2000,7.00
