Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.16,0.16,0.16,0.16,1772000,0.16
2011-08-03,0.16,0.16,0.16,0.16,1273000,0.16
2011-08-02,0.16,0.16,0.16,0.16,273000,0.16
2011-08-01,0.16,0.16,0.16,0.16,1373000,0.16
2011-07-29,0.16,0.16,0.15,0.16,156000,0.16
2011-07-28,0.16,0.16,0.16,0.16,397000,0.16
2011-07-27,0.16,0.16,0.16,0.16,806000,0.16
2011-07-26,0.15,0.16,0.15,0.16,922000,0.16
2011-07-25,0.14,0.15,0.14,0.15,1842000,0.15
2011-07-22,0.14,0.14,0.14,0.14,377000,0.14
2011-07-21,0.14,0.14,0.14,0.14,198000,0.14
2011-07-20,0.14,0.14,0.14,0.14,381000,0.14
2011-07-19,0.14,0.14,0.14,0.14,000,0.14
2011-07-18,0.14,0.14,0.14,0.14,358000,0.14
2011-07-15,0.14,0.14,0.14,0.14,1648000,0.14
2011-07-14,0.14,0.14,0.14,0.14,468000,0.14
2011-07-13,0.14,0.14,0.14,0.14,179000,0.14
2011-07-12,0.14,0.14,0.14,0.14,187000,0.14
2011-07-11,0.14,0.14,0.13,0.14,249000,0.14
2011-07-08,0.13,0.13,0.13,0.13,231000,0.13
2011-07-07,0.14,0.14,0.14,0.14,171000,0.14
2011-07-06,0.13,0.14,0.13,0.14,132000,0.14
2011-07-05,0.13,0.14,0.13,0.13,000,0.13
2011-07-04,0.14,0.14,0.14,0.14,172000,0.14
2011-07-01,0.14,0.14,0.14,0.14,605000,0.14
2011-06-30,0.13,0.14,0.13,0.14,140000,0.14
2011-06-29,0.13,0.14,0.13,0.13,000,0.13
2011-06-28,0.13,0.14,0.13,0.14,51000,0.14
2011-06-27,0.13,0.14,0.13,0.14,202000,0.14
2011-06-24,0.13,0.14,0.13,0.14,442000,0.14
2011-06-23,0.13,0.13,0.12,0.12,97000,0.12
2011-06-22,0.13,0.13,0.12,0.12,261000,0.12
2011-06-21,0.12,0.13,0.12,0.13,257000,0.13
2011-06-20,0.13,0.13,0.13,0.13,26000,0.13
2011-06-17,0.14,0.14,0.12,0.14,138000,0.14
2011-06-16,0.14,0.14,0.13,0.13,376000,0.13
2011-06-15,0.14,0.14,0.14,0.14,000,0.14
2011-06-14,0.14,0.14,0.14,0.14,551000,0.14
2011-06-13,0.14,0.14,0.14,0.14,000,0.14
2011-06-10,0.14,0.14,0.14,0.14,104000,0.14
2011-06-09,0.14,0.14,0.14,0.14,000,0.14
2011-06-08,0.14,0.14,0.14,0.14,278000,0.14
2011-06-07,0.14,0.14,0.14,0.14,104000,0.14
2011-06-06,0.14,0.14,0.14,0.14,110000,0.14
2011-06-03,0.14,0.14,0.14,0.14,90000,0.14
