Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.14,0.15,0.14,0.14,000,0.14
2011-08-03,0.14,0.15,0.14,0.15,130000,0.15
2011-08-02,0.14,0.14,0.14,0.14,120000,0.14
2011-08-01,0.14,0.15,0.14,0.15,41000,0.15
2011-07-29,0.15,0.15,0.15,0.15,25000,0.15
2011-07-28,0.14,0.15,0.14,0.15,21000,0.15
2011-07-27,0.14,0.14,0.14,0.14,50000,0.14
2011-07-26,0.14,0.14,0.14,0.14,522000,0.14
2011-07-25,0.15,0.15,0.14,0.15,400000,0.15
2011-07-22,0.15,0.15,0.15,0.15,12000,0.15
2011-07-21,0.15,0.15,0.14,0.14,59000,0.14
2011-07-20,0.15,0.15,0.15,0.15,437000,0.15
2011-07-19,0.14,0.14,0.14,0.14,35000,0.14
2011-07-18,0.15,0.15,0.15,0.15,43000,0.15
2011-07-15,0.14,0.15,0.14,0.15,202000,0.15
2011-07-14,0.15,0.15,0.15,0.15,000,0.15
2011-07-13,0.15,0.15,0.15,0.15,000,0.15
2011-07-12,0.15,0.15,0.15,0.15,450000,0.15
2011-07-11,0.15,0.15,0.15,0.15,270000,0.15
2011-07-08,0.15,0.16,0.15,0.15,276000,0.15
2011-07-07,0.15,0.15,0.15,0.15,102000,0.15
2011-07-06,0.15,0.16,0.15,0.15,787000,0.15
2011-07-05,0.16,0.16,0.16,0.16,90000,0.16
2011-07-04,0.16,0.17,0.16,0.17,121000,0.17
2011-07-01,0.16,0.17,0.16,0.16,711000,0.16
2011-06-30,0.15,0.16,0.15,0.16,154000,0.16
2011-06-29,0.15,0.15,0.15,0.15,90000,0.15
2011-06-28,0.15,0.15,0.15,0.15,150000,0.15
2011-06-27,0.15,0.15,0.15,0.15,163000,0.15
2011-06-24,0.16,0.16,0.15,0.15,66000,0.15
2011-06-23,0.14,0.16,0.14,0.16,370000,0.16
2011-06-22,0.15,0.16,0.15,0.16,30000,0.16
2011-06-21,0.15,0.16,0.15,0.16,150000,0.16
2011-06-20,0.15,0.15,0.15,0.15,155000,0.15
2011-06-17,0.15,0.15,0.15,0.15,366000,0.15
2011-06-16,0.15,0.15,0.14,0.15,537000,0.15
2011-06-15,0.16,0.16,0.15,0.16,740000,0.16
2011-06-14,0.16,0.16,0.16,0.16,496000,0.16
2011-06-13,0.16,0.16,0.16,0.16,106000,0.16
2011-06-10,0.16,0.16,0.16,0.16,410000,0.16
2011-06-09,0.16,0.16,0.16,0.16,154000,0.16
2011-06-08,0.16,0.16,0.16,0.16,109000,0.16
2011-06-07,0.16,0.16,0.16,0.16,70000,0.16
2011-06-06,0.16,0.17,0.16,0.16,132000,0.16
2011-06-03,0.17,0.17,0.17,0.17,134000,0.17
2011-06-02,0.17,0.17,0.16,0.16,46000,0.16
2011-06-01,0.17,0.17,0.17,0.17,25000,0.17
2011-05-31,0.17,0.17,0.17,0.17,000,0.17
2011-05-30,0.17,0.17,0.17,0.17,136000,0.17
2011-05-27,0.17,0.17,0.17,0.17,000,0.17
2011-05-26,0.17,0.17,0.17,0.17,234000,0.17
2011-05-25,0.17,0.17,0.17,0.17,345000,0.17
2011-05-24,0.17,0.17,0.17,0.17,340000,0.17
2011-05-23,0.16,0.17,0.16,0.17,206000,0.17
2011-05-20,0.17,0.17,0.17,0.17,33000,0.17
2011-05-19,0.17,0.17,0.17,0.17,91000,0.17
2011-05-18,0.17,0.17,0.17,0.17,624000,0.17
2011-05-16,0.17,0.17,0.17,0.17,71000,0.17
2011-05-13,0.17,0.17,0.17,0.17,1101000,0.17
2011-05-12,0.17,0.17,0.17,0.17,618000,0.17
2011-05-11,0.17,0.17,0.17,0.17,49000,0.17
2011-05-10,0.17,0.18,0.17,0.17,000,0.17
2011-05-09,0.17,0.18,0.17,0.18,117000,0.18
2011-05-06,0.17,0.17,0.17,0.17,116000,0.17
2011-05-05,0.17,0.17,0.17,0.17,68000,0.17
2011-05-04,0.17,0.17,0.17,0.17,62000,0.17
2011-05-03,0.17,0.18,0.17,0.18,191000,0.18
2011-04-29,0.18,0.18,0.17,0.17,11000,0.17
2011-04-28,0.18,0.18,0.18,0.18,148000,0.18
2011-04-27,0.17,0.18,0.17,0.18,183000,0.18
2011-04-26,0.17,0.17,0.17,0.17,243000,0.17
2011-04-25,0.17,0.17,0.17,0.17,75000,0.17
2011-04-21,0.18,0.18,0.17,0.17,134000,0.17
2011-04-20,0.17,0.18,0.17,0.18,258000,0.18
2011-04-19,0.17,0.17,0.17,0.17,129000,0.17
2011-04-18,0.18,0.18,0.17,0.17,299000,0.17
2011-04-15,0.18,0.18,0.17,0.17,215000,0.17
2011-04-14,0.18,0.18,0.18,0.18,435000,0.18
2011-04-13,0.18,0.18,0.18,0.18,125000,0.18
2011-04-12,0.17,0.17,0.17,0.17,48000,0.17
2011-04-11,0.18,0.18,0.17,0.17,662000,0.17
2011-04-08,0.18,0.18,0.18,0.18,130000,0.18
2011-04-07,0.19,0.19,0.19,0.19,52000,0.19
2011-04-06,0.19,0.19,0.18,0.18,130000,0.18
2011-04-05,0.19,0.19,0.18,0.19,6938000,0.19
2011-04-04,0.17,0.19,0.17,0.19,864000,0.19
2011-04-01,0.17,0.18,0.17,0.18,70000,0.18
2011-03-31,0.17,0.17,0.17,0.17,152000,0.17
2011-03-30,0.17,0.17,0.17,0.17,171000,0.17
2011-03-29,0.17,0.17,0.17,0.17,131000,0.17
2011-03-28,0.17,0.17,0.17,0.17,299000,0.17
2011-03-25,0.17,0.17,0.17,0.17,402000,0.17
2011-03-24,0.17,0.17,0.17,0.17,364000,0.17
2011-03-23,0.17,0.17,0.17,0.17,133000,0.17
2011-03-22,0.17,0.17,0.16,0.17,338000,0.17
2011-03-21,0.16,0.17,0.16,0.16,408000,0.16
2011-03-18,0.16,0.16,0.16,0.16,50000,0.16
2011-03-17,0.16,0.17,0.16,0.17,151000,0.17
2011-03-16,0.16,0.17,0.16,0.17,311000,0.17
2011-03-15,0.16,0.16,0.15,0.16,1181000,0.16
2011-03-14,0.16,0.17,0.16,0.16,120000,0.16
2011-03-11,0.17,0.17,0.16,0.16,1320000,0.16
2011-03-10,0.17,0.17,0.17,0.17,430000,0.17
2011-03-09,0.17,0.19,0.17,0.17,419000,0.17
2011-03-08,0.17,0.17,0.17,0.17,379000,0.17
2011-03-07,0.17,0.17,0.17,0.17,156000,0.17
2011-03-04,0.17,0.17,0.17,0.17,274000,0.17
2011-03-03,0.17,0.17,0.17,0.17,173000,0.17
2011-03-02,0.17,0.17,0.17,0.17,242000,0.17
2011-03-01,0.17,0.17,0.17,0.17,490000,0.17
2011-02-28,0.17,0.17,0.17,0.17,146000,0.17
2011-02-25,0.17,0.17,0.17,0.17,358000,0.17
2011-02-24,0.17,0.17,0.17,0.17,212000,0.17
2011-02-23,0.17,0.19,0.17,0.17,877000,0.17
2011-02-22,0.18,0.18,0.17,0.17,785000,0.17
2011-02-21,0.19,0.19,0.19,0.19,757000,0.19
2011-02-18,0.19,0.19,0.19,0.19,349000,0.19
2011-02-17,0.19,0.19,0.19,0.19,200000,0.19
2011-02-16,0.19,0.19,0.19,0.19,735000,0.19
2011-02-15,0.19,0.19,0.19,0.19,786000,0.19
2011-02-14,0.19,0.19,0.19,0.19,445000,0.19
2011-02-11,0.19,0.19,0.19,0.19,862000,0.19
2011-02-10,0.19,0.19,0.19,0.19,217000,0.19
2011-02-09,0.19,0.20,0.19,0.20,658000,0.20
2011-02-08,0.19,0.20,0.19,0.19,488000,0.19
2011-02-07,0.19,0.19,0.19,0.19,504000,0.19
2011-02-02,0.19,0.19,0.19,0.19,538000,0.19
2011-02-01,0.19,0.19,0.19,0.19,851000,0.19
2011-01-31,0.19,0.19,0.19,0.19,587000,0.19
2011-01-28,0.19,0.19,0.19,0.19,902000,0.19
2011-01-27,0.20,0.20,0.20,0.20,775000,0.20
2011-01-26,0.20,0.20,0.19,0.19,1296000,0.19
2011-01-25,0.20,0.20,0.19,0.19,2567000,0.19
2011-01-24,0.20,0.20,0.20,0.20,1663000,0.20
2011-01-21,0.20,0.20,0.20,0.20,906000,0.20
2011-01-20,0.22,0.22,0.20,0.20,1300000,0.20
2011-01-19,0.22,0.22,0.21,0.21,1795000,0.21
2011-01-18,0.20,0.23,0.20,0.22,30716000,0.22
2011-01-17,0.20,0.21,0.20,0.21,725000,0.21
2011-01-14,0.20,0.20,0.20,0.20,251000,0.20
2011-01-13,0.20,0.20,0.19,0.20,131000,0.20
2011-01-12,0.20,0.20,0.20,0.20,365000,0.20
2011-01-11,0.20,0.20,0.20,0.20,276000,0.20
2011-01-10,0.20,0.20,0.19,0.19,51000,0.19
2011-01-07,0.20,0.20,0.19,0.20,248000,0.20
2011-01-06,0.20,0.20,0.20,0.20,439000,0.20
2011-01-05,0.19,0.20,0.19,0.20,372000,0.20
2011-01-04,0.20,0.20,0.20,0.20,75000,0.20
2011-01-03,0.19,0.20,0.19,0.20,587000,0.20
2010-12-31,0.19,0.19,0.19,0.19,20000,0.19
2010-12-30,0.19,0.19,0.19,0.19,22000,0.19
2010-12-29,0.19,0.19,0.19,0.19,98000,0.19
2010-12-28,0.19,0.19,0.19,0.19,40000,0.19
2010-12-27,0.19,0.20,0.19,0.20,100000,0.20
2010-12-24,0.19,0.19,0.19,0.19,55000,0.19
2010-12-23,0.19,0.19,0.19,0.19,50000,0.19
2010-12-22,0.19,0.19,0.19,0.19,135000,0.19
2010-12-21,0.19,0.19,0.19,0.19,80000,0.19
2010-12-20,0.19,0.19,0.19,0.19,123000,0.19
2010-12-17,0.19,0.19,0.19,0.19,80000,0.19
2010-12-16,0.19,0.19,0.19,0.19,171000,0.19
2010-12-15,0.19,0.19,0.19,0.19,70000,0.19
2010-12-14,0.20,0.20,0.20,0.20,143000,0.20
2010-12-13,0.19,0.20,0.19,0.20,318000,0.20
2010-12-10,0.19,0.19,0.19,0.19,000,0.19
2010-12-09,0.19,0.19,0.19,0.19,150000,0.19
2010-12-08,0.19,0.19,0.19,0.19,181000,0.19
2010-12-07,0.19,0.19,0.19,0.19,230000,0.19
2010-12-06,0.19,0.19,0.19,0.19,50000,0.19
2010-12-03,0.19,0.19,0.19,0.19,100000,0.19
2010-12-02,0.19,0.19,0.19,0.19,50000,0.19
2010-12-01,0.19,0.19,0.19,0.19,73000,0.19
2010-11-30,0.19,0.19,0.19,0.19,40000,0.19
2010-11-29,0.19,0.19,0.19,0.19,227000,0.19
2010-11-26,0.19,0.19,0.19,0.19,400000,0.19
2010-11-25,0.19,0.19,0.19,0.19,325000,0.19
2010-11-24,0.19,0.19,0.19,0.19,881000,0.19
2010-11-23,0.19,0.19,0.19,0.19,690000,0.19
2010-11-22,0.19,0.19,0.18,0.19,1980000,0.19
2010-11-19,0.20,0.20,0.19,0.19,1083000,0.19
2010-11-18,0.20,0.20,0.20,0.20,608000,0.20
2010-11-16,0.21,0.21,0.20,0.20,535000,0.20
2010-11-15,0.22,0.22,0.21,0.21,990000,0.21
2010-11-12,0.22,0.22,0.22,0.22,2501000,0.22
2010-11-11,0.22,0.22,0.22,0.22,555000,0.22
2010-11-10,0.22,0.22,0.22,0.22,395000,0.22
2010-11-09,0.23,0.23,0.22,0.23,546000,0.23
2010-11-08,0.23,0.23,0.22,0.23,78000,0.23
2010-11-04,0.22,0.23,0.22,0.22,000,0.22
2010-11-03,0.22,0.23,0.22,0.22,565000,0.22
2010-11-02,0.22,0.22,0.22,0.22,114000,0.22
2010-11-01,0.22,0.22,0.22,0.22,618000,0.22
2010-10-29,0.22,0.22,0.22,0.22,207000,0.22
2010-10-28,0.22,0.22,0.22,0.22,160000,0.22
2010-10-27,0.22,0.22,0.22,0.22,765000,0.22
2010-10-26,0.22,0.22,0.22,0.22,385000,0.22
2010-10-25,0.22,0.22,0.22,0.22,793000,0.22
2010-10-22,0.23,0.23,0.22,0.22,161000,0.22
2010-10-21,0.22,0.23,0.22,0.23,700000,0.23
2010-10-20,0.22,0.23,0.22,0.23,435000,0.23
2010-10-19,0.23,0.23,0.23,0.23,157000,0.23
2010-10-18,0.23,0.23,0.23,0.23,506000,0.23
2010-10-15,0.23,0.23,0.23,0.23,1123000,0.23
2010-10-14,0.24,0.24,0.23,0.23,2037000,0.23
2010-10-13,0.23,0.24,0.22,0.24,745000,0.24
2010-10-12,0.23,0.23,0.22,0.23,421000,0.23
2010-10-11,0.23,0.23,0.22,0.23,519000,0.23
2010-10-08,0.23,0.23,0.22,0.23,336000,0.23
2010-10-07,0.23,0.23,0.23,0.23,109000,0.23
2010-10-06,0.23,0.23,0.23,0.23,488000,0.23
2010-10-05,0.22,0.23,0.22,0.22,344000,0.22
2010-10-04,0.22,0.23,0.22,0.23,643000,0.23
2010-10-01,0.22,0.22,0.22,0.22,1311000,0.22
2010-09-30,0.22,0.22,0.22,0.22,419000,0.22
2010-09-29,0.22,0.23,0.22,0.22,656000,0.22
2010-09-28,0.23,0.23,0.22,0.22,1637000,0.22
2010-09-27,0.23,0.23,0.23,0.23,294000,0.23
2010-09-24,0.23,0.23,0.22,0.23,1082000,0.23
2010-09-23,0.24,0.24,0.23,0.23,1896000,0.23
2010-09-22,0.24,0.25,0.24,0.24,5600000,0.24
2010-09-21,0.23,0.24,0.23,0.24,3918000,0.24
2010-09-20,0.22,0.22,0.22,0.22,492000,0.22
2010-09-17,0.22,0.22,0.22,0.22,1138000,0.22
2010-09-16,0.22,0.22,0.22,0.22,795000,0.22
2010-09-15,0.22,0.22,0.22,0.22,50000,0.22
2010-09-14,0.22,0.22,0.22,0.22,1030000,0.22
2010-09-13,0.22,0.22,0.21,0.22,280000,0.22
2010-09-09,0.22,0.22,0.22,0.22,49000,0.22
2010-09-08,0.21,0.22,0.21,0.21,505000,0.21
2010-09-07,0.22,0.22,0.21,0.21,109000,0.21
