Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.18,1.19,1.13,1.15,14445000,1.15
2011-08-03,1.15,1.20,1.13,1.17,13861000,1.17
2011-08-02,1.21,1.21,1.16,1.16,11572000,1.16
2011-08-01,1.22,1.23,1.21,1.21,7393000,1.21
2011-07-29,1.24,1.24,1.20,1.21,14587000,1.21
2011-07-28,1.21,1.25,1.21,1.24,19212000,1.24
2011-07-27,1.18,1.25,1.17,1.23,45450000,1.23
2011-07-26,1.19,1.20,1.16,1.18,18907000,1.18
2011-07-25,1.13,1.20,1.13,1.18,54310000,1.18
2011-07-22,1.11,1.16,1.11,1.15,37028000,1.15
2011-07-21,1.11,1.12,1.08,1.10,36903000,1.10
2011-07-20,1.01,1.15,1.01,1.13,53533000,1.13
2011-07-19,0.99,1.00,0.99,1.00,8107000,1.00
2011-07-18,1.00,1.00,0.99,1.00,15093000,1.00
2011-07-15,1.01,1.02,1.00,1.00,10115000,1.00
2011-07-14,1.02,1.02,1.00,1.01,22375000,1.01
2011-07-13,1.01,1.02,1.01,1.01,10199000,1.01
2011-07-12,1.02,1.03,1.00,1.01,15798000,1.01
2011-07-11,1.04,1.04,1.02,1.02,14920000,1.02
2011-07-08,1.04,1.04,1.02,1.04,17398000,1.04
2011-07-07,1.00,1.04,1.00,1.04,36823000,1.04
2011-07-06,1.04,1.05,1.02,1.04,39287000,1.04
2011-07-05,1.00,1.08,0.99,1.04,80627000,1.04
2011-07-04,1.00,1.11,1.00,1.00,61837000,1.00
2011-07-01,1.20,1.20,1.19,1.19,1506000,1.19
2011-06-30,1.20,1.21,1.19,1.19,2238000,1.19
2011-06-29,1.21,1.21,1.19,1.20,691000,1.20
2011-06-28,1.20,1.21,1.19,1.19,521000,1.19
2011-06-27,1.20,1.21,1.19,1.20,731000,1.20
2011-06-24,1.22,1.22,1.19,1.21,2397000,1.21
2011-06-23,1.20,1.21,1.19,1.19,647000,1.19
2011-06-22,1.24,1.24,1.20,1.20,553000,1.20
2011-06-21,1.21,1.24,1.20,1.23,522000,1.23
2011-06-20,1.19,1.22,1.19,1.20,755000,1.20
2011-06-17,1.19,1.19,1.17,1.19,607000,1.19
2011-06-16,1.25,1.25,1.17,1.19,2408000,1.19
2011-06-15,1.27,1.27,1.25,1.25,823000,1.25
2011-06-14,1.27,1.27,1.26,1.26,586000,1.26
2011-06-13,1.28,1.28,1.26,1.27,701000,1.27
2011-06-10,1.32,1.32,1.28,1.28,976000,1.28
2011-06-09,1.30,1.31,1.29,1.31,951000,1.31
2011-06-08,1.28,1.30,1.28,1.30,444000,1.30
2011-06-07,1.28,1.28,1.25,1.28,2896000,1.28
2011-06-06,1.31,1.32,1.28,1.30,1755000,1.30
2011-06-03,1.33,1.34,1.31,1.32,1807000,1.32
2011-06-02,1.37,1.37,1.32,1.33,3093000,1.33
2011-06-01,1.41,1.41,1.37,1.38,1407000,1.38
2011-05-31,1.42,1.43,1.40,1.41,730000,1.41
2011-05-30,1.40,1.42,1.40,1.42,598000,1.42
2011-05-27,1.42,1.43,1.42,1.42,529000,1.42
2011-05-26,1.43,1.44,1.40,1.41,2130000,1.41
2011-05-25,1.45,1.46,1.43,1.44,1379000,1.44
2011-05-24,1.46,1.48,1.43,1.46,1694000,1.46
2011-05-23,1.53,1.53,1.49,1.50,1435000,1.50
2011-05-20,1.53,1.53,1.51,1.53,1182000,1.53
2011-05-19,1.55,1.55,1.54,1.55,476000,1.55
2011-05-18,1.52,1.55,1.52,1.54,791000,1.54
2011-05-16,1.53,1.53,1.52,1.52,439000,1.52
2011-05-13,1.53,1.53,1.51,1.53,637000,1.53
2011-05-12,1.53,1.53,1.52,1.53,388000,1.53
2011-05-11,1.53,1.54,1.52,1.53,889000,1.53
2011-05-10,1.55,1.55,1.53,1.53,436000,1.53
2011-05-09,1.53,1.55,1.52,1.54,1209000,1.54
2011-05-06,1.49,1.53,1.48,1.53,2327000,1.53
2011-05-05,1.47,1.49,1.47,1.49,1257000,1.49
2011-05-04,1.48,1.48,1.46,1.47,645000,1.47
2011-05-03,1.50,1.50,1.46,1.47,435000,1.47
2011-04-29,1.50,1.50,1.48,1.50,757000,1.50
2011-04-28,1.51,1.51,1.49,1.50,753000,1.50
2011-04-27,1.48,1.51,1.48,1.51,969000,1.51
2011-04-26,1.50,1.50,1.48,1.49,538000,1.49
2011-04-25,1.50,1.51,1.48,1.50,752000,1.50
2011-04-21,1.48,1.51,1.48,1.50,3305000,1.50
2011-04-20,1.47,1.48,1.47,1.48,5535000,1.48
2011-04-19,1.47,1.48,1.44,1.44,1869000,1.44
2011-04-18,1.51,1.51,1.48,1.48,858000,1.48
2011-04-15,1.51,1.51,1.49,1.50,1261000,1.50
2011-04-14,1.51,1.52,1.50,1.51,2417000,1.51
2011-04-13,1.50,1.52,1.49,1.51,3659000,1.51
2011-04-12,1.50,1.50,1.48,1.50,557000,1.50
2011-04-11,1.50,1.52,1.49,1.49,1350000,1.49
2011-04-08,1.49,1.50,1.47,1.50,889000,1.50
2011-04-07,1.48,1.49,1.47,1.49,892000,1.49
2011-04-06,1.47,1.48,1.46,1.48,855000,1.48
2011-04-05,1.45,1.47,1.44,1.47,608000,1.47
2011-04-04,1.46,1.46,1.45,1.45,662000,1.45
2011-04-01,1.45,1.46,1.45,1.46,393000,1.46
2011-03-31,1.46,1.47,1.45,1.45,394000,1.45
2011-03-30,1.46,1.47,1.44,1.46,1153000,1.46
2011-03-29,1.44,1.45,1.43,1.44,181000,1.44
2011-03-28,1.47,1.47,1.43,1.45,546000,1.45
2011-03-25,1.46,1.47,1.45,1.46,539000,1.46
2011-03-24,1.47,1.47,1.44,1.44,698000,1.44
2011-03-23,1.44,1.48,1.41,1.45,1536000,1.45
2011-03-22,1.45,1.45,1.42,1.43,1553000,1.43
2011-03-21,1.43,1.43,1.41,1.43,1087000,1.43
2011-03-18,1.35,1.42,1.35,1.42,2173000,1.42
2011-03-17,1.35,1.36,1.32,1.34,1912000,1.34
2011-03-16,1.37,1.38,1.34,1.37,956000,1.37
2011-03-15,1.37,1.38,1.33,1.37,3172000,1.37
2011-03-14,1.37,1.38,1.36,1.38,698000,1.38
2011-03-11,1.39,1.39,1.38,1.38,1144000,1.38
2011-03-10,1.42,1.42,1.40,1.40,800000,1.40
2011-03-09,1.44,1.45,1.42,1.42,1365000,1.42
2011-03-08,1.40,1.43,1.40,1.43,1092000,1.43
2011-03-07,1.41,1.42,1.40,1.40,616000,1.40
2011-03-04,1.43,1.44,1.42,1.42,1423000,1.42
2011-03-03,1.39,1.43,1.39,1.42,2165000,1.42
2011-03-02,1.37,1.40,1.37,1.39,1264000,1.39
2011-03-01,1.37,1.41,1.37,1.39,5151000,1.39
2011-02-28,1.41,1.41,1.36,1.36,3006000,1.36
