Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.38,1.38,1.37,1.37,164000,1.37
2011-08-03,1.37,1.38,1.37,1.38,257000,1.38
2011-08-02,1.39,1.39,1.38,1.38,221000,1.38
2011-08-01,1.40,1.40,1.39,1.39,170000,1.39
2011-07-29,1.39,1.40,1.39,1.39,204000,1.39
2011-07-28,1.38,1.40,1.38,1.40,228000,1.40
2011-07-27,1.42,1.42,1.41,1.41,155000,1.41
2011-07-26,1.39,1.43,1.39,1.42,882000,1.42
2011-07-25,1.39,1.41,1.39,1.39,175000,1.39
2011-07-22,1.40,1.41,1.40,1.40,94000,1.40
2011-07-21,1.40,1.42,1.39,1.40,336000,1.40
2011-07-20,1.39,1.42,1.37,1.41,684000,1.41
2011-07-19,1.37,1.38,1.37,1.37,211000,1.37
2011-07-18,1.37,1.39,1.37,1.37,293000,1.37
2011-07-15,1.36,1.37,1.36,1.37,186000,1.37
2011-07-14,1.37,1.38,1.37,1.37,176000,1.37
2011-07-13,1.37,1.38,1.37,1.38,131000,1.38
2011-07-12,1.38,1.39,1.35,1.38,966000,1.38
2011-07-11,1.36,1.41,1.36,1.38,1318000,1.38
2011-07-08,1.33,1.35,1.33,1.35,52000,1.35
2011-07-07,1.29,1.34,1.29,1.34,521000,1.34
2011-07-06,1.29,1.32,1.29,1.29,191000,1.29
2011-07-05,1.33,1.34,1.30,1.30,65000,1.30
2011-07-04,1.35,1.36,1.34,1.34,195000,1.34
2011-07-01,1.34,1.34,1.33,1.34,131000,1.34
2011-06-30,1.37,1.37,1.33,1.33,367000,1.33
2011-06-29,1.33,1.37,1.32,1.36,1445000,1.36
2011-06-28,1.30,1.31,1.28,1.31,88000,1.31
2011-06-27,1.31,1.34,1.27,1.30,509000,1.30
2011-06-24,1.23,1.32,1.23,1.32,1037000,1.32
2011-06-23,1.20,1.20,1.20,1.20,20000,1.20
2011-06-22,1.21,1.22,1.20,1.20,72000,1.20
2011-06-21,1.20,1.22,1.20,1.22,63000,1.22
2011-06-20,1.20,1.20,1.19,1.20,68000,1.20
2011-06-17,1.21,1.22,1.19,1.20,134000,1.20
2011-06-16,1.23,1.23,1.21,1.22,73000,1.22
2011-06-15,1.25,1.25,1.24,1.24,31000,1.24
2011-06-14,1.24,1.25,1.24,1.24,18000,1.24
2011-06-13,1.24,1.24,1.23,1.23,123000,1.23
2011-06-10,1.24,1.26,1.24,1.26,13000,1.26
2011-06-09,1.25,1.26,1.25,1.26,141000,1.26
2011-06-08,1.24,1.24,1.24,1.24,46000,1.24
2011-06-07,1.24,1.25,1.24,1.25,152000,1.25
2011-06-06,1.26,1.26,1.25,1.25,47000,1.25
2011-06-03,1.25,1.26,1.25,1.26,20000,1.26
2011-06-02,1.25,1.26,1.25,1.26,45000,1.26
2011-06-01,1.26,1.27,1.26,1.26,19000,1.26
2011-05-31,1.26,1.27,1.25,1.27,41000,1.27
2011-05-30,1.26,1.26,1.25,1.25,27000,1.25
2011-05-27,1.25,1.26,1.25,1.26,28000,1.26
2011-05-26,1.25,1.26,1.25,1.26,64000,1.26
2011-05-25,1.25,1.27,1.25,1.27,45000,1.27
2011-05-24,1.26,1.26,1.25,1.25,72000,1.25
2011-05-23,1.25,1.25,1.23,1.23,66000,1.23
2011-05-20,1.26,1.26,1.26,1.26,38000,1.26
2011-05-19,1.26,1.27,1.26,1.26,35000,1.26
2011-05-18,1.26,1.27,1.26,1.26,137000,1.26
2011-05-16,1.26,1.26,1.26,1.26,16000,1.26
2011-05-13,1.27,1.28,1.27,1.28,48000,1.28
2011-05-12,1.27,1.28,1.27,1.27,116000,1.27
2011-05-11,1.28,1.28,1.27,1.28,71000,1.28
2011-05-10,1.27,1.28,1.26,1.28,60000,1.28
2011-05-09,1.27,1.28,1.26,1.27,71000,1.27
2011-05-06,1.26,1.26,1.26,1.26,29000,1.26
2011-05-05,1.26,1.28,1.26,1.28,62000,1.28
2011-05-04,1.27,1.27,1.26,1.26,88000,1.26
2011-05-03,1.28,1.28,1.27,1.28,68000,1.28
2011-04-29,1.29,1.29,1.29,1.29,42000,1.29
2011-04-28,1.30,1.30,1.29,1.29,37000,1.29
2011-04-27,1.30,1.31,1.29,1.29,88000,1.29
2011-04-26,1.29,1.30,1.29,1.30,47000,1.30
2011-04-25,1.32,1.32,1.30,1.30,57000,1.30
2011-04-21,1.33,1.33,1.31,1.33,33000,1.33
2011-04-20,1.34,1.36,1.34,1.36,198000,1.36
2011-04-19,1.35,1.35,1.34,1.34,77000,1.34
2011-04-18,1.36,1.37,1.35,1.35,68000,1.35
2011-04-15,1.35,1.37,1.35,1.37,93000,1.37
2011-04-14,1.34,1.37,1.34,1.36,84000,1.36
2011-04-13,1.34,1.38,1.34,1.35,119000,1.35
2011-04-12,1.34,1.35,1.34,1.35,64000,1.35
2011-04-11,1.36,1.36,1.35,1.35,111000,1.35
2011-04-08,1.35,1.37,1.35,1.36,91000,1.36
2011-04-07,1.36,1.36,1.35,1.35,57000,1.35
2011-04-06,1.35,1.37,1.35,1.37,30000,1.37
2011-04-05,1.36,1.37,1.35,1.35,56000,1.35
2011-04-04,1.32,1.39,1.32,1.38,343000,1.38
2011-04-01,1.32,1.34,1.32,1.32,000,1.32
2011-03-31,1.31,1.36,1.31,1.35,178000,1.35
2011-03-30,1.29,1.32,1.29,1.32,49000,1.32
2011-03-29,1.29,1.30,1.29,1.30,26000,1.30
2011-03-28,1.31,1.31,1.30,1.30,26000,1.30
2011-03-25,1.30,1.33,1.30,1.33,39000,1.33
