Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.26,0.26,0.24,0.25,286000,0.25
2011-08-03,0.28,0.28,0.28,0.28,000,0.28
2011-08-02,0.28,0.31,0.28,0.28,000,0.28
2011-08-01,0.28,0.31,0.28,0.28,000,0.28
2011-07-29,0.28,0.28,0.28,0.28,2000,0.28
2011-07-28,0.28,0.28,0.28,0.28,85000,0.28
2011-07-27,0.28,0.28,0.28,0.28,12000,0.28
2011-07-26,0.28,0.28,0.28,0.28,462000,0.28
2011-07-25,0.28,0.28,0.28,0.28,255000,0.28
2011-07-22,0.29,0.29,0.28,0.29,293000,0.29
2011-07-21,0.30,0.30,0.30,0.30,122000,0.30
2011-07-20,0.30,0.31,0.30,0.30,310000,0.30
2011-07-19,0.30,0.30,0.30,0.30,20000,0.30
2011-07-18,0.31,0.31,0.31,0.31,137000,0.31
2011-07-15,0.31,0.31,0.31,0.31,5000,0.31
2011-07-14,0.30,0.34,0.30,0.30,000,0.30
2011-07-13,0.34,0.34,0.34,0.34,48000,0.34
2011-07-12,0.34,0.34,0.34,0.34,99000,0.34
2011-07-11,0.34,0.34,0.34,0.34,10000,0.34
2011-07-08,0.34,0.34,0.34,0.34,41000,0.34
2011-07-07,0.33,0.34,0.33,0.34,32000,0.34
2011-07-06,0.31,0.34,0.31,0.31,000,0.31
2011-07-05,0.34,0.34,0.34,0.34,100000,0.34
2011-07-04,0.34,0.34,0.34,0.34,000,0.34
2011-07-01,0.34,0.34,0.34,0.34,000,0.34
2011-06-30,0.34,0.34,0.34,0.34,153000,0.34
2011-06-29,0.34,0.34,0.34,0.34,48000,0.34
2011-06-28,0.31,0.35,0.31,0.31,000,0.31
2011-06-27,0.34,0.34,0.34,0.34,5000,0.34
2011-06-24,0.31,0.34,0.31,0.31,000,0.31
2011-06-23,0.31,0.35,0.31,0.31,5984000,0.31
2011-06-22,0.32,0.35,0.32,0.32,000,0.32
2011-06-21,0.32,0.40,0.32,0.32,000,0.32
2011-06-20,0.30,0.35,0.30,0.30,000,0.30
2011-06-17,0.31,0.35,0.31,0.31,000,0.31
2011-06-16,0.34,0.35,0.34,0.34,000,0.34
2011-06-15,0.34,0.35,0.34,0.34,000,0.34
2011-06-14,0.34,0.35,0.34,0.34,000,0.34
