Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,38.42,38.44,38.34,38.34,6900,38.34
2011-07-27,39.17,39.17,39.17,39.17,000,39.17
2011-07-25,37.75,38.11,37.75,37.75,000,37.75
2011-07-21,37.75,37.75,37.75,37.75,1000,37.75
2011-07-20,37.89,37.92,37.89,37.92,1600,37.92
2011-07-15,38.07,38.07,38.01,38.01,4200,38.01
2011-07-13,39.20,39.20,39.20,39.20,000,39.20
2011-07-11,40.00,40.00,40.00,40.00,000,40.00
2011-07-07,39.20,39.20,39.20,39.20,1000,39.20
2011-07-06,39.90,39.90,39.90,39.90,1500,39.90
2011-07-04,40.16,40.16,40.16,40.16,000,40.16
2011-07-01,38.08,38.98,38.08,38.08,000,38.08
2011-06-29,39.98,39.98,39.98,39.98,000,39.98
2011-06-24,38.52,38.52,38.52,38.52,1000,38.52
2011-06-22,38.20,38.20,38.20,38.20,1000,38.20
2011-06-17,37.06,37.06,36.80,36.80,800,36.80
2011-06-16,37.36,37.62,37.22,37.22,800,37.22
2011-06-13,37.70,37.70,37.70,37.70,1000,37.70
2011-06-10,38.36,38.60,38.32,38.60,1500,38.60
2011-06-07,39.12,39.20,39.12,39.20,2600,39.20
2011-06-02,40.88,40.96,40.88,40.96,2600,40.96
2011-06-01,41.60,41.60,41.60,41.60,1000,41.60
2011-05-31,41.64,41.70,41.64,41.70,2600,41.70
2011-05-23,37.52,37.52,37.52,37.52,1000,37.52
2011-05-06,35.30,35.74,35.30,35.30,000,35.30
2011-05-05,37.08,37.08,36.72,36.82,5200,36.82
2011-05-04,37.08,37.42,37.08,37.42,2800,37.42
2011-05-03,37.94,38.40,37.94,37.94,000,37.94
2011-04-28,39.70,39.70,39.70,39.70,000,39.70
2011-04-27,39.84,39.84,39.76,39.76,4200,39.76
2011-04-26,37.96,37.96,37.96,37.96,1000,37.96
2011-04-21,37.96,37.96,37.96,37.96,200,37.96
2011-04-20,37.16,37.20,37.16,37.20,2200,37.20
2011-04-19,36.04,36.40,36.04,36.04,000,36.04
2011-04-15,38.78,38.78,37.60,37.90,9200,37.90
2011-04-14,37.50,38.38,37.50,37.82,17000,37.82
2011-04-13,37.74,38.08,37.74,37.74,000,37.74
2011-04-11,37.68,38.00,37.68,37.94,1200,37.94
2011-04-08,37.90,37.90,37.30,37.68,3300,37.68
2011-04-05,38.12,38.28,38.12,38.28,2000,38.28
2011-03-31,36.84,36.84,36.12,36.12,400,36.12
2011-03-29,34.54,34.54,34.54,34.54,500,34.54
2011-03-28,33.78,33.78,33.08,33.08,2000,33.08
2011-03-25,32.64,32.90,32.36,32.36,6500,32.36
2011-03-24,32.74,32.84,32.50,32.50,5300,32.50
2011-03-23,32.34,32.74,32.34,32.34,000,32.34
2011-03-22,31.96,32.54,31.96,32.54,200,32.54
2011-03-18,31.76,31.76,31.76,31.76,300,31.76
2011-03-16,31.08,31.08,31.08,31.08,1000,31.08
2011-03-14,30.56,30.56,30.52,30.52,8000,30.52
2011-03-11,30.08,30.08,29.90,29.90,11200,29.90
2011-03-10,30.70,30.70,30.70,30.70,3000,30.70
2011-03-09,31.28,31.50,31.28,31.28,000,31.28
2011-03-08,31.70,31.70,31.70,31.70,100,31.70
2011-03-07,31.10,32.08,31.10,31.66,11500,31.66
2011-03-03,30.84,30.84,30.82,30.82,400,30.82
2011-03-01,30.54,30.54,30.54,30.54,2300,30.54
2011-02-28,29.58,30.08,29.58,30.08,1900,30.08
2011-02-23,29.48,29.50,29.34,29.42,1600,29.42
2011-02-22,29.60,29.60,29.60,29.60,1600,29.60
2011-02-21,29.90,29.90,29.90,29.90,1600,29.90
2011-02-17,29.78,29.78,29.78,29.78,200,29.78
2011-02-16,29.44,29.92,29.44,29.82,7500,29.82
2011-02-15,29.44,29.62,29.44,29.62,400,29.62
2011-02-14,28.18,29.36,28.18,29.36,1700,29.36
2011-02-11,27.90,27.90,27.22,27.54,2600,27.54
2011-02-10,27.82,27.82,27.80,27.80,200,27.80
2011-02-09,29.10,29.10,28.00,28.00,2200,28.00
2011-02-08,28.84,28.84,28.84,28.84,300,28.84
2011-02-07,28.96,29.54,28.84,28.84,11900,28.84
2011-02-02,28.86,29.34,28.86,29.34,5400,29.34
2011-02-01,28.46,28.46,28.46,28.46,000,28.46
2011-01-31,28.64,28.84,28.42,28.82,10900,28.82
2011-01-28,29.12,29.50,28.98,28.98,6300,28.98
2011-01-27,29.72,29.72,29.18,29.28,7100,29.28
2011-01-21,29.84,30.24,29.84,30.20,5500,30.20
