Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,19.80,19.96,19.80,19.80,000,19.80
2011-07-26,19.67,19.67,19.67,19.67,5000,19.67
2011-07-25,19.16,19.16,19.16,19.16,2500,19.16
2011-07-22,19.35,19.37,19.35,19.37,2500,19.37
2011-07-21,19.04,19.19,19.04,19.04,000,19.04
2011-07-19,19.10,19.25,19.10,19.10,000,19.10
2011-07-15,19.78,19.94,19.78,19.78,000,19.78
2011-07-14,19.48,19.48,19.48,19.48,1000,19.48
2011-07-06,20.63,20.63,20.63,20.63,1000,20.63
2011-07-01,20.14,20.88,20.14,20.14,000,20.14
2011-06-30,20.00,20.00,20.00,20.00,000,20.00
2011-06-27,19.48,19.48,19.48,19.48,1000,19.48
2011-06-21,19.48,19.48,19.48,19.48,000,19.48
2011-06-20,19.30,19.32,19.12,19.12,4900,19.12
2011-06-16,20.38,20.38,20.32,20.32,3200,20.32
2011-06-15,21.30,21.48,21.30,21.30,000,21.30
2011-06-14,21.08,21.08,21.08,21.08,1000,21.08
2011-06-13,20.36,20.80,20.36,20.80,6800,20.80
2011-06-10,20.64,20.64,20.64,20.64,000,20.64
2011-06-08,21.46,21.46,21.22,21.22,2200,21.22
2011-06-07,21.70,21.70,21.70,21.70,1000,21.70
2011-06-01,21.96,22.10,21.96,22.10,10500,22.10
2011-05-30,22.26,22.26,22.26,22.26,1000,22.26
2011-05-27,21.38,21.44,21.38,21.44,2600,21.44
2011-05-26,20.80,20.80,20.80,20.80,1000,20.80
2011-05-25,20.56,20.56,20.52,20.52,3400,20.52
2011-05-20,20.78,20.82,20.74,20.82,7400,20.82
2011-05-18,19.64,19.64,19.58,19.58,4200,19.58
2011-05-16,19.68,19.72,19.38,19.38,3700,19.38
2011-05-13,20.08,20.08,19.78,19.98,7700,19.98
2011-05-12,19.98,20.04,19.98,20.04,8000,20.04
2011-05-06,19.86,20.16,19.86,19.86,000,19.86
2011-05-05,20.08,20.08,19.96,20.04,1800,20.04
2011-05-04,19.78,19.84,19.76,19.84,4000,19.84
2011-05-03,20.36,20.60,20.36,20.36,000,20.36
2011-04-27,19.80,19.80,19.62,19.62,2000,19.62
2011-04-26,19.94,19.94,19.94,19.94,1000,19.94
2011-04-20,19.62,19.86,19.62,19.62,000,19.62
2011-04-19,18.64,18.64,18.48,18.48,5400,18.48
2011-04-18,19.48,19.48,19.48,19.48,100,19.48
2011-04-15,19.40,19.40,19.20,19.20,600,19.20
2011-04-13,18.58,18.66,18.58,18.66,10500,18.66
2011-04-12,18.72,18.84,18.72,18.72,000,18.72
2011-04-11,19.12,19.12,19.12,19.12,1100,19.12
2011-04-08,18.24,18.62,18.24,18.62,7000,18.62
2011-04-07,17.30,17.30,17.30,17.30,1000,17.30
2011-04-05,17.48,17.48,17.48,17.48,000,17.48
2011-03-31,16.36,16.50,16.36,16.44,5300,16.44
2011-03-28,16.84,16.84,16.84,16.84,800,16.84
2011-03-25,16.88,16.88,16.88,16.88,1600,16.88
2011-03-24,16.92,16.92,16.90,16.90,3200,16.90
2011-03-22,16.70,16.82,16.70,16.70,000,16.70
2011-03-16,16.44,16.44,16.44,16.44,200,16.44
2011-03-11,16.90,16.90,16.84,16.84,4400,16.84
2011-03-08,17.04,17.04,17.04,17.04,000,17.04
2011-02-23,16.22,16.22,16.22,16.22,000,16.22
2011-02-22,17.32,17.32,16.42,16.42,800,16.42
2011-02-21,17.16,17.34,17.16,17.16,000,17.16
2011-02-18,17.26,17.28,17.18,17.28,1300,17.28
2011-02-17,16.80,16.80,16.62,16.62,9600,16.62
2011-02-16,16.70,16.70,16.70,16.70,200,16.70
2011-02-09,17.30,17.30,17.30,17.30,200,17.30
2011-02-07,16.28,16.28,16.28,16.28,300,16.28
2011-02-02,16.58,16.70,16.54,16.60,13900,16.60
2011-02-01,16.44,16.72,16.44,16.72,6700,16.72
2011-01-31,16.82,16.82,16.48,16.48,6600,16.48
2011-01-27,16.04,16.52,16.04,16.52,7600,16.52
2011-01-17,14.92,15.00,14.78,15.00,7400,15.00
2011-01-13,14.62,14.90,14.62,14.80,7600,14.80
2011-01-11,14.20,14.26,14.20,14.26,1000,14.26
2011-01-06,14.26,14.42,14.26,14.26,000,14.26
2011-01-05,14.48,14.48,14.48,14.48,000,14.48
2011-01-04,14.40,14.56,14.40,14.40,000,14.40
2010-12-31,14.26,14.26,14.26,14.26,500,14.26
2010-12-29,14.40,14.40,14.14,14.24,2500,14.24
2010-12-28,14.42,14.74,14.22,14.22,15300,14.22
2010-12-24,14.54,14.54,14.42,14.46,1600,14.46
2010-12-23,14.88,14.88,14.72,14.72,23500,14.72
2010-12-21,14.92,14.98,14.64,14.98,16100,14.98
2010-12-20,14.82,14.94,14.82,14.94,19000,14.94
2010-12-17,14.78,14.78,14.52,14.72,10500,14.72
2010-12-16,14.46,14.72,14.46,14.72,9300,14.72
2010-12-15,14.58,14.74,14.52,14.52,40600,14.52
2010-12-14,14.52,14.70,14.46,14.70,44800,14.70
2010-12-13,14.40,14.62,14.36,14.38,25700,14.38
2010-12-10,14.00,14.30,13.74,14.02,45400,14.02
2010-12-09,13.76,14.02,13.76,13.96,9800,13.96
2010-12-08,13.54,13.60,13.54,13.54,2900,13.54
2010-12-07,13.46,13.94,13.46,13.88,9900,13.88
2010-12-06,13.44,13.44,13.44,13.44,500,13.44
2010-12-03,13.82,13.84,12.70,13.52,30000,13.52
2010-12-02,13.30,13.80,13.30,13.74,17100,13.74
2010-12-01,13.44,13.72,13.30,13.46,23600,13.46
2010-11-30,13.70,13.82,13.36,13.36,10700,13.36
2010-11-29,13.52,14.28,13.46,13.84,12200,13.84
2010-11-26,13.66,13.80,13.56,13.72,26900,13.72
2010-11-25,13.76,13.86,13.68,13.68,14400,13.68
2010-11-24,13.38,13.64,13.38,13.48,20700,13.48
2010-11-23,13.52,13.54,13.26,13.36,15600,13.36
2010-11-22,13.64,13.80,13.34,13.52,23700,13.52
2010-11-19,13.82,13.82,13.50,13.50,10600,13.50
2010-11-18,13.72,13.96,13.72,13.96,7100,13.96
2010-11-16,14.12,14.12,13.74,13.76,1300,13.76
2010-11-15,14.26,14.26,13.88,13.88,3300,13.88
2010-11-12,14.60,14.60,13.82,14.18,2600,14.18
2010-11-11,14.16,14.78,14.16,14.74,2200,14.74
2010-11-10,14.14,14.18,14.10,14.18,900,14.18
2010-11-09,14.18,14.22,14.10,14.20,5800,14.20
2010-11-08,14.38,14.38,14.24,14.32,2800,14.32
2010-11-04,14.16,14.36,14.14,14.24,2700,14.24
2010-11-03,14.28,14.48,14.12,14.22,5600,14.22
2010-11-02,14.26,14.26,14.06,14.18,7900,14.18
2010-11-01,14.28,14.28,14.02,14.20,18800,14.20
2010-10-29,14.24,14.24,14.24,14.24,400,14.24
2010-10-28,13.50,13.50,13.50,13.50,000,13.50
2010-10-27,14.64,14.68,14.46,14.46,24700,14.46
2010-10-25,14.52,14.52,14.52,14.52,000,14.52
2010-10-22,14.72,14.72,14.48,14.48,63900,14.48
