Date,Open,High,Low,Close,Volume,Adj Close
2011-08-03,21.99,21.99,21.99,21.99,000,21.99
2011-08-02,22.00,22.00,22.00,22.00,000,22.00
2011-08-01,22.00,22.00,22.00,22.00,000,22.00
2011-07-29,22.00,22.00,22.00,22.00,000,22.00
2011-07-28,22.00,22.00,22.00,22.00,000,22.00
2011-07-27,22.00,22.00,22.00,22.00,000,22.00
2011-07-26,18.70,21.98,18.70,18.70,000,18.70
2011-07-25,22.00,22.00,22.00,22.00,000,22.00
2011-07-22,22.98,22.98,22.98,22.98,000,22.98
2011-07-19,22.00,22.00,22.00,22.00,000,22.00
2011-07-13,21.98,21.98,21.98,21.98,000,21.98
2011-07-11,22.00,22.00,22.00,22.00,000,22.00
2011-07-05,22.16,22.16,22.16,22.16,000,22.16
2011-06-22,22.00,22.00,22.00,22.00,000,22.00
2011-06-16,22.00,22.00,22.00,22.00,000,22.00
2011-05-31,21.96,21.96,21.96,21.96,000,21.96
2011-05-20,21.96,21.96,21.96,21.96,1500,21.96
2011-05-11,26.80,26.80,26.80,26.80,000,26.80
2011-04-29,28.28,28.92,28.28,28.92,6300,28.92
2011-04-26,27.10,27.40,27.10,27.10,000,27.10
2011-04-25,27.40,27.68,27.40,27.40,000,27.40
2011-04-20,27.52,27.52,27.52,27.52,1800,27.52
2011-04-18,28.98,28.98,28.98,28.98,000,28.98
2011-04-14,29.50,29.50,29.50,29.50,000,29.50
2011-04-08,29.10,29.40,29.10,29.10,000,29.10
2011-04-07,29.54,29.86,29.54,29.54,000,29.54
2011-04-05,28.60,28.90,28.60,28.60,000,28.60
2011-04-04,29.04,29.36,29.04,29.04,000,29.04
2011-04-01,29.94,30.26,29.94,29.94,000,29.94
2011-03-31,29.44,29.76,29.44,29.44,000,29.44
2011-03-29,28.44,28.76,28.44,28.44,000,28.44
2011-03-28,27.86,27.86,27.86,27.86,000,27.86
2011-03-24,27.20,27.50,27.20,27.20,000,27.20
2011-03-23,26.60,26.90,26.60,26.60,000,26.60
2011-03-22,27.30,27.60,27.30,27.30,000,27.30
2011-03-17,27.94,27.94,27.94,27.94,1700,27.94
2011-03-16,28.28,28.54,27.98,28.34,16500,28.34
2011-03-15,25.80,25.80,25.50,25.50,7000,25.50
2011-03-11,24.68,24.94,24.68,24.68,000,24.68
2011-03-10,25.86,25.86,25.86,25.86,1900,25.86
2011-03-09,25.56,25.84,25.56,25.56,000,25.56
2011-03-08,25.98,26.26,25.98,25.98,000,25.98
2011-03-07,26.98,27.26,26.98,26.98,000,26.98
2011-03-04,26.90,27.20,26.90,26.90,000,26.90
2011-03-03,27.36,27.64,27.36,27.36,000,27.36
2011-03-02,27.26,27.26,27.26,27.26,1800,27.26
2011-03-01,27.62,27.62,27.62,27.62,1200,27.62
2011-02-25,30.48,30.48,30.48,30.48,000,30.48
2011-02-23,29.50,29.50,29.50,29.50,000,29.50
2011-02-22,29.30,29.30,29.30,29.30,1200,29.30
2011-02-21,29.34,29.66,29.34,29.34,000,29.34
2011-02-18,29.44,29.76,29.44,29.44,000,29.44
2011-02-17,29.44,29.76,29.44,29.44,000,29.44
2011-02-14,27.30,27.60,27.30,27.30,000,27.30
2011-02-11,26.66,26.66,26.66,26.66,000,26.66
2011-02-09,26.56,26.84,26.56,26.56,000,26.56
2011-02-08,26.96,27.24,26.96,26.96,000,26.96
2011-02-07,25.88,26.66,25.88,26.66,3000,26.66
2011-02-01,25.96,26.26,25.96,25.96,000,25.96
2011-01-31,25.62,25.88,25.62,25.62,000,25.62
2011-01-27,26.76,27.04,26.76,26.76,000,26.76
2011-01-26,27.94,28.26,27.94,27.94,000,27.94
2011-01-25,29.60,29.90,29.60,29.60,000,29.60
2011-01-24,28.04,28.36,28.04,28.04,000,28.04
2011-01-21,27.66,27.94,27.66,27.66,000,27.66
2011-01-20,27.40,27.70,27.40,27.40,000,27.40
2011-01-19,27.56,27.84,27.56,27.56,000,27.56
2011-01-18,25.66,25.94,25.66,25.66,000,25.66
2011-01-17,25.72,25.98,25.72,25.72,000,25.72
2011-01-14,27.00,27.30,27.00,27.00,000,27.00
2011-01-13,27.10,27.40,27.10,27.10,000,27.10
2011-01-12,26.10,26.40,26.10,26.10,000,26.10
2011-01-11,25.46,25.74,25.46,25.46,000,25.46
2011-01-10,24.72,24.98,24.72,24.72,000,24.72
2011-01-06,23.30,23.54,23.30,23.30,000,23.30
2011-01-05,23.22,23.48,23.22,23.22,000,23.22
2011-01-04,23.68,23.92,23.68,23.68,000,23.68
2011-01-03,23.32,23.58,23.32,23.32,000,23.32
2010-12-30,23.02,23.28,23.02,23.02,000,23.02
2010-12-29,22.98,23.22,22.98,22.98,000,22.98
2010-12-28,23.40,23.66,23.40,23.40,000,23.40
2010-12-27,23.38,23.62,23.38,23.38,000,23.38
2010-12-24,23.52,23.78,23.52,23.52,000,23.52
2010-12-22,23.26,23.44,23.26,23.26,000,23.26
2010-12-20,22.70,22.90,22.70,22.70,000,22.70
2010-12-17,22.90,23.10,22.90,22.90,000,22.90
2010-12-16,23.00,23.20,23.00,23.00,000,23.00
2010-12-15,22.80,23.00,22.80,22.80,000,22.80
2010-12-14,23.10,23.30,23.10,23.10,000,23.10
2010-12-10,23.66,23.84,23.66,23.66,000,23.66
2010-12-08,24.50,24.50,24.30,24.30,2000,24.30
2010-12-07,24.10,24.30,24.10,24.10,000,24.10
2010-12-06,23.62,23.80,23.62,23.62,000,23.62
2010-12-03,22.60,22.80,22.60,22.60,000,22.60
2010-12-02,22.30,22.50,22.30,22.30,000,22.30
2010-12-01,22.60,22.60,22.60,22.60,2200,22.60
2010-11-30,23.80,23.98,23.80,23.80,000,23.80
2010-11-29,24.22,24.44,24.22,24.22,000,24.22
2010-11-26,24.10,24.30,24.10,24.10,000,24.10
2010-11-25,24.10,24.30,24.10,24.10,000,24.10
2010-11-24,23.46,23.64,23.46,23.46,000,23.46
2010-11-22,23.90,24.10,23.90,23.90,000,23.90
2010-11-19,23.40,23.40,23.40,23.40,2100,23.40
2010-11-18,22.70,22.90,22.70,22.70,000,22.70
2010-11-16,25.04,25.26,25.04,25.04,000,25.04
2010-11-15,24.40,24.62,24.40,24.40,000,24.40
2010-11-12,27.48,27.48,27.12,27.12,5500,27.12
2010-11-11,27.48,27.72,27.48,27.48,000,27.48
2010-11-10,28.38,28.62,28.38,28.38,000,28.38
2010-11-09,29.04,29.26,29.04,29.04,000,29.04
2010-11-08,28.48,28.72,28.48,28.48,000,28.48
2010-11-04,27.36,27.36,27.36,27.36,1800,27.36
2010-11-03,26.68,26.92,26.68,26.68,000,26.68
2010-11-02,26.34,26.34,26.34,26.34,1600,26.34
2010-11-01,26.74,26.96,26.74,26.74,000,26.74
2010-10-29,27.64,27.64,27.64,27.64,200,27.64
2010-10-28,27.56,27.56,27.56,27.56,1800,27.56
2010-10-27,27.38,27.38,27.38,27.38,1800,27.38
2010-10-25,26.30,26.92,26.30,26.92,3800,26.92
2010-10-22,26.24,26.24,26.14,26.14,200,26.14
