Date,Open,High,Low,Close,Volume,Adj Close
2011-04-26,49.74,50.26,49.74,49.74,000,49.74
2011-04-25,51.34,51.86,51.34,51.34,000,51.34
2011-04-20,52.92,53.48,52.92,52.92,000,52.92
2011-04-08,52.72,53.28,52.72,52.72,000,52.72
2011-04-07,51.08,51.62,51.08,51.08,000,51.08
2011-04-05,51.46,51.98,51.46,51.46,000,51.46
2011-04-04,50.34,50.86,50.34,50.34,000,50.34
2011-04-01,49.14,49.66,49.14,49.14,000,49.14
2011-03-31,48.74,49.26,48.74,48.74,000,48.74
2011-03-29,48.24,48.76,48.24,48.24,000,48.24
2011-03-24,45.90,46.40,45.90,45.90,000,45.90
2011-03-23,45.62,46.10,45.62,45.62,000,45.62
2011-03-22,45.52,45.98,45.52,45.52,000,45.52
2011-03-18,43.52,43.98,43.52,43.52,000,43.52
2011-03-17,42.66,43.34,42.66,42.66,000,42.66
2011-03-16,44.96,45.44,44.96,44.96,000,44.96
2011-03-11,47.06,47.54,47.06,47.06,000,47.06
2011-03-09,46.60,47.10,46.60,46.60,000,46.60
2011-03-08,46.26,46.74,46.26,46.26,000,46.26
2011-03-07,47.10,47.60,47.10,47.10,000,47.10
2011-03-04,46.96,46.96,46.96,46.96,100,46.96
2011-03-01,46.88,46.90,46.88,46.90,3700,46.90
2011-02-25,45.68,45.68,45.68,45.68,1000,45.68
2011-02-24,43.50,43.50,43.50,43.50,000,43.50
2011-02-23,42.78,43.22,42.78,42.78,000,42.78
2011-02-21,44.26,44.74,44.26,44.26,000,44.26
2011-02-18,44.36,44.84,44.36,44.36,000,44.36
2011-02-17,44.06,44.54,44.06,44.06,000,44.06
2011-02-14,43.78,44.24,43.78,43.78,000,43.78
2011-02-09,40.28,40.72,40.28,40.28,000,40.28
2011-02-08,41.04,41.46,41.04,41.04,000,41.04
2011-02-07,41.14,41.56,41.14,41.14,000,41.14
2011-02-01,40.12,40.56,40.12,40.12,000,40.12
2011-01-31,39.80,40.24,39.80,39.80,000,39.80
2011-01-27,40.94,41.36,40.94,40.94,000,40.94
2011-01-26,40.54,40.96,40.54,40.54,000,40.54
2011-01-25,40.68,41.12,40.68,40.68,000,40.68
2011-01-24,39.10,39.50,39.10,39.10,000,39.10
2011-01-21,38.70,39.10,38.70,38.70,000,38.70
2011-01-20,38.80,39.20,38.80,38.80,000,38.80
2011-01-19,38.90,39.30,38.90,38.90,000,38.90
2011-01-18,38.24,38.66,38.24,38.24,000,38.24
2011-01-17,38.30,38.70,38.30,38.30,000,38.30
2011-01-14,38.90,39.30,38.90,38.90,000,38.90
2011-01-13,38.70,39.10,38.70,38.70,000,38.70
2011-01-12,38.80,39.20,38.80,38.80,000,38.80
2011-01-11,37.36,37.74,37.36,37.36,000,37.36
2011-01-10,36.70,37.10,36.70,36.70,000,36.70
2011-01-06,36.92,37.32,36.92,36.92,000,36.92
2011-01-05,36.40,36.80,36.40,36.40,000,36.40
2011-01-04,36.50,36.90,36.50,36.50,000,36.50
2011-01-03,36.20,36.60,36.20,36.20,000,36.20
2010-12-30,36.20,36.60,36.20,36.20,000,36.20
2010-12-29,36.06,36.44,36.06,36.06,000,36.06
2010-12-28,35.94,36.32,35.94,35.94,000,35.94
2010-12-27,35.76,36.14,35.76,35.76,000,35.76
2010-12-24,35.86,36.24,35.86,35.86,000,35.86
2010-12-22,35.86,36.14,35.86,35.86,000,35.86
2010-12-20,36.20,36.50,36.20,36.20,000,36.20
2010-12-17,36.10,36.40,36.10,36.10,000,36.10
2010-12-16,37.54,37.86,37.54,37.54,000,37.54
2010-12-15,37.60,37.90,37.60,37.60,000,37.60
2010-12-14,37.44,37.76,37.44,37.44,000,37.44
2010-12-10,37.20,37.50,37.20,37.20,000,37.20
2010-12-08,38.74,39.06,38.74,38.74,000,38.74
2010-12-07,39.62,39.62,39.62,39.62,100,39.62
2010-12-06,39.46,39.78,39.46,39.46,000,39.46
2010-12-03,38.70,39.00,38.70,38.70,000,38.70
2010-12-02,38.80,39.10,38.80,38.80,000,38.80
2010-12-01,38.10,38.40,38.10,38.10,000,38.10
2010-11-30,38.76,38.76,38.76,38.76,100,38.76
2010-11-29,38.74,39.06,38.74,38.74,000,38.74
2010-11-26,38.70,39.00,38.70,38.70,000,38.70
2010-11-25,38.74,39.06,38.74,38.74,000,38.74
2010-11-24,38.20,38.50,38.20,38.20,000,38.20
2010-11-22,38.84,39.16,38.84,38.84,000,38.84
2010-11-19,39.40,39.70,39.40,39.40,000,39.40
2010-11-18,41.20,41.24,41.20,41.24,2500,41.24
2010-11-16,40.14,40.46,40.14,40.14,000,40.14
2010-11-15,40.78,41.12,40.78,40.78,000,40.78
2010-11-12,40.58,40.58,40.58,40.58,1200,40.58
2010-11-11,41.04,41.36,41.04,41.04,000,41.04
2010-11-10,40.98,41.32,40.98,40.98,000,40.98
2010-11-09,42.72,43.08,42.72,42.72,000,42.72
2010-11-08,40.68,41.02,40.68,40.68,000,40.68
2010-11-04,40.08,40.42,40.08,40.08,000,40.08
2010-11-03,41.84,41.84,41.02,41.02,1300,41.02
2010-11-02,40.84,41.16,40.84,40.84,000,40.84
2010-11-01,41.84,42.16,41.84,41.84,000,41.84
2010-10-29,40.84,41.16,40.84,40.84,000,40.84
2010-10-28,41.64,41.96,41.64,41.64,000,41.64
2010-10-25,39.50,39.50,39.50,39.50,000,39.50
2010-10-22,39.74,39.74,39.46,39.46,000,39.46
