Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.28,0.28,0.28,0.28,15000,0.28
2011-08-03,0.28,0.28,0.28,0.28,73000,0.28
2011-08-02,0.28,0.28,0.28,0.28,23000,0.28
2011-08-01,0.28,0.29,0.28,0.29,63000,0.29
2011-07-29,0.28,0.29,0.28,0.29,72000,0.29
2011-07-28,0.28,0.28,0.28,0.28,70000,0.28
2011-07-27,0.29,0.29,0.29,0.29,000,0.29
2011-07-26,0.28,0.28,0.28,0.28,30000,0.28
2011-07-25,0.28,0.29,0.28,0.28,000,0.28
2011-07-22,0.29,0.29,0.29,0.29,90000,0.29
2011-07-21,0.28,0.29,0.28,0.28,15000,0.28
2011-07-20,0.28,0.29,0.28,0.28,23000,0.28
2011-07-19,0.28,0.29,0.28,0.28,000,0.28
2011-07-18,0.28,0.28,0.28,0.28,159000,0.28
2011-07-15,0.29,0.29,0.29,0.29,13000,0.29
2011-07-14,0.28,0.28,0.28,0.28,30000,0.28
2011-07-13,0.29,0.30,0.29,0.29,000,0.29
2011-07-12,0.29,0.30,0.29,0.29,000,0.29
2011-07-11,0.29,0.31,0.29,0.29,000,0.29
2011-07-08,0.29,0.30,0.29,0.30,211000,0.30
2011-07-07,0.29,0.29,0.29,0.29,31000,0.29
2011-07-06,0.29,0.29,0.29,0.29,19000,0.29
2011-07-05,0.28,0.29,0.28,0.29,25000,0.29
2011-07-04,0.28,0.29,0.28,0.28,000,0.28
2011-07-01,0.29,0.29,0.29,0.29,2000,0.29
2011-06-30,0.29,0.29,0.28,0.28,160000,0.28
2011-06-29,0.28,0.28,0.28,0.28,300000,0.28
2011-06-28,0.28,0.28,0.28,0.28,1000,0.28
2011-06-27,0.29,0.29,0.29,0.29,15000,0.29
2011-06-24,0.28,0.31,0.28,0.28,000,0.28
2011-06-23,0.28,0.33,0.28,0.28,000,0.28
2011-06-22,0.29,0.29,0.29,0.29,50000,0.29
2011-06-21,0.29,0.29,0.29,0.29,69000,0.29
2011-06-20,0.28,0.29,0.28,0.28,000,0.28
2011-06-17,0.28,0.28,0.28,0.28,150000,0.28
2011-06-16,0.28,0.28,0.28,0.28,207000,0.28
2011-06-15,0.29,0.29,0.29,0.29,428000,0.29
2011-06-14,0.30,0.30,0.29,0.29,30000,0.29
2011-06-13,0.30,0.30,0.30,0.30,10000,0.30
2011-06-10,0.30,0.30,0.30,0.30,135000,0.30
2011-06-09,0.30,0.30,0.30,0.30,10000,0.30
2011-06-08,0.30,0.31,0.30,0.30,000,0.30
2011-06-07,0.30,0.30,0.30,0.30,118000,0.30
2011-06-06,0.30,0.30,0.30,0.30,40000,0.30
2011-06-03,0.30,0.30,0.30,0.30,50000,0.30
2011-06-02,0.30,0.30,0.30,0.30,150000,0.30
2011-06-01,0.31,0.31,0.31,0.31,151000,0.31
2011-05-31,0.31,0.31,0.31,0.31,220000,0.31
2011-05-30,0.31,0.31,0.31,0.31,50000,0.31
2011-05-27,0.31,0.31,0.31,0.31,136000,0.31
2011-05-26,0.31,0.31,0.31,0.31,35000,0.31
2011-05-25,0.30,0.31,0.30,0.31,74000,0.31
2011-05-24,0.30,0.31,0.30,0.30,000,0.30
2011-05-23,0.31,0.31,0.31,0.31,266000,0.31
2011-05-20,0.31,0.31,0.31,0.31,130000,0.31
2011-05-19,0.31,0.31,0.31,0.31,295000,0.31
2011-05-18,0.31,0.32,0.31,0.32,79000,0.32
2011-05-16,0.31,0.31,0.31,0.31,16000,0.31
2011-05-13,0.31,0.32,0.31,0.31,000,0.31
2011-05-12,0.31,0.32,0.31,0.32,46000,0.32
2011-05-11,0.32,0.32,0.32,0.32,217000,0.32
2011-05-10,0.32,0.32,0.32,0.32,65000,0.32
2011-05-09,0.32,0.33,0.32,0.33,15000,0.33
2011-05-06,0.32,0.32,0.32,0.32,40000,0.32
2011-05-05,0.32,0.32,0.32,0.32,000,0.32
2011-05-04,0.31,0.32,0.31,0.31,000,0.31
2011-05-03,0.33,0.33,0.33,0.33,20000,0.33
2011-04-29,0.33,0.33,0.32,0.33,74000,0.33
2011-04-28,0.33,0.33,0.33,0.33,40000,0.33
2011-04-27,0.33,0.34,0.32,0.33,139000,0.33
2011-04-26,0.32,0.32,0.32,0.32,220000,0.32
2011-04-25,0.32,0.33,0.32,0.33,46000,0.33
2011-04-21,0.33,0.33,0.33,0.33,225000,0.33
2011-04-20,0.33,0.33,0.33,0.33,244000,0.33
2011-04-19,0.33,0.34,0.33,0.33,000,0.33
2011-04-18,0.34,0.34,0.33,0.33,105000,0.33
2011-04-15,0.34,0.34,0.34,0.34,67000,0.34
2011-04-14,0.34,0.34,0.34,0.34,102000,0.34
2011-04-13,0.34,0.34,0.34,0.34,17000,0.34
2011-04-12,0.34,0.34,0.34,0.34,97000,0.34
2011-04-11,0.34,0.34,0.34,0.34,273000,0.34
2011-04-08,0.34,0.34,0.34,0.34,145000,0.34
2011-04-07,0.34,0.34,0.34,0.34,129000,0.34
2011-04-06,0.34,0.34,0.34,0.34,20000,0.34
2011-04-05,0.34,0.34,0.34,0.34,101000,0.34
2011-04-04,0.34,0.34,0.34,0.34,224000,0.34
2011-04-01,0.34,0.34,0.34,0.34,370000,0.34
2011-03-31,0.34,0.34,0.34,0.34,149000,0.34
2011-03-30,0.34,0.34,0.34,0.34,235000,0.34
2011-03-29,0.33,0.34,0.33,0.33,000,0.33
2011-03-28,0.34,0.34,0.34,0.34,87000,0.34
2011-03-25,0.33,0.34,0.33,0.34,206000,0.34
2011-03-24,0.34,0.34,0.34,0.34,136000,0.34
2011-03-23,0.34,0.34,0.34,0.34,155000,0.34
2011-03-22,0.32,0.34,0.32,0.34,120000,0.34
2011-03-21,0.32,0.34,0.32,0.32,000,0.32
2011-03-18,0.33,0.33,0.32,0.33,98000,0.33
2011-03-17,0.32,0.34,0.32,0.33,91000,0.33
2011-03-16,0.32,0.34,0.32,0.34,263000,0.34
2011-03-15,0.33,0.34,0.32,0.32,509000,0.32
2011-03-14,0.33,0.34,0.33,0.34,15000,0.34
2011-03-11,0.34,0.34,0.34,0.34,165000,0.34
2011-03-10,0.34,0.34,0.34,0.34,75000,0.34
2011-03-09,0.34,0.34,0.34,0.34,131000,0.34
2011-03-08,0.34,0.34,0.34,0.34,145000,0.34
2011-03-07,0.34,0.34,0.34,0.34,30000,0.34
2011-03-04,0.35,0.35,0.34,0.34,109000,0.34
2011-03-03,0.34,0.35,0.34,0.34,138000,0.34
2011-03-02,0.34,0.34,0.34,0.34,130000,0.34
2011-03-01,0.34,0.34,0.34,0.34,162000,0.34
2011-02-28,0.33,0.34,0.33,0.34,13000,0.34
2011-02-25,0.34,0.34,0.34,0.34,170000,0.34
2011-02-24,0.34,0.34,0.34,0.34,173000,0.34
2011-02-23,0.34,0.34,0.33,0.34,456000,0.34
2011-02-22,0.34,0.34,0.34,0.34,295000,0.34
2011-02-21,0.35,0.35,0.35,0.35,240000,0.35
2011-02-18,0.35,0.35,0.35,0.35,101000,0.35
2011-02-17,0.35,0.35,0.35,0.35,26000,0.35
2011-02-16,0.35,0.35,0.35,0.35,110000,0.35
2011-02-15,0.35,0.35,0.35,0.35,82000,0.35
2011-02-14,0.35,0.36,0.35,0.36,136000,0.36
2011-02-11,0.35,0.37,0.35,0.37,78000,0.37
2011-02-10,0.36,0.36,0.36,0.36,85000,0.36
2011-02-09,0.36,0.37,0.36,0.37,60000,0.37
2011-02-08,0.37,0.37,0.37,0.37,60000,0.37
2011-02-07,0.38,0.38,0.37,0.37,175000,0.37
2011-02-02,0.37,0.37,0.37,0.37,106000,0.37
2011-02-01,0.36,0.37,0.36,0.37,95000,0.37
2011-01-31,0.36,0.36,0.35,0.35,165000,0.35
2011-01-28,0.35,0.36,0.35,0.35,130000,0.35
2011-01-27,0.36,0.36,0.36,0.36,57000,0.36
2011-01-26,0.35,0.37,0.35,0.36,955000,0.36
2011-01-25,0.37,0.37,0.35,0.35,1087000,0.35
2011-01-24,0.37,0.37,0.37,0.37,381000,0.37
2011-01-21,0.37,0.37,0.37,0.37,758000,0.37
2011-01-20,0.38,0.38,0.38,0.38,901000,0.38
2011-01-19,0.38,0.38,0.38,0.38,492000,0.38
2011-01-18,0.38,0.38,0.38,0.38,703000,0.38
2011-01-17,0.39,0.39,0.38,0.38,500000,0.38
2011-01-14,0.39,0.39,0.38,0.39,1484000,0.39
2011-01-13,0.40,0.40,0.39,0.39,1351000,0.39
2011-01-12,0.40,0.41,0.40,0.40,2245000,0.40
2011-01-11,0.39,0.40,0.39,0.40,1364000,0.40
2011-01-10,0.40,0.40,0.39,0.39,935000,0.39
2011-01-07,0.41,0.41,0.40,0.40,2068000,0.40
2011-01-06,0.40,0.41,0.40,0.41,8198000,0.41
2011-01-05,0.37,0.41,0.37,0.39,12736000,0.39
2011-01-04,0.38,0.38,0.37,0.37,383000,0.37
2011-01-03,0.36,0.38,0.36,0.37,1512000,0.37
2010-12-31,0.36,0.36,0.35,0.35,250000,0.35
2010-12-30,0.35,0.37,0.35,0.36,1216000,0.36
2010-12-29,0.35,0.35,0.35,0.35,980000,0.35
2010-12-28,0.35,0.35,0.35,0.35,203000,0.35
2010-12-27,0.34,0.35,0.34,0.35,9000,0.35
2010-12-24,0.35,0.35,0.34,0.34,31000,0.34
2010-12-23,0.34,0.35,0.34,0.34,382000,0.34
2010-12-22,0.34,0.34,0.34,0.34,187000,0.34
2010-12-21,0.34,0.34,0.34,0.34,383000,0.34
2010-12-20,0.34,0.34,0.34,0.34,549000,0.34
