Date,Open,High,Low,Close,Volume,Adj Close
2011-08-03,0.28,0.28,0.28,0.28,100000,0.28
2011-08-02,0.28,0.28,0.28,0.28,274000,0.28
2011-08-01,0.29,0.29,0.28,0.29,447000,0.29
2011-07-29,0.29,0.29,0.28,0.29,295000,0.29
2011-07-28,0.28,0.29,0.28,0.28,143000,0.28
2011-07-27,0.29,0.29,0.28,0.28,212000,0.28
2011-07-26,0.29,0.29,0.29,0.29,45000,0.29
2011-07-25,0.29,0.29,0.29,0.29,113000,0.29
2011-07-22,0.29,0.29,0.29,0.29,126000,0.29
2011-07-21,0.29,0.29,0.28,0.29,87000,0.29
2011-07-20,0.29,0.29,0.28,0.28,148000,0.28
2011-07-19,0.29,0.29,0.28,0.28,87000,0.28
2011-07-18,0.30,0.30,0.29,0.29,419000,0.29
2011-07-15,0.30,0.30,0.30,0.30,132000,0.30
2011-07-14,0.31,0.31,0.30,0.31,1901000,0.31
2011-07-13,0.30,0.31,0.30,0.31,2462000,0.31
2011-07-12,0.29,0.31,0.29,0.30,3564000,0.30
2011-07-11,0.28,0.30,0.28,0.30,1348000,0.30
2011-07-08,0.28,0.29,0.28,0.29,824000,0.29
2011-07-07,0.28,0.29,0.28,0.28,513000,0.28
2011-07-06,0.28,0.29,0.28,0.29,475000,0.29
2011-07-05,0.29,0.29,0.28,0.28,357000,0.28
2011-07-04,0.29,0.29,0.29,0.29,194000,0.29
2011-07-01,0.29,0.30,0.29,0.30,958000,0.30
2011-06-30,0.29,0.29,0.29,0.29,580000,0.29
2011-06-29,0.29,0.29,0.29,0.29,919000,0.29
2011-06-28,0.29,0.29,0.29,0.29,1590000,0.29
2011-06-27,0.29,0.29,0.29,0.29,396000,0.29
2011-06-24,0.28,0.30,0.28,0.30,1300000,0.30
2011-06-23,0.29,0.29,0.28,0.29,1322000,0.29
2011-06-22,0.38,0.38,0.37,0.37,421000,0.37
2011-06-21,0.38,0.39,0.38,0.38,893000,0.38
2011-06-20,0.38,0.38,0.38,0.38,530000,0.38
2011-06-17,0.39,0.39,0.38,0.38,669000,0.38
2011-06-16,0.39,0.40,0.38,0.39,993000,0.39
2011-06-15,0.40,0.40,0.40,0.40,483000,0.40
2011-06-14,0.40,0.40,0.40,0.40,1955000,0.40
2011-06-13,0.39,0.41,0.39,0.41,2810000,0.41
2011-06-10,0.41,0.41,0.40,0.40,975000,0.40
2011-06-09,0.41,0.41,0.41,0.41,3984000,0.41
2011-06-08,0.40,0.40,0.40,0.40,1549000,0.40
2011-06-07,0.40,0.41,0.40,0.40,1667000,0.40
2011-06-06,0.40,0.40,0.40,0.40,743000,0.40
2011-06-03,0.39,0.41,0.39,0.41,4082000,0.41
2011-06-02,0.39,0.40,0.39,0.39,1674000,0.39
2011-06-01,0.40,0.40,0.39,0.40,1631000,0.40
2011-05-31,0.39,0.40,0.38,0.39,3407000,0.39
2011-05-30,0.40,0.40,0.39,0.39,2020000,0.39
2011-05-27,0.38,0.40,0.38,0.39,4220000,0.39
2011-05-26,0.37,0.38,0.37,0.38,1364000,0.38
2011-05-25,0.37,0.37,0.36,0.37,2256000,0.37
