Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.28,0.28,0.28,0.28,14000,0.28
2011-08-03,0.28,0.28,0.28,0.28,96000,0.28
2011-08-02,0.28,0.28,0.28,0.28,338000,0.28
2011-08-01,0.28,0.28,0.28,0.28,50000,0.28
2011-07-29,0.28,0.28,0.28,0.28,71000,0.28
2011-07-28,0.28,0.29,0.28,0.29,139000,0.29
2011-07-27,0.28,0.29,0.28,0.28,63000,0.28
2011-07-26,0.28,0.29,0.28,0.29,80000,0.29
2011-07-25,0.28,0.29,0.28,0.29,165000,0.29
2011-07-22,0.29,0.29,0.29,0.29,115000,0.29
2011-07-21,0.28,0.29,0.28,0.29,22000,0.29
2011-07-20,0.28,0.28,0.28,0.28,99000,0.28
2011-07-19,0.28,0.28,0.28,0.28,174000,0.28
2011-07-18,0.28,0.28,0.27,0.27,115000,0.27
2011-07-15,0.28,0.28,0.28,0.28,282000,0.28
2011-07-14,0.28,0.28,0.28,0.28,112000,0.28
2011-07-13,0.28,0.28,0.28,0.28,20000,0.28
2011-07-12,0.29,0.29,0.28,0.28,1011000,0.28
2011-07-11,0.30,0.30,0.29,0.29,953000,0.29
2011-07-08,0.31,0.31,0.30,0.30,688000,0.30
2011-07-07,0.29,0.30,0.29,0.30,920000,0.30
2011-07-06,0.29,0.30,0.29,0.29,409000,0.29
2011-07-05,0.29,0.29,0.29,0.29,160000,0.29
2011-07-04,0.30,0.31,0.29,0.29,359000,0.29
2011-07-01,0.28,0.31,0.28,0.30,3030000,0.30
2011-06-30,0.27,0.28,0.27,0.28,146000,0.28
2011-06-29,0.27,0.28,0.27,0.27,128000,0.27
2011-06-28,0.26,0.28,0.26,0.27,369000,0.27
2011-06-27,0.26,0.27,0.26,0.26,170000,0.26
2011-06-24,0.26,0.27,0.26,0.27,311000,0.27
2011-06-23,0.26,0.26,0.26,0.26,99000,0.26
2011-06-22,0.26,0.26,0.26,0.26,98000,0.26
2011-06-21,0.26,0.26,0.26,0.26,53000,0.26
2011-06-20,0.26,0.26,0.26,0.26,589000,0.26
2011-06-17,0.26,0.26,0.26,0.26,822000,0.26
2011-06-16,0.26,0.26,0.26,0.26,752000,0.26
2011-06-15,0.26,0.26,0.26,0.26,687000,0.26
2011-06-14,0.26,0.26,0.26,0.26,208000,0.26
2011-06-13,0.26,0.26,0.25,0.26,520000,0.26
2011-06-10,0.26,0.26,0.26,0.26,617000,0.26
2011-06-09,0.26,0.26,0.25,0.26,265000,0.26
2011-06-08,0.26,0.26,0.26,0.26,80000,0.26
