Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.47,0.49,0.47,0.47,000,0.47
2011-08-03,0.46,0.50,0.46,0.47,34000,0.47
2011-08-02,0.48,0.48,0.47,0.48,32000,0.48
2011-08-01,0.48,0.48,0.48,0.48,20000,0.48
2011-07-29,0.47,0.47,0.47,0.47,9000,0.47
2011-07-28,0.47,0.47,0.47,0.47,11000,0.47
2011-07-27,0.47,0.48,0.47,0.48,10000,0.48
2011-07-26,0.47,0.47,0.47,0.47,107000,0.47
2011-07-25,0.47,0.48,0.47,0.47,000,0.47
2011-07-22,0.45,0.47,0.45,0.45,000,0.45
2011-07-21,0.47,0.47,0.47,0.47,1000,0.47
2011-07-20,0.47,0.49,0.47,0.47,4000,0.47
2011-07-19,0.46,0.48,0.46,0.48,12000,0.48
2011-07-18,0.48,0.48,0.48,0.48,1000,0.48
2011-07-15,0.47,0.49,0.47,0.47,000,0.47
2011-07-14,0.47,0.49,0.47,0.49,31000,0.49
2011-07-13,0.46,0.47,0.46,0.47,15000,0.47
2011-07-12,0.47,0.47,0.47,0.47,15000,0.47
2011-07-11,0.48,0.49,0.48,0.49,26000,0.49
2011-07-08,0.47,0.48,0.47,0.48,140000,0.48
2011-07-07,0.48,0.48,0.48,0.48,73000,0.48
2011-07-06,0.47,0.47,0.47,0.47,2000,0.47
2011-07-05,0.48,0.49,0.47,0.49,102000,0.49
2011-07-04,0.47,0.47,0.47,0.47,12000,0.47
2011-07-01,0.48,0.48,0.48,0.48,30000,0.48
2011-06-30,0.47,0.49,0.47,0.47,000,0.47
2011-06-29,0.48,0.48,0.47,0.48,62000,0.48
2011-06-28,0.47,0.48,0.47,0.48,87000,0.48
2011-06-27,0.44,0.47,0.44,0.44,000,0.44
2011-06-24,0.46,0.47,0.46,0.47,126000,0.47
2011-06-23,0.47,0.47,0.46,0.47,39000,0.47
2011-06-22,0.45,0.47,0.45,0.45,000,0.45
2011-06-21,0.45,0.46,0.45,0.46,43000,0.46
2011-06-20,0.44,0.47,0.44,0.44,000,0.44
2011-06-17,0.44,0.47,0.44,0.44,000,0.44
2011-06-16,0.47,0.47,0.47,0.47,60000,0.47
2011-06-15,0.44,0.47,0.44,0.47,43000,0.47
2011-06-14,0.44,0.44,0.44,0.44,1000,0.44
2011-06-13,0.44,0.49,0.44,0.44,000,0.44
2011-06-10,0.45,0.49,0.45,0.45,000,0.45
2011-06-09,0.47,0.49,0.47,0.47,000,0.47
2011-06-08,0.47,0.49,0.47,0.47,000,0.47
2011-06-07,0.46,0.49,0.46,0.46,000,0.46
2011-06-06,0.46,0.49,0.46,0.46,000,0.46
2011-06-03,0.46,0.48,0.46,0.48,12000,0.48
2011-06-02,0.46,0.49,0.46,0.46,000,0.46
2011-06-01,0.47,0.49,0.47,0.49,3000,0.49
2011-05-31,0.47,0.47,0.47,0.47,11000,0.47
2011-05-30,0.46,0.46,0.46,0.46,1000,0.46
2011-05-27,0.48,0.48,0.47,0.47,21000,0.47
2011-05-26,0.47,0.47,0.47,0.47,27000,0.47
2011-05-25,0.47,0.47,0.47,0.47,000,0.47
2011-05-24,0.47,0.47,0.47,0.47,14000,0.47
2011-05-23,0.46,0.46,0.46,0.46,5000,0.46
2011-05-20,0.46,0.50,0.46,0.46,000,0.46
2011-05-19,0.47,0.50,0.47,0.50,52000,0.50
2011-05-18,0.46,0.50,0.46,0.46,000,0.46
2011-05-16,0.46,0.49,0.46,0.46,000,0.46
2011-05-13,0.46,0.50,0.46,0.47,28000,0.47
2011-05-12,0.46,0.46,0.46,0.46,13000,0.46
2011-05-11,0.47,0.47,0.47,0.47,3000,0.47
2011-05-10,0.47,0.48,0.47,0.48,57000,0.48
2011-05-09,0.46,0.47,0.46,0.46,000,0.46
2011-05-06,0.46,0.47,0.46,0.46,000,0.46
2011-05-05,0.47,0.47,0.47,0.47,41000,0.47
2011-05-04,0.46,0.47,0.46,0.47,43000,0.47
2011-05-03,0.45,0.47,0.45,0.46,143000,0.46
2011-04-29,0.45,0.47,0.45,0.45,000,0.45
2011-04-28,0.45,0.45,0.45,0.45,2000,0.45
2011-04-27,0.45,0.45,0.45,0.45,6000,0.45
2011-04-26,0.45,0.45,0.45,0.45,4000,0.45
2011-04-25,0.47,0.47,0.45,0.45,111000,0.45
2011-04-21,0.46,0.46,0.46,0.46,3000,0.46
