Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.28,0.28,0.28,0.28,114000,0.28
2011-08-03,0.28,0.28,0.28,0.28,165000,0.28
2011-08-02,0.28,0.28,0.28,0.28,54000,0.28
2011-08-01,0.29,0.29,0.28,0.29,113000,0.29
2011-07-29,0.29,0.29,0.29,0.29,75000,0.29
2011-07-28,0.29,0.29,0.29,0.29,80000,0.29
2011-07-27,0.29,0.29,0.29,0.29,177000,0.29
2011-07-26,0.28,0.29,0.28,0.29,169000,0.29
2011-07-25,0.28,0.28,0.28,0.28,56000,0.28
2011-07-22,0.28,0.28,0.28,0.28,119000,0.28
2011-07-21,0.28,0.28,0.28,0.28,75000,0.28
2011-07-20,0.28,0.28,0.28,0.28,43000,0.28
2011-07-19,0.28,0.29,0.28,0.29,54000,0.29
2011-07-18,0.28,0.28,0.28,0.28,71000,0.28
2011-07-15,0.28,0.28,0.28,0.28,5000,0.28
2011-07-14,0.28,0.28,0.28,0.28,12000,0.28
2011-07-13,0.28,0.28,0.28,0.28,65000,0.28
2011-07-12,0.28,0.28,0.28,0.28,95000,0.28
2011-07-11,0.28,0.28,0.28,0.28,50000,0.28
2011-07-08,0.28,0.28,0.28,0.28,168000,0.28
2011-07-07,0.28,0.28,0.28,0.28,16000,0.28
2011-07-06,0.28,0.28,0.28,0.28,000,0.28
2011-07-05,0.28,0.28,0.28,0.28,75000,0.28
2011-07-04,0.28,0.28,0.28,0.28,40000,0.28
2011-07-01,0.28,0.28,0.28,0.28,6000,0.28
2011-06-30,0.29,0.29,0.28,0.28,56000,0.28
2011-06-29,0.28,0.28,0.28,0.28,157000,0.28
2011-06-28,0.28,0.28,0.28,0.28,26000,0.28
2011-06-27,0.28,0.28,0.28,0.28,45000,0.28
2011-06-24,0.28,0.28,0.28,0.28,32000,0.28
2011-06-23,0.27,0.28,0.27,0.28,2000,0.28
2011-06-22,0.28,0.28,0.28,0.28,92000,0.28
2011-06-21,0.27,0.28,0.26,0.28,269000,0.28
2011-06-20,0.28,0.28,0.27,0.28,98000,0.28
2011-06-17,0.28,0.28,0.28,0.28,199000,0.28
2011-06-16,0.28,0.28,0.28,0.28,95000,0.28
2011-06-15,0.28,0.28,0.28,0.28,9000,0.28
2011-06-14,0.28,0.28,0.28,0.28,64000,0.28
2011-06-13,0.28,0.28,0.28,0.28,12000,0.28
2011-06-10,0.28,0.28,0.28,0.28,51000,0.28
2011-06-09,0.28,0.28,0.28,0.28,10000,0.28
2011-06-08,0.28,0.28,0.28,0.28,45000,0.28
2011-06-07,0.28,0.28,0.28,0.28,2000,0.28
2011-06-06,0.28,0.28,0.28,0.28,44000,0.28
2011-06-03,0.28,0.28,0.28,0.28,2000,0.28
2011-06-02,0.28,0.29,0.28,0.28,000,0.28
2011-06-01,0.29,0.29,0.28,0.29,225000,0.29
2011-05-31,0.29,0.29,0.28,0.29,180000,0.29
2011-05-30,0.28,0.29,0.28,0.29,3000,0.29
2011-05-27,0.29,0.29,0.28,0.29,283000,0.29
2011-05-26,0.29,0.29,0.29,0.29,162000,0.29
2011-05-25,0.28,0.29,0.28,0.29,28000,0.29
2011-05-24,0.28,0.29,0.28,0.29,60000,0.29
2011-05-23,0.28,0.28,0.28,0.28,23000,0.28
2011-05-20,0.28,0.29,0.28,0.29,19000,0.29
2011-05-19,0.29,0.30,0.29,0.29,136000,0.29
2011-05-18,0.29,0.29,0.29,0.29,63000,0.29
2011-05-16,0.29,0.29,0.29,0.29,149000,0.29
2011-05-13,0.29,0.29,0.29,0.29,128000,0.29
2011-05-12,0.29,0.29,0.29,0.29,17000,0.29
