Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.56,0.56,0.56,0.56,35000,0.56
2011-08-03,0.55,0.56,0.55,0.56,35000,0.56
2011-08-02,0.56,0.56,0.56,0.56,55000,0.56
2011-08-01,0.56,0.57,0.56,0.56,000,0.56
2011-07-29,0.56,0.56,0.56,0.56,10000,0.56
2011-07-28,0.56,0.57,0.56,0.56,000,0.56
2011-07-27,0.56,0.56,0.56,0.56,45000,0.56
2011-07-26,0.56,0.56,0.56,0.56,11000,0.56
2011-07-25,0.56,0.56,0.56,0.56,5000,0.56
2011-07-22,0.56,0.56,0.56,0.56,15000,0.56
2011-07-21,0.56,0.56,0.56,0.56,50000,0.56
2011-07-20,0.56,0.57,0.56,0.56,000,0.56
2011-07-19,0.56,0.57,0.56,0.56,000,0.56
2011-07-18,0.56,0.57,0.56,0.56,000,0.56
2011-07-15,0.56,0.58,0.56,0.56,000,0.56
2011-07-14,0.56,0.56,0.56,0.56,15000,0.56
2011-07-13,0.56,0.56,0.56,0.56,5000,0.56
2011-07-12,0.56,0.56,0.56,0.56,115000,0.56
2011-07-11,0.56,0.57,0.56,0.56,000,0.56
2011-07-08,0.57,0.57,0.57,0.57,12000,0.57
2011-07-07,0.56,0.56,0.56,0.56,3000,0.56
2011-07-06,0.56,0.56,0.56,0.56,15000,0.56
2011-07-05,0.56,0.56,0.56,0.56,25000,0.56
2011-07-04,0.56,0.56,0.56,0.56,57000,0.56
2011-07-01,0.56,0.56,0.55,0.56,212000,0.56
2011-06-30,0.54,0.55,0.54,0.54,000,0.54
2011-06-29,0.54,0.54,0.54,0.54,000,0.54
2011-06-28,0.54,0.54,0.54,0.54,10000,0.54
2011-06-27,0.54,0.54,0.54,0.54,80000,0.54
2011-06-24,0.53,0.53,0.53,0.53,177000,0.53
2011-06-23,0.55,0.55,0.54,0.54,80000,0.54
2011-06-22,0.54,0.54,0.54,0.54,30000,0.54
2011-06-21,0.54,0.55,0.54,0.54,30000,0.54
2011-06-20,0.54,0.56,0.54,0.54,000,0.54
2011-06-17,0.53,0.55,0.53,0.54,43000,0.54
2011-06-16,0.53,0.57,0.53,0.53,000,0.53
2011-06-15,0.55,0.55,0.55,0.55,35000,0.55
2011-06-14,0.55,0.55,0.55,0.55,69000,0.55
2011-06-13,0.55,0.55,0.55,0.55,12000,0.55
2011-06-10,0.56,0.56,0.56,0.56,15000,0.56
2011-06-09,0.55,0.56,0.55,0.56,149000,0.56
2011-06-08,0.55,0.56,0.55,0.55,129000,0.55
2011-06-07,0.51,0.51,0.51,0.51,5000,0.51
2011-06-06,0.53,0.55,0.53,0.53,000,0.53
2011-06-03,0.51,0.55,0.51,0.51,000,0.51
2011-06-02,0.51,0.55,0.51,0.51,000,0.51
2011-06-01,0.52,0.55,0.52,0.52,000,0.52
2011-05-31,0.50,0.54,0.50,0.50,000,0.50
2011-05-30,0.52,0.52,0.52,0.52,4000,0.52
2011-05-27,0.52,0.53,0.52,0.52,000,0.52
2011-05-26,0.53,0.53,0.53,0.53,12000,0.53
2011-05-25,0.51,0.51,0.51,0.51,10000,0.51
2011-05-24,0.51,0.52,0.51,0.52,14000,0.52
2011-05-23,0.51,0.51,0.50,0.50,20000,0.50
2011-05-20,0.51,0.51,0.51,0.51,5000,0.51
2011-05-19,0.51,0.52,0.51,0.51,000,0.51
2011-05-18,0.51,0.52,0.51,0.51,000,0.51
2011-05-16,0.50,0.54,0.50,0.50,000,0.50
2011-05-13,0.51,0.51,0.51,0.51,000,0.51
2011-05-12,0.50,0.54,0.50,0.50,000,0.50
2011-05-11,0.50,0.52,0.50,0.50,000,0.50
2011-05-10,0.50,0.55,0.50,0.50,000,0.50
2011-05-09,0.50,0.54,0.50,0.50,000,0.50
2011-05-06,0.50,0.54,0.50,0.50,000,0.50
2011-05-05,0.50,0.54,0.50,0.50,000,0.50
2011-05-04,0.51,0.55,0.51,0.51,000,0.51
2011-05-03,0.51,0.54,0.51,0.51,000,0.51
2011-04-29,0.52,0.54,0.52,0.52,000,0.52
2011-04-28,0.52,0.52,0.52,0.52,10000,0.52
2011-04-27,0.51,0.55,0.51,0.51,000,0.51
2011-04-26,0.51,0.54,0.51,0.51,000,0.51
2011-04-25,0.52,0.52,0.52,0.52,1000,0.52
2011-04-21,0.52,0.52,0.51,0.51,4000,0.51
