Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.98,1.98,1.89,1.97,141000,1.97
2011-08-03,1.99,1.99,1.95,1.99,41000,1.99
2011-08-02,2.03,2.03,1.97,2.00,37000,2.00
2011-08-01,2.04,2.04,2.00,2.03,69000,2.03
2011-07-29,2.03,2.03,2.03,2.03,7000,2.03
2011-07-28,2.06,2.08,1.98,2.03,63000,2.03
2011-07-27,2.03,2.08,2.03,2.08,18000,2.08
2011-07-26,2.00,2.08,2.00,2.08,51000,2.08
2011-07-25,1.96,2.06,1.96,2.03,67000,2.03
2011-07-22,1.96,1.96,1.96,1.96,43000,1.96
2011-07-21,1.95,1.96,1.95,1.96,21000,1.96
2011-07-20,1.94,2.11,1.94,1.96,68000,1.96
2011-07-19,1.93,1.94,1.93,1.94,13000,1.94
2011-07-18,1.94,1.94,1.94,1.94,10000,1.94
2011-07-15,1.92,1.94,1.92,1.94,16000,1.94
2011-07-14,1.94,1.94,1.94,1.94,25000,1.94
2011-07-13,1.94,1.97,1.94,1.94,82000,1.94
2011-07-12,1.95,1.95,1.95,1.95,13000,1.95
2011-07-11,1.95,2.00,1.95,1.95,000,1.95
2011-07-08,1.95,1.95,1.95,1.95,4000,1.95
2011-07-07,1.99,2.00,1.96,1.96,40000,1.96
2011-07-06,1.94,2.00,1.94,2.00,41000,2.00
2011-07-05,1.98,1.98,1.94,1.94,13000,1.94
2011-07-04,1.98,1.98,1.95,1.95,102000,1.95
2011-07-01,1.98,1.98,1.97,1.98,40000,1.98
2011-06-30,1.98,1.98,1.98,1.98,153000,1.98
2011-06-29,1.99,1.99,1.98,1.98,8000,1.98
2011-06-28,1.99,2.00,1.94,2.00,8000,2.00
2011-06-27,2.01,2.01,2.01,2.01,11000,2.01
2011-06-24,2.01,2.01,2.00,2.01,58000,2.01
2011-06-23,2.05,2.09,2.00,2.05,59000,2.05
2011-06-22,1.96,2.03,1.96,2.01,141000,2.01
2011-06-21,1.99,2.00,1.98,2.00,49000,2.00
2011-06-20,2.02,2.04,2.02,2.02,24000,2.02
2011-06-17,1.95,2.03,1.95,2.03,17000,2.03
2011-06-16,1.95,2.01,1.93,1.99,346000,1.99
2011-06-15,2.00,2.00,1.98,1.98,10000,1.98
2011-06-14,2.00,2.00,2.00,2.00,89000,2.00
2011-06-13,2.02,2.05,1.99,2.00,176000,2.00
2011-06-10,2.12,2.12,2.05,2.07,490000,2.07
2011-06-09,2.12,2.13,2.12,2.12,43000,2.12
2011-06-08,2.12,2.15,2.12,2.15,285000,2.15
2011-06-07,2.10,2.15,2.10,2.15,79000,2.15
2011-06-06,2.10,2.10,2.10,2.10,27000,2.10
2011-06-03,2.10,2.10,2.10,2.10,188000,2.10
2011-06-02,2.10,2.15,2.10,2.10,180000,2.10
2011-06-01,2.08,2.25,2.08,2.10,284000,2.10
2011-05-31,2.06,2.06,2.05,2.05,22000,2.05
2011-05-30,2.00,2.01,2.00,2.00,179000,2.00
2011-05-27,1.98,1.99,1.98,1.99,39000,1.99
2011-05-26,1.98,1.98,1.98,1.98,13000,1.98
2011-05-25,2.00,2.00,1.98,1.98,32000,1.98
2011-05-24,1.98,1.99,1.98,1.99,203000,1.99
2011-05-23,2.00,2.00,2.00,2.00,60000,2.00
2011-05-20,1.98,1.99,1.98,1.99,31000,1.99
2011-05-19,1.97,1.99,1.97,1.99,85000,1.99
2011-05-18,1.99,2.00,1.99,1.99,37000,1.99
2011-05-16,1.97,1.97,1.97,1.97,34000,1.97
2011-05-13,1.99,1.99,1.99,1.99,28000,1.99
2011-05-12,1.96,1.96,1.96,1.96,30000,1.96
2011-05-11,2.00,2.00,1.97,2.00,533000,2.00
2011-05-10,1.93,1.99,1.93,1.99,46000,1.99
2011-05-09,1.95,1.97,1.95,1.97,203000,1.97
2011-05-06,1.95,1.95,1.95,1.95,49000,1.95
2011-05-05,1.88,1.95,1.88,1.94,318000,1.94
2011-05-04,1.90,1.92,1.90,1.92,231000,1.92
2011-05-03,1.88,1.88,1.86,1.87,66000,1.87
2011-04-29,1.90,1.90,1.88,1.90,24000,1.90
2011-04-28,1.87,1.90,1.87,1.88,86000,1.88
