Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.03,1.03,1.03,1.03,143000,1.03
2011-08-03,1.04,1.04,1.02,1.03,868000,1.03
2011-08-02,1.04,1.04,1.03,1.04,645000,1.04
2011-08-01,1.07,1.08,1.07,1.08,675000,1.08
2011-07-29,1.08,1.08,1.07,1.07,387000,1.07
2011-07-28,1.07,1.08,1.07,1.08,1137000,1.08
2011-07-27,1.07,1.08,1.07,1.08,396000,1.08
2011-07-26,1.08,1.08,1.08,1.08,443000,1.08
2011-07-25,1.08,1.08,1.08,1.08,246000,1.08
2011-07-22,1.08,1.08,1.08,1.08,346000,1.08
2011-07-21,1.08,1.08,1.07,1.07,219000,1.07
2011-07-20,1.08,1.08,1.07,1.07,489000,1.07
2011-07-19,1.07,1.08,1.07,1.08,697000,1.08
2011-07-18,1.08,1.08,1.07,1.07,481000,1.07
2011-07-15,1.08,1.08,1.08,1.08,789000,1.08
2011-07-14,1.07,1.08,1.07,1.08,264000,1.08
2011-07-13,1.07,1.08,1.07,1.07,556000,1.07
2011-07-12,1.07,1.07,1.06,1.06,512000,1.06
2011-07-11,1.07,1.08,1.07,1.07,522000,1.07
2011-07-08,1.07,1.07,1.07,1.07,368000,1.07
2011-07-07,1.07,1.07,1.07,1.07,258000,1.07
2011-07-06,1.07,1.08,1.07,1.08,142000,1.08
2011-07-05,1.08,1.08,1.07,1.08,604000,1.08
2011-07-04,1.08,1.08,1.07,1.08,391000,1.08
2011-07-01,1.06,1.07,1.06,1.07,1038000,1.07
2011-06-30,1.04,1.06,1.04,1.06,1228000,1.06
2011-06-29,1.03,1.05,1.03,1.05,917000,1.05
2011-06-28,1.03,1.04,1.03,1.03,1157000,1.03
2011-06-27,1.03,1.04,1.03,1.03,202000,1.03
2011-06-24,1.03,1.04,1.03,1.03,385000,1.03
2011-06-23,1.03,1.03,1.03,1.03,274000,1.03
2011-06-22,1.03,1.04,1.03,1.03,351000,1.03
2011-06-21,1.04,1.04,1.03,1.03,154000,1.03
2011-06-20,1.03,1.04,1.03,1.03,1075000,1.03
2011-06-17,1.03,1.04,1.02,1.04,1490000,1.04
2011-06-16,1.03,1.04,1.02,1.03,475000,1.03
2011-06-15,1.03,1.04,1.03,1.03,371000,1.03
2011-06-14,1.03,1.04,1.03,1.03,683000,1.03
2011-06-13,1.03,1.04,1.02,1.03,1297000,1.03
2011-06-10,1.03,1.04,1.03,1.03,523000,1.03
2011-06-09,1.04,1.04,1.03,1.03,1170000,1.03
2011-06-08,1.04,1.05,1.03,1.04,1533000,1.04
2011-06-07,1.06,1.06,1.04,1.05,1247000,1.05
2011-06-06,1.06,1.07,1.06,1.06,209000,1.06
2011-06-03,1.06,1.07,1.06,1.07,393000,1.07
2011-06-02,1.06,1.07,1.06,1.06,39000,1.06
2011-06-01,1.06,1.08,1.06,1.07,614000,1.07
2011-05-31,1.05,1.08,1.04,1.08,2033000,1.08
2011-05-30,1.05,1.05,1.04,1.05,277000,1.05
2011-05-27,1.05,1.05,1.04,1.04,480000,1.04
2011-05-26,1.04,1.05,1.04,1.04,338000,1.04
2011-05-25,1.04,1.05,1.04,1.04,361000,1.04
2011-05-24,1.05,1.05,1.04,1.04,739000,1.04
2011-05-23,1.04,1.05,1.04,1.04,620000,1.04
2011-05-20,1.04,1.05,1.04,1.04,68000,1.04
2011-05-19,1.04,1.05,1.04,1.04,128000,1.04
2011-05-18,1.05,1.05,1.04,1.04,839000,1.04
2011-05-16,1.04,1.05,1.04,1.05,137000,1.05
2011-05-13,1.04,1.05,1.04,1.04,85000,1.04
2011-05-12,1.04,1.05,1.04,1.04,184000,1.04
