Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.29,0.29,0.29,0.29,158000,0.29
2011-08-03,0.29,0.29,0.28,0.29,194000,0.29
2011-08-02,0.29,0.29,0.29,0.29,263000,0.29
2011-08-01,0.29,0.29,0.29,0.29,135000,0.29
2011-07-29,0.29,0.29,0.29,0.29,148000,0.29
2011-07-28,0.29,0.29,0.29,0.29,75000,0.29
2011-07-27,0.29,0.30,0.29,0.30,69000,0.30
2011-07-26,0.29,0.29,0.29,0.29,103000,0.29
2011-07-25,0.29,0.29,0.29,0.29,55000,0.29
2011-07-22,0.29,0.29,0.29,0.29,110000,0.29
2011-07-21,0.30,0.30,0.29,0.29,100000,0.29
2011-07-20,0.29,0.30,0.29,0.30,803000,0.30
2011-07-19,0.29,0.29,0.29,0.29,234000,0.29
2011-07-18,0.29,0.29,0.29,0.29,429000,0.29
2011-07-15,0.29,0.29,0.29,0.29,87000,0.29
2011-07-14,0.29,0.29,0.29,0.29,336000,0.29
2011-07-13,0.29,0.30,0.29,0.29,000,0.29
2011-07-12,0.29,0.29,0.29,0.29,380000,0.29
2011-07-11,0.29,0.29,0.29,0.29,480000,0.29
2011-07-08,0.29,0.29,0.29,0.29,242000,0.29
2011-07-07,0.29,0.30,0.29,0.29,568000,0.29
2011-07-06,0.29,0.29,0.29,0.29,167000,0.29
2011-07-05,0.28,0.29,0.28,0.29,500000,0.29
2011-07-04,0.28,0.28,0.28,0.28,67000,0.28
2011-07-01,0.28,0.29,0.28,0.28,000,0.28
2011-06-30,0.28,0.29,0.28,0.28,000,0.28
2011-06-29,0.28,0.29,0.28,0.29,35000,0.29
2011-06-28,0.28,0.29,0.28,0.28,52000,0.28
2011-06-27,0.29,0.29,0.28,0.28,70000,0.28
2011-06-24,0.28,0.29,0.28,0.28,000,0.28
2011-06-23,0.28,0.28,0.28,0.28,10000,0.28
2011-06-22,0.28,0.28,0.28,0.28,30000,0.28
2011-06-21,0.29,0.29,0.29,0.29,10000,0.29
2011-06-20,0.26,0.28,0.26,0.26,000,0.26
2011-06-17,0.28,0.28,0.28,0.28,253000,0.28
2011-06-16,0.28,0.28,0.28,0.28,60000,0.28
2011-06-15,0.28,0.28,0.28,0.28,25000,0.28
2011-06-14,0.29,0.29,0.29,0.29,10000,0.29
2011-06-13,0.29,0.29,0.28,0.28,388000,0.28
2011-06-10,0.29,0.29,0.29,0.29,287000,0.29
2011-06-09,0.28,0.29,0.28,0.28,405000,0.28
2011-06-08,0.29,0.29,0.29,0.29,6000,0.29
2011-06-07,0.28,0.29,0.28,0.29,6000,0.29
2011-06-06,0.29,0.29,0.29,0.29,61000,0.29
2011-06-03,0.29,0.29,0.29,0.29,000,0.29
2011-06-02,0.29,0.29,0.29,0.29,699000,0.29
2011-06-01,0.29,0.30,0.29,0.29,000,0.29
2011-05-31,0.29,0.29,0.29,0.29,33000,0.29
2011-05-30,0.29,0.29,0.29,0.29,704000,0.29
2011-05-27,0.29,0.30,0.29,0.29,000,0.29
2011-05-26,0.29,0.30,0.29,0.29,000,0.29
2011-05-25,0.29,0.29,0.29,0.29,256000,0.29
2011-05-24,0.29,0.29,0.29,0.29,100000,0.29
2011-05-23,0.29,0.29,0.29,0.29,51000,0.29
2011-05-20,0.29,0.30,0.29,0.29,290000,0.29
2011-05-19,0.29,0.29,0.29,0.29,120000,0.29
2011-05-18,0.29,0.29,0.29,0.29,214000,0.29
2011-05-16,0.29,0.31,0.29,0.31,10000,0.31
2011-05-13,0.29,0.30,0.29,0.29,000,0.29
2011-05-12,0.29,0.29,0.29,0.29,000,0.29
2011-05-11,0.29,0.29,0.29,0.29,82000,0.29
2011-05-10,0.29,0.29,0.29,0.29,50000,0.29
2011-05-09,0.29,0.31,0.29,0.31,131000,0.31
2011-05-06,0.29,0.29,0.29,0.29,210000,0.29
2011-05-05,0.29,0.29,0.29,0.29,60000,0.29
2011-05-04,0.29,0.30,0.29,0.29,000,0.29
2011-05-03,0.30,0.30,0.29,0.29,120000,0.29
2011-04-29,0.29,0.31,0.29,0.29,000,0.29
2011-04-28,0.30,0.30,0.29,0.29,80000,0.29
2011-04-27,0.29,0.30,0.29,0.30,156000,0.30
2011-04-26,0.30,0.30,0.29,0.29,88000,0.29
2011-04-25,0.30,0.31,0.29,0.31,643000,0.31
2011-04-21,0.30,0.30,0.30,0.30,154000,0.30
2011-04-20,0.30,0.31,0.30,0.31,102000,0.31
2011-04-19,0.32,0.32,0.32,0.32,428000,0.32
