Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.84,1.86,1.84,1.86,102000,1.86
2011-08-03,1.83,1.85,1.81,1.85,129000,1.85
2011-08-02,1.89,1.89,1.85,1.86,81000,1.86
2011-08-01,1.88,1.89,1.88,1.88,26000,1.88
2011-07-29,1.87,1.90,1.86,1.86,171000,1.86
2011-07-28,1.87,1.88,1.86,1.88,49000,1.88
2011-07-27,1.88,1.88,1.86,1.88,67000,1.88
2011-07-26,1.84,1.88,1.84,1.88,85000,1.88
2011-07-25,1.82,1.84,1.82,1.84,81000,1.84
2011-07-22,1.84,1.86,1.84,1.85,97000,1.85
2011-07-21,1.84,1.86,1.84,1.84,64000,1.84
2011-07-20,1.84,1.84,1.84,1.84,66000,1.84
2011-07-19,1.83,1.86,1.82,1.84,579000,1.84
2011-07-18,1.84,1.85,1.84,1.84,381000,1.84
2011-07-15,1.85,1.86,1.84,1.85,405000,1.85
2011-07-14,1.85,1.85,1.85,1.85,78000,1.85
2011-07-13,1.84,1.86,1.84,1.86,117000,1.86
2011-07-12,1.84,1.84,1.84,1.84,162000,1.84
2011-07-11,1.87,1.87,1.86,1.86,74000,1.86
2011-07-08,1.85,1.87,1.85,1.86,107000,1.86
2011-07-07,1.83,1.85,1.82,1.84,58000,1.84
2011-07-06,1.83,1.85,1.83,1.85,86000,1.85
2011-07-05,1.82,1.82,1.82,1.82,60000,1.82
2011-07-04,1.80,1.82,1.80,1.81,250000,1.81
2011-07-01,1.80,1.81,1.79,1.79,266000,1.79
2011-06-30,1.81,1.81,1.80,1.80,110000,1.80
2011-06-29,1.81,1.81,1.79,1.79,74000,1.79
2011-06-28,1.80,1.80,1.79,1.79,76000,1.79
2011-06-27,1.80,1.83,1.80,1.80,19000,1.80
2011-06-24,1.83,1.83,1.80,1.80,25000,1.80
2011-06-23,1.80,1.81,1.79,1.79,26000,1.79
2011-06-22,1.81,1.83,1.80,1.80,69000,1.80
2011-06-21,1.84,1.84,1.80,1.84,85000,1.84
2011-06-20,1.76,1.80,1.76,1.77,78000,1.77
2011-06-17,1.80,1.83,1.76,1.76,216000,1.76
2011-06-16,1.85,1.85,1.82,1.83,83000,1.83
2011-06-15,1.86,1.86,1.84,1.85,65000,1.85
2011-06-14,1.86,1.87,1.85,1.87,54000,1.87
2011-06-13,1.86,1.86,1.84,1.86,88000,1.86
2011-06-10,1.90,1.90,1.88,1.88,221000,1.88
2011-06-09,1.90,1.90,1.89,1.90,162000,1.90
2011-06-08,1.87,1.89,1.87,1.87,78000,1.87
2011-06-07,1.88,1.89,1.88,1.88,152000,1.88
2011-06-06,1.89,1.90,1.88,1.89,125000,1.89
2011-06-03,1.87,1.90,1.87,1.90,255000,1.90
2011-06-02,1.87,1.88,1.87,1.88,74000,1.88
2011-06-01,1.85,1.88,1.85,1.87,197000,1.87
2011-05-31,1.89,1.90,1.82,1.82,497000,1.82
2011-05-30,1.87,1.89,1.87,1.88,121000,1.88
2011-05-27,1.86,1.88,1.86,1.87,390000,1.87
2011-05-26,1.84,1.88,1.84,1.86,472000,1.86
2011-05-25,1.87,1.89,1.86,1.87,780000,1.87
2011-05-24,1.85,1.88,1.83,1.86,1286000,1.86
2011-05-23,1.85,1.85,1.79,1.80,100000,1.80
2011-05-20,1.85,1.85,1.79,1.81,108000,1.81
2011-05-19,1.83,1.85,1.79,1.85,325000,1.85
2011-05-18,1.82,1.83,1.79,1.79,226000,1.79
2011-05-16,1.82,1.82,1.77,1.79,34000,1.79
2011-05-13,1.81,1.82,1.78,1.82,121000,1.82
2011-05-12,1.82,1.82,1.77,1.77,143000,1.77
2011-05-11,1.78,1.80,1.77,1.77,97000,1.77
2011-05-10,1.77,1.82,1.77,1.81,26000,1.81
2011-05-09,1.82,1.82,1.79,1.79,68000,1.79
2011-05-06,1.78,1.80,1.78,1.80,74000,1.80
2011-05-05,1.84,1.85,1.83,1.85,152000,1.85
2011-05-04,1.85,1.85,1.84,1.84,460000,1.84
2011-05-03,1.87,1.88,1.85,1.85,336000,1.85
2011-04-29,1.86,1.87,1.84,1.86,132000,1.86
2011-04-28,1.88,1.88,1.85,1.85,171000,1.85
2011-04-27,1.87,1.87,1.86,1.87,39000,1.87
2011-04-26,1.87,1.87,1.86,1.87,268000,1.87
2011-04-25,1.87,1.88,1.86,1.87,488000,1.87
2011-04-21,1.87,1.87,1.86,1.87,143000,1.87
2011-04-20,1.85,1.88,1.85,1.87,44000,1.87
2011-04-19,1.86,1.87,1.85,1.86,365000,1.86
2011-04-18,1.87,1.88,1.85,1.86,370000,1.86
2011-04-15,1.86,1.87,1.86,1.87,315000,1.87
2011-04-14,1.86,1.87,1.86,1.87,82000,1.87
2011-04-13,1.87,1.88,1.86,1.86,145000,1.86
2011-04-12,1.87,1.87,1.85,1.87,129000,1.87
2011-04-11,1.87,1.90,1.87,1.87,311000,1.87
2011-04-08,1.87,1.88,1.86,1.87,280000,1.87
2011-04-07,1.87,1.88,1.86,1.87,139000,1.87
2011-04-06,1.90,1.90,1.87,1.87,126000,1.87
2011-04-05,1.86,1.88,1.86,1.86,340000,1.86
2011-04-04,1.87,1.89,1.87,1.87,111000,1.87
2011-04-01,1.89,1.89,1.86,1.87,124000,1.87
2011-03-31,1.90,1.90,1.87,1.89,79000,1.89
2011-03-30,1.86,1.89,1.86,1.89,177000,1.89
2011-03-29,1.86,1.87,1.84,1.85,653000,1.85
2011-03-28,1.87,1.87,1.84,1.86,225000,1.86
2011-03-25,1.88,1.89,1.86,1.88,593000,1.88
2011-03-24,1.91,1.91,1.84,1.88,193000,1.88
2011-03-23,1.88,1.91,1.88,1.90,84000,1.90
2011-03-22,1.86,1.89,1.86,1.89,59000,1.89
2011-03-21,1.83,1.87,1.83,1.86,180000,1.86
2011-03-18,1.86,1.87,1.82,1.82,150000,1.82
2011-03-17,1.84,1.87,1.83,1.84,90000,1.84
2011-03-16,1.84,1.86,1.84,1.85,63000,1.85
2011-03-15,1.89,1.89,1.82,1.84,286000,1.84
2011-03-14,1.89,1.89,1.88,1.88,51000,1.88
2011-03-11,1.92,1.92,1.87,1.91,50000,1.91
2011-03-10,1.93,1.93,1.91,1.91,109000,1.91
2011-03-09,1.91,1.93,1.91,1.92,314000,1.92
2011-03-08,1.91,1.92,1.90,1.91,373000,1.91
2011-03-07,1.84,1.92,1.84,1.90,599000,1.90
2011-03-04,1.87,1.87,1.86,1.87,202000,1.87
2011-03-03,1.85,1.87,1.83,1.84,86000,1.84
2011-03-02,1.84,1.85,1.83,1.83,79000,1.83
2011-03-01,1.85,1.86,1.84,1.86,181000,1.86
2011-02-28,1.85,1.88,1.82,1.83,384000,1.83
2011-02-25,1.85,1.86,1.85,1.86,378000,1.86
2011-02-24,1.88,1.89,1.85,1.89,309000,1.89
2011-02-23,1.86,1.87,1.83,1.86,338000,1.86
2011-02-22,1.84,1.86,1.82,1.84,512000,1.84
2011-02-21,1.87,1.87,1.84,1.84,186000,1.84
2011-02-18,1.88,1.89,1.87,1.87,142000,1.87
2011-02-17,1.88,1.90,1.88,1.89,201000,1.89
2011-02-16,1.87,1.88,1.86,1.87,299000,1.87
2011-02-15,1.88,1.88,1.86,1.86,102000,1.86
2011-02-14,1.87,1.89,1.87,1.89,47000,1.89
2011-02-11,1.92,1.92,1.87,1.87,133000,1.87
2011-02-10,1.91,1.93,1.89,1.90,213000,1.90
2011-02-09,1.91,1.92,1.90,1.90,198000,1.90
2011-02-08,1.91,1.94,1.91,1.91,143000,1.91
2011-02-07,1.95,1.95,1.93,1.94,182000,1.94
2011-02-02,1.92,1.94,1.92,1.94,149000,1.94
2011-02-01,1.93,1.93,1.91,1.91,83000,1.91
2011-01-31,1.95,1.95,1.90,1.90,336000,1.90
2011-01-28,1.93,1.93,1.90,1.93,135000,1.93
2011-01-27,1.94,1.94,1.91,1.93,49000,1.93
2011-01-26,1.93,1.93,1.91,1.91,95000,1.91
2011-01-25,1.91,1.93,1.91,1.93,101000,1.93
2011-01-24,1.92,1.92,1.90,1.90,379000,1.90
2011-01-21,1.94,1.95,1.94,1.94,319000,1.94
2011-01-20,1.95,1.95,1.93,1.93,226000,1.93
2011-01-19,1.93,1.94,1.91,1.94,541000,1.94
2011-01-18,1.92,1.95,1.90,1.90,326000,1.90
2011-01-17,1.91,1.92,1.90,1.91,215000,1.91
2011-01-14,1.95,1.95,1.90,1.93,675000,1.93
2011-01-13,1.97,1.98,1.97,1.98,285000,1.98
2011-01-12,1.97,1.99,1.97,1.97,109000,1.97
2011-01-11,2.00,2.00,1.97,1.97,332000,1.97
2011-01-10,1.97,2.02,1.97,2.00,450000,2.00
2011-01-07,1.99,1.99,1.96,1.96,172000,1.96
2011-01-06,1.99,2.01,1.98,2.00,558000,2.00
2011-01-05,1.99,1.99,1.97,1.98,368000,1.98
2011-01-04,1.98,1.99,1.96,1.97,321000,1.97
2011-01-03,1.96,1.98,1.96,1.97,452000,1.97
2010-12-31,1.96,1.97,1.95,1.95,349000,1.95
2010-12-30,1.97,1.97,1.97,1.97,95000,1.97
2010-12-29,1.96,1.98,1.96,1.96,204000,1.96
2010-12-28,1.98,1.98,1.96,1.96,15000,1.96
2010-12-27,1.98,1.98,1.98,1.98,1000,1.98
2010-12-24,1.95,1.97,1.95,1.97,240000,1.97
2010-12-23,1.97,1.97,1.95,1.95,372000,1.95
2010-12-22,1.97,1.97,1.96,1.97,75000,1.97
2010-12-21,1.95,1.98,1.95,1.97,277000,1.97
2010-12-20,1.98,1.98,1.94,1.94,111000,1.94
2010-12-17,1.98,1.99,1.96,1.96,51000,1.96
2010-12-16,1.98,1.99,1.96,1.98,362000,1.98
2010-12-15,1.97,1.97,1.96,1.97,321000,1.97
2010-12-14,2.00,2.00,1.97,1.98,70000,1.98
2010-12-13,1.99,1.99,1.96,1.96,38000,1.96
2010-12-10,1.97,1.97,1.96,1.96,42000,1.96
2010-12-09,1.97,2.00,1.97,2.00,335000,2.00
2010-12-08,1.95,1.97,1.95,1.96,103000,1.96
2010-12-07,1.94,1.96,1.93,1.95,323000,1.95
2010-12-06,1.94,1.94,1.92,1.92,157000,1.92
2010-12-03,1.97,1.97,1.92,1.92,889000,1.92
2010-12-02,1.98,1.98,1.94,1.95,309000,1.95
2010-12-01,1.96,1.97,1.95,1.96,234000,1.96
2010-11-30,1.97,1.97,1.95,1.95,529000,1.95
2010-11-29,1.99,1.99,1.96,1.96,137000,1.96
2010-11-26,1.98,1.98,1.95,1.96,139000,1.96
2010-11-25,1.98,1.99,1.98,1.99,94000,1.99
2010-11-24,1.95,1.99,1.94,1.98,219000,1.98
2010-11-23,2.01,2.01,1.95,1.95,629000,1.95
2010-11-22,2.02,2.02,1.98,2.00,897000,2.00
2010-11-19,2.00,2.01,1.99,1.99,281000,1.99
2010-11-18,1.98,2.01,1.98,1.99,560000,1.99
2010-11-16,2.01,2.01,1.98,2.00,428000,2.00
2010-11-15,2.00,2.01,1.99,2.00,437000,2.00
2010-11-12,2.03,2.03,2.00,2.00,268000,2.00
2010-11-11,2.03,2.04,2.00,2.03,929000,2.03
2010-11-10,2.02,2.04,2.00,2.02,1362000,2.02
2010-11-09,2.02,2.04,1.99,1.99,698000,1.99
2010-11-08,2.01,2.02,2.00,2.02,749000,2.02
2010-11-04,2.01,2.02,1.97,1.97,838000,1.97
2010-11-03,2.00,2.01,1.98,1.98,323000,1.98
2010-11-02,1.98,2.03,1.98,1.99,600000,1.99
2010-11-01,1.95,1.98,1.94,1.97,990000,1.97
2010-10-29,1.93,1.95,1.92,1.95,457000,1.95
2010-10-28,1.92,1.93,1.92,1.93,314000,1.93
2010-10-27,1.94,1.95,1.91,1.91,635000,1.91
2010-10-26,1.93,1.95,1.92,1.93,794000,1.93
2010-10-25,1.90,1.93,1.90,1.93,451000,1.93
2010-10-22,1.90,1.90,1.89,1.89,576000,1.89
2010-10-21,1.90,1.91,1.90,1.90,303000,1.90
2010-10-20,1.89,1.90,1.89,1.90,574000,1.90
2010-10-19,1.93,1.93,1.89,1.89,1218000,1.89
2010-10-18,1.94,1.95,1.92,1.92,2400000,1.92
2010-10-15,1.94,1.94,1.91,1.93,6277000,1.93
2010-10-14,1.93,1.94,1.92,1.93,245000,1.93
2010-10-13,1.91,1.94,1.91,1.94,695000,1.94
