Date,Open,High,Low,Close,Volume,Adj Close
2011-08-03,1.96,1.96,1.92,1.94,5021000,1.94
2011-08-02,2.00,2.00,1.98,1.98,3569000,1.98
2011-08-01,2.03,2.04,2.00,2.00,7209000,2.00
2011-07-29,2.01,2.02,2.00,2.02,6672000,2.02
2011-07-28,1.97,2.02,1.97,2.00,4147000,2.00
2011-07-27,2.00,2.01,1.99,2.00,3842000,2.00
2011-07-26,2.04,2.04,2.00,2.00,6641000,2.00
2011-07-25,2.02,2.04,2.01,2.03,3173000,2.03
2011-07-22,2.05,2.05,2.00,2.04,12177000,2.04
2011-07-21,2.00,2.05,2.00,2.05,9122000,2.05
2011-07-20,2.01,2.01,2.00,2.01,7075000,2.01
2011-07-19,1.95,2.00,1.95,1.99,4152000,1.99
2011-07-18,1.99,2.00,1.95,1.96,4084000,1.96
2011-07-15,2.01,2.01,1.99,1.99,3330000,1.99
2011-07-14,2.00,2.01,1.99,2.01,3104000,2.01
2011-07-13,2.03,2.03,1.99,2.00,13753000,2.00
2011-07-12,2.08,2.09,2.01,2.02,7667000,2.02
2011-07-11,2.09,2.11,2.09,2.09,24128000,2.09
2011-07-08,2.10,2.11,2.08,2.10,16785000,2.10
2011-07-07,2.10,2.11,2.09,2.11,12222000,2.11
2011-07-06,2.08,2.11,2.08,2.08,8115000,2.08
2011-07-05,2.09,2.09,2.06,2.08,3561000,2.08
2011-07-04,2.08,2.09,2.07,2.09,3722000,2.09
2011-07-01,2.05,2.07,2.05,2.07,3623000,2.07
2011-06-30,2.03,2.08,2.03,2.06,13357000,2.06
2011-06-29,2.04,2.06,2.03,2.05,11558000,2.05
2011-06-28,2.00,2.05,1.99,2.01,11424000,2.01
2011-06-27,1.97,1.99,1.96,1.98,1759000,1.98
2011-06-24,1.97,1.98,1.96,1.97,1840000,1.97
2011-06-23,1.97,1.98,1.95,1.95,3213000,1.95
2011-06-22,2.02,2.02,1.97,1.99,4361000,1.99
2011-06-21,2.01,2.01,1.97,2.01,7758000,2.01
2011-06-20,2.02,2.04,1.97,2.00,6522000,2.00
2011-06-17,2.03,2.03,2.00,2.02,7068000,2.02
2011-06-16,2.04,2.06,2.01,2.02,6546000,2.02
2011-06-15,2.07,2.08,2.03,2.07,4586000,2.07
2011-06-14,2.06,2.07,2.05,2.07,3119000,2.07
2011-06-13,2.05,2.06,2.03,2.06,3002000,2.06
2011-06-10,2.07,2.08,2.03,2.03,2468000,2.03
2011-06-09,2.09,2.09,2.05,2.06,11944000,2.06
2011-06-08,2.09,2.10,2.05,2.09,8656000,2.09
2011-06-07,2.03,2.10,2.01,2.08,13499000,2.08
2011-06-06,2.04,2.04,2.01,2.01,3832000,2.01
2011-06-03,2.06,2.07,2.04,2.05,4913000,2.05
2011-06-02,2.02,2.05,2.00,2.05,12948000,2.05
2011-06-01,2.01,2.04,2.00,2.01,8069000,2.01
2011-05-31,2.00,2.05,1.98,2.00,20956000,2.00
2011-05-30,1.99,2.00,1.98,1.99,1722000,1.99
2011-05-27,1.99,2.00,1.98,1.98,4524000,1.98
2011-05-26,2.00,2.00,1.98,2.00,2853000,2.00
2011-05-25,1.97,2.00,1.95,2.00,4245000,2.00
2011-05-24,1.95,1.98,1.95,1.98,2384000,1.98
2011-05-23,1.99,1.99,1.95,1.95,3103000,1.95
2011-05-20,2.00,2.01,1.98,2.01,4795000,2.01
2011-05-19,2.00,2.02,1.99,2.02,8378000,2.02
2011-05-18,1.93,1.99,1.93,1.99,14395000,1.99
2011-05-16,1.95,1.96,1.89,1.92,10671000,1.92
2011-05-13,1.97,1.97,1.95,1.97,1960000,1.97
2011-05-12,1.99,2.00,1.95,1.97,3882000,1.97
2011-05-11,2.00,2.01,1.99,1.99,11210000,1.99
2011-05-10,1.99,2.00,1.99,2.00,4288000,2.00
2011-05-09,1.99,2.00,1.99,2.00,3661000,2.00
2011-05-06,1.96,1.99,1.96,1.99,8831000,1.99
2011-05-05,1.97,1.98,1.96,1.98,4602000,1.98
2011-05-04,1.96,1.98,1.95,1.97,6675000,1.97
2011-05-03,1.95,1.96,1.94,1.96,7173000,1.96
2011-04-29,1.95,1.95,1.93,1.93,7056000,1.93
2011-04-28,1.95,1.95,1.93,1.95,2538000,1.95
2011-04-27,1.94,1.96,1.93,1.94,7242000,1.94
2011-04-26,1.93,1.96,1.91,1.93,6939000,1.93
2011-04-25,1.97,1.97,1.92,1.93,5594000,1.93
2011-04-21,1.97,2.00,1.96,1.96,9563000,1.96
2011-04-20,1.98,1.99,1.96,1.97,7888000,1.97
2011-04-19,1.96,1.98,1.94,1.97,9683000,1.97
2011-04-18,2.00,2.00,1.95,1.96,5581000,1.96
2011-04-15,2.00,2.00,1.99,2.00,3184000,2.00
2011-04-14,2.00,2.00,1.98,2.00,5656000,2.00
2011-04-13,1.98,2.00,1.97,2.00,8043000,2.00
2011-04-12,1.98,1.98,1.96,1.97,5132000,1.97
2011-04-11,1.99,1.99,1.95,1.97,11856000,1.97
2011-04-08,2.00,2.00,1.98,2.00,6508000,2.00
2011-04-07,2.00,2.02,1.99,2.01,10170000,2.01
2011-04-06,2.00,2.02,1.98,2.00,21023000,2.00
2011-04-05,1.99,2.04,1.98,2.00,23386000,2.00
2011-04-04,1.93,1.99,1.93,1.98,30549000,1.98
2011-04-01,1.90,1.93,1.89,1.92,11181000,1.92
2011-03-31,1.92,1.94,1.87,1.87,17061000,1.87
2011-03-30,1.84,1.92,1.83,1.90,20592000,1.90
2011-03-29,1.82,1.84,1.79,1.83,10735000,1.83
2011-03-28,1.82,1.83,1.78,1.82,12183000,1.82
2011-03-25,1.81,1.83,1.80,1.81,10345000,1.81
2011-03-24,1.84,1.85,1.80,1.81,13908000,1.81
2011-03-23,1.83,1.87,1.83,1.85,40762000,1.85
2011-03-22,1.81,1.85,1.80,1.83,47771000,1.83
2011-03-21,1.80,1.81,1.79,1.80,7934000,1.80
2011-03-18,1.81,1.82,1.78,1.79,19700000,1.79
2011-03-17,1.80,1.82,1.78,1.79,18423000,1.79
2011-03-16,1.85,1.86,1.82,1.84,17953000,1.84
2011-03-15,1.85,1.85,1.74,1.82,43455000,1.82
2011-03-14,1.89,1.89,1.86,1.88,31958000,1.88
2011-03-11,1.94,1.95,1.84,1.90,45192000,1.90
2011-03-10,1.97,1.97,1.94,1.96,10368000,1.96
2011-03-09,1.93,1.98,1.93,1.97,25985000,1.97
2011-03-08,1.89,1.94,1.88,1.92,13141000,1.92
2011-03-07,1.89,1.92,1.88,1.88,7391000,1.88
2011-03-04,1.90,1.91,1.89,1.90,7136000,1.90
2011-03-03,1.89,1.91,1.88,1.88,7428000,1.88
2011-03-02,1.89,1.91,1.88,1.89,6333000,1.89
2011-03-01,1.90,1.92,1.90,1.92,7587000,1.92
2011-02-28,1.91,1.92,1.87,1.90,18370000,1.90
2011-02-25,1.93,1.95,1.91,1.95,5090000,1.95
2011-02-24,1.93,1.96,1.89,1.93,8808000,1.93
2011-02-23,1.93,1.96,1.91,1.96,6413000,1.96
2011-02-22,1.91,1.94,1.88,1.94,7403000,1.94
2011-02-21,1.93,1.94,1.90,1.91,6200000,1.91
2011-02-18,1.90,1.94,1.90,1.94,9689000,1.94
2011-02-17,1.92,1.92,1.89,1.90,12045000,1.90
2011-02-16,1.93,1.95,1.89,1.90,14643000,1.90
2011-02-15,1.96,1.96,1.92,1.93,11044000,1.93
2011-02-14,1.96,1.99,1.95,1.96,19006000,1.96
2011-02-11,2.00,2.01,1.88,1.93,48128000,1.93
2011-02-10,2.02,2.02,1.99,1.99,18685000,1.99
2011-02-09,2.08,2.08,2.01,2.02,21159000,2.02
2011-02-08,2.08,2.09,2.06,2.08,10735000,2.08
2011-02-07,2.10,2.11,2.07,2.08,8825000,2.08
2011-02-02,2.09,2.10,2.08,2.10,2822000,2.10
2011-02-01,2.09,2.09,2.07,2.08,3281000,2.08
2011-01-31,2.12,2.12,2.07,2.08,12681000,2.08
2011-01-28,2.12,2.13,2.12,2.13,5952000,2.13
2011-01-27,2.10,2.14,2.10,2.12,15279000,2.12
2011-01-26,2.07,2.10,2.05,2.09,12313000,2.09
2011-01-25,2.08,2.09,2.06,2.07,6734000,2.07
2011-01-24,2.09,2.10,2.06,2.07,14666000,2.07
2011-01-21,2.12,2.12,2.08,2.08,13203000,2.08
2011-01-20,2.12,2.12,2.10,2.11,10004000,2.11
2011-01-19,2.14,2.14,2.11,2.12,7177000,2.12
2011-01-18,2.12,2.14,2.11,2.14,4669000,2.14
2011-01-17,2.13,2.14,2.10,2.11,7835000,2.11
2011-01-14,2.14,2.15,2.10,2.13,24260000,2.13
2011-01-13,2.16,2.17,2.14,2.14,7725000,2.14
2011-01-12,2.15,2.17,2.14,2.16,18445000,2.16
2011-01-11,2.14,2.15,2.14,2.15,4015000,2.15
2011-01-10,2.16,2.17,2.14,2.14,6610000,2.14
2011-01-07,2.19,2.19,2.15,2.15,32666000,2.15
2011-01-06,2.17,2.21,2.15,2.19,81553000,2.19
2011-01-05,2.15,2.18,2.14,2.16,57181000,2.16
2011-01-04,2.16,2.17,2.13,2.14,9896000,2.14
2011-01-03,2.15,2.17,2.15,2.16,4365000,2.16
2010-12-31,2.15,2.18,2.14,2.16,11267000,2.16
2010-12-30,2.15,2.16,2.14,2.14,9220000,2.14
2010-12-29,2.17,2.18,2.15,2.15,16098000,2.15
2010-12-28,2.18,2.19,2.15,2.17,11478000,2.17
2010-12-27,2.18,2.22,2.18,2.18,3874000,2.18
2010-12-24,2.17,2.20,2.16,2.18,1812000,2.18
2010-12-23,2.20,2.20,2.16,2.16,3631000,2.16
2010-12-22,2.18,2.19,2.17,2.18,2077000,2.18
2010-12-21,2.17,2.19,2.16,2.17,2813000,2.17
2010-12-20,2.22,2.22,2.16,2.16,5969000,2.16
2010-12-17,2.12,2.26,2.12,2.26,33203000,2.26
2010-12-16,2.13,2.14,2.09,2.12,6247000,2.12
2010-12-15,2.13,2.15,2.11,2.12,6577000,2.12
2010-12-14,2.11,2.14,2.11,2.12,6110000,2.12
