Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.12,0.12,0.12,0.12,850000,0.12
2011-08-03,0.12,0.12,0.12,0.12,127000,0.12
2011-08-02,0.12,0.12,0.12,0.12,22000,0.12
2011-08-01,0.12,0.12,0.12,0.12,895000,0.12
2011-07-29,0.12,0.13,0.12,0.12,1691000,0.12
2011-07-28,0.12,0.12,0.12,0.12,209000,0.12
2011-07-27,0.12,0.12,0.12,0.12,743000,0.12
2011-07-26,0.12,0.12,0.12,0.12,827000,0.12
2011-07-25,0.12,0.12,0.11,0.12,350000,0.12
2011-07-22,0.12,0.12,0.12,0.12,471000,0.12
2011-07-21,0.12,0.12,0.11,0.12,231000,0.12
2011-07-20,0.12,0.12,0.12,0.12,526000,0.12
2011-07-19,0.12,0.12,0.12,0.12,161000,0.12
2011-07-18,0.12,0.12,0.12,0.12,283000,0.12
2011-07-15,0.12,0.12,0.12,0.12,80000,0.12
2011-07-14,0.12,0.12,0.12,0.12,120000,0.12
2011-07-13,0.12,0.13,0.12,0.12,463000,0.12
2011-07-12,0.13,0.13,0.12,0.12,822000,0.12
2011-07-11,0.13,0.13,0.13,0.13,205000,0.13
2011-07-08,0.13,0.13,0.13,0.13,392000,0.13
2011-07-07,0.13,0.13,0.12,0.13,271000,0.13
2011-07-06,0.13,0.13,0.13,0.13,341000,0.13
2011-07-05,0.13,0.13,0.13,0.13,567000,0.13
2011-07-04,0.14,0.14,0.13,0.13,492000,0.13
2011-07-01,0.14,0.14,0.14,0.14,1275000,0.14
2011-06-30,0.13,0.14,0.12,0.14,3502000,0.14
2011-06-29,0.12,0.13,0.12,0.12,1936000,0.12
2011-06-28,0.12,0.13,0.12,0.12,1536000,0.12
2011-06-27,0.12,0.12,0.12,0.12,387000,0.12
2011-06-24,0.12,0.12,0.12,0.12,744000,0.12
2011-06-23,0.13,0.13,0.12,0.12,3748000,0.12
2011-06-22,0.13,0.13,0.12,0.12,1000000,0.12
2011-06-21,0.12,0.13,0.12,0.12,726000,0.12
2011-06-20,0.12,0.12,0.12,0.12,797000,0.12
2011-06-17,0.12,0.12,0.12,0.12,1122000,0.12
2011-06-16,0.14,0.14,0.12,0.12,1920000,0.12
2011-06-15,0.14,0.14,0.14,0.14,521000,0.14
2011-06-14,0.14,0.14,0.14,0.14,289000,0.14
2011-06-13,0.14,0.14,0.14,0.14,484000,0.14
2011-06-10,0.15,0.15,0.14,0.15,1430000,0.15
2011-06-09,0.15,0.15,0.15,0.15,684000,0.15
2011-06-08,0.16,0.16,0.15,0.15,1826000,0.15
2011-06-07,0.15,0.16,0.14,0.16,2171000,0.16
2011-06-06,0.15,0.15,0.14,0.14,110000,0.14
2011-06-03,0.15,0.16,0.14,0.15,2342000,0.15
2011-06-02,0.15,0.15,0.14,0.14,441000,0.14
2011-06-01,0.15,0.15,0.15,0.15,791000,0.15
2011-05-31,0.15,0.16,0.15,0.15,746000,0.15
2011-05-30,0.15,0.16,0.15,0.16,833000,0.16
2011-05-27,0.16,0.16,0.15,0.15,583000,0.15
2011-05-26,0.16,0.16,0.16,0.16,875000,0.16
2011-05-25,0.16,0.16,0.16,0.16,584000,0.16
2011-05-24,0.16,0.16,0.16,0.16,883000,0.16
2011-05-23,0.17,0.17,0.16,0.16,1775000,0.16
2011-05-20,0.17,0.17,0.17,0.17,1442000,0.17
2011-05-19,0.17,0.17,0.17,0.17,1089000,0.17
2011-05-18,0.18,0.18,0.17,0.17,3439000,0.17
