Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,106.60,107.30,106.60,107.30,5700,107.30
2011-08-03,106.70,106.70,106.31,106.60,4300,106.60
2011-08-02,106.70,106.90,106.70,106.90,1200,106.90
2011-08-01,106.50,106.66,106.50,106.66,1300,106.66
2011-07-29,106.50,107.80,106.45,107.80,3300,107.80
2011-07-28,106.30,106.50,106.10,106.50,2500,106.50
2011-07-27,106.00,106.40,105.80,106.40,1400,106.40
2011-07-26,106.50,106.50,105.00,105.50,4700,105.50
2011-07-25,106.40,106.40,106.30,106.40,1000,106.40
2011-07-22,106.40,106.60,106.30,106.40,1900,106.40
2011-07-21,106.20,106.40,106.20,106.40,2600,106.40
2011-07-20,105.80,106.20,105.80,106.20,2700,106.20
2011-07-19,105.65,106.00,105.65,106.00,1300,106.00
2011-07-18,105.80,105.80,105.80,105.80,300,105.80
2011-07-15,105.75,106.00,104.00,106.00,16200,106.00
2011-07-14,105.80,105.80,105.80,105.80,1100,105.80
2011-07-13,105.60,105.70,105.60,105.70,1800,105.70
2011-07-12,105.40,105.50,105.40,105.50,5800,105.50
2011-07-11,105.80,106.00,105.53,105.55,3800,105.55
2011-07-08,105.70,105.80,105.70,105.80,1600,105.80
2011-07-07,105.85,106.00,105.65,106.00,2400,106.00
2011-07-06,105.75,105.95,105.61,105.95,8000,105.95
2011-07-05,105.90,105.91,105.90,105.91,2300,105.91
2011-07-04,106.20,106.20,106.00,106.00,400,106.00
2011-07-01,106.00,106.20,105.90,106.20,1100,106.20
2011-06-30,105.88,107.00,105.80,107.00,7900,107.00
2011-06-29,105.70,106.00,105.60,105.80,2600,105.80
2011-06-28,105.50,105.70,105.50,105.70,3500,105.70
2011-06-27,105.10,105.50,105.10,105.50,200,105.50
2011-06-24,105.36,105.50,105.00,105.50,4500,105.50
2011-06-23,105.20,105.50,105.20,105.30,900,105.30
2011-06-22,105.10,105.10,105.10,105.10,600,105.10
2011-06-21,104.84,105.20,104.84,105.20,6500,105.20
2011-06-20,105.02,105.02,104.82,104.84,3400,104.84
2011-06-17,105.00,105.30,104.82,104.82,6500,104.82
2011-06-16,105.58,105.58,105.20,105.24,4300,105.24
2011-06-15,105.70,105.70,105.68,105.68,900,105.68
2011-06-14,105.70,105.80,105.70,105.80,2400,105.80
2011-06-13,105.84,105.86,105.70,105.70,1400,105.70
2011-06-10,105.84,105.84,105.84,105.84,700,105.84
2011-06-09,105.84,105.98,105.84,105.90,1600,105.90
2011-06-08,105.84,106.00,105.84,105.84,2900,105.84
2011-06-07,105.80,105.84,105.80,105.84,1700,105.84
2011-06-06,105.84,105.86,105.84,105.86,500,105.86
2011-06-03,105.88,105.88,105.74,105.88,3000,105.88
2011-06-02,105.78,105.88,105.70,105.88,1400,105.88
2011-06-01,105.86,105.88,105.82,105.88,1900,105.88
2011-05-31,105.80,106.00,105.64,106.00,6300,106.00
2011-05-30,105.46,105.82,105.46,105.82,1500,105.82
2011-05-27,105.50,105.60,105.44,105.60,2700,105.60
2011-05-26,105.20,105.50,105.20,105.50,4000,105.50
2011-05-25,105.20,105.26,105.12,105.20,1300,105.20
2011-05-24,104.98,105.20,104.90,105.20,6900,105.20
2011-05-23,104.78,105.00,104.78,105.00,3900,105.00
2011-05-20,104.86,104.98,104.74,104.98,2100,104.98
2011-05-19,104.68,104.80,104.68,104.78,3200,104.78
2011-05-18,104.66,104.80,104.62,104.66,5900,104.66
2011-05-16,104.34,104.50,104.34,104.48,2500,104.48
2011-05-13,104.20,104.40,104.20,104.32,4100,104.32
2011-05-12,104.38,104.38,104.26,104.30,1000,104.30
2011-05-11,104.28,104.40,104.14,104.40,1700,104.40
2011-05-10,104.10,104.48,104.10,104.48,4200,104.48
2011-05-09,104.00,104.20,104.00,104.14,7700,104.14
2011-05-06,104.58,104.58,103.40,103.92,10600,103.92
2011-05-05,105.18,105.22,105.08,105.12,4800,105.12
2011-05-04,105.20,105.22,105.10,105.22,4000,105.22
2011-05-03,105.02,105.10,105.02,105.10,4700,105.10
2011-04-29,104.98,105.10,104.98,105.00,5900,105.00
2011-04-28,104.84,104.90,104.84,104.90,3300,104.90
2011-04-27,104.80,104.90,104.80,104.80,2600,104.80
2011-04-26,104.70,104.80,104.70,104.80,2900,104.80
2011-04-25,104.60,104.80,104.60,104.78,3500,104.78
2011-04-21,104.40,104.80,104.40,104.80,3100,104.80
2011-04-20,104.46,104.50,104.46,104.46,3100,104.46
2011-04-19,104.60,104.60,104.50,104.56,3100,104.56
2011-04-18,104.58,104.60,104.58,104.58,2000,104.58
2011-04-15,104.56,104.62,104.56,104.60,6000,104.60
2011-04-14,104.54,104.70,104.54,104.58,5400,104.58
2011-04-13,104.50,104.60,104.50,104.60,3900,104.60
2011-04-12,104.60,104.60,104.50,104.58,2000,104.58
2011-04-11,104.60,104.60,104.56,104.60,4800,104.60
2011-04-08,104.60,104.60,104.50,104.60,700,104.60
2011-04-07,104.50,104.60,104.50,104.60,2100,104.60
2011-04-06,104.30,104.50,104.30,104.50,4300,104.50
2011-04-05,104.30,104.30,104.20,104.30,5200,104.30
2011-04-04,104.20,104.20,104.08,104.20,4300,104.20
2011-04-01,104.60,104.60,104.30,104.30,600,104.30
2011-03-31,104.00,104.60,104.00,104.10,5300,104.10
2011-03-30,103.50,104.00,103.50,104.00,2100,104.00
2011-03-29,103.48,103.50,103.48,103.50,800,103.50
2011-03-28,103.34,103.40,103.28,103.34,25400,103.34
2011-03-25,103.64,103.64,103.30,103.30,21900,103.30
2011-03-24,103.60,103.68,103.60,103.60,3400,103.60
2011-03-23,103.54,103.62,103.52,103.54,5300,103.54
2011-03-22,103.50,103.56,103.50,103.54,4400,103.54
2011-03-21,103.46,103.50,103.42,103.50,4400,103.50
2011-03-18,103.30,103.48,103.30,103.48,5400,103.48
2011-03-17,103.46,103.46,103.28,103.32,4700,103.32
2011-03-16,103.10,103.50,103.10,103.36,6500,103.36
2011-03-15,103.70,103.70,103.10,103.20,5000,103.20
2011-03-14,103.72,103.74,103.70,103.70,1700,103.70
2011-03-11,103.80,103.80,103.70,103.70,4200,103.70
