Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.36,1.38,1.34,1.37,9278000,1.37
2011-08-03,1.35,1.38,1.32,1.36,12425000,1.36
2011-08-02,1.42,1.42,1.38,1.38,13758000,1.38
2011-08-01,1.45,1.47,1.41,1.42,11175000,1.42
2011-07-29,1.43,1.44,1.42,1.44,5932000,1.44
2011-07-28,1.40,1.44,1.39,1.43,7749000,1.43
2011-07-27,1.42,1.43,1.41,1.41,12194000,1.41
2011-07-26,1.45,1.45,1.43,1.44,6656000,1.44
2011-07-25,1.43,1.46,1.42,1.45,7203000,1.45
2011-07-22,1.43,1.47,1.43,1.46,15103000,1.46
2011-07-21,1.43,1.46,1.40,1.42,11281000,1.42
2011-07-20,1.41,1.44,1.39,1.42,14833000,1.42
2011-07-19,1.37,1.39,1.35,1.39,16410000,1.39
2011-07-18,1.40,1.40,1.37,1.37,10815000,1.37
2011-07-15,1.42,1.43,1.41,1.41,6505000,1.41
2011-07-14,1.44,1.45,1.42,1.42,9903000,1.42
2011-07-13,1.45,1.45,1.43,1.44,5864000,1.44
2011-07-12,1.42,1.45,1.41,1.45,19219000,1.45
2011-07-11,1.48,1.49,1.43,1.44,29148000,1.44
2011-07-08,1.49,1.50,1.48,1.49,9586000,1.49
2011-07-07,1.50,1.50,1.46,1.49,21830000,1.49
2011-07-06,1.53,1.54,1.49,1.50,12780000,1.50
2011-07-05,1.55,1.55,1.53,1.54,6167000,1.54
2011-07-04,1.55,1.55,1.53,1.55,6894000,1.55
2011-07-01,1.53,1.54,1.53,1.54,3310000,1.54
2011-06-30,1.55,1.55,1.52,1.53,17621000,1.53
2011-06-29,1.55,1.56,1.52,1.54,10099000,1.54
2011-06-28,1.55,1.56,1.51,1.52,11332000,1.52
2011-06-27,1.52,1.56,1.51,1.53,9691000,1.53
2011-06-24,1.49,1.55,1.48,1.55,18204000,1.55
2011-06-23,1.47,1.50,1.44,1.47,11697000,1.47
2011-06-22,1.55,1.57,1.46,1.47,32804000,1.47
2011-06-21,1.46,1.54,1.46,1.53,24565000,1.53
2011-06-20,1.53,1.54,1.44,1.45,21614000,1.45
2011-06-17,1.54,1.56,1.51,1.52,8995000,1.52
2011-06-16,1.53,1.56,1.51,1.53,13546000,1.53
2011-06-15,1.62,1.63,1.53,1.53,22081000,1.53
2011-06-14,1.61,1.63,1.60,1.61,8415000,1.61
2011-06-13,1.64,1.64,1.58,1.62,16112000,1.62
2011-06-10,1.69,1.70,1.65,1.65,8425000,1.65
2011-06-09,1.71,1.73,1.68,1.68,16122000,1.68
2011-06-08,1.73,1.74,1.71,1.71,5379000,1.71
2011-06-07,1.73,1.75,1.70,1.74,7340000,1.74
2011-06-06,1.78,1.78,1.71,1.73,20564000,1.73
2011-06-03,1.81,1.81,1.79,1.79,3514000,1.79
2011-06-02,1.80,1.81,1.78,1.80,9228000,1.80
2011-06-01,1.83,1.86,1.82,1.82,5811000,1.82
2011-05-31,1.83,1.84,1.82,1.83,4513000,1.83
2011-05-30,1.83,1.85,1.82,1.84,2920000,1.84
2011-05-27,1.81,1.84,1.80,1.82,5356000,1.82
2011-05-26,1.82,1.83,1.80,1.82,3750000,1.82
2011-05-25,1.83,1.83,1.79,1.81,7665000,1.81
2011-05-24,1.82,1.85,1.82,1.83,6295000,1.83
2011-05-23,1.86,1.86,1.81,1.83,9014000,1.83
2011-05-20,1.86,1.88,1.85,1.88,4814000,1.88
2011-05-19,1.85,1.90,1.84,1.86,9890000,1.86
2011-05-18,1.85,1.87,1.84,1.84,8670000,1.84
2011-05-16,1.88,1.88,1.86,1.86,7873000,1.86
2011-05-13,1.91,1.92,1.88,1.90,3928000,1.90
2011-05-12,1.91,1.92,1.88,1.90,8529000,1.90
2011-05-11,1.92,1.93,1.90,1.92,8445000,1.92
2011-05-10,1.93,1.93,1.90,1.91,9788000,1.91
2011-05-09,1.87,1.93,1.87,1.93,23771000,1.93
2011-05-06,1.81,1.86,1.81,1.84,12296000,1.84
2011-05-05,1.81,1.85,1.80,1.81,17940000,1.81
2011-05-04,1.83,1.85,1.82,1.83,12398000,1.83
2011-05-03,1.89,1.90,1.85,1.85,7473000,1.85
2011-04-29,1.90,1.90,1.88,1.88,6547000,1.88
2011-04-28,1.91,1.92,1.88,1.89,9675000,1.89
2011-04-27,1.91,1.92,1.88,1.90,10207000,1.90
2011-04-26,1.91,1.92,1.88,1.89,8476000,1.89
2011-04-25,1.92,1.93,1.90,1.92,4238000,1.92
2011-04-21,1.93,1.95,1.92,1.92,8574000,1.92
2011-04-20,1.91,1.93,1.90,1.92,10610000,1.92
2011-04-19,1.89,1.91,1.88,1.90,12753000,1.90
2011-04-18,1.94,1.95,1.90,1.90,17010000,1.90
2011-04-15,1.95,1.96,1.94,1.94,12161000,1.94
2011-04-14,1.99,2.00,1.98,1.98,13167000,1.98
2011-04-13,1.96,2.01,1.95,2.01,21985000,2.01
2011-04-12,1.96,1.97,1.95,1.95,15340000,1.95
2011-04-11,1.99,2.00,1.97,1.97,15088000,1.97
2011-04-08,1.95,2.01,1.94,1.99,26972000,1.99
2011-04-07,1.97,1.98,1.94,1.95,14675000,1.95
2011-04-06,1.97,1.99,1.95,1.97,13620000,1.97
2011-04-05,1.99,2.01,1.97,1.97,20721000,1.97
2011-04-04,1.95,2.00,1.95,1.99,24688000,1.99
2011-04-01,1.94,1.96,1.92,1.95,17024000,1.95
2011-03-31,1.97,1.98,1.93,1.94,12727000,1.94
2011-03-30,1.96,1.98,1.95,1.96,11775000,1.96
2011-03-29,1.92,1.96,1.92,1.95,10249000,1.95
2011-03-28,1.98,1.98,1.92,1.93,29602000,1.93
2011-03-25,2.01,2.02,1.98,1.99,20030000,1.99
