Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.04,0.04,0.04,0.04,4070000,0.04
2011-08-03,0.04,0.04,0.04,0.04,23237000,0.04
2011-08-02,0.04,0.04,0.04,0.04,5304000,0.04
2011-08-01,0.04,0.04,0.04,0.04,1485000,0.04
2011-07-29,0.04,0.04,0.04,0.04,3512000,0.04
2011-07-28,0.04,0.04,0.04,0.04,12421000,0.04
2011-07-27,0.04,0.04,0.04,0.04,12542000,0.04
2011-07-26,0.04,0.04,0.04,0.04,7725000,0.04
2011-07-25,0.04,0.04,0.04,0.04,19409000,0.04
2011-07-22,0.04,0.04,0.04,0.04,4667000,0.04
2011-07-21,0.04,0.04,0.04,0.04,1117000,0.04
2011-07-20,0.04,0.04,0.04,0.04,2398000,0.04
2011-07-19,0.04,0.04,0.04,0.04,2000000,0.04
2011-07-18,0.04,0.04,0.04,0.04,4958000,0.04
2011-07-15,0.04,0.04,0.04,0.04,2905000,0.04
2011-07-14,0.04,0.04,0.04,0.04,2365000,0.04
2011-07-13,0.04,0.04,0.04,0.04,3237000,0.04
2011-07-12,0.04,0.04,0.04,0.04,13020000,0.04
2011-07-11,0.03,0.04,0.03,0.04,7438000,0.04
2011-07-08,0.03,0.03,0.03,0.03,8845000,0.03
2011-07-07,0.03,0.03,0.03,0.03,7226000,0.03
2011-07-06,0.02,0.03,0.02,0.03,7716000,0.03
2011-07-05,0.02,0.02,0.02,0.02,1442000,0.02
2011-07-04,0.02,0.02,0.02,0.02,1511000,0.02
2011-07-01,0.03,0.03,0.03,0.03,6717000,0.03
2011-06-30,0.03,0.03,0.03,0.03,4004000,0.03
2011-06-29,0.02,0.03,0.02,0.03,12662000,0.03
2011-06-28,0.02,0.02,0.02,0.02,54000,0.02
2011-06-27,0.02,0.02,0.02,0.02,61000,0.02
2011-06-24,0.02,0.02,0.02,0.02,300000,0.02
2011-06-23,0.02,0.02,0.02,0.02,812000,0.02
2011-06-22,0.02,0.02,0.02,0.02,200000,0.02
2011-06-21,0.02,0.02,0.02,0.02,3298000,0.02
2011-06-20,0.02,0.02,0.02,0.02,1870000,0.02
2011-06-17,0.02,0.02,0.02,0.02,1003000,0.02
2011-06-16,0.02,0.02,0.02,0.02,3600000,0.02
2011-06-15,0.02,0.02,0.02,0.02,3396000,0.02
2011-06-14,0.02,0.03,0.02,0.02,2179000,0.02
2011-06-13,0.02,0.02,0.01,0.02,6711000,0.02
2011-06-10,0.02,0.02,0.02,0.02,8368000,0.02
2011-06-09,0.02,0.02,0.02,0.02,2641000,0.02
2011-06-08,0.02,0.02,0.02,0.02,11187000,0.02
2011-06-07,0.02,0.02,0.02,0.02,36895000,0.02
2011-06-06,0.03,0.03,0.03,0.03,576000,0.03
2011-06-03,0.02,0.03,0.02,0.03,3252000,0.03
2011-06-02,0.02,0.02,0.02,0.02,2188000,0.02
2011-06-01,0.02,0.03,0.02,0.02,000,0.02
2011-05-31,0.02,0.02,0.02,0.02,410000,0.02
2011-05-30,0.02,0.03,0.02,0.02,231000,0.02
2011-05-27,0.02,0.02,0.02,0.02,7000,0.02
2011-05-26,0.02,0.02,0.02,0.02,394000,0.02
2011-05-25,0.03,0.03,0.03,0.03,10000,0.03
2011-05-24,0.02,0.03,0.02,0.03,278000,0.03
2011-05-23,0.02,0.02,0.02,0.02,27000,0.02
2011-05-20,0.02,0.02,0.02,0.02,457000,0.02
2011-05-19,0.03,0.03,0.02,0.02,175000,0.02
2011-05-18,0.03,0.03,0.02,0.02,90000,0.02
2011-05-16,0.03,0.03,0.03,0.03,439000,0.03
2011-05-13,0.03,0.03,0.03,0.03,493000,0.03
2011-05-12,0.03,0.03,0.03,0.03,248000,0.03
2011-05-11,0.03,0.03,0.03,0.03,687000,0.03
2011-05-10,0.04,0.04,0.03,0.03,201000,0.03
2011-05-09,0.03,0.04,0.03,0.03,000,0.03
2011-05-06,0.03,0.03,0.03,0.03,25000,0.03
2011-05-05,0.04,0.04,0.04,0.04,136000,0.04
2011-05-04,0.03,0.04,0.03,0.04,899000,0.04
2011-05-03,0.17,0.18,0.17,0.17,943000,0.17
2011-04-29,0.17,0.17,0.17,0.17,315000,0.17
2011-04-28,0.17,0.17,0.17,0.17,310000,0.17
2011-04-27,0.17,0.18,0.17,0.17,721000,0.17
2011-04-26,0.17,0.17,0.15,0.16,459000,0.16
2011-04-25,0.20,0.20,0.17,0.17,973000,0.17
2011-04-21,0.22,0.22,0.19,0.20,751000,0.20
2011-04-20,0.24,0.24,0.22,0.22,1099000,0.22
2011-04-19,0.26,0.26,0.22,0.23,764000,0.23
2011-04-18,0.28,0.28,0.26,0.26,1489000,0.26
2011-04-15,0.29,0.30,0.28,0.28,812000,0.28
2011-04-14,0.30,0.31,0.29,0.29,1060000,0.29
2011-04-13,0.27,0.31,0.26,0.30,1419000,0.30
2011-04-12,0.35,0.40,0.28,0.29,4975000,0.29
2011-04-11,0.00,0.00,0.00,0.00,000,0.00
2011-04-08,0.00,0.00,0.00,0.00,000,0.00
2011-04-07,0.00,0.00,0.00,0.00,000,0.00
2011-04-06,0.00,0.00,0.00,0.00,000,0.00
