Date,Open,High,Low,Close,Volume,Adj Close
2011-08-03,0.88,0.88,0.87,0.87,7285000,0.87
2011-08-02,0.89,0.89,0.88,0.88,3626000,0.88
2011-08-01,0.90,0.90,0.89,0.90,5241000,0.90
2011-07-29,0.89,0.91,0.88,0.90,10156000,0.90
2011-07-28,0.88,0.89,0.88,0.89,3520000,0.89
2011-07-27,0.88,0.89,0.88,0.88,2270000,0.88
2011-07-26,0.88,0.89,0.88,0.88,3095000,0.88
2011-07-25,0.88,0.88,0.88,0.88,1116000,0.88
2011-07-22,0.88,0.88,0.88,0.88,2650000,0.88
2011-07-21,0.88,0.88,0.87,0.88,1339000,0.88
2011-07-20,0.88,0.88,0.87,0.87,1048000,0.87
2011-07-19,0.87,0.88,0.86,0.88,4818000,0.88
2011-07-18,0.87,0.88,0.87,0.87,3644000,0.87
2011-07-15,0.88,0.88,0.87,0.87,2597000,0.87
2011-07-14,0.87,0.88,0.87,0.88,1036000,0.88
2011-07-13,0.87,0.88,0.87,0.87,2465000,0.87
2011-07-12,0.88,0.88,0.87,0.87,2808000,0.87
2011-07-11,0.88,0.88,0.88,0.88,1770000,0.88
2011-07-08,0.88,0.88,0.88,0.88,4536000,0.88
2011-07-07,0.88,0.88,0.87,0.88,7774000,0.88
2011-07-06,0.87,0.88,0.87,0.87,2098000,0.87
2011-07-05,0.88,0.88,0.87,0.87,1766000,0.87
2011-07-04,0.88,0.88,0.87,0.88,2732000,0.88
2011-07-01,0.87,0.88,0.87,0.88,1969000,0.88
2011-06-30,0.87,0.87,0.87,0.87,2033000,0.87
2011-06-29,0.88,0.88,0.87,0.87,1871000,0.87
2011-06-28,0.86,0.88,0.86,0.88,2027000,0.88
2011-06-27,0.87,0.87,0.86,0.87,735000,0.87
2011-06-24,0.87,0.87,0.87,0.87,3394000,0.87
2011-06-23,0.85,0.87,0.85,0.87,3339000,0.87
2011-06-22,0.86,0.86,0.85,0.85,3405000,0.85
2011-06-21,0.86,0.87,0.86,0.86,2372000,0.86
2011-06-20,0.86,0.86,0.86,0.86,3066000,0.86
2011-06-17,0.86,0.86,0.85,0.86,8210000,0.86
2011-06-16,0.86,0.87,0.85,0.85,7039000,0.85
2011-06-15,0.86,0.87,0.86,0.86,3318000,0.86
2011-06-14,0.86,0.87,0.86,0.86,4207000,0.86
2011-06-13,0.87,0.87,0.86,0.87,4317000,0.87
2011-06-10,0.87,0.88,0.87,0.87,2748000,0.87
2011-06-09,0.87,0.88,0.87,0.87,3050000,0.87
2011-06-08,0.88,0.88,0.87,0.87,4057000,0.87
2011-06-07,0.88,0.88,0.87,0.88,2502000,0.88
2011-06-06,0.88,0.88,0.88,0.88,989000,0.88
2011-06-03,0.87,0.88,0.87,0.88,1415000,0.88
2011-06-02,0.87,0.88,0.87,0.87,2733000,0.87
2011-06-01,0.89,0.89,0.88,0.88,5713000,0.88
2011-05-31,0.88,0.89,0.88,0.88,29494000,0.88
2011-05-30,0.87,0.89,0.87,0.88,21929000,0.88
2011-05-27,0.87,0.87,0.86,0.87,9134000,0.87
2011-05-26,0.86,0.87,0.86,0.87,5267000,0.87
2011-05-25,0.86,0.87,0.86,0.87,6838000,0.87
2011-05-24,0.86,0.86,0.85,0.86,11240000,0.86
2011-05-23,0.86,0.86,0.85,0.86,8279000,0.86
2011-05-20,0.86,0.87,0.86,0.86,4734000,0.86
2011-05-19,0.86,0.87,0.86,0.87,2926000,0.87
2011-05-18,0.86,0.86,0.86,0.86,3604000,0.86
2011-05-16,0.86,0.87,0.86,0.86,5940000,0.86
2011-05-13,0.87,0.87,0.86,0.86,6505000,0.86
2011-05-12,0.87,0.87,0.86,0.87,6242000,0.87
2011-05-11,0.87,0.87,0.87,0.87,2061000,0.87
2011-05-10,0.87,0.87,0.87,0.87,1396000,0.87
2011-05-09,0.87,0.88,0.87,0.87,8694000,0.87
2011-05-06,0.87,0.87,0.86,0.87,13411000,0.87
2011-05-05,0.87,0.88,0.87,0.87,4889000,0.87
2011-05-04,0.88,0.88,0.87,0.87,8106000,0.87
2011-05-03,0.88,0.88,0.87,0.88,19927000,0.88
2011-04-29,0.88,0.88,0.87,0.88,21966000,0.88
2011-04-28,0.88,0.88,0.88,0.88,22701000,0.88
2011-04-27,0.89,0.90,0.88,0.88,137575000,0.88
