Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,10.25,10.25,10.24,10.24,102500,10.24
2011-08-02,10.25,10.25,10.24,10.24,105000,10.24
2011-08-01,10.24,10.24,10.23,10.23,29000,10.23
2011-07-29,10.23,10.23,10.22,10.22,11000,10.22
2011-07-28,10.20,10.22,10.20,10.22,24400,10.22
2011-07-27,10.17,10.21,10.17,10.21,9500,10.21
2011-07-26,10.09,10.11,10.09,10.11,172800,10.11
2011-07-22,10.10,10.10,10.09,10.09,77500,10.09
2011-07-21,10.10,10.12,10.10,10.11,16000,10.11
2011-07-20,10.16,10.17,10.16,10.17,4000,10.17
2011-07-19,10.12,10.14,10.11,10.11,20600,10.11
2011-07-15,10.11,10.11,10.11,10.11,100,10.11
2011-07-14,10.12,10.13,10.12,10.12,4000,10.12
2011-07-13,10.05,10.05,10.05,10.05,15000,10.05
2011-07-12,10.04,10.04,10.04,10.04,6000,10.04
2011-07-11,10.08,10.10,10.08,10.10,27200,10.10
2011-07-08,10.08,10.19,10.06,10.14,109700,10.14
2011-07-07,10.04,10.06,10.04,10.06,42800,10.06
2011-07-05,10.02,10.04,10.02,10.04,11000,10.04
2011-07-04,10.01,10.04,10.01,10.04,2100,10.04
2011-06-30,9.97,9.97,9.97,9.97,300,9.97
2011-06-28,9.92,9.92,9.92,9.92,4800,9.92
2011-06-24,9.93,9.93,9.93,9.93,1000,9.93
2011-06-23,9.92,9.93,9.92,9.93,1500,9.93
2011-06-22,9.93,9.95,9.93,9.95,1400,9.95
2011-06-21,9.90,9.90,9.90,9.90,1000,9.90
2011-06-20,9.94,10.02,9.90,9.90,6100,9.90
2011-06-17,9.85,9.85,9.85,9.85,800,9.85
2011-06-16,9.86,9.87,9.86,9.87,2000,9.87
2011-06-15,9.90,9.90,9.90,9.90,1000,9.90
2011-06-14,9.93,9.96,9.92,9.96,6000,9.96
2011-06-13,9.99,9.99,9.97,9.97,1500,9.97
2011-06-10,10.01,10.01,10.01,10.01,1000,10.01
2011-06-09,10.02,10.02,10.02,10.02,800,10.02
2011-06-08,10.02,10.02,10.02,10.02,1500,10.02
2011-06-07,9.99,10.00,9.99,10.00,2000,10.00
2011-06-06,10.03,10.03,10.01,10.01,14300,10.01
2011-06-03,10.01,10.01,10.01,10.01,5200,10.01
2011-06-02,10.04,10.04,10.00,10.00,2100,10.00
