Date,Open,High,Low,Close,Volume,Adj Close
2011-08-03,1.78,1.78,1.77,1.77,1900,1.77
2011-08-02,1.78,1.79,1.78,1.79,19000,1.79
2011-08-01,1.77,1.81,1.77,1.80,24200,1.80
2011-07-29,1.75,1.75,1.75,1.75,1000,1.75
2011-07-28,1.77,1.77,1.77,1.77,5000,1.77
2011-07-27,1.77,1.77,1.77,1.77,6000,1.77
2011-07-26,1.75,1.79,1.75,1.79,22800,1.79
2011-07-25,1.75,1.75,1.71,1.72,12100,1.72
2011-07-22,1.75,1.75,1.75,1.75,218700,1.75
2011-07-21,1.75,1.75,1.75,1.75,133000,1.75
2011-07-20,1.75,1.75,1.75,1.75,86200,1.75
2011-07-19,1.75,1.75,1.74,1.75,21000,1.75
2011-07-18,1.77,1.77,1.77,1.77,9600,1.77
2011-07-15,1.77,1.80,1.77,1.77,000,1.77
2011-07-14,1.75,1.80,1.75,1.75,000,1.75
2011-07-13,1.80,1.80,1.79,1.79,65200,1.79
2011-07-12,1.79,1.79,1.79,1.79,8000,1.79
2011-07-11,1.80,1.80,1.80,1.80,5000,1.80
2011-07-08,1.85,1.85,1.85,1.85,5000,1.85
2011-07-07,1.80,1.85,1.80,1.85,76000,1.85
2011-07-06,1.80,1.80,1.80,1.80,24500,1.80
2011-07-05,1.80,1.80,1.79,1.80,24500,1.80
2011-07-04,1.78,1.84,1.78,1.78,000,1.78
2011-07-01,1.79,1.83,1.79,1.79,000,1.79
2011-06-30,1.80,1.80,1.79,1.79,16000,1.79
2011-06-29,1.80,1.82,1.80,1.82,30000,1.82
2011-06-28,1.84,1.84,1.79,1.79,9200,1.79
2011-06-27,1.75,1.81,1.75,1.75,000,1.75
2011-06-24,1.81,1.81,1.79,1.79,26000,1.79
2011-06-23,1.79,1.85,1.79,1.80,64600,1.80
2011-06-22,1.78,1.82,1.78,1.82,83400,1.82
2011-06-21,1.71,1.76,1.71,1.76,35000,1.76
2011-06-20,1.72,1.75,1.67,1.67,68000,1.67
2011-06-17,1.70,1.71,1.69,1.71,55000,1.71
2011-06-16,1.76,1.76,1.71,1.71,40000,1.71
2011-06-15,1.78,1.80,1.76,1.76,90800,1.76
2011-06-14,1.79,1.80,1.79,1.79,28300,1.79
2011-06-13,1.81,1.82,1.80,1.80,66000,1.80
2011-06-10,1.87,1.87,1.83,1.83,105800,1.83
2011-06-09,1.90,1.90,1.85,1.85,124100,1.85
2011-06-08,1.93,1.93,1.90,1.90,36500,1.90
2011-06-07,1.95,1.96,1.94,1.95,146000,1.95
2011-06-06,1.98,1.98,1.96,1.96,10200,1.96
2011-06-03,1.98,1.98,1.97,1.98,18800,1.98
