Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.41,0.41,0.41,0.41,41000,0.41
2011-08-03,0.41,0.41,0.41,0.41,40000,0.41
2011-08-02,0.42,0.42,0.42,0.42,20000,0.42
2011-08-01,0.42,0.43,0.42,0.43,25000,0.43
2011-07-29,0.42,0.43,0.42,0.43,40000,0.43
2011-07-28,0.41,0.43,0.41,0.41,000,0.41
2011-07-27,0.42,0.42,0.42,0.42,41000,0.42
2011-07-26,0.43,0.43,0.43,0.43,10000,0.43
2011-07-25,0.42,0.42,0.42,0.42,20000,0.42
2011-07-22,0.42,0.42,0.42,0.42,30000,0.42
2011-07-21,0.41,0.42,0.41,0.42,35000,0.42
2011-07-20,0.41,0.41,0.41,0.41,45000,0.41
2011-07-19,0.41,0.41,0.41,0.41,60000,0.41
2011-07-18,0.41,0.41,0.41,0.41,50000,0.41
2011-07-15,0.41,0.41,0.41,0.41,26000,0.41
2011-07-14,0.41,0.43,0.41,0.41,000,0.41
2011-07-13,0.43,0.43,0.43,0.43,19000,0.43
2011-07-12,0.43,0.43,0.41,0.43,192000,0.43
2011-07-11,0.43,0.44,0.43,0.43,000,0.43
2011-07-08,0.43,0.43,0.43,0.43,79000,0.43
2011-07-07,0.43,0.43,0.43,0.43,7000,0.43
2011-07-06,0.43,0.44,0.43,0.43,202000,0.43
2011-07-05,0.43,0.43,0.43,0.43,26000,0.43
2011-07-04,0.43,0.43,0.42,0.42,213000,0.42
2011-07-01,0.41,0.43,0.41,0.43,95000,0.43
2011-06-30,0.42,0.42,0.41,0.41,90000,0.41
2011-06-29,0.41,0.43,0.41,0.43,19000,0.43
2011-06-28,0.40,0.41,0.40,0.41,205000,0.41
2011-06-27,0.41,0.41,0.41,0.41,25000,0.41
2011-06-24,0.40,0.41,0.40,0.41,122000,0.41
2011-06-23,0.40,0.40,0.40,0.40,35000,0.40
2011-06-22,0.40,0.41,0.40,0.40,000,0.40
2011-06-21,0.41,0.41,0.41,0.41,61000,0.41
2011-06-20,0.41,0.41,0.41,0.41,39000,0.41
2011-06-17,0.40,0.41,0.40,0.41,57000,0.41
