Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.63,0.63,0.62,0.62,2603000,0.62
2011-08-03,0.61,0.63,0.61,0.63,3497000,0.63
2011-08-02,0.63,0.63,0.62,0.62,3503000,0.62
2011-08-01,0.63,0.64,0.62,0.63,4810000,0.63
2011-07-29,0.64,0.65,0.62,0.62,5697000,0.62
2011-07-28,0.58,0.64,0.58,0.64,7829000,0.64
2011-07-27,0.58,0.62,0.58,0.60,5743000,0.60
2011-07-26,0.58,0.59,0.57,0.58,1513000,0.58
2011-07-25,0.58,0.58,0.57,0.57,822000,0.57
2011-07-22,0.59,0.60,0.58,0.58,4030000,0.58
2011-07-21,0.57,0.58,0.56,0.58,2615000,0.58
2011-07-20,0.57,0.59,0.56,0.57,5661000,0.57
2011-07-19,0.55,0.58,0.55,0.56,5465000,0.56
2011-07-18,0.58,0.58,0.55,0.55,2316000,0.55
2011-07-15,0.58,0.58,0.56,0.58,3164000,0.58
2011-07-14,0.59,0.59,0.58,0.58,2082000,0.58
2011-07-13,0.59,0.60,0.58,0.59,2554000,0.59
2011-07-12,0.60,0.62,0.58,0.58,11702000,0.58
2011-07-11,0.56,0.61,0.56,0.61,6005000,0.61
2011-07-08,0.56,0.57,0.56,0.57,1789000,0.57
2011-07-07,0.60,0.60,0.56,0.56,5142000,0.56
2011-07-06,0.55,0.60,0.55,0.60,20145000,0.60
2011-07-05,0.49,0.54,0.49,0.54,6725000,0.54
2011-07-04,0.50,0.50,0.48,0.49,1008000,0.49
2011-07-01,0.50,0.50,0.49,0.49,818000,0.49
2011-06-30,0.50,0.50,0.49,0.49,1643000,0.49
2011-06-29,0.49,0.49,0.48,0.49,2490000,0.49
2011-06-28,0.48,0.49,0.47,0.48,2632000,0.48
2011-06-27,0.47,0.49,0.47,0.47,2302000,0.47
2011-06-24,0.47,0.49,0.47,0.49,6495000,0.49
2011-06-23,0.47,0.47,0.44,0.46,4948000,0.46
2011-06-22,0.49,0.50,0.47,0.47,3399000,0.47
2011-06-21,0.49,0.50,0.48,0.50,1686000,0.50
2011-06-20,0.49,0.50,0.48,0.48,1371000,0.48
2011-06-17,0.50,0.50,0.50,0.50,1133000,0.50
2011-06-16,0.51,0.51,0.50,0.50,2447000,0.50
2011-06-15,0.52,0.53,0.51,0.51,1161000,0.51
2011-06-14,0.52,0.53,0.50,0.52,1825000,0.52
2011-06-13,0.53,0.53,0.50,0.52,2163000,0.52
2011-06-10,0.55,0.55,0.53,0.54,989000,0.54
2011-06-09,0.55,0.56,0.55,0.55,940000,0.55
2011-06-08,0.56,0.56,0.55,0.55,1388000,0.55
2011-06-07,0.56,0.56,0.56,0.56,1042000,0.56
2011-06-06,0.57,0.57,0.56,0.56,625000,0.56
2011-06-03,0.55,0.57,0.55,0.57,1368000,0.57
2011-06-02,0.56,0.56,0.55,0.55,6173000,0.55
2011-06-01,0.58,0.58,0.57,0.57,2496000,0.57
2011-05-31,0.58,0.59,0.58,0.58,2263000,0.58
2011-05-30,0.60,0.60,0.58,0.58,2072000,0.58
2011-05-27,0.58,0.60,0.57,0.58,3168000,0.58
2011-05-26,0.57,0.58,0.57,0.57,3535000,0.57
2011-05-25,0.58,0.58,0.57,0.57,1812000,0.57
2011-05-24,0.58,0.58,0.58,0.58,786000,0.58
2011-05-23,0.58,0.58,0.58,0.58,1799000,0.58
2011-05-20,0.60,0.60,0.58,0.58,7881000,0.58
2011-05-19,0.63,0.63,0.60,0.61,10153000,0.61
2011-05-18,0.64,0.65,0.63,0.63,3977000,0.63
2011-05-16,0.65,0.65,0.65,0.65,3390000,0.65
2011-05-13,0.65,0.66,0.65,0.65,2087000,0.65
2011-05-12,0.65,0.66,0.65,0.66,3280000,0.66
2011-05-11,0.66,0.67,0.65,0.66,2391000,0.66
2011-05-10,0.67,0.67,0.65,0.67,2289000,0.67
2011-05-09,0.66,0.68,0.65,0.67,3767000,0.67
2011-05-06,0.65,0.67,0.63,0.67,7343000,0.67
2011-05-05,0.64,0.67,0.64,0.66,3422000,0.66
2011-05-04,0.65,0.65,0.64,0.65,1619000,0.65
2011-05-03,0.67,0.67,0.65,0.65,1613000,0.65
2011-04-29,0.69,0.69,0.66,0.67,6403000,0.67
2011-04-28,0.70,0.71,0.68,0.68,3478000,0.68
2011-04-27,0.70,0.71,0.70,0.70,2989000,0.70
2011-04-26,0.70,0.71,0.70,0.70,1690000,0.70
2011-04-25,0.71,0.72,0.70,0.71,2429000,0.71
2011-04-21,0.72,0.73,0.71,0.72,1553000,0.72
2011-04-20,0.71,0.72,0.71,0.71,2334000,0.71
2011-04-19,0.72,0.72,0.71,0.71,5448000,0.71
2011-04-18,0.73,0.74,0.72,0.73,2116000,0.73
2011-04-15,0.73,0.74,0.73,0.73,3849000,0.73
2011-04-14,0.75,0.75,0.73,0.73,2756000,0.73
2011-04-13,0.74,0.75,0.73,0.74,5739000,0.74
2011-04-12,0.76,0.76,0.73,0.74,4990000,0.74
2011-04-11,0.76,0.77,0.76,0.76,1766000,0.76
2011-04-08,0.77,0.77,0.76,0.76,2518000,0.76
2011-04-07,0.79,0.79,0.77,0.77,2606000,0.77
2011-04-06,0.78,0.79,0.77,0.78,2849000,0.78
2011-04-05,0.78,0.80,0.78,0.78,2122000,0.78
2011-04-04,0.79,0.79,0.78,0.79,1020000,0.79
2011-04-01,0.77,0.79,0.77,0.79,1328000,0.79
2011-03-31,0.79,0.80,0.77,0.78,2179000,0.78
2011-03-30,0.78,0.81,0.78,0.79,4834000,0.79
2011-03-29,0.78,0.79,0.77,0.79,3532000,0.79
2011-03-28,0.26,0.27,0.26,0.26,5088300,0.79
2011-03-25,0.27,0.27,0.26,0.27,4621000,0.81
2011-03-24,0.26,0.27,0.26,0.27,16804000,0.81
2011-03-23,0.26,0.26,0.25,0.26,2989300,0.79
2011-03-22,0.26,0.26,0.25,0.26,7762300,0.78
2011-03-21,0.25,0.26,0.25,0.25,2913300,0.76
2011-03-18,0.25,0.25,0.24,0.25,2442600,0.76
2011-03-17,0.24,0.25,0.24,0.25,1487000,0.75
2011-03-16,0.25,0.25,0.25,0.25,2780000,0.75
2011-03-15,0.26,0.26,0.24,0.24,6010300,0.73
2011-03-14,0.26,0.26,0.25,0.26,1928600,0.78
2011-03-11,0.26,0.26,0.25,0.26,2278600,0.79
2011-03-10,0.27,0.27,0.26,0.26,2469600,0.79
2011-03-09,0.27,0.28,0.26,0.27,12637300,0.82
2011-03-08,0.25,0.27,0.25,0.26,6409600,0.79
2011-03-07,0.25,0.26,0.25,0.25,1127000,0.76
2011-03-04,0.26,0.26,0.25,0.25,2441000,0.76
2011-03-03,0.26,0.26,0.25,0.26,1094600,0.78
2011-03-02,0.25,0.26,0.25,0.25,1415600,0.76
2011-03-01,0.26,0.26,0.25,0.26,5395600,0.78
2011-02-28,0.26,0.26,0.26,0.26,1527300,0.78
2011-02-25,0.26,0.27,0.25,0.26,4755300,0.79
2011-02-24,0.26,0.27,0.25,0.25,4100300,0.76
2011-02-23,0.26,0.27,0.26,0.26,2893600,0.79
2011-02-22,0.27,0.27,0.26,0.27,6713000,0.81
2011-02-21,0.28,0.29,0.27,0.28,4886600,0.84
2011-02-18,0.27,0.29,0.27,0.28,9982300,0.85
2011-02-17,0.28,0.28,0.27,0.27,5824000,0.82
2011-02-16,0.28,0.28,0.27,0.28,3761600,0.84
2011-02-15,0.29,0.29,0.28,0.28,6284300,0.84
2011-02-14,0.29,0.29,0.29,0.29,2331300,0.87
2011-02-11,0.29,0.30,0.28,0.29,10540300,0.87
2011-02-10,0.30,0.30,0.29,0.29,9344300,0.88
2011-02-09,0.32,0.32,0.30,0.30,15276000,0.91
2011-02-08,0.33,0.34,0.32,0.32,10311300,0.97
2011-02-07,0.32,0.33,0.31,0.33,8199600,0.99
2011-02-04,0.31,0.31,0.31,0.31,000,0.94
2011-02-03,0.31,0.31,0.31,0.31,000,0.94
2011-02-02,0.30,0.31,0.30,0.31,2789600,0.94
2011-02-01,0.30,0.31,0.30,0.30,2447300,0.91
2011-01-31,0.31,0.31,0.30,0.30,3707600,0.91
2011-01-28,0.31,0.32,0.31,0.32,5417000,0.96
2011-01-27,0.32,0.32,0.31,0.31,3213600,0.94
2011-01-26,0.32,0.32,0.31,0.32,5468000,0.96
2011-01-25,0.34,0.34,0.32,0.32,7751000,0.97
2011-01-24,0.34,0.35,0.33,0.34,14801300,1.02
2011-01-21,0.32,0.34,0.32,0.34,22888600,1.03
2011-01-20,0.33,0.33,0.31,0.32,10396000,0.96
2011-01-19,0.30,0.33,0.30,0.33,28978000,0.99
2011-01-18,0.30,0.30,0.29,0.30,3847300,0.90
2011-01-17,0.29,0.30,0.29,0.30,8655600,0.90
2011-01-14,0.29,0.29,0.28,0.29,2676300,0.87
2011-01-13,0.29,0.29,0.29,0.29,2109300,0.88
2011-01-12,0.29,0.29,0.28,0.29,1891000,0.87
2011-01-11,0.29,0.29,0.28,0.29,3667300,0.88
2011-01-10,0.30,0.30,0.29,0.29,2647600,0.88
2011-01-07,0.30,0.30,0.29,0.30,11313300,0.90
2011-01-06,0.28,0.30,0.28,0.30,22767300,0.90
2011-01-05,0.26,0.28,0.25,0.27,11415000,0.82
2011-01-04,0.26,0.26,0.25,0.25,3076000,0.76
2011-01-03,0.25,0.26,0.25,0.26,2529600,0.78
2010-12-31,0.25,0.25,0.25,0.25,484300,0.76
2010-12-30,0.25,0.25,0.25,0.25,879000,0.76
2010-12-29,0.24,0.25,0.24,0.25,1453000,0.75
2010-12-28,0.25,0.25,0.24,0.24,2666000,0.73
2010-12-27,0.25,0.26,0.25,0.25,712300,0.75
2010-12-24,0.25,0.25,0.25,0.25,180300,0.76
2010-12-23,0.25,0.26,0.24,0.25,4902300,0.76
2010-12-22,0.24,0.25,0.24,0.25,5688600,0.75
2010-12-21,0.24,0.24,0.23,0.24,4760000,0.72
2010-12-20,0.25,0.25,0.24,0.24,3316300,0.72
2010-12-17,0.25,0.25,0.24,0.25,673600,0.75
2010-12-16,0.25,0.25,0.24,0.25,1476600,0.75
2010-12-15,0.24,0.25,0.24,0.25,8459300,0.75
2010-12-14,0.25,0.25,0.24,0.24,2861300,0.73
2010-12-13,0.25,0.25,0.24,0.25,6432000,0.75
2010-12-10,0.25,0.25,0.25,0.25,3650600,0.75
2010-12-09,0.26,0.26,0.25,0.25,1225000,0.76
2010-12-08,0.25,0.26,0.25,0.26,2213000,0.78
2010-12-07,0.25,0.26,0.25,0.25,2934000,0.76
2010-12-06,0.25,0.26,0.25,0.25,3248300,0.76
2010-12-03,0.26,0.26,0.25,0.25,14094600,0.76
2010-12-02,0.27,0.27,0.26,0.26,1475000,0.79
2010-12-01,0.27,0.27,0.26,0.27,550300,0.81
2010-11-30,0.26,0.27,0.26,0.27,898000,0.81
2010-11-29,0.26,0.27,0.26,0.26,779000,0.79
2010-11-26,0.27,0.27,0.26,0.26,539600,0.79
2010-11-25,0.26,0.27,0.26,0.26,967000,0.79
2010-11-24,0.26,0.27,0.26,0.26,499000,0.79
2010-11-23,0.27,0.27,0.26,0.26,2730000,0.79
2010-11-22,0.27,0.27,0.27,0.27,435000,0.81
2010-11-19,0.27,0.27,0.27,0.27,1595000,0.81
2010-11-18,0.27,0.27,0.27,0.27,542000,0.82
2010-11-17,0.27,0.27,0.27,0.27,000,0.82
2010-11-16,0.27,0.28,0.27,0.27,1278600,0.82
2010-11-15,0.27,0.27,0.27,0.27,1828300,0.82
2010-11-12,0.27,0.28,0.27,0.27,1921600,0.82
2010-11-11,0.28,0.28,0.27,0.27,674300,0.82
2010-11-10,0.27,0.28,0.27,0.28,5249000,0.84
2010-11-09,0.27,0.27,0.27,0.27,4695000,0.82
2010-11-08,0.28,0.28,0.27,0.27,6035300,0.82
2010-11-05,0.28,0.28,0.28,0.28,000,0.84
2010-11-04,0.28,0.28,0.28,0.28,874000,0.84
2010-11-03,0.28,0.28,0.28,0.28,5107300,0.85
2010-11-02,0.28,0.28,0.28,0.28,1132300,0.85
2010-11-01,0.27,0.28,0.27,0.28,4243300,0.85
2010-10-29,0.27,0.28,0.27,0.28,1103300,0.84
2010-10-28,0.28,0.28,0.27,0.27,2749300,0.82
2010-10-27,0.28,0.28,0.28,0.28,2769300,0.84
2010-10-26,0.28,0.29,0.28,0.28,1654000,0.85
2010-10-25,0.29,0.29,0.28,0.29,1207300,0.87
2010-10-22,0.28,0.29,0.28,0.28,888300,0.85
2010-10-21,0.29,0.29,0.28,0.28,1969600,0.85
2010-10-20,0.28,0.29,0.28,0.29,2255300,0.87
2010-10-19,0.28,0.29,0.28,0.28,817300,0.85
2010-10-18,0.29,0.29,0.28,0.28,670600,0.85
2010-10-15,0.29,0.29,0.28,0.28,551000,0.85
2010-10-14,0.29,0.29,0.28,0.28,1629600,0.85
2010-10-13,0.29,0.29,0.28,0.29,4374000,0.87
2010-10-12,0.29,0.29,0.28,0.28,1452300,0.85
2010-10-11,0.28,0.29,0.28,0.29,421600,0.87
2010-10-08,0.28,0.29,0.28,0.28,2390300,0.85
2010-10-07,0.29,0.29,0.28,0.28,975300,0.85
2010-10-06,0.29,0.29,0.28,0.28,2136000,0.85
2010-10-05,0.29,0.29,0.28,0.29,1056300,0.87
2010-10-04,0.28,0.29,0.28,0.29,1716300,0.87
2010-10-01,0.28,0.29,0.28,0.28,1914600,0.85
2010-09-30,0.28,0.29,0.28,0.28,2815000,0.84
2010-09-29,0.28,0.29,0.28,0.28,1252000,0.85
2010-09-28,0.29,0.29,0.28,0.28,4407000,0.84
2010-09-27,0.30,0.30,0.29,0.29,2227300,0.88
2010-09-24,0.29,0.30,0.29,0.29,2806000,0.88
2010-09-23,0.29,0.30,0.29,0.30,3756600,0.90
2010-09-22,0.30,0.30,0.29,0.29,7835600,0.88
2010-09-21,0.29,0.31,0.29,0.30,17202000,0.91
2010-09-20,0.28,0.29,0.28,0.29,5282600,0.87
2010-09-17,0.27,0.29,0.27,0.28,8362600,0.85
2010-09-16,0.28,0.28,0.27,0.28,5021300,0.84
2010-09-15,0.27,0.29,0.27,0.28,9431600,0.84
2010-09-14,0.28,0.28,0.27,0.27,2473300,0.82
2010-09-13,0.28,0.28,0.27,0.27,2828000,0.82
2010-09-10,0.28,0.28,0.28,0.28,000,0.84
2010-09-09,0.27,0.28,0.27,0.28,3168300,0.84
2010-09-08,0.27,0.28,0.27,0.27,5522600,0.82
2010-09-07,0.27,0.27,0.27,0.27,1222000,0.81
2010-09-06,0.26,0.28,0.26,0.27,13811000,0.82
2010-09-03,0.27,0.27,0.26,0.26,11099600,0.79
2010-09-02,0.27,0.27,0.26,0.26,3069000,0.79
2010-09-01,0.27,0.27,0.26,0.27,2527300,0.81
2010-08-31,0.27,0.27,0.26,0.27,3422000,0.81
2010-08-30,0.28,0.28,0.27,0.27,3231300,0.81
2010-08-27,0.28,0.28,0.27,0.27,7519000,0.82
2010-08-26,0.29,0.29,0.28,0.28,3517000,0.84
2010-08-25,0.28,0.29,0.28,0.29,5112600,0.87
2010-08-24,0.29,0.30,0.29,0.29,5082000,0.87
2010-08-23,0.29,0.30,0.29,0.29,2064000,0.88
2010-08-20,0.29,0.30,0.29,0.29,1132300,0.88
2010-08-19,0.29,0.30,0.29,0.29,2540600,0.88
2010-08-18,0.30,0.30,0.29,0.29,2008600,0.87
2010-08-17,0.30,0.30,0.29,0.29,966000,0.88
2010-08-16,0.30,0.30,0.29,0.30,3381300,0.90
2010-08-13,0.30,0.30,0.30,0.30,765000,0.90
2010-08-12,0.31,0.31,0.30,0.30,2342000,0.90
2010-08-11,0.30,0.31,0.30,0.31,9347600,0.93
2010-08-10,0.29,0.30,0.29,0.29,4011000,0.88
2010-08-09,0.29,0.29,0.29,0.29,000,0.87
2010-08-06,0.29,0.29,0.29,0.29,1249000,0.87
2010-08-05,0.29,0.30,0.29,0.29,2599600,0.88
2010-08-04,0.29,0.29,0.29,0.29,2919600,0.87
2010-08-03,0.30,0.30,0.29,0.29,5588300,0.87
2010-08-02,0.29,0.30,0.29,0.29,4128300,0.88
2010-07-30,0.29,0.29,0.29,0.29,983600,0.87
2010-07-29,0.29,0.29,0.29,0.29,1164600,0.87
2010-07-28,0.29,0.30,0.29,0.29,2412600,0.87
2010-07-27,0.29,0.30,0.29,0.29,8909600,0.88
2010-07-26,0.29,0.29,0.28,0.29,2368000,0.87
2010-07-23,0.29,0.29,0.28,0.29,2864600,0.87
2010-07-22,0.29,0.29,0.28,0.29,5795600,0.87
2010-07-21,0.30,0.30,0.29,0.29,6565300,0.87
2010-07-20,0.30,0.31,0.29,0.30,3320000,0.90
