Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.12,0.12,0.12,0.12,000,0.12
2011-08-03,0.12,0.12,0.12,0.12,8000,0.12
2011-08-02,0.12,0.12,0.12,0.12,000,0.12
2011-08-01,0.12,0.12,0.12,0.12,25000,0.12
2011-07-29,0.12,0.12,0.12,0.12,000,0.12
2011-07-28,0.12,0.12,0.12,0.12,144000,0.12
2011-07-27,0.12,0.12,0.12,0.12,000,0.12
2011-07-26,0.12,0.12,0.12,0.12,000,0.12
2011-07-25,0.12,0.12,0.12,0.12,000,0.12
2011-07-22,0.12,0.12,0.12,0.12,000,0.12
2011-07-21,0.12,0.12,0.12,0.12,100000,0.12
2011-07-20,0.12,0.12,0.12,0.12,000,0.12
2011-07-19,0.12,0.12,0.12,0.12,000,0.12
2011-07-18,0.12,0.13,0.12,0.12,000,0.12
2011-07-15,0.13,0.13,0.13,0.13,158000,0.13
2011-07-14,0.12,0.12,0.12,0.12,51000,0.12
2011-07-13,0.13,0.13,0.13,0.13,1000,0.13
2011-07-12,0.12,0.12,0.12,0.12,76000,0.12
2011-07-11,0.12,0.12,0.12,0.12,206000,0.12
2011-07-08,0.12,0.12,0.12,0.12,61000,0.12
2011-07-07,0.12,0.12,0.12,0.12,6000,0.12
2011-07-06,0.12,0.12,0.12,0.12,10000,0.12
2011-07-05,0.12,0.13,0.12,0.12,000,0.12
2011-07-04,0.13,0.13,0.13,0.13,179000,0.13
2011-07-01,0.12,0.13,0.12,0.13,263000,0.13
2011-06-30,0.12,0.12,0.12,0.12,50000,0.12
2011-06-29,0.12,0.12,0.12,0.12,000,0.12
2011-06-28,0.12,0.12,0.12,0.12,34000,0.12
2011-06-27,0.12,0.12,0.12,0.12,000,0.12
2011-06-24,0.12,0.12,0.12,0.12,102000,0.12
2011-06-23,0.12,0.12,0.12,0.12,264000,0.12
2011-06-22,0.12,0.12,0.12,0.12,27000,0.12
2011-06-21,0.12,0.12,0.12,0.12,150000,0.12
2011-06-20,0.12,0.12,0.12,0.12,25000,0.12
2011-06-17,0.12,0.12,0.12,0.12,280000,0.12
2011-06-16,0.12,0.12,0.12,0.12,115000,0.12
2011-06-15,0.12,0.13,0.12,0.12,000,0.12
2011-06-14,0.12,0.13,0.12,0.12,000,0.12
2011-06-13,0.12,0.12,0.12,0.12,50000,0.12
2011-06-10,0.12,0.12,0.12,0.12,31000,0.12
2011-06-09,0.12,0.12,0.12,0.12,000,0.12
2011-06-08,0.12,0.12,0.12,0.12,10000,0.12
2011-06-07,0.12,0.12,0.12,0.12,000,0.12
2011-06-06,0.12,0.12,0.12,0.12,15000,0.12
2011-06-03,0.12,0.12,0.12,0.12,000,0.12
2011-06-02,0.12,0.12,0.12,0.12,552000,0.12
2011-06-01,0.12,0.12,0.12,0.12,000,0.12
2011-05-31,0.12,0.12,0.12,0.12,70000,0.12
2011-05-30,0.12,0.12,0.12,0.12,61000,0.12
2011-05-27,0.12,0.12,0.12,0.12,150000,0.12
2011-05-26,0.12,0.12,0.12,0.12,50000,0.12
2011-05-25,0.12,0.12,0.12,0.12,114000,0.12
2011-05-24,0.12,0.12,0.12,0.12,1200000,0.12
2011-05-23,0.12,0.12,0.12,0.12,299000,0.12
2011-05-20,0.12,0.12,0.12,0.12,157000,0.12
2011-05-19,0.12,0.12,0.12,0.12,335000,0.12
2011-05-18,0.12,0.12,0.12,0.12,46000,0.12
2011-05-16,0.12,0.12,0.12,0.12,575000,0.12
2011-05-13,0.12,0.12,0.12,0.12,102000,0.12
2011-05-12,0.12,0.12,0.12,0.12,193000,0.12
2011-05-11,0.12,0.13,0.12,0.13,151000,0.13
2011-05-10,0.13,0.13,0.12,0.13,113000,0.13
2011-05-09,0.14,0.14,0.13,0.13,150000,0.13
2011-05-06,0.12,0.13,0.12,0.13,160000,0.13
2011-05-05,0.13,0.13,0.12,0.12,190000,0.12
2011-05-04,0.12,0.13,0.12,0.12,000,0.12
2011-05-03,0.12,0.13,0.12,0.12,000,0.12
2011-04-29,0.12,0.13,0.12,0.12,000,0.12
2011-04-28,0.12,0.12,0.12,0.12,210000,0.12
2011-04-27,0.12,0.12,0.12,0.12,329000,0.12
2011-04-26,0.12,0.12,0.12,0.12,219000,0.12
2011-04-25,0.12,0.13,0.12,0.12,000,0.12
