Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,103.40,103.50,103.40,103.48,1400,103.48
2011-08-03,103.30,103.40,103.30,103.40,2100,103.40
2011-08-02,103.38,103.38,103.38,103.38,500,103.38
2011-08-01,103.40,103.40,103.32,103.32,800,103.32
2011-07-29,103.50,103.50,103.32,103.32,1800,103.32
2011-07-28,103.30,103.60,103.30,103.30,000,103.30
2011-07-27,103.50,103.50,103.50,103.50,100,103.50
2011-07-26,103.40,103.60,103.40,103.40,000,103.40
2011-07-25,103.40,103.50,103.40,103.50,1500,103.50
2011-07-22,103.40,103.40,103.40,103.40,300,103.40
2011-07-21,103.20,103.20,103.20,103.20,100,103.20
2011-07-20,103.20,103.20,103.20,103.20,100,103.20
2011-07-19,103.38,103.38,103.30,103.30,1500,103.30
2011-07-18,103.20,103.58,103.20,103.20,000,103.20
2011-07-15,103.40,103.40,103.40,103.40,100,103.40
2011-07-14,103.10,103.46,103.10,103.10,000,103.10
2011-07-13,103.08,103.46,103.08,103.08,000,103.08
2011-07-12,103.27,103.27,103.27,103.27,200,103.27
2011-07-11,103.32,103.35,103.26,103.26,1500,103.26
2011-07-08,103.30,103.40,103.30,103.30,000,103.30
2011-07-07,103.30,103.30,103.30,103.30,1000,103.30
2011-07-06,103.10,103.30,103.10,103.30,1300,103.30
2011-07-05,103.16,103.16,103.16,103.16,100,103.16
2011-07-04,103.16,103.16,103.00,103.00,2500,103.00
2011-07-01,103.16,103.16,103.16,103.16,100,103.16
2011-06-30,103.20,103.20,103.20,103.20,500,103.20
2011-06-29,103.00,103.10,103.00,103.10,600,103.10
2011-06-28,103.00,103.00,103.00,103.00,200,103.00
2011-06-27,102.90,102.90,102.86,102.86,1600,102.86
2011-06-24,102.90,102.90,102.86,102.86,300,102.86
2011-06-23,102.90,102.90,102.90,102.90,700,102.90
2011-06-22,102.72,102.88,102.72,102.88,300,102.88
2011-06-21,102.72,102.72,102.72,102.72,200,102.72
2011-06-20,102.70,102.70,102.68,102.68,600,102.68
2011-06-17,102.66,102.66,102.66,102.66,500,102.66
2011-06-16,102.72,102.72,102.70,102.70,1000,102.70
2011-06-15,102.86,102.86,102.86,102.86,200,102.86
2011-06-14,102.90,102.90,102.70,102.84,1300,102.84
2011-06-13,102.82,102.90,102.82,102.90,700,102.90
2011-06-10,102.88,102.88,102.88,102.88,500,102.88
2011-06-09,102.80,102.88,102.80,102.88,300,102.88
2011-06-08,102.72,102.80,102.72,102.80,400,102.80
2011-06-07,102.74,102.74,102.70,102.72,700,102.72
2011-06-06,102.50,102.76,102.50,102.76,1400,102.76
2011-06-03,102.50,102.56,102.50,102.52,2700,102.52
2011-06-02,102.20,102.46,102.20,102.46,300,102.46
2011-06-01,104.50,104.70,104.50,104.70,200,104.70
2011-05-31,104.30,104.50,104.30,104.32,1100,104.32
2011-05-30,104.30,104.30,104.30,104.30,400,104.30
2011-05-27,104.38,104.50,104.38,104.38,000,104.38
2011-05-26,104.10,104.90,104.10,104.10,000,104.10
2011-05-25,104.10,104.80,104.10,104.10,000,104.10
2011-05-24,104.06,104.08,104.06,104.08,2000,104.08
2011-05-23,104.00,104.00,104.00,104.00,1100,104.00
2011-05-20,104.00,104.00,104.00,104.00,3800,104.00
2011-05-19,103.90,104.00,103.90,103.94,4100,103.94
2011-05-18,103.80,103.80,103.78,103.80,1600,103.80
2011-05-16,103.40,103.60,103.40,103.60,1600,103.60
2011-05-13,103.20,103.30,103.20,103.30,700,103.30
2011-05-12,103.32,103.32,103.26,103.26,700,103.26
2011-05-11,103.00,103.30,103.00,103.30,1700,103.30
2011-05-10,102.90,102.90,102.90,102.90,500,102.90
2011-05-09,102.88,103.10,102.88,103.10,1100,103.10
2011-05-06,103.00,103.00,102.88,102.90,2400,102.90
2011-05-05,102.88,102.88,102.80,102.80,700,102.80
2011-05-04,103.06,103.06,103.06,103.06,300,103.06
2011-05-03,102.88,103.08,102.88,103.08,500,103.08
2011-04-29,102.96,102.96,102.94,102.94,400,102.94
2011-04-28,102.90,102.90,102.90,102.90,100,102.90
2011-04-27,103.00,103.00,103.00,103.00,200,103.00
2011-04-26,102.30,102.30,102.30,102.30,1700,102.30
2011-04-25,102.32,102.34,102.28,102.34,700,102.34
2011-04-21,102.26,102.38,102.22,102.30,3400,102.30
2011-04-20,102.60,102.60,102.44,102.46,1900,102.46
2011-04-19,102.52,102.52,102.42,102.50,4300,102.50
2011-04-18,102.52,102.58,102.50,102.50,1100,102.50
2011-04-15,102.80,102.80,102.70,102.70,900,102.70
2011-04-14,102.90,102.98,102.90,102.90,1700,102.90
2011-04-13,102.90,103.00,102.90,102.90,1500,102.90
2011-04-12,102.80,103.00,102.80,103.00,1800,103.00
2011-04-11,102.00,102.86,102.00,102.86,200,102.86
2011-04-08,102.90,102.90,102.90,102.90,100,102.90
2011-04-07,102.90,102.90,102.90,102.90,400,102.90
2011-04-06,102.30,102.30,102.30,102.30,300,102.30
2011-04-05,102.38,102.38,102.38,102.38,200,102.38
2011-04-04,102.50,102.50,102.50,102.50,200,102.50
2011-04-01,102.30,102.30,102.30,102.30,300,102.30
2011-03-31,102.30,102.30,102.30,102.30,100,102.30
2011-03-30,102.14,102.20,102.14,102.16,1200,102.16
2011-03-29,102.10,102.10,102.10,102.10,100,102.10
2011-03-28,102.20,102.20,102.18,102.18,300,102.18
2011-03-25,101.96,102.08,101.96,101.96,000,101.96
2011-03-24,102.02,102.02,102.02,102.02,100,102.02
2011-03-23,101.90,102.10,101.90,102.00,2000,102.00
2011-03-22,101.86,101.90,101.86,101.90,300,101.90
2011-03-21,101.80,101.80,101.80,101.80,1000,101.80
2011-03-18,101.40,101.70,101.40,101.70,1000,101.70
