Date,Open,High,Low,Close,Volume,Adj Close
2011-03-31,0.01,0.01,0.01,0.01,740000,0.01
2011-03-30,0.00,0.01,0.00,0.00,000,0.00
2011-03-29,0.00,0.01,0.00,0.00,000,0.00
2011-03-28,0.00,0.01,0.00,0.00,000,0.00
2011-03-25,0.00,0.01,0.00,0.00,000,0.00
2011-03-24,0.01,0.01,0.01,0.01,000,0.01
2011-03-23,0.00,0.01,0.00,0.00,000,0.00
2011-03-22,0.01,0.01,0.01,0.01,000,0.01
2011-03-21,0.00,0.01,0.00,0.00,000,0.00
2011-03-18,0.00,0.01,0.00,0.00,000,0.00
2011-03-17,0.00,0.01,0.00,0.00,000,0.00
2011-03-16,0.00,0.01,0.00,0.00,000,0.00
2011-03-15,0.01,0.01,0.01,0.01,000,0.01
2011-03-14,0.00,0.01,0.00,0.00,000,0.00
2011-03-11,0.00,0.01,0.00,0.00,000,0.00
2011-03-10,0.01,0.01,0.01,0.01,100000,0.01
2011-03-09,0.00,0.01,0.00,0.00,000,0.00
2011-03-08,0.00,0.01,0.00,0.00,000,0.00
2011-03-07,0.00,0.01,0.00,0.00,000,0.00
2011-03-04,0.01,0.01,0.01,0.01,000,0.01
2011-03-03,0.00,0.01,0.00,0.00,000,0.00
2011-03-02,0.00,0.01,0.00,0.00,000,0.00
2011-03-01,0.01,0.01,0.01,0.01,000,0.01
2011-02-28,0.01,0.01,0.01,0.01,351000,0.01
2011-02-25,0.01,0.01,0.01,0.01,230000,0.01
2011-02-24,0.01,0.01,0.01,0.01,000,0.01
2011-02-23,0.01,0.01,0.01,0.01,157000,0.01
2011-02-22,0.01,0.01,0.01,0.01,3390000,0.01
2011-02-21,0.01,0.03,0.01,0.01,000,0.01
2011-02-18,0.01,0.03,0.01,0.01,000,0.01
2011-02-17,0.02,0.02,0.01,0.01,104000,0.01
2011-02-16,0.01,0.02,0.01,0.01,000,0.01
2011-02-15,0.01,0.03,0.01,0.01,000,0.01
2011-02-14,0.01,0.02,0.01,0.01,000,0.01
2011-02-11,0.01,0.02,0.01,0.01,000,0.01
2011-02-10,0.01,0.03,0.01,0.01,000,0.01
2011-02-09,0.01,0.03,0.01,0.01,000,0.01
2011-02-08,0.01,0.03,0.01,0.01,000,0.01
2011-02-07,0.03,0.03,0.03,0.03,1000,0.03
2011-02-02,0.01,0.02,0.01,0.01,000,0.01
2011-02-01,0.01,0.03,0.01,0.01,000,0.01
2011-01-31,0.01,0.03,0.01,0.01,000,0.01
2011-01-28,0.01,0.02,0.01,0.01,000,0.01
2011-01-27,0.01,0.01,0.01,0.01,120000,0.01
2011-01-26,0.01,0.03,0.01,0.01,000,0.01
2011-01-25,0.01,0.02,0.01,0.01,000,0.01
2011-01-24,0.01,0.03,0.01,0.01,000,0.01
2011-01-21,0.01,0.02,0.01,0.01,000,0.01
2011-01-20,0.01,0.01,0.01,0.01,70000,0.01
2011-01-19,0.01,0.01,0.01,0.01,100000,0.01
2011-01-18,0.01,0.02,0.01,0.01,000,0.01
2011-01-17,0.01,0.02,0.01,0.01,000,0.01
2011-01-14,0.01,0.02,0.01,0.01,000,0.01
2011-01-13,0.01,0.02,0.01,0.02,175000,0.02
2011-01-12,0.01,0.02,0.01,0.01,000,0.01
2011-01-11,0.02,0.02,0.02,0.02,170000,0.02
2011-01-10,0.01,0.02,0.01,0.01,000,0.01
2011-01-07,0.02,0.02,0.02,0.02,185000,0.02
2011-01-06,0.01,0.02,0.01,0.01,000,0.01
2011-01-05,0.01,0.01,0.01,0.01,15000,0.01
2011-01-04,0.01,0.02,0.01,0.01,607000,0.01
2011-01-03,0.01,0.02,0.01,0.01,2225000,0.01
2010-12-31,0.01,0.01,0.01,0.01,400000,0.01
2010-12-30,0.00,0.01,0.00,0.00,000,0.00
2010-12-29,0.01,0.01,0.01,0.01,1350000,0.01
