Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,9.80,9.87,9.65,9.68,7553000,9.68
2011-08-03,9.91,9.91,9.78,9.88,7704000,9.88
2011-08-02,9.99,10.02,9.97,10.01,4617000,10.01
2011-08-01,10.00,10.09,9.97,10.02,7945000,10.02
2011-07-29,9.92,9.95,9.86,9.95,6644000,9.95
2011-07-28,9.80,9.95,9.77,9.85,4954000,9.85
2011-07-27,9.75,9.90,9.75,9.90,3147000,9.90
2011-07-26,9.82,9.88,9.72,9.88,3565000,9.88
2011-07-25,9.75,9.88,9.71,9.87,3284000,9.87
2011-07-22,9.88,9.92,9.83,9.88,5878000,9.88
2011-07-21,9.65,9.82,9.64,9.77,9833000,9.77
2011-07-20,9.55,9.73,9.51,9.67,15041000,9.67
2011-07-19,9.38,9.50,9.35,9.43,5610000,9.43
2011-07-18,9.38,9.41,9.32,9.33,2632000,9.33
2011-07-15,9.31,9.39,9.30,9.39,2076000,9.39
2011-07-14,9.33,9.38,9.29,9.35,2508000,9.35
2011-07-13,9.35,9.41,9.25,9.33,2941000,9.33
2011-07-12,9.35,9.38,9.20,9.30,4879000,9.30
2011-07-11,9.40,9.45,9.38,9.39,3200000,9.39
2011-07-08,9.49,9.50,9.45,9.46,1973000,9.46
2011-07-07,9.45,9.48,9.42,9.44,1898000,9.44
2011-07-06,9.45,9.50,9.40,9.44,2163000,9.44
2011-07-05,9.64,9.64,9.40,9.42,5727000,9.42
2011-07-04,9.52,9.62,9.52,9.61,8839000,9.61
2011-07-01,9.40,9.48,9.39,9.46,5413000,9.46
2011-06-30,9.28,9.42,9.26,9.36,12629000,9.36
2011-06-29,9.20,9.25,9.16,9.25,3451000,9.25
2011-06-28,9.21,9.22,9.13,9.15,1930000,9.15
2011-06-27,9.11,9.19,9.09,9.15,2971000,9.15
2011-06-24,9.18,9.22,9.15,9.17,3274000,9.17
2011-06-23,9.16,9.16,9.05,9.12,5828000,9.12
2011-06-22,9.24,9.24,9.14,9.17,3491000,9.17
2011-06-21,9.14,9.24,9.10,9.17,5202000,9.17
2011-06-20,9.08,9.19,9.08,9.13,3458000,9.13
2011-06-17,9.13,9.14,9.02,9.03,4681000,9.03
2011-06-16,9.13,9.15,9.08,9.13,5563000,9.13
2011-06-15,9.23,9.25,9.16,9.17,2749000,9.17
2011-06-14,9.18,9.28,9.15,9.20,4054000,9.20
2011-06-13,9.22,9.25,9.19,9.19,3883000,9.19
2011-06-10,9.34,9.35,9.24,9.26,2249000,9.26
2011-06-09,9.28,9.33,9.27,9.32,2062000,9.32
2011-06-08,9.30,9.31,9.26,9.27,3641000,9.27
2011-06-07,9.31,9.38,9.25,9.38,3495000,9.38
2011-06-06,9.38,9.41,9.27,9.32,3423000,9.32
2011-06-03,9.47,9.47,9.40,9.44,1113000,9.44
2011-06-02,9.39,9.44,9.32,9.44,1786000,9.44
2011-06-01,9.50,9.58,9.48,9.49,3167000,9.49
2011-05-31,9.44,9.53,9.44,9.50,6357000,9.50
2011-05-30,9.36,9.45,9.32,9.39,2214000,9.39
2011-05-27,9.35,9.46,9.33,9.36,4797000,9.36
2011-05-26,9.30,9.34,9.23,9.32,3341000,9.32
2011-05-25,9.30,9.30,9.22,9.28,4177000,9.28
2011-05-24,9.36,9.36,9.30,9.32,2489000,9.32
2011-05-23,9.49,9.52,9.27,9.31,4468000,9.31
2011-05-20,9.57,9.57,9.50,9.52,1838000,9.52
2011-05-19,9.53,9.55,9.50,9.53,4831000,9.53
2011-05-18,9.45,9.50,9.38,9.46,3310000,9.46
2011-05-16,9.45,9.45,9.36,9.39,2192000,9.39
2011-05-13,9.44,9.49,9.35,9.47,2937000,9.47
2011-05-12,9.45,9.49,9.38,9.39,4006000,9.39
2011-05-11,9.49,9.54,9.46,9.50,6473000,9.50
2011-05-10,9.36,9.43,9.31,9.39,3634000,9.39
2011-05-09,9.16,9.32,9.16,9.30,4422000,9.30
2011-05-06,9.18,9.22,9.11,9.14,4085000,9.14
2011-05-05,9.18,9.23,9.13,9.22,5944000,9.22
2011-05-04,9.35,9.36,9.19,9.23,8545000,9.23
2011-05-03,9.50,9.50,9.35,9.38,3576000,9.38
2011-04-29,9.56,9.56,9.49,9.55,6817000,9.55
2011-04-28,9.56,9.56,9.47,9.50,2859000,9.50
2011-04-27,9.51,9.56,9.35,9.51,3843000,9.51
2011-04-26,9.45,9.46,9.39,9.44,1921000,9.44
