Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.31,0.36,0.31,0.31,000,0.31
2011-08-03,0.35,0.35,0.31,0.31,9000,0.31
2011-08-02,0.33,0.33,0.33,0.33,3000,0.33
2011-08-01,0.36,0.41,0.36,0.36,000,0.36
2011-07-29,0.41,0.41,0.38,0.38,25000,0.38
2011-07-28,0.39,0.39,0.39,0.39,1000,0.39
2011-07-27,0.39,0.39,0.39,0.39,8000,0.39
2011-07-26,0.49,0.49,0.44,0.44,13800,0.44
2011-07-25,0.49,0.49,0.49,0.49,5000,0.49
2011-07-22,0.51,0.51,0.51,0.51,1000,0.51
2011-07-21,0.51,0.51,0.51,0.51,1000,0.51
2011-07-20,0.51,0.59,0.51,0.51,000,0.51
2011-07-19,0.50,0.52,0.50,0.52,11000,0.52
2011-07-18,0.51,0.59,0.51,0.51,000,0.51
2011-07-15,0.56,0.56,0.52,0.52,2500,0.52
2011-07-14,0.51,0.78,0.51,0.51,000,0.51
2011-07-13,0.50,0.78,0.50,0.50,000,0.50
2011-07-12,0.56,0.56,0.51,0.53,16800,0.53
2011-07-11,0.58,0.58,0.56,0.57,16900,0.57
2011-07-08,0.64,0.64,0.64,0.64,2000,0.64
2011-07-07,0.70,0.70,0.64,0.64,8900,0.64
2011-07-06,0.70,0.80,0.70,0.70,000,0.70
2011-07-05,0.71,0.79,0.71,0.71,000,0.71
2011-07-04,0.75,0.75,0.75,0.75,2900,0.75
2011-07-01,0.75,0.80,0.75,0.75,000,0.75
2011-06-30,0.82,0.82,0.75,0.75,8100,0.75
2011-06-29,0.73,0.73,0.73,0.73,5000,0.73
2011-06-28,0.83,0.83,0.83,0.83,200,0.83
2011-06-27,0.73,0.83,0.73,0.73,000,0.73
2011-06-24,0.75,0.80,0.75,0.75,000,0.75
2011-06-23,0.80,0.80,0.80,0.80,1800,0.80
2011-06-22,0.63,0.80,0.63,0.63,000,0.63
2011-06-21,0.70,0.83,0.70,0.70,000,0.70
2011-06-20,0.75,0.95,0.75,0.75,000,0.75
2011-06-17,0.75,0.88,0.75,0.83,23000,0.83
2011-06-16,0.75,1.13,0.75,0.75,000,0.75
2011-06-15,0.31,1.11,0.31,0.31,000,0.31
2011-06-14,0.10,0.10,0.10,0.10,000,0.10
2011-06-13,0.77,1.16,0.77,0.77,000,0.77
2011-06-10,0.00,0.00,0.00,0.00,000,0.00
2011-06-08,0.11,0.11,0.11,0.11,000,0.11
2011-06-07,0.11,0.11,0.11,0.11,000,0.11
2011-06-06,0.56,1.14,0.56,0.56,000,0.56
2011-06-03,0.91,1.15,0.91,0.91,000,0.91
2011-06-02,0.21,0.21,0.21,0.21,000,0.21
2011-06-01,0.95,1.16,0.95,0.95,000,0.95
2011-05-31,0.97,1.19,0.97,0.97,000,0.97
2011-05-30,1.11,1.11,1.11,1.11,8200,1.11
2011-05-27,0.97,1.11,0.97,0.97,000,0.97
2011-05-26,0.97,1.11,0.97,0.97,000,0.97
2011-05-25,0.96,1.11,0.96,0.96,000,0.96
2011-05-24,0.96,1.11,0.96,0.96,000,0.96
2011-05-23,0.98,0.98,0.98,0.98,000,0.98
2011-05-20,1.00,1.00,1.00,1.00,000,1.00
2011-05-19,1.01,1.01,1.01,1.01,000,1.01
2011-05-18,1.00,1.00,1.00,1.00,000,1.00
2011-05-16,1.01,1.01,1.01,1.01,28000,1.01
2011-05-13,0.98,1.40,0.98,0.98,000,0.98
2011-05-12,0.96,1.10,0.96,0.96,000,0.96
2011-05-11,1.00,1.00,1.00,1.00,500,1.00
2011-05-10,0.93,0.93,0.93,0.93,000,0.93
2011-05-09,0.93,0.93,0.93,0.93,000,0.93
2011-05-06,0.94,1.05,0.94,0.94,000,0.94
2011-05-05,0.94,1.05,0.94,0.94,000,0.94
2011-05-04,0.95,0.95,0.95,0.95,000,0.95
2011-05-03,0.95,0.95,0.95,0.95,000,0.95
2011-04-29,0.95,0.95,0.95,0.95,000,0.95
2011-04-28,0.98,0.98,0.98,0.98,100,0.98
2011-04-27,0.97,0.97,0.97,0.97,000,0.97
2011-04-26,0.96,0.96,0.96,0.96,000,0.96
2011-04-25,1.00,1.00,1.00,1.00,4000,1.00
2011-04-21,0.98,1.05,0.98,0.98,000,0.98
2011-04-20,1.00,1.00,0.96,1.00,10500,1.00
2011-04-19,1.00,1.00,1.00,1.00,100,1.00
2011-04-18,1.01,1.19,1.01,1.01,000,1.01
2011-04-15,1.20,1.20,1.10,1.10,22400,1.10
2011-04-14,1.20,1.25,1.20,1.20,000,1.20
2011-04-13,1.20,1.35,1.20,1.20,000,1.20
2011-04-12,1.21,1.34,1.21,1.21,000,1.21
2011-04-11,1.22,1.35,1.22,1.22,000,1.22
2011-04-08,1.33,1.33,1.25,1.25,15500,1.25
2011-04-07,1.24,1.33,1.24,1.24,000,1.24
2011-04-06,1.25,1.43,1.25,1.25,000,1.25
2011-04-05,1.26,1.43,1.26,1.26,000,1.26
2011-04-04,1.34,1.43,1.34,1.34,000,1.34
2011-04-01,1.33,1.33,1.33,1.33,13800,1.33
2011-03-31,1.30,1.39,1.30,1.30,000,1.30
2011-03-30,1.34,1.40,1.34,1.34,000,1.34
2011-03-29,1.40,1.40,1.40,1.40,2800,1.40
2011-03-28,1.35,1.44,1.35,1.35,000,1.35
2011-03-25,1.39,1.50,1.39,1.39,000,1.39
2011-03-24,1.40,1.40,1.40,1.40,300,1.40
2011-03-23,1.41,1.49,1.41,1.41,000,1.41
2011-03-22,1.40,1.54,1.40,1.40,000,1.40
2011-03-21,1.42,1.55,1.42,1.42,000,1.42
2011-03-18,1.49,1.49,1.41,1.41,7200,1.41
2011-03-17,1.50,1.50,1.50,1.50,10000,1.50
2011-03-16,1.48,1.55,1.48,1.48,000,1.48
2011-03-15,1.50,1.55,1.50,1.50,000,1.50
2011-03-14,1.55,1.55,1.55,1.55,10000,1.55
2011-03-11,1.50,1.65,1.50,1.50,000,1.50
2011-03-10,1.54,1.70,1.54,1.54,000,1.54
2011-03-09,1.55,1.60,1.55,1.60,24000,1.60
2011-03-08,1.51,1.65,1.51,1.51,000,1.51
2011-03-07,1.55,1.55,1.55,1.55,10000,1.55
2011-03-04,1.55,1.55,1.55,1.55,1500,1.55
2011-03-03,1.55,1.60,1.55,1.55,000,1.55
2011-03-02,1.65,1.65,1.65,1.65,200,1.65
2011-03-01,1.60,1.60,1.55,1.55,15000,1.55
2011-02-28,1.60,1.69,1.60,1.60,000,1.60
2011-02-25,1.61,1.69,1.61,1.61,000,1.61
2011-02-24,1.51,1.70,1.51,1.70,2000,1.70
2011-02-23,1.60,1.60,1.60,1.60,10000,1.60
2011-02-22,1.55,1.70,1.55,1.55,000,1.55
2011-02-21,1.52,15.00,1.52,1.52,000,1.52
2011-02-18,1.50,15.00,1.50,1.50,000,1.50
2011-02-17,1.60,1.60,1.55,1.60,27200,1.60
2011-02-16,1.53,1.65,1.53,1.53,000,1.53
2011-02-15,1.51,1.61,1.51,1.61,2300,1.61
2011-02-14,1.47,1.60,1.47,1.47,000,1.47
2011-02-11,1.50,1.55,1.50,1.55,6000,1.55
2011-02-10,1.44,15.00,1.44,1.44,000,1.44
2011-02-09,1.46,15.00,1.46,1.46,000,1.46
2011-02-08,1.44,1.61,1.44,1.44,000,1.44
2011-02-07,1.51,15.00,1.51,1.51,000,1.51
2011-02-02,1.60,1.60,1.51,1.51,6300,1.51
2011-02-01,1.51,1.85,1.51,1.51,000,1.51
2011-01-31,1.51,1.88,1.51,1.51,000,1.51
2011-01-28,1.64,1.64,1.58,1.58,1200,1.58
2011-01-27,1.65,1.67,1.65,1.67,5000,1.67
2011-01-26,1.65,1.65,1.65,1.65,3000,1.65
2011-01-25,1.53,1.80,1.51,1.80,14500,1.80
2011-01-24,1.54,2.00,1.54,1.54,000,1.54
2011-01-21,1.52,15.00,1.52,1.52,000,1.52
2011-01-20,1.55,1.95,1.55,1.55,000,1.55
2011-01-19,1.61,15.00,1.61,1.61,000,1.61
2011-01-18,1.55,5.55,1.55,1.55,000,1.55
2011-01-17,1.55,5.51,1.55,1.55,000,1.55
2011-01-14,1.55,15.00,1.55,1.55,000,1.55
2011-01-13,1.62,15.00,1.62,1.62,000,1.62
2011-01-12,1.63,2.00,1.63,1.63,000,1.63
2011-01-11,1.62,5.39,1.62,1.62,000,1.62
2011-01-10,1.61,5.54,1.61,1.61,000,1.61
2011-01-07,1.66,2.10,1.66,1.66,000,1.66
2011-01-06,1.71,15.00,1.71,1.71,000,1.71
2011-01-05,1.62,1.85,1.62,1.62,000,1.62
2011-01-04,1.66,15.00,1.66,1.66,000,1.66
2011-01-03,1.61,1.61,1.61,1.61,2000,1.61
2010-12-31,1.71,1.71,1.71,1.71,1000,1.71
2010-12-30,1.53,15.00,1.53,1.53,000,1.53
2010-12-29,1.58,15.00,1.58,1.58,000,1.58
2010-12-28,1.58,15.00,1.58,1.58,000,1.58
2010-12-27,1.57,15.00,1.57,1.57,000,1.57
2010-12-24,1.57,5.09,1.57,1.57,000,1.57
2010-12-23,1.50,5.49,1.50,1.50,000,1.50
2010-12-22,1.46,15.00,1.46,1.46,000,1.46
2010-12-21,1.50,1.50,1.48,1.48,12000,1.48
2010-12-20,1.55,1.55,1.55,1.55,200,1.55
2010-12-17,1.60,1.60,1.55,1.55,5000,1.55
2010-12-16,1.56,1.65,1.56,1.56,000,1.56
2010-12-15,1.60,1.60,1.60,1.60,5000,1.60
2010-12-14,1.66,1.66,1.66,1.66,2000,1.66
2010-12-13,1.56,1.56,1.56,1.56,200,1.56
2010-12-10,1.64,1.64,1.59,1.59,12000,1.59
2010-12-09,1.64,1.70,1.64,1.64,000,1.64
2010-12-08,1.70,1.70,1.66,1.66,2500,1.66
2010-12-07,1.65,1.70,1.65,1.70,15000,1.70
2010-12-06,1.65,1.65,1.65,1.65,2000,1.65
2010-12-03,1.65,1.65,1.65,1.65,2000,1.65
2010-12-02,1.65,1.90,1.65,1.65,000,1.65
2010-12-01,1.60,1.90,1.60,1.60,000,1.60
2010-11-30,1.63,2.00,1.63,1.63,000,1.63
2010-11-29,1.63,2.00,1.63,1.63,000,1.63
2010-11-26,1.68,1.68,1.68,1.68,000,1.68
2010-11-25,1.70,1.70,1.70,1.70,1200,1.70
