Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.44,0.44,0.43,0.43,163000,0.43
2011-08-03,0.41,0.42,0.41,0.42,10000,0.42
2011-08-02,0.41,0.42,0.41,0.42,85000,0.42
2011-08-01,0.41,0.41,0.41,0.41,15000,0.41
2011-07-29,0.41,0.43,0.41,0.41,54000,0.41
2011-07-28,0.41,0.43,0.41,0.41,000,0.41
2011-07-27,0.41,0.44,0.41,0.41,000,0.41
2011-07-26,0.41,0.44,0.41,0.41,000,0.41
2011-07-25,0.41,0.44,0.41,0.41,000,0.41
2011-07-22,0.43,0.43,0.43,0.43,35000,0.43
2011-07-21,0.44,0.44,0.43,0.43,171000,0.43
2011-07-20,0.41,0.44,0.41,0.41,000,0.41
2011-07-19,0.41,0.44,0.41,0.41,000,0.41
2011-07-18,0.41,0.41,0.41,0.41,000,0.41
2011-07-15,0.41,0.43,0.41,0.41,000,0.41
2011-07-14,0.41,0.43,0.41,0.41,000,0.41
2011-07-13,0.42,0.42,0.42,0.42,6000,0.42
2011-07-12,0.41,0.41,0.41,0.41,67000,0.41
2011-07-11,0.41,0.41,0.41,0.41,3000,0.41
2011-07-08,0.41,0.43,0.41,0.41,000,0.41
2011-07-07,0.40,0.40,0.40,0.40,1000,0.40
2011-07-06,0.40,0.41,0.40,0.40,000,0.40
2011-07-05,0.41,0.41,0.40,0.40,16000,0.40
2011-07-04,0.41,0.41,0.41,0.41,5000,0.41
2011-07-01,0.41,0.43,0.41,0.41,000,0.41
2011-06-30,0.44,0.44,0.44,0.44,13000,0.44
2011-06-29,0.41,0.44,0.41,0.44,298000,0.44
2011-06-28,0.40,0.40,0.40,0.40,175000,0.40
2011-06-27,0.40,0.40,0.40,0.40,15000,0.40
2011-06-24,0.39,0.42,0.39,0.39,000,0.39
2011-06-23,0.39,0.43,0.39,0.39,000,0.39
2011-06-22,0.43,0.43,0.43,0.43,2000,0.43
2011-06-21,0.41,0.41,0.41,0.41,33000,0.41
2011-06-20,0.39,0.40,0.39,0.40,94000,0.40
2011-06-17,0.39,0.40,0.39,0.39,000,0.39
2011-06-16,0.40,0.41,0.40,0.40,000,0.40
2011-06-15,0.40,0.40,0.40,0.40,22000,0.40
2011-06-14,0.40,0.40,0.40,0.40,40000,0.40
2011-06-13,0.40,0.40,0.40,0.40,32000,0.40
2011-06-10,0.40,0.40,0.40,0.40,51000,0.40
2011-06-09,0.40,0.42,0.40,0.40,000,0.40
2011-06-08,0.40,0.40,0.40,0.40,16000,0.40
2011-06-07,0.41,0.41,0.40,0.40,20000,0.40
2011-06-06,0.41,0.41,0.41,0.41,135000,0.41
2011-06-03,0.41,0.43,0.41,0.41,000,0.41
2011-06-02,0.41,0.41,0.41,0.41,000,0.41
2011-06-01,0.41,0.41,0.41,0.41,49000,0.41
2011-05-31,0.40,0.41,0.40,0.40,000,0.40
2011-05-30,0.40,0.40,0.40,0.40,10000,0.40
2011-05-27,0.41,0.41,0.41,0.41,97000,0.41
2011-05-26,0.41,0.41,0.41,0.41,30000,0.41
2011-05-25,0.43,0.43,0.43,0.43,10000,0.43
2011-05-24,0.43,0.43,0.43,0.43,20000,0.43
2011-05-23,0.41,0.43,0.41,0.41,000,0.41
2011-05-20,0.41,0.44,0.41,0.41,000,0.41
2011-05-19,0.41,0.44,0.41,0.41,000,0.41
2011-05-18,0.40,0.44,0.40,0.44,30000,0.44
2011-05-16,0.40,0.44,0.40,0.40,000,0.40
2011-05-13,0.40,0.44,0.40,0.44,11000,0.44
2011-05-12,0.40,0.43,0.40,0.40,000,0.40
2011-05-11,0.41,0.41,0.41,0.41,1000,0.41
2011-05-10,0.40,0.40,0.40,0.40,1000,0.40
2011-05-09,0.44,0.44,0.44,0.44,134000,0.44
2011-05-06,0.44,0.44,0.44,0.44,166000,0.44
2011-05-05,0.44,0.44,0.44,0.44,000,0.44
