Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.17,0.17,0.17,0.17,248000,0.17
2011-08-03,0.17,0.17,0.17,0.17,50000,0.17
2011-08-02,0.17,0.17,0.17,0.17,2013000,0.17
2011-08-01,0.17,0.17,0.17,0.17,617000,0.17
2011-07-29,0.17,0.17,0.17,0.17,29000,0.17
2011-07-28,0.16,0.17,0.16,0.17,103000,0.17
2011-07-27,0.16,0.17,0.16,0.17,182000,0.17
2011-07-26,0.16,0.16,0.16,0.16,30000,0.16
2011-07-25,0.16,0.16,0.16,0.16,000,0.16
2011-07-22,0.16,0.16,0.16,0.16,296000,0.16
2011-07-21,0.16,0.16,0.16,0.16,284000,0.16
2011-07-20,0.16,0.16,0.16,0.16,420000,0.16
2011-07-19,0.16,0.16,0.16,0.16,276000,0.16
2011-07-18,0.16,0.16,0.16,0.16,215000,0.16
2011-07-15,0.16,0.17,0.16,0.16,416000,0.16
2011-07-14,0.16,0.17,0.16,0.17,63000,0.17
2011-07-13,0.16,0.17,0.16,0.17,50000,0.17
2011-07-12,0.16,0.16,0.16,0.16,866000,0.16
2011-07-11,0.17,0.17,0.17,0.17,45000,0.17
2011-07-08,0.17,0.17,0.17,0.17,341000,0.17
2011-07-07,0.17,0.17,0.17,0.17,133000,0.17
2011-07-06,0.16,0.17,0.16,0.17,312000,0.17
2011-07-05,0.17,0.17,0.16,0.16,50000,0.16
2011-07-04,0.17,0.17,0.17,0.17,317000,0.17
2011-07-01,0.17,0.17,0.16,0.17,719000,0.17
2011-06-30,0.16,0.17,0.16,0.17,530000,0.17
2011-06-29,0.17,0.17,0.17,0.17,611000,0.17
2011-06-28,0.17,0.17,0.16,0.16,117000,0.16
2011-06-27,0.16,0.16,0.16,0.16,706000,0.16
2011-06-24,0.16,0.16,0.16,0.16,57000,0.16
2011-06-23,0.16,0.17,0.16,0.16,801000,0.16
2011-06-22,0.16,0.17,0.16,0.16,000,0.16
2011-06-21,0.16,0.17,0.16,0.17,288000,0.17
2011-06-20,0.16,0.16,0.16,0.16,180000,0.16
2011-06-17,0.16,0.16,0.16,0.16,239000,0.16
2011-06-16,0.16,0.16,0.16,0.16,561000,0.16
2011-06-15,0.17,0.17,0.17,0.17,65000,0.17
2011-06-14,0.16,0.17,0.16,0.17,106000,0.17
2011-06-13,0.17,0.17,0.16,0.16,222000,0.16
2011-06-10,0.17,0.17,0.17,0.17,383000,0.17
2011-06-09,0.17,0.17,0.17,0.17,196000,0.17
2011-06-08,0.17,0.17,0.17,0.17,227000,0.17
2011-06-07,0.17,0.17,0.17,0.17,15000,0.17
2011-06-06,0.17,0.17,0.17,0.17,12000,0.17
2011-06-03,0.17,0.17,0.17,0.17,139000,0.17
2011-06-02,0.17,0.17,0.17,0.17,200000,0.17
2011-06-01,0.17,0.17,0.17,0.17,322000,0.17
2011-05-31,0.17,0.17,0.17,0.17,116000,0.17
2011-05-30,0.17,0.17,0.17,0.17,40000,0.17
2011-05-27,0.17,0.17,0.17,0.17,110000,0.17
2011-05-26,0.17,0.17,0.16,0.17,779000,0.17
2011-05-25,0.17,0.17,0.17,0.17,2680000,0.17
2011-05-24,0.16,0.17,0.16,0.17,1160000,0.17
2011-05-23,0.17,0.17,0.16,0.17,385000,0.17
2011-05-20,0.16,0.17,0.16,0.17,314000,0.17
2011-05-19,0.16,0.17,0.16,0.16,525000,0.16
2011-05-18,0.16,0.16,0.16,0.16,292000,0.16
2011-05-16,0.16,0.16,0.16,0.16,351000,0.16
2011-05-13,0.16,0.16,0.16,0.16,196000,0.16
2011-05-12,0.17,0.17,0.16,0.16,916000,0.16
2011-05-11,0.16,0.17,0.16,0.16,000,0.16
2011-05-10,0.17,0.17,0.17,0.17,218000,0.17
2011-05-09,0.17,0.17,0.17,0.17,294000,0.17
2011-05-06,0.16,0.16,0.16,0.16,3000,0.16
2011-05-05,0.17,0.17,0.17,0.17,796000,0.17
2011-05-04,0.16,0.16,0.16,0.16,627000,0.16
2011-05-03,0.17,0.17,0.16,0.17,209000,0.17
2011-04-29,0.17,0.17,0.16,0.16,110000,0.16
2011-04-28,0.17,0.17,0.17,0.17,231000,0.17
2011-04-27,0.17,0.17,0.17,0.17,283000,0.17
2011-04-26,0.17,0.17,0.17,0.17,000,0.17
2011-04-25,0.17,0.17,0.17,0.17,180000,0.17
2011-04-21,0.17,0.17,0.17,0.17,138000,0.17
2011-04-20,0.17,0.17,0.16,0.17,219000,0.17
2011-04-19,0.16,0.17,0.16,0.17,140000,0.17
2011-04-18,0.17,0.17,0.17,0.17,32000,0.17
2011-04-15,0.16,0.17,0.16,0.16,000,0.16
2011-04-14,0.17,0.17,0.17,0.17,159000,0.17
2011-04-13,0.17,0.17,0.17,0.17,194000,0.17
2011-04-12,0.17,0.17,0.17,0.17,319000,0.17
2011-04-11,0.17,0.17,0.17,0.17,474000,0.17
2011-04-08,0.17,0.17,0.17,0.17,159000,0.17
2011-04-07,0.17,0.17,0.16,0.17,822000,0.17
2011-04-06,0.17,0.17,0.17,0.17,233000,0.17
2011-04-05,0.16,0.16,0.16,0.16,258000,0.16
2011-04-04,0.16,0.16,0.16,0.16,73000,0.16
2011-04-01,0.16,0.16,0.16,0.16,102000,0.16
2011-03-31,0.16,0.16,0.16,0.16,320000,0.16
2011-03-30,0.16,0.16,0.16,0.16,519000,0.16
2011-03-29,0.16,0.16,0.16,0.16,111000,0.16
2011-03-28,0.16,0.16,0.16,0.16,450000,0.16
2011-03-25,0.16,0.16,0.16,0.16,320000,0.16
2011-03-24,0.16,0.16,0.16,0.16,1252000,0.16
2011-03-23,0.16,0.16,0.15,0.16,1315000,0.16
2011-03-22,0.16,0.16,0.16,0.16,72000,0.16
2011-03-21,0.16,0.16,0.16,0.16,205000,0.16
2011-03-18,0.16,0.16,0.15,0.16,194000,0.16
2011-03-17,0.16,0.16,0.16,0.16,83000,0.16
2011-03-16,0.16,0.16,0.16,0.16,238000,0.16
2011-03-15,0.16,0.16,0.15,0.15,1018000,0.15
2011-03-14,0.16,0.17,0.16,0.16,342000,0.16
2011-03-11,0.16,0.16,0.16,0.16,134000,0.16
2011-03-10,0.16,0.16,0.16,0.16,57000,0.16
2011-03-09,0.16,0.16,0.16,0.16,309000,0.16
2011-03-08,0.16,0.16,0.16,0.16,195000,0.16
2011-03-07,0.16,0.16,0.16,0.16,100000,0.16
2011-03-04,0.16,0.16,0.16,0.16,113000,0.16
2011-03-03,0.16,0.16,0.16,0.16,3000,0.16
2011-03-02,0.16,0.16,0.16,0.16,59000,0.16
2011-03-01,0.16,0.16,0.16,0.16,54000,0.16
2011-02-28,0.16,0.16,0.16,0.16,200000,0.16
2011-02-25,0.16,0.16,0.15,0.16,812000,0.16
2011-02-24,0.16,0.16,0.16,0.16,377000,0.16
2011-02-23,0.16,0.16,0.16,0.16,579000,0.16
2011-02-22,0.17,0.17,0.16,0.16,1020000,0.16
2011-02-21,0.16,0.17,0.16,0.17,262000,0.17
2011-02-18,0.17,0.17,0.16,0.16,551000,0.16
2011-02-17,0.17,0.17,0.17,0.17,423000,0.17
2011-02-16,0.17,0.17,0.17,0.17,220000,0.17
2011-02-15,0.17,0.17,0.17,0.17,317000,0.17
2011-02-14,0.17,0.17,0.17,0.17,98000,0.17
2011-02-11,0.17,0.17,0.17,0.17,994000,0.17
2011-02-10,0.17,0.17,0.17,0.17,349000,0.17
2011-02-09,0.17,0.17,0.17,0.17,531000,0.17
2011-02-08,0.17,0.17,0.17,0.17,49000,0.17
2011-02-07,0.17,0.17,0.17,0.17,201000,0.17
2011-02-02,0.18,0.19,0.18,0.18,000,0.18
2011-02-01,0.18,0.18,0.18,0.18,121000,0.18
2011-01-31,0.18,0.18,0.18,0.18,193000,0.18
2011-01-28,0.18,0.18,0.18,0.18,100000,0.18
2011-01-27,0.18,0.19,0.18,0.18,207000,0.18
2011-01-26,0.18,0.18,0.18,0.18,236000,0.18
2011-01-25,0.19,0.19,0.17,0.18,439000,0.18
2011-01-24,0.18,0.18,0.18,0.18,8000,0.18
2011-01-21,0.18,0.18,0.18,0.18,135000,0.18
2011-01-20,0.18,0.18,0.18,0.18,309000,0.18
2011-01-19,0.18,0.18,0.18,0.18,281000,0.18
2011-01-18,0.18,0.19,0.18,0.18,224000,0.18
2011-01-17,0.18,0.18,0.18,0.18,283000,0.18
2011-01-14,0.19,0.19,0.19,0.19,50000,0.19
2011-01-13,0.19,0.19,0.19,0.19,548000,0.19
2011-01-12,0.19,0.19,0.19,0.19,277000,0.19
2011-01-11,0.19,0.19,0.18,0.19,529000,0.19
2011-01-10,0.19,0.19,0.19,0.19,781000,0.19
2011-01-07,0.19,0.19,0.18,0.19,689000,0.19
2011-01-06,0.19,0.19,0.18,0.19,2201000,0.19
2011-01-05,0.19,0.19,0.18,0.18,892000,0.18
2011-01-04,0.18,0.19,0.18,0.19,385000,0.19
2011-01-03,0.18,0.18,0.18,0.18,510000,0.18
2010-12-31,0.18,0.19,0.18,0.18,184000,0.18
2010-12-30,0.18,0.18,0.18,0.18,271000,0.18
2010-12-29,0.18,0.18,0.18,0.18,166000,0.18
2010-12-28,0.17,0.17,0.17,0.17,254000,0.17
2010-12-27,0.18,0.18,0.17,0.17,464000,0.17
2010-12-24,0.18,0.18,0.18,0.18,50000,0.18
2010-12-23,0.18,0.18,0.18,0.18,5000,0.18
2010-12-22,0.19,0.19,0.18,0.19,913000,0.19
2010-12-21,0.19,0.19,0.17,0.18,483000,0.18
2010-12-20,0.18,0.19,0.17,0.19,528000,0.19
