Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.04,0.04,0.04,0.04,8215000,0.04
2011-08-03,0.04,0.04,0.04,0.04,2923000,0.04
2011-08-02,0.04,0.04,0.04,0.04,3411000,0.04
2011-08-01,0.04,0.04,0.04,0.04,417000,0.04
2011-07-29,0.04,0.04,0.04,0.04,872000,0.04
2011-07-28,0.04,0.04,0.04,0.04,1361000,0.04
2011-07-27,0.04,0.04,0.04,0.04,671000,0.04
2011-07-26,0.04,0.04,0.04,0.04,657000,0.04
2011-07-25,0.04,0.04,0.04,0.04,707000,0.04
2011-07-22,0.04,0.04,0.04,0.04,653000,0.04
2011-07-21,0.04,0.04,0.04,0.04,188000,0.04
2011-07-20,0.04,0.04,0.04,0.04,300000,0.04
2011-07-19,0.04,0.04,0.04,0.04,1796000,0.04
2011-07-18,0.04,0.04,0.04,0.04,651000,0.04
2011-07-15,0.04,0.04,0.04,0.04,578000,0.04
2011-07-14,0.04,0.04,0.04,0.04,1263000,0.04
2011-07-13,0.04,0.04,0.04,0.04,52000,0.04
2011-07-12,0.04,0.05,0.04,0.05,1888000,0.05
2011-07-11,0.04,0.04,0.04,0.04,940000,0.04
2011-07-08,0.04,0.04,0.04,0.04,420000,0.04
2011-07-07,0.04,0.04,0.04,0.04,650000,0.04
2011-07-06,0.04,0.04,0.04,0.04,1009000,0.04
2011-07-05,0.05,0.05,0.04,0.04,1059000,0.04
2011-07-04,0.05,0.05,0.05,0.05,1300000,0.05
2011-07-01,0.05,0.05,0.04,0.05,3250000,0.05
2011-06-30,0.05,0.05,0.05,0.05,2828000,0.05
2011-06-29,0.05,0.05,0.05,0.05,250000,0.05
2011-06-28,0.05,0.05,0.04,0.05,8272000,0.05
2011-06-27,0.05,0.05,0.04,0.05,1411000,0.05
2011-06-24,0.05,0.05,0.05,0.05,712000,0.05
2011-06-23,0.05,0.05,0.04,0.04,535000,0.04
2011-06-22,0.04,0.05,0.04,0.05,930000,0.05
2011-06-21,0.04,0.04,0.04,0.04,130000,0.04
2011-06-20,0.04,0.05,0.04,0.05,336000,0.05
2011-06-17,0.05,0.05,0.04,0.04,2298000,0.04
2011-06-16,0.04,0.05,0.04,0.05,297000,0.05
2011-06-15,0.05,0.05,0.05,0.05,430000,0.05
2011-06-14,0.05,0.05,0.05,0.05,2838000,0.05
2011-06-13,0.05,0.05,0.05,0.05,400000,0.05
2011-06-10,0.05,0.05,0.05,0.05,3911000,0.05
2011-06-09,0.05,0.05,0.05,0.05,1470000,0.05
2011-06-08,0.05,0.05,0.05,0.05,2632000,0.05
2011-06-07,0.05,0.05,0.05,0.05,1440000,0.05
2011-06-06,0.05,0.05,0.05,0.05,1355000,0.05
2011-06-03,0.05,0.05,0.05,0.05,807000,0.05
2011-06-02,0.05,0.05,0.05,0.05,10628000,0.05
2011-06-01,0.05,0.05,0.05,0.05,1364000,0.05
2011-05-31,0.05,0.05,0.05,0.05,5246000,0.05
2011-05-30,0.05,0.05,0.05,0.05,2355000,0.05
2011-05-27,0.05,0.05,0.05,0.05,287000,0.05
2011-05-26,0.05,0.05,0.05,0.05,49944000,0.05
2011-05-25,0.05,0.05,0.05,0.05,536000,0.05
2011-05-24,0.05,0.05,0.05,0.05,1302000,0.05
2011-05-23,0.05,0.05,0.05,0.05,1654000,0.05
2011-05-20,0.05,0.05,0.05,0.05,2320000,0.05
2011-05-19,0.05,0.05,0.05,0.05,630000,0.05
2011-05-18,0.05,0.05,0.05,0.05,169000,0.05
2011-05-16,0.05,0.05,0.05,0.05,1814000,0.05
2011-05-13,0.05,0.05,0.05,0.05,1424000,0.05
2011-05-12,0.05,0.05,0.05,0.05,575000,0.05
2011-05-11,0.05,0.05,0.05,0.05,370000,0.05
2011-05-10,0.05,0.05,0.05,0.05,1250000,0.05
2011-05-09,0.05,0.05,0.05,0.05,119000,0.05
