Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.64,0.66,0.64,0.64,3914000,0.64
2011-08-03,0.65,0.65,0.63,0.64,4188000,0.64
2011-08-02,0.66,0.66,0.65,0.65,567000,0.65
2011-08-01,0.65,0.66,0.64,0.65,1181000,0.65
2011-07-29,0.66,0.66,0.64,0.65,2282000,0.65
2011-07-28,0.65,0.66,0.65,0.66,1159000,0.66
2011-07-27,0.66,0.67,0.65,0.65,3098000,0.65
2011-07-26,0.65,0.67,0.65,0.66,4042000,0.66
2011-07-25,0.65,0.65,0.65,0.65,1270000,0.65
2011-07-22,0.65,0.65,0.64,0.65,3105000,0.65
2011-07-21,0.64,0.65,0.64,0.65,2801000,0.65
2011-07-20,0.64,0.65,0.64,0.64,2036000,0.64
2011-07-19,0.65,0.65,0.64,0.64,844000,0.64
2011-07-18,0.64,0.65,0.64,0.64,2158000,0.64
2011-07-15,0.64,0.65,0.64,0.64,702000,0.64
2011-07-14,0.64,0.65,0.64,0.64,1290000,0.64
2011-07-13,0.64,0.65,0.64,0.64,1397000,0.64
2011-07-12,0.65,0.65,0.64,0.64,1032000,0.64
2011-07-11,0.65,0.65,0.64,0.65,686000,0.65
2011-07-08,0.64,0.65,0.64,0.65,3841000,0.65
2011-07-07,0.64,0.65,0.64,0.65,851000,0.65
2011-07-06,0.64,0.65,0.64,0.64,1254000,0.64
2011-07-05,0.65,0.65,0.64,0.64,1197000,0.64
2011-07-04,0.65,0.65,0.64,0.65,3225000,0.65
2011-07-01,0.65,0.65,0.64,0.65,2458000,0.65
2011-06-30,0.64,0.65,0.64,0.65,3153000,0.65
2011-06-29,0.64,0.65,0.64,0.64,1406000,0.64
2011-06-28,0.63,0.65,0.63,0.64,6036000,0.64
2011-06-27,0.62,0.63,0.62,0.62,1091000,0.62
2011-06-24,0.62,0.63,0.62,0.62,4260000,0.62
2011-06-23,0.62,0.63,0.62,0.62,3826000,0.62
2011-06-22,0.63,0.63,0.62,0.62,1554000,0.62
2011-06-21,0.62,0.62,0.62,0.62,2087000,0.62
2011-06-20,0.62,0.63,0.62,0.62,1664000,0.62
2011-06-17,0.62,0.63,0.62,0.62,3258000,0.62
2011-06-16,0.62,0.62,0.62,0.62,1593000,0.62
2011-06-15,0.63,0.63,0.62,0.62,3398000,0.62
2011-06-14,0.62,0.63,0.62,0.63,1094000,0.63
2011-06-13,0.62,0.63,0.62,0.62,2824000,0.62
2011-06-10,0.62,0.63,0.62,0.62,2169000,0.62
2011-06-09,0.63,0.63,0.62,0.62,3738000,0.62
2011-06-08,0.63,0.63,0.63,0.63,519000,0.63
2011-06-07,0.63,0.63,0.63,0.63,659000,0.63
2011-06-06,0.63,0.64,0.63,0.63,1605000,0.63
2011-06-03,0.64,0.64,0.63,0.63,985000,0.63
2011-06-02,0.64,0.64,0.63,0.63,2272000,0.63
2011-06-01,0.64,0.64,0.63,0.63,2118000,0.63
2011-05-31,0.64,0.64,0.63,0.63,3007000,0.63
2011-05-30,0.64,0.64,0.63,0.64,1621000,0.64
