Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.14,0.14,0.14,0.14,62000,0.14
2011-08-03,0.14,0.14,0.14,0.14,300000,0.14
2011-08-02,0.14,0.14,0.14,0.14,50000,0.14
2011-08-01,0.13,0.14,0.13,0.13,000,0.13
2011-07-29,0.13,0.14,0.13,0.13,000,0.13
2011-07-28,0.13,0.14,0.13,0.13,13000,0.13
2011-07-27,0.14,0.14,0.14,0.14,70000,0.14
2011-07-26,0.14,0.14,0.14,0.14,75000,0.14
2011-07-25,0.14,0.14,0.14,0.14,5000,0.14
2011-07-22,0.14,0.14,0.14,0.14,000,0.14
2011-07-21,0.14,0.14,0.14,0.14,30000,0.14
2011-07-20,0.14,0.14,0.14,0.14,70000,0.14
2011-07-19,0.14,0.14,0.14,0.14,130000,0.14
2011-07-18,0.14,0.14,0.14,0.14,180000,0.14
2011-07-15,0.14,0.14,0.14,0.14,84000,0.14
2011-07-14,0.14,0.14,0.14,0.14,000,0.14
2011-07-13,0.14,0.14,0.14,0.14,30000,0.14
2011-07-12,0.14,0.14,0.14,0.14,58000,0.14
2011-07-11,0.14,0.14,0.14,0.14,000,0.14
2011-07-08,0.14,0.14,0.14,0.14,90000,0.14
2011-07-07,0.13,0.13,0.13,0.13,83000,0.13
2011-07-06,0.14,0.14,0.14,0.14,380000,0.14
2011-07-05,0.14,0.14,0.14,0.14,100000,0.14
2011-07-04,0.14,0.14,0.14,0.14,195000,0.14
2011-07-01,0.14,0.14,0.14,0.14,212000,0.14
2011-06-30,0.14,0.14,0.14,0.14,579000,0.14
2011-06-29,0.12,0.14,0.12,0.14,785000,0.14
2011-06-28,0.12,0.12,0.12,0.12,000,0.12
2011-06-27,0.12,0.12,0.12,0.12,850000,0.12
2011-06-24,0.12,0.13,0.12,0.12,000,0.12
2011-06-23,0.12,0.13,0.12,0.12,000,0.12
2011-06-22,0.12,0.12,0.12,0.12,502000,0.12
2011-06-21,0.12,0.12,0.12,0.12,21000,0.12
2011-06-20,0.12,0.12,0.12,0.12,50000,0.12
2011-06-17,0.12,0.12,0.12,0.12,000,0.12
2011-06-16,0.12,0.12,0.12,0.12,240000,0.12
2011-06-15,0.12,0.12,0.12,0.12,70000,0.12
2011-06-14,0.12,0.12,0.12,0.12,788000,0.12
2011-06-13,0.12,0.12,0.12,0.12,639000,0.12
2011-06-10,0.12,0.12,0.12,0.12,755000,0.12
2011-06-09,0.12,0.12,0.12,0.12,000,0.12
2011-06-08,0.12,0.12,0.12,0.12,330000,0.12
2011-06-07,0.12,0.12,0.12,0.12,74000,0.12
2011-06-06,0.12,0.13,0.12,0.13,377000,0.13
2011-06-03,0.12,0.12,0.12,0.12,302000,0.12
2011-06-02,0.12,0.12,0.12,0.12,3000,0.12
2011-06-01,0.12,0.12,0.12,0.12,167000,0.12
2011-05-31,0.12,0.12,0.12,0.12,1071000,0.12
2011-05-30,0.12,0.12,0.12,0.12,20000,0.12
2011-05-27,0.12,0.12,0.12,0.12,227000,0.12
2011-05-26,0.12,0.12,0.12,0.12,10000,0.12
2011-05-25,0.12,0.12,0.12,0.12,50000,0.12
2011-05-24,0.12,0.12,0.12,0.12,1011000,0.12
2011-05-23,0.12,0.12,0.12,0.12,145000,0.12
2011-05-20,0.12,0.12,0.12,0.12,351000,0.12
2011-05-19,0.11,0.12,0.11,0.11,000,0.11
2011-05-18,0.10,0.12,0.10,0.12,240000,0.12
2011-05-16,0.12,0.12,0.11,0.11,256000,0.11
2011-05-13,0.12,0.12,0.12,0.12,000,0.12
2011-05-12,0.12,0.12,0.12,0.12,650000,0.12
2011-05-11,0.12,0.12,0.12,0.12,50000,0.12
2011-05-10,0.14,0.14,0.12,0.12,412000,0.12
2011-05-09,0.13,0.13,0.12,0.13,101000,0.13
2011-05-06,0.12,0.12,0.12,0.12,249000,0.12
