Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.69,0.69,0.68,0.68,210000,0.68
2011-08-03,0.67,0.69,0.67,0.69,610000,0.69
2011-08-02,0.69,0.69,0.68,0.68,620000,0.68
2011-08-01,0.69,0.70,0.69,0.69,418000,0.69
2011-07-29,0.71,0.71,0.69,0.69,431000,0.69
2011-07-28,0.70,0.71,0.70,0.70,293000,0.70
2011-07-27,0.72,0.72,0.70,0.71,644000,0.71
2011-07-26,0.72,0.73,0.70,0.73,1540000,0.73
2011-07-25,0.69,0.74,0.68,0.73,2648000,0.73
2011-07-22,0.64,0.69,0.64,0.69,1464000,0.69
2011-07-21,0.63,0.64,0.63,0.64,360000,0.64
2011-07-20,0.63,0.63,0.63,0.63,138000,0.63
2011-07-19,0.63,0.63,0.62,0.63,42000,0.63
2011-07-18,0.63,0.63,0.62,0.63,135000,0.63
2011-07-15,0.62,0.63,0.62,0.62,70000,0.62
2011-07-14,0.63,0.63,0.62,0.63,124000,0.63
2011-07-13,0.64,0.64,0.63,0.64,201000,0.64
2011-07-12,0.63,0.63,0.62,0.63,112000,0.63
2011-07-11,0.62,0.63,0.62,0.63,179000,0.63
2011-07-08,0.63,0.63,0.63,0.63,106000,0.63
2011-07-07,0.63,0.63,0.63,0.63,128000,0.63
2011-07-06,0.62,0.63,0.62,0.63,136000,0.63
2011-07-05,0.62,0.62,0.62,0.62,39000,0.62
2011-07-04,0.63,0.63,0.62,0.62,65000,0.62
2011-07-01,0.63,0.63,0.63,0.63,405000,0.63
2011-06-30,0.63,0.63,0.62,0.63,327000,0.63
2011-06-29,0.62,0.63,0.62,0.62,949000,0.62
2011-06-28,0.62,0.62,0.61,0.62,164000,0.62
2011-06-27,0.62,0.62,0.62,0.62,35000,0.62
2011-06-24,0.62,0.62,0.61,0.62,43000,0.62
2011-06-23,0.61,0.61,0.61,0.61,130000,0.61
2011-06-22,0.62,0.62,0.61,0.62,70000,0.62
2011-06-21,0.61,0.62,0.61,0.62,184000,0.62
2011-06-20,0.61,0.62,0.61,0.62,127000,0.62
2011-06-17,0.61,0.61,0.61,0.61,249000,0.61
2011-06-16,0.61,0.62,0.61,0.61,292000,0.61
2011-06-15,0.62,0.62,0.61,0.61,75000,0.61
2011-06-14,0.62,0.62,0.62,0.62,86000,0.62
2011-06-13,0.62,0.62,0.62,0.62,159000,0.62
2011-06-10,0.64,0.64,0.62,0.63,97000,0.63
2011-06-09,0.63,0.64,0.62,0.63,100000,0.63
2011-06-08,0.63,0.65,0.63,0.64,412000,0.64
2011-06-07,0.61,0.63,0.61,0.63,833000,0.63
2011-06-06,0.61,0.61,0.61,0.61,95000,0.61
2011-06-03,0.61,0.62,0.61,0.61,102000,0.61
2011-06-02,0.61,0.61,0.61,0.61,220000,0.61
2011-06-01,0.61,0.61,0.61,0.61,102000,0.61
2011-05-31,0.61,0.61,0.61,0.61,120000,0.61
2011-05-30,0.62,0.62,0.61,0.62,260000,0.62
2011-05-27,0.62,0.62,0.62,0.62,46000,0.62
2011-05-26,0.61,0.62,0.61,0.62,103000,0.62
2011-05-25,0.61,0.61,0.61,0.61,79000,0.61
2011-05-24,0.61,0.62,0.61,0.61,121000,0.61
2011-05-23,0.62,0.62,0.60,0.61,115000,0.61
2011-05-20,0.61,0.62,0.61,0.62,140000,0.62
2011-05-19,0.61,0.61,0.61,0.61,17000,0.61
2011-05-18,0.61,0.61,0.61,0.61,225000,0.61
2011-05-16,0.60,0.61,0.60,0.60,267000,0.60
2011-05-13,0.60,0.61,0.60,0.60,213000,0.60
2011-05-12,0.61,0.61,0.61,0.61,136000,0.61
2011-05-11,0.62,0.62,0.61,0.61,32000,0.61
2011-05-10,0.62,0.62,0.61,0.62,271000,0.62
2011-05-09,0.64,0.64,0.64,0.64,96000,0.64
2011-05-06,0.65,0.65,0.63,0.63,183000,0.63
2011-05-05,0.63,0.63,0.63,0.63,2000,0.63
2011-05-04,0.65,0.65,0.64,0.65,49000,0.65
2011-05-03,0.67,0.67,0.65,0.65,100000,0.65
2011-04-29,0.67,0.67,0.65,0.65,256000,0.65
2011-04-28,0.67,0.68,0.65,0.66,1112000,0.66
2011-04-27,0.64,0.65,0.64,0.65,30000,0.65
2011-04-26,0.65,0.65,0.64,0.65,72000,0.65
2011-04-25,0.65,0.65,0.65,0.65,38000,0.65
2011-04-21,0.64,0.67,0.64,0.65,154000,0.65
2011-04-20,0.64,0.65,0.64,0.64,151000,0.64
2011-04-19,0.64,0.64,0.64,0.64,140000,0.64
2011-04-18,0.64,0.64,0.64,0.64,101000,0.64
2011-04-15,0.64,0.64,0.64,0.64,223000,0.64
2011-04-14,0.64,0.64,0.64,0.64,40000,0.64
2011-04-13,0.63,0.64,0.63,0.64,66000,0.64
2011-04-12,0.64,0.64,0.64,0.64,329000,0.64
2011-04-11,0.64,0.65,0.64,0.64,67000,0.64
2011-04-08,0.64,0.64,0.64,0.64,38000,0.64
2011-04-07,0.63,0.63,0.63,0.63,1000,0.63
2011-04-06,0.64,0.64,0.63,0.63,10000,0.63
2011-04-05,0.63,0.64,0.63,0.64,33000,0.64
2011-04-04,0.63,0.64,0.63,0.63,35000,0.63
2011-04-01,0.62,0.63,0.62,0.63,25000,0.63
2011-03-31,0.64,0.66,0.63,0.63,51000,0.63
2011-03-30,0.61,0.63,0.61,0.61,000,0.61
2011-03-29,0.61,0.65,0.61,0.61,000,0.61
2011-03-28,0.62,0.63,0.62,0.63,25000,0.63
2011-03-25,0.63,0.64,0.62,0.63,55000,0.63
2011-03-24,0.61,0.62,0.61,0.62,4000,0.62
2011-03-23,0.61,0.64,0.61,0.61,000,0.61
2011-03-22,0.64,0.64,0.64,0.64,1000,0.64
2011-03-21,0.62,0.63,0.62,0.63,40000,0.63
2011-03-18,0.60,0.62,0.60,0.62,2000,0.62
2011-03-17,0.60,0.60,0.60,0.60,1000,0.60
2011-03-16,0.63,0.63,0.62,0.62,17000,0.62
2011-03-15,0.62,0.62,0.60,0.61,79000,0.61
2011-03-14,0.62,0.62,0.62,0.62,83000,0.62
2011-03-11,0.62,0.63,0.62,0.62,000,0.62
2011-03-10,0.63,0.63,0.63,0.63,50000,0.63
2011-03-09,0.64,0.64,0.62,0.63,163000,0.63
2011-03-08,0.63,0.63,0.63,0.63,194000,0.63
2011-03-07,0.62,0.63,0.62,0.63,17000,0.63
2011-03-04,0.62,0.63,0.62,0.62,169000,0.62
2011-03-03,0.62,0.62,0.62,0.62,81000,0.62
2011-03-02,0.62,0.63,0.62,0.62,131000,0.62
2011-03-01,0.61,0.63,0.61,0.63,61000,0.63
2011-02-28,0.62,0.62,0.62,0.62,200000,0.62
2011-02-25,0.58,0.61,0.58,0.61,42000,0.61
2011-02-24,0.60,0.60,0.60,0.60,26000,0.60
2011-02-23,0.60,0.60,0.60,0.60,71000,0.60
2011-02-22,0.60,0.60,0.60,0.60,43000,0.60
2011-02-21,0.62,0.62,0.61,0.61,274000,0.61
2011-02-18,0.62,0.62,0.62,0.62,100000,0.62
2011-02-17,0.61,0.62,0.61,0.61,165000,0.61
2011-02-16,0.61,0.63,0.61,0.61,000,0.61
2011-02-15,0.63,0.63,0.62,0.62,5000,0.62
2011-02-14,0.62,0.63,0.62,0.62,000,0.62
2011-02-11,0.61,0.62,0.61,0.61,000,0.61
2011-02-10,0.62,0.62,0.61,0.62,435000,0.62
2011-02-09,0.62,0.63,0.62,0.62,152000,0.62
2011-02-08,0.62,0.62,0.62,0.62,5000,0.62
2011-02-07,0.63,0.64,0.62,0.62,49000,0.62
2011-02-02,0.62,0.63,0.62,0.63,26000,0.63
2011-02-01,0.62,0.63,0.62,0.62,000,0.62
2011-01-31,0.62,0.63,0.61,0.62,33000,0.62
2011-01-28,0.63,0.63,0.62,0.62,63000,0.62
2011-01-27,0.61,0.62,0.61,0.62,222000,0.62
2011-01-26,0.62,0.62,0.61,0.61,235000,0.61
2011-01-25,0.62,0.62,0.62,0.62,140000,0.62
2011-01-24,0.62,0.62,0.62,0.62,63000,0.62
2011-01-21,0.64,0.64,0.61,0.62,421000,0.62
2011-01-20,0.64,0.64,0.62,0.62,217000,0.62
2011-01-19,0.64,0.64,0.63,0.63,235000,0.63
2011-01-18,0.64,0.64,0.64,0.64,72000,0.64
2011-01-17,0.64,0.64,0.64,0.64,131000,0.64
2011-01-14,0.63,0.65,0.63,0.65,24000,0.65
2011-01-13,0.64,0.65,0.64,0.64,213000,0.64
2011-01-12,0.65,0.65,0.64,0.64,25000,0.64
2011-01-11,0.65,0.65,0.63,0.63,119000,0.63
2011-01-10,0.65,0.65,0.64,0.64,100000,0.64
2011-01-07,0.65,0.65,0.64,0.65,112000,0.65
2011-01-06,0.67,0.67,0.65,0.65,175000,0.65
2011-01-05,0.66,0.66,0.65,0.65,120000,0.65
2011-01-04,0.65,0.66,0.65,0.66,596000,0.66
2011-01-03,0.64,0.65,0.64,0.65,414000,0.65
2010-12-31,0.63,0.64,0.63,0.64,92000,0.64
2010-12-30,0.62,0.63,0.62,0.63,272000,0.63
2010-12-29,0.62,0.62,0.62,0.62,102000,0.62
2010-12-28,0.62,0.62,0.62,0.62,28000,0.62
2010-12-27,0.61,0.62,0.61,0.62,22000,0.62
2010-12-24,0.62,0.62,0.61,0.61,45000,0.61
2010-12-23,0.61,0.61,0.61,0.61,78000,0.61
2010-12-22,0.61,0.61,0.61,0.61,39000,0.61
2010-12-21,0.61,0.61,0.61,0.61,103000,0.61
2010-12-20,0.61,0.61,0.61,0.61,177000,0.61
2010-12-17,0.62,0.62,0.62,0.62,28000,0.62
2010-12-16,0.62,0.62,0.62,0.62,221000,0.62
2010-12-15,0.62,0.62,0.62,0.62,87000,0.62
2010-12-14,0.61,0.62,0.61,0.61,000,0.61
2010-12-13,0.61,0.62,0.61,0.62,96000,0.62
2010-12-10,0.62,0.62,0.62,0.62,79000,0.62
2010-12-09,0.62,0.62,0.62,0.62,38000,0.62
2010-12-08,0.62,0.62,0.61,0.62,158000,0.62
2010-12-07,0.61,0.61,0.61,0.61,61000,0.61
2010-12-06,0.60,0.61,0.60,0.61,39000,0.61
2010-12-03,0.61,0.61,0.61,0.61,91000,0.61
