Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.81,0.81,0.81,0.81,332000,0.81
2011-08-03,0.81,0.81,0.80,0.81,262000,0.81
2011-08-02,0.82,0.82,0.81,0.81,362000,0.81
2011-08-01,0.82,0.82,0.81,0.82,172000,0.82
2011-07-29,0.81,0.82,0.81,0.82,127000,0.82
2011-07-28,0.81,0.82,0.81,0.82,142000,0.82
2011-07-27,0.82,0.82,0.82,0.82,233000,0.82
2011-07-26,0.81,0.82,0.81,0.82,395000,0.82
2011-07-25,0.81,0.81,0.81,0.81,69000,0.81
2011-07-22,0.81,0.82,0.81,0.81,276000,0.81
2011-07-21,0.81,0.81,0.81,0.81,238000,0.81
2011-07-20,0.81,0.81,0.81,0.81,113000,0.81
2011-07-19,0.80,0.81,0.80,0.81,266000,0.81
2011-07-18,0.81,0.81,0.80,0.80,149000,0.80
2011-07-15,0.81,0.81,0.80,0.81,213000,0.81
2011-07-14,0.82,0.82,0.80,0.81,164000,0.81
2011-07-13,0.82,0.82,0.81,0.81,212000,0.81
2011-07-12,0.83,0.83,0.81,0.81,350000,0.81
2011-07-11,0.83,0.84,0.83,0.83,131000,0.83
2011-07-08,0.83,0.84,0.83,0.84,454000,0.84
2011-07-07,0.83,0.84,0.83,0.84,133000,0.84
2011-07-06,0.83,0.83,0.83,0.83,82000,0.83
2011-07-05,0.84,0.84,0.83,0.83,73000,0.83
2011-07-04,0.83,0.83,0.83,0.83,172000,0.83
2011-07-01,0.83,0.84,0.82,0.82,169000,0.82
2011-06-30,0.83,0.83,0.83,0.83,208000,0.83
2011-06-29,0.82,0.83,0.82,0.83,141000,0.83
2011-06-28,0.81,0.82,0.81,0.82,149000,0.82
2011-06-27,0.81,0.82,0.81,0.81,68000,0.81
2011-06-24,0.81,0.82,0.81,0.82,72000,0.82
2011-06-23,0.81,0.82,0.81,0.81,78000,0.81
2011-06-22,0.83,0.83,0.81,0.81,124000,0.81
2011-06-21,0.82,0.83,0.82,0.83,114000,0.83
2011-06-20,0.83,0.83,0.81,0.82,250000,0.82
2011-06-17,0.81,0.83,0.80,0.83,695000,0.83
2011-06-16,0.80,0.81,0.80,0.80,337000,0.80
2011-06-15,0.82,0.82,0.81,0.81,289000,0.81
2011-06-14,0.82,0.82,0.81,0.81,189000,0.81
2011-06-13,0.85,0.85,0.81,0.82,436000,0.82
2011-06-10,0.85,0.85,0.84,0.85,197000,0.85
2011-06-09,0.84,0.85,0.84,0.85,196000,0.85
2011-06-08,0.85,0.85,0.84,0.85,113000,0.85
2011-06-07,0.85,0.85,0.84,0.85,476000,0.85
2011-06-06,0.85,0.85,0.84,0.85,218000,0.85
2011-06-03,0.85,0.86,0.85,0.85,99000,0.85
2011-06-02,0.86,0.86,0.85,0.85,358000,0.85
2011-06-01,0.86,0.86,0.86,0.86,216000,0.86
2011-05-31,0.85,0.87,0.85,0.87,313000,0.87
2011-05-30,0.86,0.86,0.85,0.85,236000,0.85
2011-05-27,0.87,0.87,0.86,0.86,298000,0.86
2011-05-26,0.87,0.87,0.86,0.86,122000,0.86
2011-05-25,0.87,0.87,0.86,0.86,392000,0.86
2011-05-24,0.87,0.87,0.87,0.87,240000,0.87
2011-05-23,0.88,0.88,0.86,0.87,485000,0.87
2011-05-20,0.88,0.88,0.87,0.88,744000,0.88
2011-05-19,0.88,0.88,0.88,0.88,633000,0.88
2011-05-18,0.88,0.88,0.88,0.88,258000,0.88
2011-05-16,0.89,0.89,0.88,0.89,272000,0.89
2011-05-13,0.89,0.89,0.89,0.89,347000,0.89
2011-05-12,0.90,0.90,0.89,0.89,143000,0.89
2011-05-11,0.91,0.91,0.90,0.90,157000,0.90
2011-05-10,0.90,0.91,0.90,0.91,416000,0.91
2011-05-09,0.90,0.90,0.89,0.90,280000,0.90
2011-05-06,0.90,0.90,0.88,0.88,938000,0.88
2011-05-05,0.90,0.92,0.89,0.90,724000,0.90
2011-05-04,0.91,0.92,0.90,0.92,565000,0.92
2011-05-03,0.92,0.92,0.91,0.92,460000,0.92
2011-04-29,0.94,0.94,0.92,0.93,491000,0.93
2011-04-28,0.94,0.94,0.93,0.94,368000,0.94
2011-04-27,0.94,0.94,0.94,0.94,456000,0.94
2011-04-26,0.94,0.94,0.94,0.94,210000,0.94
2011-04-25,0.96,0.96,0.94,0.94,438000,0.94
2011-04-21,1.00,1.00,0.99,0.99,880000,0.99
2011-04-20,0.99,1.00,0.99,0.99,1272000,0.99
2011-04-19,0.99,0.99,0.99,0.99,385000,0.99
2011-04-18,0.99,1.00,0.99,0.99,270000,0.99
2011-04-15,0.99,1.01,0.99,0.99,795000,0.99
2011-04-14,1.00,1.00,0.99,0.99,325000,0.99
2011-04-13,0.99,0.99,0.98,0.99,1167000,0.99
2011-04-12,1.00,1.00,0.98,0.99,441000,0.99
2011-04-11,1.00,1.01,1.00,1.00,976000,1.00
2011-04-08,1.00,1.00,1.00,1.00,821000,1.00
2011-04-07,1.00,1.02,1.00,1.00,1405000,1.00
2011-04-06,0.99,1.00,0.99,1.00,667000,1.00
2011-04-05,1.00,1.01,0.99,0.99,1116000,0.99
2011-04-04,0.98,1.01,0.98,1.00,2966000,1.00
2011-04-01,0.95,0.98,0.95,0.97,2384000,0.97
2011-03-31,0.95,0.96,0.94,0.95,1354000,0.95
2011-03-30,0.94,0.95,0.94,0.94,754000,0.94
2011-03-29,0.93,0.94,0.93,0.94,1127000,0.94
2011-03-28,0.94,0.94,0.93,0.93,356000,0.93
2011-03-25,0.93,0.94,0.92,0.94,806000,0.94
2011-03-24,0.92,0.93,0.91,0.93,728000,0.93
2011-03-23,0.91,0.92,0.90,0.91,782000,0.91
2011-03-22,0.90,0.92,0.90,0.91,375000,0.91
