Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.27,0.27,0.27,0.27,1603000,0.27
2011-08-03,0.27,0.28,0.27,0.28,1813000,0.28
2011-08-02,0.27,0.28,0.27,0.28,3014000,0.28
2011-08-01,0.27,0.28,0.27,0.28,2726000,0.28
2011-07-29,0.26,0.28,0.26,0.28,3433000,0.28
2011-07-28,0.27,0.28,0.27,0.28,1544000,0.28
2011-07-27,0.27,0.28,0.27,0.28,1780000,0.28
2011-07-26,0.25,0.27,0.25,0.27,2771000,0.27
2011-07-25,0.26,0.27,0.26,0.26,3050000,0.26
2011-07-22,0.26,0.27,0.26,0.26,3202000,0.26
2011-07-21,0.27,0.28,0.27,0.27,1605000,0.27
2011-07-20,0.27,0.27,0.26,0.27,2022000,0.27
2011-07-19,0.28,0.28,0.27,0.28,2564000,0.28
2011-07-18,0.28,0.28,0.28,0.28,2981000,0.28
2011-07-15,0.26,0.28,0.26,0.28,3386000,0.28
2011-07-14,0.27,0.28,0.26,0.28,1231000,0.28
2011-07-13,0.26,0.28,0.26,0.28,1784000,0.28
2011-07-12,0.26,0.28,0.26,0.27,2768000,0.27
2011-07-11,0.27,0.28,0.26,0.27,2735000,0.27
2011-07-08,0.27,0.28,0.26,0.28,3278000,0.28
2011-07-07,0.27,0.27,0.26,0.27,1195000,0.27
2011-07-06,0.26,0.27,0.26,0.27,1597000,0.27
2011-07-05,0.27,0.27,0.25,0.25,2432000,0.25
2011-07-04,0.26,0.27,0.26,0.27,3213000,0.27
2011-07-01,0.25,0.26,0.25,0.26,2953000,0.26
2011-06-30,0.25,0.26,0.25,0.25,874000,0.25
2011-06-29,0.26,0.26,0.25,0.26,1516000,0.26
2011-06-28,0.26,0.26,0.25,0.26,2380000,0.26
2011-06-27,0.26,0.27,0.26,0.26,2826000,0.26
2011-06-24,0.26,0.26,0.25,0.26,1876000,0.26
2011-06-23,0.25,0.26,0.25,0.26,721000,0.26
2011-06-22,0.25,0.26,0.25,0.26,1251000,0.26
