Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.25,0.25,0.25,0.25,457000,0.25
2011-08-03,0.25,0.25,0.25,0.25,631000,0.25
2011-08-02,0.26,0.26,0.25,0.25,6232000,0.25
2011-08-01,0.25,0.26,0.25,0.26,1534000,0.26
2011-07-29,0.25,0.25,0.24,0.24,153000,0.24
2011-07-28,0.24,0.25,0.24,0.25,238000,0.25
2011-07-27,0.24,0.25,0.24,0.25,180000,0.25
2011-07-26,0.24,0.25,0.24,0.24,35000,0.24
2011-07-25,0.25,0.25,0.24,0.24,303000,0.24
2011-07-22,0.24,0.25,0.24,0.25,23000,0.25
2011-07-21,0.24,0.24,0.24,0.24,33000,0.24
2011-07-20,0.24,0.25,0.24,0.24,269000,0.24
2011-07-19,0.24,0.24,0.24,0.24,98000,0.24
2011-07-18,0.24,0.24,0.23,0.23,431000,0.23
2011-07-15,0.24,0.24,0.24,0.24,208000,0.24
2011-07-14,0.25,0.25,0.24,0.24,265000,0.24
2011-07-13,0.24,0.25,0.24,0.25,172000,0.25
2011-07-12,0.25,0.25,0.24,0.25,417000,0.25
2011-07-11,0.25,0.25,0.25,0.25,30000,0.25
2011-07-08,0.24,0.25,0.24,0.25,222000,0.25
2011-07-07,0.25,0.25,0.24,0.24,123000,0.24
2011-07-06,0.25,0.25,0.25,0.25,41000,0.25
2011-07-05,0.25,0.25,0.25,0.25,138000,0.25
2011-07-04,0.25,0.25,0.25,0.25,335000,0.25
2011-07-01,0.25,0.25,0.25,0.25,300000,0.25
2011-06-30,0.24,0.25,0.24,0.24,425000,0.24
2011-06-29,0.24,0.24,0.24,0.24,301000,0.24
2011-06-28,0.23,0.23,0.23,0.23,374000,0.23
2011-06-27,0.23,0.23,0.23,0.23,65000,0.23
2011-06-24,0.23,0.23,0.22,0.23,115000,0.23
2011-06-23,0.23,0.23,0.23,0.23,263000,0.23
2011-06-22,0.22,0.23,0.22,0.23,253000,0.23
