Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,1.59,1.60,1.59,1.59,000,1.59
2011-08-03,1.60,1.60,1.59,1.60,87000,1.60
2011-08-02,1.60,1.60,1.59,1.60,30000,1.60
2011-08-01,1.59,1.60,1.59,1.60,36000,1.60
2011-07-29,1.59,1.59,1.59,1.59,21000,1.59
2011-07-28,1.59,1.59,1.59,1.59,40000,1.59
2011-07-27,1.59,1.59,1.59,1.59,16000,1.59
2011-07-26,1.58,1.59,1.58,1.59,31000,1.59
2011-07-25,1.59,1.59,1.59,1.59,9000,1.59
2011-07-22,1.57,1.59,1.57,1.59,17000,1.59
2011-07-21,1.58,1.58,1.57,1.58,29000,1.58
2011-07-20,1.57,1.58,1.54,1.58,49000,1.58
2011-07-19,1.57,1.58,1.57,1.57,35000,1.57
2011-07-18,1.58,1.58,1.58,1.58,13000,1.58
2011-07-15,1.57,1.59,1.57,1.57,000,1.57
2011-07-14,1.57,1.59,1.57,1.57,000,1.57
2011-07-13,1.58,1.59,1.58,1.59,6000,1.59
2011-07-12,1.58,1.59,1.58,1.58,17000,1.58
2011-07-11,1.57,1.60,1.57,1.57,000,1.57
2011-07-08,1.60,1.60,1.60,1.60,1000,1.60
2011-07-07,1.57,1.60,1.57,1.57,000,1.57
2011-07-06,1.57,1.57,1.57,1.57,6000,1.57
2011-07-05,1.57,1.60,1.57,1.57,000,1.57
2011-07-04,1.57,1.59,1.57,1.58,23000,1.58
2011-07-01,1.59,1.59,1.59,1.59,8000,1.59
2011-06-30,1.58,1.58,1.58,1.58,10000,1.58
2011-06-29,1.56,1.56,1.56,1.56,8000,1.56
2011-06-28,1.56,1.56,1.56,1.56,7000,1.56
2011-06-27,1.54,1.54,1.54,1.54,2000,1.54
2011-06-24,1.55,1.58,1.55,1.55,000,1.55
2011-06-23,1.56,1.56,1.55,1.55,45000,1.55
2011-06-22,1.55,1.57,1.55,1.56,37000,1.56
2011-06-21,1.55,1.60,1.55,1.55,000,1.55
2011-06-20,1.58,1.58,1.56,1.56,14000,1.56
2011-06-17,1.56,1.56,1.56,1.56,30000,1.56
2011-06-16,1.55,1.56,1.55,1.56,22000,1.56
2011-06-15,1.58,1.58,1.57,1.57,43000,1.57
2011-06-14,1.58,1.60,1.58,1.58,000,1.58
