Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.81,0.85,0.81,0.81,000,0.81
2011-08-03,0.81,0.85,0.81,0.81,000,0.81
2011-08-02,0.83,0.83,0.83,0.83,12000,0.83
2011-08-01,0.83,0.85,0.83,0.83,000,0.83
2011-07-29,0.83,0.85,0.83,0.83,000,0.83
2011-07-28,0.82,0.83,0.82,0.83,12000,0.83
2011-07-27,0.82,0.85,0.82,0.82,000,0.82
2011-07-26,0.83,0.84,0.82,0.82,16000,0.82
2011-07-25,0.83,0.84,0.83,0.84,20000,0.84
2011-07-22,0.82,0.84,0.82,0.82,000,0.82
2011-07-21,0.82,0.84,0.82,0.82,000,0.82
2011-07-20,0.82,0.86,0.82,0.82,000,0.82
2011-07-19,0.81,0.87,0.80,0.87,32000,0.87
2011-07-18,0.80,0.82,0.80,0.80,000,0.80
2011-07-15,0.78,0.82,0.78,0.78,000,0.78
2011-07-14,0.81,0.81,0.81,0.81,3000,0.81
2011-07-13,0.81,0.83,0.81,0.81,000,0.81
2011-07-12,0.81,0.82,0.81,0.82,10000,0.82
2011-07-11,0.82,0.86,0.82,0.82,000,0.82
2011-07-08,0.82,0.85,0.82,0.82,000,0.82
2011-07-07,0.83,0.86,0.83,0.83,000,0.83
2011-07-06,0.83,0.86,0.83,0.83,000,0.83
2011-07-05,0.82,0.86,0.82,0.82,000,0.82
2011-07-04,0.87,0.87,0.87,0.87,24000,0.87
2011-07-01,0.87,0.88,0.87,0.87,000,0.87
2011-06-30,0.86,0.88,0.86,0.86,000,0.86
2011-06-29,0.87,0.88,0.87,0.87,000,0.87
2011-06-28,0.86,0.86,0.86,0.86,2000,0.86
2011-06-27,0.86,0.86,0.86,0.86,1000,0.86
2011-06-24,0.88,0.89,0.88,0.89,30000,0.89
2011-06-23,0.87,0.88,0.87,0.88,20000,0.88
2011-06-22,0.87,0.87,0.87,0.87,10000,0.87
2011-06-21,0.88,0.88,0.88,0.88,10000,0.88
2011-06-20,0.87,0.87,0.87,0.87,20000,0.87
2011-06-17,0.86,0.86,0.86,0.86,10000,0.86
2011-06-16,0.87,0.87,0.87,0.87,120000,0.87
2011-06-15,0.87,0.88,0.87,0.87,000,0.87
2011-06-14,0.87,0.87,0.87,0.87,70000,0.87
2011-06-13,0.88,0.88,0.88,0.88,50000,0.88
2011-06-10,0.88,0.88,0.88,0.88,30000,0.88
2011-06-09,0.87,0.88,0.87,0.88,73000,0.88
2011-06-08,0.87,0.88,0.87,0.87,60000,0.87
2011-06-07,0.87,0.88,0.87,0.87,000,0.87
2011-06-06,0.85,0.87,0.85,0.87,18000,0.87
2011-06-03,0.86,0.86,0.86,0.86,5000,0.86
2011-06-02,0.85,0.87,0.85,0.85,000,0.85
2011-06-01,0.86,0.87,0.86,0.87,129000,0.87
2011-05-31,0.86,0.86,0.86,0.86,66000,0.86
2011-05-30,0.85,0.88,0.85,0.85,000,0.85
2011-05-27,0.85,0.88,0.85,0.85,000,0.85
2011-05-26,0.85,0.87,0.85,0.85,000,0.85
2011-05-25,0.84,0.87,0.84,0.84,000,0.84
2011-05-24,0.85,0.88,0.85,0.85,000,0.85
2011-05-23,0.85,0.85,0.85,0.85,4000,0.85
2011-05-20,0.86,0.86,0.86,0.86,15000,0.86
2011-05-19,0.87,0.87,0.86,0.86,24000,0.86
2011-05-18,0.86,0.86,0.86,0.86,11000,0.86
2011-05-16,0.85,0.87,0.85,0.85,000,0.85
2011-05-13,0.86,0.88,0.86,0.86,000,0.86
2011-05-12,0.87,0.87,0.87,0.87,10000,0.87
2011-05-11,0.87,0.87,0.87,0.87,17000,0.87
2011-05-10,0.87,0.88,0.87,0.87,000,0.87
2011-05-09,0.86,0.88,0.86,0.88,3000,0.88
2011-05-06,0.85,0.88,0.85,0.85,000,0.85
2011-05-05,0.86,0.88,0.86,0.86,000,0.86
2011-05-04,0.86,0.88,0.86,0.86,000,0.86
2011-05-03,0.86,0.88,0.86,0.86,000,0.86
2011-04-29,0.87,0.88,0.87,0.87,000,0.87
2011-04-28,0.88,0.88,0.88,0.88,196000,0.88
2011-04-27,0.87,0.89,0.87,0.88,51000,0.88
2011-04-26,0.87,0.87,0.87,0.87,2000,0.87
2011-04-25,0.86,0.86,0.86,0.86,15000,0.86
2011-04-21,0.87,0.89,0.87,0.87,000,0.87
2011-04-20,0.88,0.88,0.88,0.88,5000,0.88
2011-04-19,0.88,0.88,0.88,0.88,12000,0.88
2011-04-18,0.88,0.88,0.88,0.88,40000,0.88
2011-04-15,0.85,0.89,0.85,0.85,000,0.85
2011-04-14,0.86,0.89,0.86,0.86,000,0.86
2011-04-13,0.86,0.88,0.86,0.88,45000,0.88
2011-04-12,0.86,0.86,0.86,0.86,24000,0.86
2011-04-11,0.85,0.85,0.85,0.85,13000,0.85
2011-04-08,0.85,0.85,0.85,0.85,3000,0.85
2011-04-07,0.84,0.84,0.84,0.84,41000,0.84
2011-04-06,0.83,0.86,0.83,0.83,000,0.83
2011-04-05,0.84,0.85,0.84,0.85,19000,0.85
2011-04-04,0.84,0.84,0.84,0.84,5000,0.84
2011-04-01,0.84,0.84,0.84,0.84,9000,0.84
2011-03-31,0.85,0.86,0.85,0.85,000,0.85
2011-03-30,0.85,0.88,0.85,0.85,000,0.85
2011-03-29,0.85,0.85,0.85,0.85,50000,0.85
2011-03-28,0.86,0.86,0.86,0.86,10000,0.86
2011-03-25,0.85,0.88,0.85,0.85,000,0.85
2011-03-24,0.85,0.85,0.85,0.85,27000,0.85
2011-03-23,0.84,0.87,0.84,0.84,000,0.84
2011-03-22,0.84,0.85,0.84,0.85,20000,0.85
2011-03-21,0.84,0.84,0.84,0.84,5000,0.84
2011-03-18,0.85,0.85,0.84,0.84,10000,0.84
2011-03-17,0.82,0.85,0.82,0.82,000,0.82
2011-03-16,0.82,0.86,0.82,0.82,000,0.82
2011-03-15,0.86,0.86,0.83,0.83,80000,0.83
2011-03-14,0.89,0.89,0.89,0.89,20000,0.89
2011-03-11,0.87,0.90,0.87,0.87,000,0.87
2011-03-10,0.87,0.89,0.87,0.87,000,0.87
2011-03-09,0.87,0.90,0.87,0.87,000,0.87
2011-03-08,0.87,0.89,0.87,0.89,45000,0.89
2011-03-07,0.88,0.88,0.88,0.88,23000,0.88
2011-03-04,0.85,0.86,0.85,0.86,9000,0.86
2011-03-03,0.85,0.85,0.85,0.85,5000,0.85
2011-03-02,0.86,0.86,0.86,0.86,20000,0.86
2011-03-01,0.87,0.87,0.87,0.87,23000,0.87
2011-02-28,0.88,0.88,0.88,0.88,20000,0.88
2011-02-25,0.88,0.90,0.88,0.88,000,0.88
2011-02-24,0.90,0.90,0.90,0.90,30000,0.90
2011-02-23,0.88,0.88,0.88,0.88,10000,0.88
2011-02-22,0.84,0.84,0.84,0.84,3000,0.84
2011-02-21,0.85,0.90,0.85,0.85,000,0.85
2011-02-18,0.86,0.90,0.86,0.86,000,0.86
2011-02-17,0.85,0.90,0.85,0.85,000,0.85
2011-02-16,0.85,0.85,0.85,0.85,4000,0.85
2011-02-15,0.85,0.89,0.85,0.85,000,0.85
2011-02-14,0.89,0.89,0.89,0.89,22000,0.89
2011-02-11,0.85,0.92,0.85,0.85,000,0.85
2011-02-10,0.85,0.94,0.85,0.85,000,0.85
2011-02-09,0.87,0.91,0.87,0.87,000,0.87
2011-02-08,0.87,0.91,0.87,0.87,000,0.87
2011-02-07,0.86,0.89,0.86,0.86,000,0.86
2011-02-02,0.86,0.86,0.86,0.86,000,0.86
2011-02-01,0.86,0.91,0.86,0.86,000,0.86
2011-01-31,0.87,0.90,0.87,0.87,000,0.87
2011-01-28,0.90,0.90,0.88,0.89,83000,0.89
2011-01-27,0.89,0.90,0.87,0.90,14000,0.90
2011-01-26,0.88,0.91,0.88,0.88,000,0.88
2011-01-25,0.87,0.87,0.87,0.87,2000,0.87
2011-01-24,0.88,0.88,0.88,0.88,8000,0.88
2011-01-21,0.87,0.87,0.87,0.87,6000,0.87
2011-01-20,0.89,0.91,0.89,0.89,000,0.89
2011-01-19,0.89,0.89,0.89,0.89,5000,0.89
2011-01-18,0.89,0.90,0.89,0.89,7000,0.89
2011-01-17,0.90,0.90,0.90,0.90,37000,0.90
2011-01-14,0.88,0.91,0.88,0.88,000,0.88
2011-01-13,0.88,0.90,0.88,0.88,000,0.88
2011-01-12,0.88,0.94,0.88,0.88,000,0.88
2011-01-11,0.89,0.89,0.88,0.89,49000,0.89
2011-01-10,0.90,0.90,0.90,0.90,7000,0.90
2011-01-07,0.91,0.91,0.91,0.91,19000,0.91
2011-01-06,0.89,0.91,0.89,0.91,53000,0.91
2011-01-05,0.89,0.91,0.89,0.89,000,0.89
2011-01-04,0.89,0.91,0.89,0.91,10000,0.91
2011-01-03,0.88,0.90,0.88,0.88,000,0.88
2010-12-31,0.88,0.88,0.88,0.88,2000,0.88
2010-12-30,0.87,0.91,0.87,0.87,000,0.87
2010-12-29,0.87,0.90,0.87,0.87,000,0.87
2010-12-28,0.88,0.91,0.88,0.88,000,0.88
2010-12-27,0.88,0.91,0.88,0.88,000,0.88
2010-12-24,0.87,0.87,0.87,0.87,2000,0.87
2010-12-23,0.88,0.90,0.88,0.88,000,0.88
2010-12-22,0.88,0.91,0.88,0.88,000,0.88
2010-12-21,0.88,0.91,0.88,0.88,000,0.88
2010-12-20,0.88,0.90,0.88,0.88,000,0.88
2010-12-17,0.90,0.90,0.90,0.90,10000,0.90
2010-12-16,0.90,0.90,0.90,0.90,5000,0.90
2010-12-15,0.88,0.90,0.88,0.90,13000,0.90
2010-12-14,0.90,0.90,0.90,0.90,30000,0.90
2010-12-13,0.87,0.91,0.87,0.87,000,0.87
2010-12-10,0.87,0.91,0.87,0.87,000,0.87
2010-12-09,0.90,0.90,0.90,0.90,5000,0.90
2010-12-08,0.90,0.90,0.90,0.90,30000,0.90
2010-12-07,0.91,0.91,0.91,0.91,000,0.91
2010-12-06,0.86,0.91,0.86,0.86,000,0.86
2010-12-03,0.88,0.91,0.88,0.88,000,0.88
2010-12-02,0.88,0.91,0.88,0.88,000,0.88
2010-12-01,0.87,0.91,0.87,0.87,000,0.87
2010-11-30,0.89,0.90,0.89,0.90,17000,0.90
2010-11-29,0.90,0.90,0.89,0.89,8000,0.89
2010-11-26,0.90,0.90,0.90,0.90,12000,0.90
2010-11-25,0.90,0.90,0.90,0.90,5000,0.90
2010-11-24,0.94,0.94,0.94,0.94,11000,0.94
2010-11-23,0.89,0.91,0.89,0.89,000,0.89
2010-11-22,0.90,0.92,0.90,0.90,000,0.90
2010-11-19,0.90,0.93,0.90,0.90,000,0.90
2010-11-18,0.90,0.92,0.90,0.90,000,0.90
2010-11-16,0.90,0.93,0.90,0.90,000,0.90
2010-11-15,0.90,0.92,0.90,0.90,000,0.90
2010-11-12,0.93,0.93,0.92,0.92,48000,0.92
2010-11-11,0.90,0.93,0.90,0.93,8000,0.93
2010-11-10,0.90,0.90,0.90,0.90,1000,0.90
2010-11-09,0.91,0.91,0.91,0.91,3000,0.91
2010-11-08,0.91,0.91,0.91,0.91,8000,0.91
2010-11-04,0.92,0.92,0.92,0.92,17000,0.92
2010-11-03,0.93,0.93,0.93,0.93,20000,0.93
2010-11-02,0.90,0.93,0.90,0.93,29000,0.93
2010-11-01,0.90,0.90,0.90,0.90,3000,0.90
2010-10-29,0.91,0.91,0.91,0.91,6000,0.91
2010-10-28,0.91,0.91,0.91,0.91,15000,0.91
2010-10-27,0.92,0.92,0.92,0.92,9000,0.92
2010-10-26,0.92,0.92,0.92,0.92,30000,0.92
2010-10-25,0.92,0.94,0.92,0.92,000,0.92
2010-10-22,0.91,0.94,0.91,0.91,000,0.91
2010-10-21,0.92,0.92,0.92,0.92,6000,0.92
2010-10-20,0.90,0.93,0.90,0.90,000,0.90
2010-10-19,0.93,0.93,0.93,0.93,10000,0.93
2010-10-18,0.93,0.94,0.93,0.93,000,0.93
2010-10-15,0.91,0.94,0.91,0.94,112000,0.94
2010-10-14,0.92,0.92,0.91,0.91,16000,0.91
2010-10-13,0.92,0.94,0.92,0.92,000,0.92
2010-10-12,0.92,0.92,0.92,0.92,15000,0.92
2010-10-11,0.90,0.94,0.90,0.90,000,0.90
2010-10-08,0.90,0.93,0.90,0.90,000,0.90
2010-10-07,0.92,0.92,0.92,0.92,5000,0.92
2010-10-06,0.90,0.91,0.90,0.91,7000,0.91
2010-10-05,0.91,0.91,0.91,0.91,10000,0.91
2010-10-04,0.90,0.94,0.90,0.90,000,0.90
2010-10-01,0.90,0.94,0.90,0.90,000,0.90
2010-09-30,0.90,0.94,0.90,0.90,000,0.90
2010-09-29,0.90,0.94,0.90,0.90,000,0.90
2010-09-28,0.92,0.92,0.91,0.91,7000,0.91
2010-09-27,0.90,0.94,0.90,0.94,15000,0.94
2010-09-24,0.90,0.90,0.90,0.90,7000,0.90
2010-09-23,0.90,0.90,0.90,0.90,7000,0.90
2010-09-22,0.90,0.94,0.90,0.90,000,0.90
2010-09-21,0.91,0.94,0.91,0.91,000,0.91
2010-09-20,0.90,0.91,0.90,0.91,14000,0.91
2010-09-17,0.90,0.90,0.90,0.90,3000,0.90
2010-09-16,0.91,0.91,0.91,0.91,10000,0.91
2010-09-15,0.90,0.91,0.90,0.90,25000,0.90
2010-09-14,0.90,0.91,0.90,0.90,39000,0.90
2010-09-13,0.91,0.92,0.90,0.90,54000,0.90
2010-09-09,0.89,0.90,0.89,0.89,000,0.89
2010-09-08,0.89,0.92,0.89,0.89,000,0.89
2010-09-07,0.90,0.90,0.90,0.90,32000,0.90
2010-09-06,0.88,0.90,0.88,0.90,35000,0.90
2010-09-03,0.89,0.92,0.89,0.89,000,0.89
2010-09-02,0.90,0.90,0.89,0.89,32000,0.89
2010-09-01,0.90,0.90,0.90,0.90,10000,0.90
2010-08-31,0.88,0.92,0.88,0.88,000,0.88
2010-08-30,0.92,0.92,0.90,0.91,21000,0.91
2010-08-27,0.90,0.90,0.90,0.90,10000,0.90
2010-08-26,0.90,0.90,0.89,0.89,15000,0.89
2010-08-25,0.90,0.90,0.90,0.90,20000,0.90
2010-08-24,0.90,0.94,0.90,0.90,000,0.90
2010-08-23,0.91,0.94,0.91,0.91,000,0.91
2010-08-20,0.92,0.92,0.92,0.92,5000,0.92
2010-08-19,0.91,0.93,0.91,0.91,000,0.91
2010-08-18,0.92,0.92,0.92,0.92,10000,0.92
2010-08-17,0.92,0.94,0.92,0.92,000,0.92
2010-08-16,0.92,0.94,0.92,0.92,000,0.92
2010-08-13,0.92,0.95,0.92,0.92,000,0.92
2010-08-12,0.92,0.92,0.92,0.92,5000,0.92
2010-08-11,0.92,0.92,0.92,0.92,3000,0.92
2010-08-10,0.92,0.92,0.92,0.92,5000,0.92
2010-08-06,0.92,0.92,0.92,0.92,38000,0.92
2010-08-05,0.92,0.94,0.92,0.92,000,0.92
2010-08-04,0.92,0.92,0.92,0.92,23000,0.92
2010-08-03,0.93,0.93,0.92,0.92,11000,0.92
2010-08-02,0.90,0.92,0.90,0.92,4000,0.92
2010-07-30,0.92,0.92,0.92,0.92,55000,0.92
2010-07-29,0.93,0.93,0.93,0.93,6000,0.93
2010-07-28,0.93,0.93,0.92,0.92,46000,0.92
2010-07-27,0.92,0.94,0.92,0.94,19000,0.94
2010-07-26,0.94,0.94,0.93,0.93,31000,0.93
2010-07-23,0.92,0.93,0.92,0.93,23000,0.93
2010-07-22,0.92,0.92,0.92,0.92,4000,0.92
2010-07-21,0.92,0.92,0.92,0.92,11000,0.92
2010-07-20,0.92,0.92,0.92,0.92,20000,0.92
2010-07-19,0.92,0.92,0.91,0.92,36000,0.92
