Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.39,0.40,0.38,0.38,280000,0.38
2011-08-03,0.38,0.40,0.38,0.40,51000,0.40
2011-08-02,0.37,0.40,0.37,0.40,67000,0.40
2011-08-01,0.38,0.38,0.38,0.38,25000,0.38
2011-07-29,0.37,0.39,0.37,0.37,000,0.37
2011-07-28,0.37,0.39,0.37,0.37,000,0.37
2011-07-27,0.37,0.39,0.37,0.39,60000,0.39
2011-07-26,0.37,0.38,0.37,0.37,000,0.37
2011-07-25,0.37,0.37,0.37,0.37,91000,0.37
2011-07-22,0.37,0.38,0.37,0.37,000,0.37
2011-07-21,0.37,0.38,0.37,0.37,000,0.37
2011-07-20,0.37,0.37,0.37,0.37,9000,0.37
2011-07-19,0.38,0.38,0.37,0.37,50000,0.37
2011-07-18,0.37,0.37,0.37,0.37,35000,0.37
2011-07-15,0.37,0.37,0.37,0.37,38000,0.37
2011-07-14,0.37,0.38,0.37,0.37,000,0.37
2011-07-13,0.37,0.38,0.37,0.37,000,0.37
2011-07-12,0.38,0.40,0.38,0.40,26000,0.40
2011-07-11,0.38,0.40,0.38,0.38,000,0.38
2011-07-08,0.39,0.39,0.39,0.39,2000,0.39
2011-07-07,0.38,0.39,0.38,0.38,000,0.38
2011-07-06,0.38,0.38,0.38,0.38,24000,0.38
2011-07-05,0.38,0.40,0.38,0.38,000,0.38
2011-07-04,0.38,0.40,0.38,0.38,000,0.38
2011-07-01,0.38,0.38,0.38,0.38,33000,0.38
2011-06-30,0.38,0.41,0.38,0.41,71000,0.41
2011-06-29,0.38,0.39,0.38,0.38,000,0.38
2011-06-28,0.38,0.40,0.38,0.40,28000,0.40
2011-06-27,0.38,0.38,0.38,0.38,100000,0.38
2011-06-24,0.38,0.38,0.38,0.38,51000,0.38
2011-06-23,0.38,0.38,0.38,0.38,000,0.38
2011-06-22,0.38,0.38,0.38,0.38,75000,0.38
2011-06-21,0.38,0.38,0.38,0.38,99000,0.38
2011-06-20,0.38,0.40,0.38,0.40,22000,0.40
2011-06-17,0.38,0.38,0.38,0.38,10000,0.38
2011-06-16,0.38,0.38,0.38,0.38,327000,0.38
2011-06-15,0.38,0.38,0.38,0.38,50000,0.38
2011-06-14,0.38,0.38,0.38,0.38,12000,0.38
2011-06-13,0.38,0.38,0.38,0.38,83000,0.38
2011-06-10,0.38,0.39,0.38,0.38,000,0.38
2011-06-09,0.38,0.38,0.38,0.38,22000,0.38
2011-06-08,0.38,0.38,0.38,0.38,3000,0.38
2011-06-07,0.38,0.38,0.38,0.38,8000,0.38
2011-06-06,0.38,0.42,0.38,0.38,000,0.38
2011-06-03,0.38,0.41,0.38,0.38,000,0.38
2011-06-02,0.38,0.40,0.38,0.40,4000,0.40
2011-06-01,0.38,0.38,0.38,0.38,000,0.38
2011-05-31,0.38,0.40,0.38,0.38,000,0.38
2011-05-30,0.38,0.38,0.38,0.38,199000,0.38
2011-05-27,0.38,0.38,0.38,0.38,20000,0.38
2011-05-26,0.38,0.38,0.38,0.38,95000,0.38
2011-05-25,0.38,0.38,0.38,0.38,5000,0.38
2011-05-24,0.38,0.38,0.38,0.38,140000,0.38
2011-05-23,0.38,0.41,0.38,0.41,38000,0.41
2011-05-20,0.38,0.41,0.38,0.41,28000,0.41
2011-05-19,0.40,0.40,0.40,0.40,1000,0.40
2011-05-18,0.38,0.40,0.38,0.38,000,0.38
2011-05-16,0.38,0.40,0.38,0.40,8000,0.40
2011-05-13,0.38,0.40,0.38,0.38,000,0.38
2011-05-12,0.38,0.41,0.38,0.41,15000,0.41
2011-05-11,0.38,0.40,0.38,0.38,25000,0.38
2011-05-10,0.38,0.41,0.38,0.38,000,0.38
2011-05-09,0.38,0.41,0.38,0.38,000,0.38
2011-05-06,0.40,0.41,0.40,0.40,24000,0.40
2011-05-05,0.40,0.41,0.38,0.41,121000,0.41
2011-05-04,0.39,0.39,0.39,0.39,6000,0.39
2011-05-03,0.41,0.41,0.40,0.41,51000,0.41
2011-04-29,0.41,0.42,0.41,0.41,50000,0.41
2011-04-28,0.40,0.41,0.40,0.41,109000,0.41
2011-04-27,0.41,0.43,0.41,0.41,000,0.41
2011-04-26,0.40,0.43,0.40,0.43,96000,0.43
2011-04-25,0.40,0.40,0.40,0.40,106000,0.40
2011-04-21,0.38,0.41,0.38,0.41,18000,0.41
2011-04-20,0.40,0.40,0.38,0.40,25000,0.40
2011-04-19,0.40,0.41,0.40,0.40,000,0.40
2011-04-18,0.41,0.41,0.40,0.40,132000,0.40
2011-04-15,0.40,0.40,0.40,0.40,83000,0.40
2011-04-14,0.40,0.40,0.40,0.40,10000,0.40
2011-04-13,0.40,0.41,0.40,0.40,000,0.40
2011-04-12,0.40,0.40,0.40,0.40,72000,0.40
2011-04-11,0.40,0.41,0.40,0.40,90000,0.40
2011-04-08,0.40,0.40,0.40,0.40,11000,0.40
2011-04-07,0.40,0.40,0.40,0.40,75000,0.40
2011-04-06,0.39,0.39,0.39,0.39,2000,0.39
2011-04-05,0.39,0.41,0.39,0.39,000,0.39
2011-04-04,0.40,0.40,0.40,0.40,73000,0.40
2011-04-01,0.39,0.40,0.39,0.39,000,0.39
2011-03-31,0.39,0.40,0.39,0.39,000,0.39
2011-03-30,0.39,0.39,0.39,0.39,200000,0.39
2011-03-29,0.38,0.40,0.38,0.38,000,0.38
2011-03-28,0.39,0.39,0.39,0.39,81000,0.39
2011-03-25,0.39,0.39,0.39,0.39,65000,0.39
2011-03-24,0.39,0.39,0.39,0.39,20000,0.39
2011-03-23,0.39,0.39,0.39,0.39,60000,0.39
2011-03-22,0.38,0.40,0.38,0.40,67000,0.40
2011-03-21,0.38,0.39,0.38,0.39,83000,0.39
2011-03-18,0.38,0.38,0.38,0.38,3000,0.38
2011-03-17,0.38,0.38,0.38,0.38,100000,0.38
2011-03-16,0.38,0.39,0.38,0.39,20000,0.39
2011-03-15,0.38,0.38,0.38,0.38,128000,0.38
2011-03-14,0.38,0.38,0.38,0.38,85000,0.38
2011-03-11,0.38,0.38,0.38,0.38,55000,0.38
2011-03-10,0.37,0.39,0.37,0.38,177000,0.38
2011-03-09,0.38,0.38,0.37,0.38,133000,0.38
2011-03-08,0.38,0.38,0.38,0.38,497000,0.38
2011-03-07,0.38,0.39,0.38,0.38,324000,0.38
2011-03-04,0.40,0.40,0.39,0.39,230000,0.39
2011-03-03,0.40,0.40,0.40,0.40,800000,0.40
2011-03-02,0.39,0.39,0.39,0.39,10000,0.39
2011-03-01,0.40,0.40,0.40,0.40,95000,0.40
2011-02-28,0.38,0.40,0.38,0.40,518000,0.40
2011-02-25,0.37,0.40,0.37,0.39,138000,0.39
2011-02-24,0.38,0.38,0.37,0.38,158000,0.38
2011-02-23,0.36,0.38,0.36,0.38,344000,0.38
2011-02-22,0.38,0.38,0.35,0.38,348000,0.38
2011-02-21,0.38,0.39,0.38,0.38,310000,0.38
2011-02-18,0.38,0.39,0.38,0.39,173000,0.39
2011-02-17,0.39,0.39,0.38,0.39,64000,0.39
2011-02-16,0.39,0.40,0.39,0.39,102000,0.39
2011-02-15,0.41,0.41,0.38,0.40,308000,0.40
2011-02-14,0.41,0.41,0.40,0.41,158000,0.41
2011-02-11,0.41,0.41,0.41,0.41,50000,0.41
2011-02-10,0.41,0.41,0.41,0.41,186000,0.41
2011-02-09,0.41,0.41,0.41,0.41,223000,0.41
2011-02-08,0.41,0.41,0.41,0.41,91000,0.41
2011-02-07,0.42,0.42,0.41,0.41,67000,0.41
2011-02-02,0.41,0.43,0.41,0.43,52000,0.43
2011-02-01,0.42,0.43,0.42,0.43,32000,0.43
2011-01-31,0.41,0.42,0.41,0.42,57000,0.42
2011-01-28,0.42,0.42,0.42,0.42,13000,0.42
2011-01-27,0.42,0.42,0.42,0.42,10000,0.42
2011-01-26,0.43,0.43,0.42,0.43,55000,0.43
2011-01-25,0.43,0.43,0.43,0.43,61000,0.43
2011-01-24,0.43,0.43,0.42,0.43,40000,0.43
2011-01-21,0.43,0.44,0.43,0.44,165000,0.44
2011-01-20,0.41,0.43,0.41,0.43,5000,0.43
2011-01-19,0.41,0.43,0.41,0.43,226000,0.43
2011-01-18,0.41,0.43,0.41,0.42,202000,0.42
2011-01-17,0.42,0.43,0.41,0.41,172000,0.41
2011-01-14,0.41,0.41,0.41,0.41,329000,0.41
2011-01-13,0.41,0.41,0.41,0.41,168000,0.41
2011-01-12,0.41,0.41,0.41,0.41,260000,0.41
2011-01-11,0.41,0.41,0.41,0.41,99000,0.41
