Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.08,0.09,0.08,0.08,000,0.08
2011-08-03,0.08,0.09,0.08,0.09,115000,0.09
2011-08-02,0.09,0.09,0.09,0.09,950000,0.09
2011-08-01,0.09,0.09,0.09,0.09,20000,0.09
2011-07-29,0.09,0.09,0.09,0.09,000,0.09
2011-07-28,0.09,0.09,0.09,0.09,226000,0.09
2011-07-27,0.09,0.09,0.09,0.09,161000,0.09
2011-07-26,0.09,0.09,0.09,0.09,40000,0.09
2011-07-25,0.09,0.09,0.09,0.09,550000,0.09
2011-07-22,0.09,0.09,0.09,0.09,5000,0.09
2011-07-21,0.09,0.09,0.09,0.09,1464000,0.09
2011-07-20,0.09,0.09,0.09,0.09,12000,0.09
2011-07-19,0.09,0.09,0.09,0.09,680000,0.09
2011-07-18,0.09,0.09,0.09,0.09,476000,0.09
2011-07-15,0.09,0.09,0.09,0.09,205000,0.09
2011-07-14,0.09,0.09,0.09,0.09,1000,0.09
2011-07-13,0.09,0.09,0.09,0.09,000,0.09
2011-07-12,0.09,0.09,0.09,0.09,000,0.09
2011-07-11,0.09,0.09,0.09,0.09,221000,0.09
2011-07-08,0.09,0.09,0.09,0.09,000,0.09
2011-07-07,0.09,0.09,0.09,0.09,8000,0.09
2011-07-06,0.09,0.09,0.09,0.09,92000,0.09
2011-07-05,0.09,0.09,0.09,0.09,194000,0.09
2011-07-04,0.09,0.09,0.09,0.09,210000,0.09
2011-07-01,0.09,0.09,0.09,0.09,317000,0.09
2011-06-30,0.09,0.09,0.09,0.09,215000,0.09
2011-06-29,0.09,0.09,0.09,0.09,459000,0.09
2011-06-28,0.09,0.10,0.09,0.09,4723000,0.09
2011-06-27,0.09,0.09,0.09,0.09,99000,0.09
2011-06-24,0.09,0.09,0.09,0.09,551000,0.09
2011-06-23,0.09,0.09,0.09,0.09,1273000,0.09
2011-06-22,0.09,0.09,0.09,0.09,195000,0.09
2011-06-21,0.09,0.09,0.09,0.09,50000,0.09
2011-06-20,0.09,0.09,0.09,0.09,373000,0.09
2011-06-17,0.08,0.09,0.08,0.08,000,0.08
2011-06-16,0.09,0.09,0.09,0.09,520000,0.09
2011-06-15,0.09,0.09,0.09,0.09,30000,0.09
2011-06-14,0.09,0.09,0.09,0.09,1014000,0.09
2011-06-13,0.09,0.09,0.09,0.09,129000,0.09
2011-06-10,0.09,0.09,0.09,0.09,100000,0.09
2011-06-09,0.09,0.09,0.09,0.09,15000,0.09
2011-06-08,0.09,0.09,0.09,0.09,200000,0.09
2011-06-07,0.09,0.09,0.09,0.09,16000,0.09
2011-06-06,0.09,0.09,0.09,0.09,92000,0.09
2011-06-03,0.09,0.09,0.09,0.09,79000,0.09
2011-06-02,0.09,0.09,0.09,0.09,100000,0.09
2011-06-01,0.09,0.09,0.09,0.09,300000,0.09
2011-05-31,0.09,0.09,0.09,0.09,102000,0.09
2011-05-30,0.09,0.09,0.09,0.09,000,0.09
2011-05-27,0.09,0.09,0.09,0.09,740000,0.09
2011-05-26,0.09,0.09,0.09,0.09,236000,0.09
2011-05-25,0.09,0.09,0.09,0.09,50000,0.09
2011-05-24,0.09,0.09,0.09,0.09,180000,0.09
2011-05-23,0.09,0.09,0.09,0.09,100000,0.09
2011-05-20,0.09,0.09,0.09,0.09,24000,0.09
2011-05-19,0.09,0.09,0.09,0.09,267000,0.09
2011-05-18,0.09,0.09,0.09,0.09,680000,0.09
2011-05-16,0.09,0.09,0.09,0.09,105000,0.09
2011-05-13,0.09,0.09,0.09,0.09,266000,0.09
2011-05-12,0.09,0.09,0.09,0.09,207000,0.09
2011-05-11,0.09,0.09,0.09,0.09,165000,0.09
2011-05-10,0.09,0.09,0.09,0.09,50000,0.09
2011-05-09,0.09,0.09,0.09,0.09,150000,0.09
2011-05-06,0.09,0.09,0.09,0.09,250000,0.09
2011-05-05,0.09,0.09,0.09,0.09,123000,0.09
2011-05-04,0.09,0.09,0.09,0.09,575000,0.09
2011-05-03,0.09,0.09,0.09,0.09,355000,0.09
2011-04-29,0.09,0.09,0.09,0.09,124000,0.09
2011-04-28,0.09,0.09,0.09,0.09,148000,0.09
2011-04-27,0.10,0.10,0.09,0.10,693000,0.10
2011-04-26,0.09,0.10,0.09,0.10,57000,0.10
2011-04-25,0.10,0.10,0.10,0.10,704000,0.10
2011-04-21,0.10,0.10,0.10,0.10,577000,0.10
2011-04-20,0.10,0.10,0.10,0.10,955000,0.10
2011-04-19,0.10,0.10,0.10,0.10,1909000,0.10
2011-04-18,0.10,0.10,0.10,0.10,38000,0.10
2011-04-15,0.10,0.10,0.10,0.10,440000,0.10
2011-04-14,0.10,0.10,0.10,0.10,5000,0.10
2011-04-13,0.10,0.10,0.10,0.10,250000,0.10
2011-04-12,0.10,0.10,0.10,0.10,100000,0.10
2011-04-11,0.10,0.10,0.10,0.10,572000,0.10
2011-04-08,0.11,0.11,0.10,0.10,425000,0.10
2011-04-07,0.10,0.10,0.10,0.10,2544000,0.10
2011-04-06,0.10,0.10,0.10,0.10,1759000,0.10
2011-04-05,0.10,0.10,0.10,0.10,2915000,0.10
2011-04-04,0.10,0.10,0.10,0.10,1516000,0.10
2011-04-01,0.11,0.11,0.10,0.10,2651000,0.10
2011-03-31,0.10,0.12,0.10,0.10,8181000,0.10
2011-03-30,0.10,0.10,0.10,0.10,348000,0.10
2011-03-29,0.10,0.10,0.10,0.10,680000,0.10
2011-03-28,0.10,0.10,0.10,0.10,283000,0.10
2011-03-25,0.10,0.11,0.10,0.10,5599000,0.10
2011-03-24,0.09,0.10,0.09,0.10,2355000,0.10
2011-03-23,0.10,0.10,0.10,0.10,230000,0.10
2011-03-22,0.09,0.09,0.09,0.09,353000,0.09
2011-03-21,0.09,0.09,0.09,0.09,633000,0.09
2011-03-18,0.09,0.10,0.09,0.09,11381000,0.09
2011-03-17,0.09,0.09,0.09,0.09,263000,0.09
2011-03-16,0.09,0.09,0.09,0.09,405000,0.09
2011-03-15,0.09,0.09,0.09,0.09,3011000,0.09
2011-03-14,0.09,0.09,0.09,0.09,4214000,0.09
2011-03-11,0.10,0.10,0.09,0.09,2572000,0.09
2011-03-10,0.09,0.10,0.09,0.10,1367000,0.10
2011-03-09,0.09,0.10,0.09,0.09,4795000,0.09
2011-03-08,0.09,0.09,0.09,0.09,751000,0.09
2011-03-07,0.09,0.09,0.09,0.09,80000,0.09
2011-03-04,0.09,0.09,0.09,0.09,1058000,0.09
2011-03-03,0.09,0.09,0.09,0.09,219000,0.09
2011-03-02,0.09,0.09,0.09,0.09,1578000,0.09
2011-03-01,0.09,0.09,0.09,0.09,2685000,0.09
2011-02-28,0.08,0.09,0.08,0.08,123000,0.08
2011-02-25,0.08,0.08,0.08,0.08,63000,0.08
2011-02-24,0.08,0.09,0.08,0.08,213000,0.08
2011-02-23,0.08,0.08,0.08,0.08,850000,0.08
