Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.29,0.30,0.29,0.29,000,0.29
2011-08-03,0.29,0.29,0.29,0.29,1000,0.29
2011-08-02,0.29,0.30,0.29,0.29,000,0.29
2011-08-01,0.30,0.30,0.30,0.30,25000,0.30
2011-07-29,0.29,0.29,0.29,0.29,5000,0.29
2011-07-28,0.29,0.29,0.29,0.29,58000,0.29
2011-07-27,0.29,0.30,0.29,0.29,000,0.29
2011-07-26,0.28,0.28,0.28,0.28,1000,0.28
2011-07-25,0.30,0.30,0.30,0.30,170000,0.30
2011-07-22,0.29,0.30,0.29,0.29,524000,0.29
2011-07-21,0.29,0.32,0.29,0.29,000,0.29
2011-07-20,0.29,0.31,0.29,0.29,000,0.29
2011-07-19,0.31,0.31,0.31,0.31,000,0.31
2011-07-18,0.29,0.31,0.29,0.29,000,0.29
2011-07-15,0.29,0.32,0.29,0.29,000,0.29
2011-07-14,0.31,0.31,0.31,0.31,6000,0.31
2011-07-13,0.29,0.31,0.29,0.29,000,0.29
2011-07-12,0.29,0.29,0.29,0.29,5000,0.29
2011-07-11,0.29,0.31,0.29,0.29,000,0.29
2011-07-08,0.29,0.31,0.29,0.29,000,0.29
2011-07-07,0.30,0.31,0.30,0.30,000,0.30
2011-07-06,0.29,0.31,0.29,0.29,000,0.29
2011-07-05,0.29,0.31,0.29,0.29,000,0.29
2011-07-04,0.31,0.31,0.31,0.31,7000,0.31
2011-07-01,0.29,0.31,0.29,0.29,000,0.29
2011-06-30,0.30,0.31,0.30,0.30,000,0.30
2011-06-29,0.30,0.31,0.30,0.30,000,0.30
2011-06-28,0.30,0.31,0.30,0.30,000,0.30
2011-06-27,0.30,0.31,0.30,0.30,000,0.30
2011-06-24,0.30,0.31,0.30,0.30,000,0.30
2011-06-23,0.30,0.31,0.30,0.30,000,0.30
2011-06-22,0.31,0.31,0.31,0.31,000,0.31
2011-06-21,0.31,0.31,0.31,0.31,150000,0.31
2011-06-20,0.30,0.30,0.30,0.30,13000,0.30
2011-06-17,0.31,0.31,0.31,0.31,270000,0.31
2011-06-16,0.31,0.31,0.31,0.31,180000,0.31
2011-06-15,0.29,0.31,0.29,0.29,000,0.29
2011-06-14,0.29,0.31,0.29,0.29,000,0.29
2011-06-13,0.31,0.31,0.31,0.31,93000,0.31
2011-06-10,0.29,0.31,0.29,0.29,000,0.29
2011-06-09,0.31,0.31,0.30,0.31,356000,0.31
2011-06-08,0.30,0.31,0.30,0.30,000,0.30
2011-06-07,0.30,0.31,0.30,0.30,000,0.30
2011-06-06,0.29,0.31,0.29,0.29,000,0.29
2011-06-03,0.30,0.31,0.30,0.30,000,0.30
2011-06-02,0.31,0.31,0.31,0.31,25000,0.31
2011-06-01,0.30,0.31,0.30,0.31,10000,0.31
2011-05-31,0.30,0.31,0.30,0.30,000,0.30
2011-05-30,0.31,0.31,0.31,0.31,165000,0.31
2011-05-27,0.31,0.31,0.31,0.31,000,0.31
2011-05-26,0.31,0.31,0.31,0.31,31000,0.31
2011-05-25,0.31,0.31,0.31,0.31,119000,0.31
2011-05-24,0.31,0.31,0.31,0.31,296000,0.31
2011-05-23,0.31,0.31,0.31,0.31,331000,0.31
2011-05-20,0.31,0.31,0.30,0.31,685000,0.31
2011-05-19,0.31,0.31,0.31,0.31,50000,0.31
2011-05-18,0.29,0.29,0.29,0.29,3000,0.29
2011-05-16,0.30,0.31,0.30,0.30,000,0.30
2011-05-13,0.30,0.31,0.30,0.30,000,0.30
2011-05-12,0.31,0.31,0.31,0.31,84000,0.31
2011-05-11,0.30,0.31,0.30,0.31,15000,0.31
2011-05-10,0.31,0.31,0.31,0.31,90000,0.31
