Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.18,0.18,0.18,0.18,15000,0.18
2011-08-03,0.18,0.19,0.18,0.18,000,0.18
2011-08-02,0.19,0.19,0.18,0.18,48000,0.18
2011-08-01,0.19,0.19,0.19,0.19,000,0.19
2011-07-29,0.18,0.19,0.18,0.18,000,0.18
2011-07-28,0.18,0.19,0.18,0.18,000,0.18
2011-07-27,0.19,0.19,0.19,0.19,25000,0.19
2011-07-26,0.18,0.18,0.18,0.18,36000,0.18
2011-07-25,0.19,0.19,0.19,0.19,57000,0.19
2011-07-22,0.19,0.20,0.19,0.19,000,0.19
2011-07-21,0.18,0.19,0.18,0.19,39000,0.19
2011-07-20,0.18,0.19,0.18,0.18,000,0.18
2011-07-19,0.18,0.19,0.18,0.19,688000,0.19
2011-07-18,0.18,0.19,0.18,0.18,000,0.18
2011-07-15,0.18,0.19,0.18,0.19,77000,0.19
2011-07-14,0.18,0.18,0.18,0.18,50000,0.18
2011-07-13,0.18,0.19,0.18,0.18,000,0.18
2011-07-12,0.18,0.19,0.18,0.18,000,0.18
2011-07-11,0.18,0.19,0.18,0.18,000,0.18
2011-07-08,0.19,0.19,0.19,0.19,000,0.19
2011-07-07,0.18,0.18,0.18,0.18,2000,0.18
2011-07-06,0.19,0.19,0.19,0.19,74000,0.19
2011-07-05,0.18,0.19,0.18,0.18,000,0.18
2011-07-04,0.19,0.19,0.19,0.19,000,0.19
2011-07-01,0.19,0.19,0.19,0.19,92000,0.19
2011-06-30,0.19,0.19,0.19,0.19,134000,0.19
2011-06-29,0.19,0.19,0.19,0.19,000,0.19
2011-06-28,0.18,0.19,0.18,0.18,105000,0.18
2011-06-27,0.18,0.19,0.18,0.18,000,0.18
2011-06-24,0.18,0.18,0.18,0.18,314000,0.18
2011-06-23,0.18,0.19,0.18,0.18,000,0.18
2011-06-22,0.18,0.19,0.18,0.19,58000,0.19
2011-06-21,0.18,0.18,0.18,0.18,50000,0.18
2011-06-20,0.18,0.18,0.18,0.18,26000,0.18
2011-06-17,0.18,0.19,0.18,0.18,000,0.18
2011-06-16,0.19,0.19,0.19,0.19,70000,0.19
2011-06-15,0.19,0.19,0.19,0.19,87000,0.19
2011-06-14,0.19,0.19,0.19,0.19,000,0.19
2011-06-13,0.19,0.19,0.19,0.19,50000,0.19
2011-06-10,0.19,0.19,0.19,0.19,164000,0.19
2011-06-09,0.19,0.19,0.19,0.19,98000,0.19
2011-06-08,0.19,0.19,0.19,0.19,100000,0.19
2011-06-07,0.19,0.19,0.19,0.19,145000,0.19
2011-06-06,0.19,0.19,0.19,0.19,000,0.19
2011-06-03,0.19,0.19,0.19,0.19,402000,0.19
2011-06-02,0.19,0.19,0.19,0.19,24000,0.19
2011-06-01,0.19,0.20,0.19,0.20,150000,0.20
