Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.03,0.04,0.03,0.04,1280000,0.04
2011-08-03,0.03,0.03,0.03,0.03,252000,0.03
2011-08-02,0.03,0.03,0.03,0.03,666000,0.03
2011-08-01,0.03,0.03,0.03,0.03,481000,0.03
2011-07-29,0.03,0.03,0.03,0.03,205000,0.03
2011-07-28,0.02,0.03,0.02,0.03,360000,0.03
2011-07-27,0.02,0.03,0.02,0.02,854000,0.02
2011-07-26,0.02,0.02,0.02,0.02,665000,0.02
2011-07-25,0.02,0.02,0.02,0.02,2051000,0.02
2011-07-22,0.02,0.02,0.02,0.02,694000,0.02
2011-07-21,0.02,0.02,0.02,0.02,1680000,0.02
2011-07-20,0.02,0.02,0.02,0.02,230000,0.02
2011-07-19,0.02,0.02,0.02,0.02,1934000,0.02
2011-07-18,0.02,0.02,0.02,0.02,1940000,0.02
2011-07-15,0.02,0.02,0.02,0.02,35000,0.02
2011-07-14,0.02,0.02,0.02,0.02,400000,0.02
2011-07-13,0.02,0.03,0.02,0.02,000,0.02
2011-07-12,0.02,0.03,0.02,0.02,000,0.02
2011-07-11,0.02,0.02,0.02,0.02,300000,0.02
2011-07-08,0.02,0.03,0.02,0.02,000,0.02
2011-07-07,0.02,0.03,0.02,0.02,000,0.02
2011-07-06,0.02,0.03,0.02,0.02,000,0.02
2011-07-05,0.02,0.03,0.02,0.02,000,0.02
2011-07-04,0.02,0.03,0.02,0.02,000,0.02
2011-07-01,0.02,0.03,0.02,0.02,000,0.02
2011-06-30,0.03,0.03,0.03,0.03,421000,0.03
2011-06-29,0.02,0.03,0.02,0.02,000,0.02
2011-06-28,0.02,0.02,0.02,0.02,10000,0.02
2011-06-27,0.02,0.03,0.02,0.02,000,0.02
2011-06-24,0.03,0.03,0.03,0.03,000,0.03
2011-06-23,0.02,0.03,0.02,0.03,70000,0.03
2011-06-22,0.03,0.03,0.03,0.03,000,0.03
2011-06-21,0.02,0.03,0.02,0.02,000,0.02
2011-06-20,0.03,0.03,0.03,0.03,30000,0.03
2011-06-17,0.03,0.03,0.03,0.03,000,0.03
2011-06-16,0.03,0.03,0.03,0.03,000,0.03
2011-06-15,0.03,0.03,0.03,0.03,177000,0.03
2011-06-14,0.03,0.03,0.03,0.03,293000,0.03
2011-06-13,0.02,0.04,0.02,0.03,2806000,0.03
2011-06-10,0.02,0.03,0.02,0.02,000,0.02
2011-06-09,0.03,0.03,0.02,0.02,59000,0.02
2011-06-08,0.03,0.03,0.03,0.03,14000,0.03
2011-06-07,0.01,0.03,0.01,0.03,2952000,0.03
2011-06-06,0.02,0.02,0.02,0.02,410000,0.02
2011-06-03,0.02,0.03,0.02,0.02,105000,0.02
2011-06-02,0.03,0.03,0.02,0.02,308000,0.02
2011-06-01,0.02,0.03,0.01,0.03,1835000,0.03
2011-05-31,0.03,0.03,0.02,0.02,2169000,0.02
2011-05-30,0.04,0.04,0.03,0.03,3263000,0.03
2011-05-27,0.04,0.04,0.04,0.04,000,0.04
2011-05-26,0.04,0.04,0.04,0.04,50000,0.04
2011-05-25,0.04,0.04,0.04,0.04,1158000,0.04
2011-05-24,0.05,0.05,0.04,0.04,1492000,0.04
2011-05-23,0.06,0.06,0.06,0.06,000,0.06
2011-05-20,0.06,0.06,0.06,0.06,111000,0.06
2011-05-19,0.06,0.07,0.06,0.06,000,0.06
2011-05-18,0.06,0.06,0.06,0.06,5000,0.06
2011-05-16,0.06,0.06,0.06,0.06,2000,0.06
2011-05-13,0.06,0.07,0.06,0.06,000,0.06
2011-05-12,0.06,0.07,0.06,0.06,000,0.06
2011-05-11,0.06,0.07,0.06,0.06,000,0.06
2011-05-10,0.06,0.06,0.06,0.06,100000,0.06
2011-05-09,0.06,0.07,0.06,0.06,000,0.06
2011-05-06,0.06,0.08,0.06,0.06,000,0.06
2011-05-05,0.07,0.07,0.07,0.07,140000,0.07
2011-05-04,0.06,0.07,0.06,0.06,000,0.06
2011-05-03,0.07,0.07,0.07,0.07,90000,0.07
2011-04-29,0.07,0.07,0.07,0.07,230000,0.07
2011-04-28,0.08,0.08,0.08,0.08,000,0.08
2011-04-27,0.08,0.08,0.08,0.08,50000,0.08
2011-04-26,0.07,0.08,0.07,0.07,000,0.07
2011-04-25,0.08,0.08,0.08,0.08,385000,0.08
2011-04-21,0.08,0.08,0.08,0.08,62000,0.08
2011-04-20,0.07,0.08,0.07,0.08,122000,0.08
2011-04-19,0.08,0.08,0.08,0.08,110000,0.08
2011-04-18,0.08,0.08,0.08,0.08,336000,0.08
2011-04-15,0.08,0.08,0.08,0.08,550000,0.08
2011-04-14,0.08,0.08,0.08,0.08,155000,0.08
2011-04-13,0.08,0.09,0.08,0.08,000,0.08
2011-04-12,0.09,0.09,0.09,0.09,5000,0.09
2011-04-11,0.09,0.09,0.09,0.09,875000,0.09
2011-04-08,0.09,0.09,0.09,0.09,986000,0.09
2011-04-07,0.09,0.09,0.09,0.09,730000,0.09
2011-04-06,0.09,0.09,0.09,0.09,590000,0.09
2011-04-05,0.09,0.09,0.09,0.09,5000,0.09
2011-04-04,0.09,0.09,0.09,0.09,120000,0.09
2011-04-01,0.09,0.09,0.09,0.09,280000,0.09
2011-03-31,0.09,0.10,0.09,0.09,11840000,0.09
2011-03-30,0.08,0.09,0.08,0.09,1196000,0.09
2011-03-29,0.08,0.08,0.08,0.08,40000,0.08
2011-03-28,0.08,0.09,0.08,0.08,000,0.08
2011-03-25,0.09,0.09,0.09,0.09,000,0.09
2011-03-24,0.09,0.09,0.09,0.09,000,0.09
2011-03-23,0.08,0.09,0.08,0.08,000,0.08
2011-03-22,0.08,0.09,0.08,0.08,000,0.08
2011-03-21,0.08,0.09,0.08,0.08,000,0.08
2011-03-18,0.09,0.09,0.09,0.09,60000,0.09
2011-03-17,0.08,0.08,0.08,0.08,70000,0.08
2011-03-16,0.08,0.09,0.08,0.08,000,0.08
2011-03-15,0.08,0.08,0.08,0.08,96000,0.08
2011-03-14,0.08,0.09,0.08,0.08,000,0.08
2011-03-11,0.08,0.09,0.08,0.08,000,0.08
2011-03-10,0.09,0.09,0.09,0.09,000,0.09
2011-03-09,0.09,0.09,0.09,0.09,10000,0.09
2011-03-08,0.09,0.09,0.09,0.09,16000,0.09
2011-03-07,0.09,0.09,0.09,0.09,000,0.09
2011-03-04,0.09,0.09,0.09,0.09,000,0.09
2011-03-03,0.09,0.09,0.09,0.09,000,0.09
