Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,3.98,3.98,3.92,3.92,218000,3.92
2011-08-03,4.03,4.03,3.96,3.97,441000,3.97
2011-08-02,4.04,4.06,4.03,4.05,127000,4.05
2011-08-01,4.08,4.09,4.04,4.04,224000,4.04
2011-07-29,4.08,4.08,4.04,4.05,287000,4.05
2011-07-28,4.08,4.08,4.06,4.07,188000,4.07
2011-07-27,4.14,4.14,4.07,4.09,1132000,4.09
2011-07-26,4.19,4.19,4.14,4.16,803000,4.16
2011-07-25,4.41,4.41,4.39,4.39,626000,4.39
2011-07-22,4.42,4.43,4.40,4.42,571000,4.42
2011-07-21,4.38,4.42,4.37,4.42,435000,4.42
2011-07-20,4.31,4.39,4.31,4.38,533000,4.38
2011-07-19,4.33,4.33,4.31,4.31,524000,4.31
2011-07-18,4.35,4.35,4.32,4.33,375000,4.33
2011-07-15,4.33,4.35,4.33,4.35,57000,4.35
2011-07-14,4.36,4.36,4.31,4.32,429000,4.32
2011-07-13,4.33,4.36,4.32,4.35,520000,4.35
2011-07-12,4.35,4.38,4.33,4.33,187000,4.33
2011-07-11,4.36,4.39,4.36,4.38,116000,4.38
2011-07-08,4.36,4.39,4.35,4.36,135000,4.36
2011-07-07,4.33,4.37,4.33,4.36,236000,4.36
2011-07-06,4.40,4.40,4.32,4.33,270000,4.33
2011-07-05,4.35,4.38,4.35,4.38,122000,4.38
2011-07-04,4.39,4.41,4.37,4.37,129000,4.37
2011-07-01,4.38,4.40,4.37,4.40,319000,4.40
2011-06-30,4.35,4.36,4.34,4.35,231000,4.35
2011-06-29,4.34,4.35,4.32,4.35,153000,4.35
2011-06-28,4.30,4.33,4.30,4.33,74000,4.33
2011-06-27,4.28,4.30,4.28,4.29,55000,4.29
2011-06-24,4.27,4.30,4.27,4.28,193000,4.28
2011-06-23,4.26,4.29,4.26,4.28,68000,4.28
2011-06-22,4.30,4.31,4.28,4.28,90000,4.28
2011-06-21,4.25,4.31,4.25,4.30,115000,4.30
2011-06-20,4.28,4.29,4.25,4.25,80000,4.25
2011-06-17,4.30,4.30,4.25,4.26,231000,4.26
2011-06-16,4.34,4.34,4.29,4.30,135000,4.30
2011-06-15,4.34,4.37,4.33,4.34,98000,4.34
2011-06-14,4.33,4.34,4.30,4.33,356000,4.33
2011-06-13,4.36,4.36,4.33,4.34,181000,4.34
2011-06-10,4.37,4.38,4.35,4.36,99000,4.36
2011-06-09,4.37,4.38,4.36,4.37,164000,4.37
2011-06-08,4.39,4.39,4.37,4.38,126000,4.38
2011-06-07,4.36,4.40,4.36,4.38,170000,4.38
2011-06-06,4.38,4.38,4.37,4.38,146000,4.38
2011-06-03,4.39,4.39,4.36,4.38,96000,4.38
2011-06-02,4.36,4.39,4.35,4.38,176000,4.38
2011-06-01,4.40,4.40,4.38,4.38,117000,4.38
2011-05-31,4.33,4.40,4.33,4.40,259000,4.40
2011-05-30,4.34,4.36,4.33,4.35,98000,4.35
2011-05-27,4.35,4.36,4.34,4.34,107000,4.34
