Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.15,0.15,0.15,0.15,000,0.15
2011-08-03,0.15,0.15,0.15,0.15,530000,0.15
2011-08-02,0.15,0.15,0.15,0.15,3255000,0.15
2011-08-01,0.15,0.15,0.15,0.15,653000,0.15
2011-07-29,0.15,0.15,0.15,0.15,21000,0.15
2011-07-28,0.15,0.15,0.15,0.15,1348000,0.15
2011-07-27,0.15,0.15,0.15,0.15,249000,0.15
2011-07-26,0.15,0.15,0.15,0.15,73000,0.15
2011-07-25,0.15,0.15,0.15,0.15,69000,0.15
2011-07-22,0.15,0.15,0.15,0.15,250000,0.15
2011-07-21,0.15,0.15,0.15,0.15,66000,0.15
2011-07-20,0.15,0.15,0.15,0.15,197000,0.15
2011-07-19,0.15,0.15,0.15,0.15,1016000,0.15
2011-07-18,0.14,0.15,0.14,0.15,1045000,0.15
2011-07-15,0.15,0.15,0.14,0.14,220000,0.14
2011-07-14,0.15,0.15,0.15,0.15,330000,0.15
2011-07-13,0.15,0.15,0.15,0.15,890000,0.15
2011-07-12,0.15,0.15,0.15,0.15,421000,0.15
2011-07-11,0.15,0.15,0.15,0.15,420000,0.15
2011-07-08,0.15,0.15,0.15,0.15,260000,0.15
2011-07-07,0.15,0.15,0.15,0.15,1038000,0.15
2011-07-06,0.15,0.15,0.15,0.15,482000,0.15
2011-07-05,0.15,0.15,0.15,0.15,319000,0.15
2011-07-04,0.15,0.15,0.15,0.15,382000,0.15
2011-07-01,0.14,0.14,0.14,0.14,10000,0.14
2011-06-30,0.15,0.15,0.15,0.15,660000,0.15
2011-06-29,0.15,0.15,0.15,0.15,642000,0.15
2011-06-28,0.14,0.15,0.14,0.15,2000000,0.15
2011-06-27,0.14,0.15,0.14,0.15,148000,0.15
2011-06-24,0.14,0.15,0.14,0.15,598000,0.15
2011-06-23,0.14,0.14,0.14,0.14,356000,0.14
2011-06-22,0.14,0.14,0.14,0.14,184000,0.14
2011-06-21,0.15,0.15,0.14,0.14,1261000,0.14
2011-06-20,0.15,0.15,0.15,0.15,200000,0.15
2011-06-17,0.15,0.15,0.15,0.15,220000,0.15
2011-06-16,0.15,0.16,0.15,0.16,650000,0.16
2011-06-15,0.16,0.16,0.15,0.16,478000,0.16
2011-06-14,0.14,0.16,0.14,0.16,5921000,0.16
2011-06-13,0.14,0.14,0.14,0.14,1355000,0.14
2011-06-10,0.14,0.14,0.14,0.14,40000,0.14
2011-06-09,0.14,0.14,0.14,0.14,26000,0.14
2011-06-08,0.14,0.14,0.14,0.14,394000,0.14
2011-06-07,0.14,0.14,0.14,0.14,1105000,0.14
2011-06-06,0.14,0.14,0.14,0.14,137000,0.14
2011-06-03,0.14,0.14,0.14,0.14,581000,0.14
2011-06-02,0.14,0.14,0.14,0.14,280000,0.14
2011-06-01,0.14,0.14,0.14,0.14,417000,0.14
2011-05-31,0.14,0.14,0.14,0.14,660000,0.14
2011-05-30,0.14,0.15,0.14,0.14,000,0.14
2011-05-27,0.15,0.16,0.14,0.14,7918000,0.14
2011-05-26,0.14,0.15,0.14,0.15,9223000,0.15
2011-05-25,0.14,0.14,0.14,0.14,1613000,0.14
2011-05-24,0.14,0.14,0.14,0.14,551000,0.14
2011-05-23,0.14,0.14,0.14,0.14,36000,0.14
2011-05-20,0.14,0.14,0.14,0.14,1000000,0.14
2011-05-19,0.14,0.14,0.14,0.14,169000,0.14
2011-05-18,0.14,0.14,0.14,0.14,457000,0.14
2011-05-16,0.14,0.14,0.14,0.14,15000,0.14
2011-05-13,0.14,0.14,0.14,0.14,762000,0.14
2011-05-12,0.14,0.14,0.14,0.14,300000,0.14
2011-05-11,0.14,0.14,0.14,0.14,120000,0.14
2011-05-10,0.14,0.14,0.14,0.14,307000,0.14
2011-05-09,0.14,0.15,0.14,0.14,126000,0.14
2011-05-06,0.14,0.14,0.14,0.14,225000,0.14
2011-05-05,0.14,0.14,0.14,0.14,220000,0.14
2011-05-04,0.14,0.14,0.14,0.14,117000,0.14
2011-05-03,0.14,0.14,0.14,0.14,66000,0.14
2011-04-29,0.14,0.15,0.14,0.14,000,0.14
2011-04-28,0.14,0.14,0.14,0.14,704000,0.14
2011-04-27,0.16,0.16,0.15,0.15,197000,0.15
2011-04-26,0.15,0.16,0.15,0.16,54000,0.16
2011-04-25,0.15,0.15,0.15,0.15,104000,0.15
2011-04-21,0.15,0.15,0.15,0.15,33000,0.15
2011-04-20,0.15,0.15,0.15,0.15,20000,0.15
2011-04-19,0.15,0.15,0.15,0.15,400000,0.15
2011-04-18,0.15,0.15,0.15,0.15,344000,0.15
2011-04-15,0.15,0.15,0.15,0.15,254000,0.15
2011-04-14,0.14,0.15,0.14,0.15,118000,0.15
2011-04-13,0.15,0.15,0.15,0.15,57000,0.15
2011-04-12,0.15,0.15,0.14,0.15,533000,0.15
2011-04-11,0.16,0.16,0.15,0.15,3782000,0.15
2011-04-08,0.15,0.16,0.15,0.15,272000,0.15
2011-04-07,0.15,0.15,0.15,0.15,973000,0.15
2011-04-06,0.15,0.15,0.15,0.15,85000,0.15
2011-04-05,0.15,0.15,0.14,0.14,1213000,0.14
2011-04-04,0.16,0.16,0.15,0.15,804000,0.15
2011-04-01,0.16,0.16,0.15,0.16,199000,0.16
2011-03-31,0.16,0.17,0.15,0.16,11506000,0.16
2011-03-30,0.15,0.15,0.15,0.15,100000,0.15
2011-03-29,0.14,0.15,0.14,0.14,000,0.14
2011-03-28,0.15,0.16,0.14,0.14,482000,0.14
2011-03-25,0.15,0.15,0.14,0.15,164000,0.15
2011-03-24,0.15,0.15,0.15,0.15,372000,0.15
2011-03-23,0.15,0.16,0.14,0.16,451000,0.16
2011-03-22,0.14,0.14,0.14,0.14,21000,0.14
2011-03-21,0.15,0.15,0.15,0.15,11000,0.15
2011-03-18,0.14,0.14,0.14,0.14,7000,0.14
2011-03-17,0.14,0.14,0.14,0.14,874000,0.14
2011-03-16,0.14,0.14,0.14,0.14,243000,0.14
2011-03-15,0.14,0.14,0.14,0.14,1555000,0.14
2011-03-14,0.14,0.15,0.14,0.15,96000,0.15
2011-03-11,0.14,0.15,0.14,0.15,314000,0.15
2011-03-10,0.14,0.14,0.14,0.14,69000,0.14
2011-03-09,0.15,0.15,0.15,0.15,293000,0.15
2011-03-08,0.14,0.14,0.14,0.14,400000,0.14
2011-03-07,0.15,0.15,0.14,0.14,101000,0.14
2011-03-04,0.15,0.15,0.15,0.15,291000,0.15
2011-03-03,0.15,0.15,0.14,0.14,113000,0.14
2011-03-02,0.15,0.15,0.14,0.14,934000,0.14
2011-03-01,0.15,0.16,0.15,0.15,4483000,0.15
2011-02-28,0.14,0.15,0.14,0.15,176000,0.15
2011-02-25,0.14,0.14,0.14,0.14,270000,0.14
2011-02-24,0.15,0.15,0.14,0.14,211000,0.14
2011-02-23,0.14,0.15,0.14,0.15,632000,0.15
2011-02-22,0.15,0.15,0.14,0.15,697000,0.15
2011-02-21,0.16,0.16,0.15,0.16,790000,0.16
2011-02-18,0.15,0.15,0.15,0.15,131000,0.15
2011-02-17,0.15,0.15,0.14,0.15,171000,0.15
2011-02-16,0.15,0.15,0.14,0.15,617000,0.15
2011-02-15,0.16,0.16,0.15,0.15,424000,0.15
2011-02-14,0.15,0.16,0.15,0.16,966000,0.16
2011-02-11,0.15,0.15,0.15,0.15,1050000,0.15
2011-02-10,0.15,0.15,0.15,0.15,1016000,0.15
2011-02-09,0.15,0.15,0.14,0.14,280000,0.14
2011-02-08,0.15,0.15,0.15,0.15,220000,0.15
2011-02-07,0.15,0.15,0.15,0.15,668000,0.15
2011-02-02,0.15,0.15,0.15,0.15,20000,0.15
2011-02-01,0.14,0.15,0.14,0.14,000,0.14
