Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.03,0.03,0.03,0.03,325000,0.03
2011-08-03,0.03,0.03,0.03,0.03,2109000,0.03
2011-08-02,0.03,0.03,0.03,0.03,17000,0.03
2011-08-01,0.03,0.03,0.03,0.03,63000,0.03
2011-07-29,0.03,0.03,0.03,0.03,890000,0.03
2011-07-28,0.03,0.03,0.03,0.03,616000,0.03
2011-07-27,0.03,0.03,0.03,0.03,1271000,0.03
2011-07-26,0.03,0.03,0.03,0.03,82000,0.03
2011-07-25,0.03,0.03,0.03,0.03,200000,0.03
2011-07-22,0.03,0.03,0.03,0.03,800000,0.03
2011-07-21,0.03,0.03,0.03,0.03,560000,0.03
2011-07-20,0.03,0.03,0.03,0.03,109000,0.03
2011-07-19,0.03,0.03,0.03,0.03,30000,0.03
2011-07-18,0.03,0.03,0.03,0.03,84000,0.03
2011-07-15,0.03,0.03,0.03,0.03,111000,0.03
2011-07-14,0.03,0.03,0.03,0.03,000,0.03
2011-07-13,0.03,0.03,0.03,0.03,350000,0.03
2011-07-12,0.03,0.03,0.03,0.03,100000,0.03
2011-07-11,0.03,0.03,0.03,0.03,310000,0.03
2011-07-08,0.03,0.03,0.03,0.03,1001000,0.03
2011-07-07,0.03,0.03,0.03,0.03,220000,0.03
2011-07-06,0.03,0.03,0.03,0.03,1385000,0.03
2011-07-05,0.03,0.03,0.03,0.03,190000,0.03
2011-07-04,0.03,0.03,0.03,0.03,2343000,0.03
2011-07-01,0.03,0.03,0.03,0.03,414000,0.03
2011-06-30,0.03,0.03,0.03,0.03,000,0.03
2011-06-29,0.03,0.03,0.03,0.03,345000,0.03
2011-06-28,0.03,0.03,0.03,0.03,449000,0.03
2011-06-27,0.03,0.03,0.03,0.03,000,0.03
2011-06-24,0.03,0.03,0.03,0.03,1050000,0.03
2011-06-23,0.03,0.03,0.03,0.03,000,0.03
2011-06-22,0.03,0.03,0.03,0.03,13000,0.03
2011-06-21,0.03,0.03,0.03,0.03,555000,0.03
2011-06-20,0.03,0.03,0.03,0.03,60000,0.03
2011-06-17,0.03,0.03,0.03,0.03,3159000,0.03
2011-06-16,0.03,0.03,0.03,0.03,50000,0.03
2011-06-15,0.03,0.03,0.03,0.03,000,0.03
2011-06-14,0.03,0.03,0.03,0.03,95000,0.03
2011-06-13,0.03,0.03,0.03,0.03,000,0.03
2011-06-10,0.03,0.03,0.03,0.03,300000,0.03
2011-06-09,0.03,0.03,0.03,0.03,000,0.03
2011-06-08,0.03,0.03,0.03,0.03,000,0.03
2011-06-07,0.03,0.03,0.03,0.03,10000,0.03
2011-06-06,0.03,0.03,0.03,0.03,1790000,0.03
2011-06-03,0.03,0.03,0.03,0.03,000,0.03
2011-06-02,0.03,0.03,0.03,0.03,000,0.03
