Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.31,0.31,0.31,0.31,98000,0.31
2011-08-03,0.31,0.31,0.31,0.31,48000,0.31
2011-08-02,0.31,0.31,0.31,0.31,167000,0.31
2011-08-01,0.32,0.32,0.31,0.32,212000,0.32
2011-07-29,0.31,0.32,0.31,0.31,000,0.31
2011-07-28,0.31,0.32,0.31,0.32,68000,0.32
2011-07-27,0.32,0.32,0.31,0.32,145000,0.32
2011-07-26,0.31,0.31,0.31,0.31,118000,0.31
2011-07-25,0.31,0.31,0.31,0.31,90000,0.31
2011-07-22,0.32,0.32,0.31,0.32,163000,0.32
2011-07-21,0.31,0.31,0.31,0.31,63000,0.31
2011-07-20,0.32,0.32,0.31,0.31,216000,0.31
2011-07-19,0.31,0.31,0.31,0.31,36000,0.31
2011-07-18,0.31,0.31,0.30,0.31,636000,0.31
2011-07-15,0.31,0.32,0.31,0.32,11000,0.32
2011-07-14,0.32,0.32,0.32,0.32,40000,0.32
2011-07-13,0.31,0.32,0.31,0.31,145000,0.31
2011-07-12,0.31,0.32,0.31,0.32,57000,0.32
2011-07-11,0.33,0.33,0.32,0.32,96000,0.32
2011-07-08,0.32,0.34,0.31,0.34,184000,0.34
2011-07-07,0.32,0.32,0.31,0.31,38000,0.31
2011-07-06,0.31,0.32,0.31,0.32,20000,0.32
2011-07-05,0.31,0.32,0.31,0.31,000,0.31
2011-07-04,0.32,0.32,0.32,0.32,40000,0.32
2011-07-01,0.32,0.32,0.32,0.32,262000,0.32
2011-06-30,0.32,0.32,0.32,0.32,70000,0.32
2011-06-29,0.32,0.32,0.31,0.32,87000,0.32
2011-06-28,0.31,0.32,0.31,0.32,148000,0.32
2011-06-27,0.31,0.31,0.31,0.31,10000,0.31
2011-06-24,0.31,0.31,0.31,0.31,120000,0.31
2011-06-23,0.31,0.31,0.30,0.31,212000,0.31
2011-06-22,0.31,0.31,0.31,0.31,110000,0.31
2011-06-21,0.31,0.31,0.31,0.31,371000,0.31
2011-06-20,0.31,0.31,0.31,0.31,53000,0.31
2011-06-17,0.31,0.31,0.31,0.31,504000,0.31
2011-06-16,0.32,0.32,0.31,0.31,195000,0.31
2011-06-15,0.33,0.33,0.32,0.32,94000,0.32
2011-06-14,0.32,0.33,0.32,0.32,329000,0.32
2011-06-13,0.33,0.34,0.33,0.34,51000,0.34
2011-06-10,0.34,0.34,0.34,0.34,166000,0.34
2011-06-09,0.35,0.35,0.33,0.34,631000,0.34
2011-06-08,0.34,0.35,0.34,0.35,85000,0.35
2011-06-07,0.34,0.35,0.34,0.35,223000,0.35
2011-06-06,0.34,0.35,0.34,0.35,11000,0.35
2011-06-03,0.34,0.35,0.34,0.35,10000,0.35
2011-06-02,0.34,0.34,0.34,0.34,291000,0.34
2011-06-01,0.34,0.35,0.34,0.35,6000,0.35
2011-05-31,0.34,0.35,0.34,0.35,119000,0.35
2011-05-30,0.34,0.34,0.34,0.34,10000,0.34
2011-05-27,0.34,0.35,0.34,0.35,12000,0.35
2011-05-26,0.34,0.35,0.34,0.34,000,0.34
2011-05-25,0.34,0.35,0.34,0.35,107000,0.35
2011-05-24,0.34,0.35,0.34,0.35,141000,0.35
2011-05-23,0.35,0.35,0.34,0.35,190000,0.35
2011-05-20,0.35,0.37,0.35,0.35,144000,0.35
2011-05-19,0.34,0.35,0.34,0.35,246000,0.35
2011-05-18,0.35,0.35,0.35,0.35,210000,0.35
2011-05-16,0.35,0.36,0.35,0.35,232000,0.35
2011-05-13,0.35,0.35,0.35,0.35,165000,0.35
2011-05-12,0.35,0.35,0.34,0.34,373000,0.34
2011-05-11,0.35,0.36,0.35,0.36,324000,0.36
2011-05-10,0.36,0.36,0.36,0.36,37000,0.36
2011-05-09,0.37,0.37,0.36,0.37,194000,0.37
2011-05-06,0.36,0.36,0.35,0.36,241000,0.36
2011-05-05,0.36,0.36,0.36,0.36,20000,0.36
2011-05-04,0.37,0.37,0.37,0.37,81000,0.37
