Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.03,0.04,0.03,0.03,000,0.03
2011-08-03,0.03,0.03,0.03,0.03,18000,0.03
2011-08-02,0.03,0.03,0.03,0.03,26000,0.03
2011-08-01,0.03,0.03,0.03,0.03,50000,0.03
2011-07-29,0.04,0.04,0.04,0.04,30000,0.04
2011-07-28,0.03,0.04,0.03,0.03,000,0.03
2011-07-27,0.04,0.04,0.04,0.04,90000,0.04
2011-07-26,0.04,0.04,0.04,0.04,39000,0.04
2011-07-25,0.03,0.04,0.03,0.03,000,0.03
2011-07-22,0.03,0.03,0.03,0.03,386000,0.03
2011-07-21,0.03,0.03,0.03,0.03,136000,0.03
2011-07-20,0.03,0.03,0.03,0.03,154000,0.03
2011-07-19,0.03,0.03,0.03,0.03,118000,0.03
2011-07-18,0.03,0.03,0.03,0.03,100000,0.03
2011-07-15,0.03,0.04,0.03,0.03,000,0.03
2011-07-14,0.03,0.04,0.03,0.03,000,0.03
2011-07-13,0.03,0.04,0.03,0.03,000,0.03
2011-07-12,0.03,0.04,0.03,0.03,000,0.03
2011-07-11,0.03,0.04,0.03,0.03,000,0.03
2011-07-08,0.04,0.04,0.04,0.04,100000,0.04
2011-07-07,0.03,0.04,0.03,0.03,000,0.03
2011-07-06,0.03,0.04,0.03,0.03,000,0.03
2011-07-05,0.03,0.04,0.03,0.03,000,0.03
2011-07-04,0.03,0.04,0.03,0.03,000,0.03
2011-07-01,0.03,0.04,0.03,0.03,000,0.03
2011-06-30,0.03,0.04,0.03,0.03,000,0.03
2011-06-29,0.03,0.04,0.03,0.03,000,0.03
2011-06-28,0.04,0.04,0.03,0.03,165000,0.03
2011-06-27,0.03,0.04,0.03,0.03,000,0.03
2011-06-24,0.04,0.04,0.04,0.04,500000,0.04
2011-06-23,0.03,0.04,0.03,0.03,000,0.03
2011-06-22,0.03,0.04,0.03,0.03,000,0.03
2011-06-21,0.03,0.04,0.03,0.03,000,0.03
2011-06-20,0.03,0.04,0.03,0.04,640000,0.04
2011-06-17,0.04,0.04,0.03,0.03,705000,0.03
2011-06-16,0.03,0.03,0.03,0.03,400000,0.03
2011-06-15,0.03,0.04,0.03,0.03,000,0.03
2011-06-14,0.03,0.04,0.03,0.03,000,0.03
2011-06-13,0.03,0.03,0.03,0.03,25000,0.03
2011-06-10,0.03,0.04,0.03,0.03,000,0.03
2011-06-09,0.03,0.04,0.03,0.03,000,0.03
2011-06-08,0.03,0.04,0.03,0.03,000,0.03
2011-06-07,0.03,0.04,0.03,0.03,000,0.03
2011-06-06,0.03,0.04,0.03,0.04,125000,0.04
2011-06-03,0.04,0.04,0.04,0.04,12000,0.04
2011-06-02,0.04,0.04,0.04,0.04,000,0.04
2011-06-01,0.04,0.04,0.04,0.04,68000,0.04
2011-05-31,0.04,0.04,0.04,0.04,109000,0.04
2011-05-30,0.04,0.04,0.04,0.04,000,0.04
2011-05-27,0.04,0.04,0.04,0.04,80000,0.04
2011-05-26,0.03,0.03,0.03,0.03,30000,0.03
2011-05-25,0.03,0.04,0.03,0.03,000,0.03
2011-05-24,0.04,0.04,0.03,0.03,141000,0.03
2011-05-23,0.04,0.04,0.03,0.03,359000,0.03
2011-05-20,0.04,0.04,0.04,0.04,91000,0.04
2011-05-19,0.04,0.04,0.04,0.04,100000,0.04
2011-05-18,0.04,0.04,0.04,0.04,136000,0.04
2011-05-16,0.04,0.04,0.04,0.04,000,0.04
2011-05-13,0.04,0.04,0.04,0.04,65000,0.04
2011-05-12,0.04,0.04,0.04,0.04,000,0.04
2011-05-11,0.04,0.04,0.04,0.04,000,0.04
2011-05-10,0.04,0.04,0.04,0.04,196000,0.04
2011-05-09,0.04,0.04,0.04,0.04,000,0.04
2011-05-06,0.04,0.04,0.04,0.04,131000,0.04
2011-05-05,0.04,0.04,0.04,0.04,100000,0.04
2011-05-04,0.04,0.04,0.04,0.04,6000,0.04
2011-05-03,0.04,0.04,0.04,0.04,176000,0.04
2011-04-29,0.04,0.04,0.04,0.04,537000,0.04
2011-04-28,0.04,0.04,0.04,0.04,000,0.04
2011-04-27,0.04,0.04,0.04,0.04,000,0.04
2011-04-26,0.04,0.05,0.04,0.04,000,0.04
2011-04-25,0.04,0.04,0.04,0.04,110000,0.04
2011-04-21,0.04,0.04,0.04,0.04,000,0.04
2011-04-20,0.04,0.04,0.04,0.04,100000,0.04
2011-04-19,0.04,0.04,0.04,0.04,000,0.04
2011-04-18,0.04,0.04,0.04,0.04,000,0.04
2011-04-15,0.04,0.04,0.04,0.04,95000,0.04
2011-04-14,0.04,0.05,0.04,0.04,000,0.04
2011-04-13,0.04,0.04,0.04,0.04,89000,0.04
2011-04-12,0.04,0.04,0.04,0.04,145000,0.04
2011-04-11,0.04,0.04,0.04,0.04,50000,0.04
2011-04-08,0.05,0.05,0.05,0.05,200000,0.05
2011-04-07,0.04,0.05,0.04,0.04,000,0.04
2011-04-06,0.04,0.04,0.04,0.04,102000,0.04
2011-04-05,0.04,0.04,0.04,0.04,100000,0.04
2011-04-04,0.04,0.04,0.04,0.04,140000,0.04
2011-04-01,0.04,0.04,0.04,0.04,110000,0.04
2011-03-31,0.04,0.05,0.04,0.04,000,0.04
2011-03-30,0.05,0.05,0.04,0.04,304000,0.04
2011-03-29,0.04,0.05,0.04,0.04,225000,0.04
2011-03-28,0.04,0.04,0.04,0.04,700000,0.04
2011-03-25,0.04,0.04,0.04,0.04,390000,0.04
2011-03-24,0.04,0.04,0.04,0.04,60000,0.04
2011-03-23,0.04,0.04,0.04,0.04,39000,0.04
2011-03-22,0.04,0.04,0.04,0.04,25000,0.04
2011-03-21,0.04,0.04,0.04,0.04,26000,0.04
2011-03-18,0.04,0.04,0.04,0.04,32000,0.04
2011-03-17,0.04,0.04,0.04,0.04,000,0.04
2011-03-16,0.04,0.04,0.04,0.04,100000,0.04
2011-03-15,0.04,0.05,0.04,0.04,000,0.04
2011-03-14,0.04,0.04,0.04,0.04,79000,0.04
2011-03-11,0.04,0.05,0.04,0.04,000,0.04
2011-03-10,0.04,0.05,0.04,0.04,000,0.04
2011-03-09,0.04,0.04,0.04,0.04,40000,0.04
2011-03-08,0.04,0.05,0.04,0.04,000,0.04
2011-03-07,0.04,0.04,0.04,0.04,86000,0.04
2011-03-04,0.04,0.04,0.04,0.04,100000,0.04
2011-03-03,0.04,0.04,0.04,0.04,440000,0.04
2011-03-02,0.04,0.04,0.04,0.04,205000,0.04
2011-03-01,0.04,0.04,0.04,0.04,75000,0.04
2011-02-28,0.04,0.05,0.04,0.05,713000,0.05
2011-02-25,0.04,0.04,0.04,0.04,79000,0.04
2011-02-24,0.04,0.05,0.04,0.04,535000,0.04
2011-02-23,0.05,0.05,0.05,0.05,14000,0.05
2011-02-22,0.04,0.04,0.04,0.04,103000,0.04
2011-02-21,0.04,0.05,0.04,0.04,000,0.04
2011-02-18,0.05,0.05,0.05,0.05,200000,0.05
2011-02-17,0.04,0.05,0.04,0.04,000,0.04
2011-02-16,0.05,0.05,0.05,0.05,400000,0.05
2011-02-15,0.05,0.05,0.05,0.05,541000,0.05
2011-02-14,0.05,0.05,0.05,0.05,232000,0.05
2011-02-11,0.05,0.05,0.05,0.05,250000,0.05
2011-02-10,0.05,0.05,0.05,0.05,250000,0.05
2011-02-09,0.05,0.05,0.04,0.04,50000,0.04
2011-02-08,0.05,0.05,0.05,0.05,156000,0.05
2011-02-07,0.05,0.05,0.05,0.05,45000,0.05
2011-02-02,0.05,0.05,0.05,0.05,000,0.05
2011-02-01,0.05,0.05,0.05,0.05,72000,0.05
2011-01-31,0.05,0.05,0.04,0.05,1759000,0.05
2011-01-28,0.05,0.05,0.05,0.05,200000,0.05
2011-01-27,0.05,0.05,0.05,0.05,230000,0.05
2011-01-26,0.05,0.05,0.05,0.05,18000,0.05
2011-01-25,0.05,0.05,0.05,0.05,30000,0.05
2011-01-24,0.05,0.05,0.05,0.05,579000,0.05
2011-01-21,0.05,0.05,0.05,0.05,2015000,0.05
2011-01-20,0.05,0.05,0.05,0.05,3193000,0.05
2011-01-19,0.05,0.05,0.05,0.05,4700000,0.05
2011-01-18,0.05,0.05,0.05,0.05,751000,0.05
2011-01-17,0.05,0.05,0.05,0.05,1479000,0.05
2011-01-14,0.05,0.05,0.05,0.05,10000,0.05
2011-01-13,0.04,0.05,0.04,0.05,4570000,0.05
2011-01-12,0.04,0.04,0.04,0.04,3484000,0.04
2011-01-11,0.04,0.04,0.04,0.04,280000,0.04
2011-01-10,0.04,0.04,0.04,0.04,100000,0.04
2011-01-07,0.04,0.04,0.04,0.04,610000,0.04
2011-01-06,0.04,0.04,0.04,0.04,163000,0.04
2011-01-05,0.04,0.04,0.04,0.04,55000,0.04
2011-01-04,0.04,0.04,0.04,0.04,656000,0.04
2011-01-03,0.04,0.04,0.04,0.04,1010000,0.04
2010-12-31,0.03,0.04,0.03,0.03,000,0.03
2010-12-30,0.03,0.03,0.03,0.03,20000,0.03
2010-12-29,0.03,0.04,0.03,0.03,000,0.03
2010-12-28,0.04,0.04,0.04,0.04,30000,0.04
2010-12-27,0.03,0.03,0.03,0.03,30000,0.03
2010-12-24,0.03,0.03,0.03,0.03,32000,0.03
2010-12-23,0.04,0.04,0.03,0.04,1200000,0.04
2010-12-22,0.03,0.03,0.03,0.03,2055000,0.03
2010-12-21,0.03,0.04,0.03,0.03,3934000,0.03
2010-12-20,0.04,0.04,0.04,0.04,3886000,0.04
2010-12-17,0.04,0.04,0.04,0.04,165000,0.04
2010-12-16,0.04,0.04,0.04,0.04,000,0.04
2010-12-15,0.04,0.04,0.04,0.04,140000,0.04
2010-12-14,0.04,0.04,0.04,0.04,13000,0.04
2010-12-13,0.04,0.04,0.04,0.04,000,0.04
2010-12-10,0.04,0.04,0.04,0.04,68000,0.04
2010-12-09,0.04,0.04,0.04,0.04,449000,0.04
2010-12-08,0.04,0.04,0.04,0.04,130000,0.04
2010-12-07,0.04,0.04,0.04,0.04,123000,0.04
2010-12-06,0.04,0.04,0.04,0.04,39000,0.04
2010-12-03,0.04,0.04,0.04,0.04,350000,0.04
2010-12-02,0.04,0.04,0.04,0.04,000,0.04
2010-12-01,0.04,0.04,0.04,0.04,860000,0.04
2010-11-30,0.04,0.04,0.04,0.04,000,0.04
2010-11-29,0.04,0.04,0.04,0.04,000,0.04
2010-11-26,0.04,0.04,0.04,0.04,130000,0.04
2010-11-25,0.04,0.04,0.04,0.04,80000,0.04
2010-11-24,0.04,0.04,0.04,0.04,1820000,0.04
2010-11-23,0.04,0.04,0.04,0.04,480000,0.04
2010-11-22,0.05,0.05,0.04,0.05,434000,0.05
2010-11-19,0.04,0.05,0.04,0.05,21000,0.05
2010-11-18,0.04,0.05,0.04,0.05,1629000,0.05
2010-11-16,0.04,0.05,0.04,0.04,000,0.04
2010-11-15,0.04,0.04,0.04,0.04,320000,0.04
2010-11-12,0.04,0.04,0.04,0.04,605000,0.04
2010-11-11,0.04,0.05,0.04,0.04,000,0.04
2010-11-10,0.05,0.05,0.05,0.05,329000,0.05
2010-11-09,0.05,0.05,0.05,0.05,250000,0.05
2010-11-08,0.05,0.05,0.05,0.05,740000,0.05
2010-11-04,0.05,0.05,0.05,0.05,1128000,0.05
2010-11-03,0.05,0.05,0.05,0.05,23000,0.05
2010-11-02,0.05,0.05,0.05,0.05,555000,0.05
2010-11-01,0.05,0.05,0.05,0.05,000,0.05
2010-10-29,0.05,0.05,0.05,0.05,340000,0.05
2010-10-28,0.05,0.05,0.05,0.05,1155000,0.05
2010-10-27,0.05,0.05,0.05,0.05,2008000,0.05
2010-10-26,0.05,0.05,0.05,0.05,840000,0.05
2010-10-25,0.05,0.05,0.05,0.05,5406000,0.05
2010-10-22,0.05,0.05,0.05,0.05,2184000,0.05
2010-10-21,0.05,0.05,0.05,0.05,1540000,0.05
2010-10-20,0.05,0.05,0.05,0.05,344000,0.05
2010-10-19,0.05,0.05,0.05,0.05,902000,0.05
2010-10-18,0.05,0.05,0.05,0.05,2829000,0.05
2010-10-15,0.05,0.05,0.05,0.05,5837000,0.05
2010-10-14,0.05,0.06,0.05,0.05,17686000,0.05
2010-10-11,0.05,0.05,0.05,0.05,000,0.05
2010-10-08,0.05,0.05,0.05,0.05,000,0.05
2010-10-07,0.05,0.05,0.05,0.05,000,0.05
2010-10-06,0.05,0.05,0.05,0.05,000,0.05
2010-10-05,0.05,0.05,0.04,0.04,2625000,0.04
2010-10-04,0.05,0.05,0.05,0.05,5038000,0.05
2010-10-01,0.05,0.05,0.04,0.05,6147000,0.05
2010-09-30,0.04,0.05,0.04,0.04,000,0.04
2010-09-29,0.04,0.05,0.04,0.04,000,0.04
2010-09-28,0.04,0.04,0.04,0.04,1750000,0.04
2010-09-27,0.04,0.04,0.04,0.04,2694000,0.04
2010-09-24,0.04,0.04,0.04,0.04,629000,0.04
2010-09-23,0.04,0.04,0.04,0.04,1996000,0.04
2010-09-22,0.04,0.05,0.04,0.04,822000,0.04
2010-09-21,0.04,0.04,0.04,0.04,201000,0.04
2010-09-20,0.05,0.05,0.04,0.04,1352000,0.04
2010-09-17,0.04,0.04,0.04,0.04,1278000,0.04
2010-09-16,0.04,0.04,0.04,0.04,1070000,0.04
2010-09-15,0.04,0.04,0.04,0.04,870000,0.04
2010-09-14,0.04,0.04,0.04,0.04,60000,0.04
2010-09-13,0.04,0.04,0.04,0.04,566000,0.04
2010-09-09,0.04,0.04,0.04,0.04,300000,0.04
2010-09-08,0.04,0.04,0.04,0.04,000,0.04
2010-09-07,0.04,0.04,0.04,0.04,1570000,0.04
2010-09-06,0.04,0.04,0.04,0.04,392000,0.04
2010-09-03,0.04,0.04,0.04,0.04,420000,0.04
2010-09-02,0.04,0.04,0.04,0.04,915000,0.04
2010-09-01,0.04,0.05,0.04,0.04,1555000,0.04
2010-08-31,0.04,0.04,0.04,0.04,3528000,0.04
2010-08-30,0.05,0.05,0.04,0.04,6132000,0.04
2010-08-27,0.09,0.05,0.09,0.09,000,0.09
2010-08-26,0.05,0.05,0.05,0.05,494000,0.05
2010-08-25,0.05,0.05,0.04,0.05,881000,0.05
2010-08-24,0.05,0.05,0.05,0.05,1823000,0.05
2010-08-23,0.04,0.05,0.04,0.05,4791000,0.05
2010-08-20,0.05,0.05,0.04,0.04,1328000,0.04
2010-08-19,0.05,0.05,0.04,0.05,410000,0.05
2010-08-18,0.05,0.05,0.05,0.05,230000,0.05
2010-08-17,0.04,0.05,0.04,0.04,3999000,0.04
2010-08-16,0.05,0.05,0.04,0.05,1009000,0.05
2010-08-13,0.05,0.05,0.05,0.05,13747000,0.05
2010-08-12,0.04,0.05,0.04,0.05,15499000,0.05
2010-08-11,0.04,0.04,0.03,0.04,1868000,0.04
2010-08-10,0.04,0.04,0.04,0.04,1979000,0.04
2010-08-06,0.04,0.04,0.04,0.04,000,0.04
2010-08-05,0.04,0.04,0.04,0.04,936000,0.04
2010-08-04,0.04,0.04,0.04,0.04,600000,0.04
2010-08-03,0.04,0.04,0.04,0.04,80000,0.04
2010-08-02,0.04,0.04,0.04,0.04,102000,0.04
2010-07-30,0.04,0.04,0.04,0.04,593000,0.04
2010-07-29,0.03,0.04,0.03,0.04,61000,0.04
2010-07-28,0.04,0.04,0.04,0.04,357000,0.04
2010-07-27,0.04,0.04,0.04,0.04,1799000,0.04
2010-07-26,0.04,0.04,0.03,0.04,3847000,0.04
2010-07-23,0.04,0.04,0.04,0.04,11000,0.04
2010-07-22,0.03,0.03,0.03,0.03,1000,0.03
