Date,Open,High,Low,Close,Volume,Adj Close
2011-08-04,0.72,0.73,0.72,0.72,000,0.72
2011-08-03,0.72,0.72,0.72,0.72,10000,0.72
2011-08-02,0.71,0.71,0.71,0.71,10000,0.71
2011-08-01,0.71,0.71,0.71,0.71,40000,0.71
2011-07-29,0.71,0.72,0.71,0.71,000,0.71
2011-07-28,0.71,0.72,0.71,0.71,000,0.71
2011-07-27,0.72,0.72,0.71,0.71,23000,0.71
2011-07-26,0.72,0.72,0.71,0.71,32000,0.71
2011-07-25,0.72,0.73,0.71,0.71,96000,0.71
2011-07-22,0.71,0.74,0.71,0.73,40000,0.73
2011-07-21,0.72,0.72,0.72,0.72,30000,0.72
2011-07-20,0.74,0.74,0.72,0.72,154000,0.72
2011-07-19,0.73,0.74,0.72,0.74,43000,0.74
2011-07-18,0.75,0.75,0.75,0.75,43000,0.75
2011-07-15,0.76,0.76,0.76,0.76,12000,0.76
2011-07-14,0.75,0.75,0.75,0.75,22000,0.75
2011-07-13,0.76,0.76,0.76,0.76,1000,0.76
2011-07-12,0.77,0.77,0.75,0.75,6000,0.75
2011-07-11,0.78,0.78,0.78,0.78,20000,0.78
2011-07-08,0.78,0.78,0.78,0.78,20000,0.78
2011-07-07,0.78,0.78,0.78,0.78,4000,0.78
2011-07-06,0.78,0.78,0.78,0.78,13000,0.78
2011-07-05,0.80,0.80,0.80,0.80,2000,0.80
2011-07-04,0.77,0.80,0.77,0.77,000,0.77
2011-07-01,0.80,0.80,0.79,0.79,12000,0.79
2011-06-30,0.79,0.83,0.79,0.80,47000,0.80
2011-06-29,0.78,0.78,0.78,0.78,21000,0.78
2011-06-28,0.77,0.77,0.77,0.77,10000,0.77
2011-06-27,0.75,0.76,0.75,0.76,51000,0.76
2011-06-24,0.76,0.76,0.75,0.75,17000,0.75
2011-06-23,0.78,0.78,0.77,0.77,25000,0.77
2011-06-22,0.78,0.79,0.77,0.78,21000,0.78
2011-06-21,0.76,0.79,0.76,0.76,000,0.76
2011-06-20,0.76,0.80,0.76,0.76,000,0.76
2011-06-17,0.80,0.80,0.80,0.80,6000,0.80
2011-06-16,0.78,0.80,0.78,0.78,000,0.78
2011-06-15,0.80,0.80,0.80,0.80,63000,0.80
2011-06-14,0.80,0.82,0.80,0.80,000,0.80
2011-06-13,0.81,0.81,0.80,0.80,14000,0.80
2011-06-10,0.81,0.82,0.81,0.82,43000,0.82
2011-06-09,0.81,0.82,0.81,0.82,52000,0.82
2011-06-08,0.81,0.81,0.81,0.81,1000,0.81
2011-06-07,0.80,0.84,0.80,0.80,000,0.80
2011-06-06,0.80,0.80,0.80,0.80,3000,0.80
2011-06-03,0.81,0.81,0.81,0.81,000,0.81
2011-06-02,0.80,0.83,0.80,0.80,000,0.80
2011-06-01,0.80,0.80,0.80,0.80,44000,0.80
2011-05-31,0.81,0.81,0.80,0.80,10000,0.80
2011-05-30,0.81,0.83,0.81,0.81,000,0.81
2011-05-27,0.81,0.81,0.81,0.81,2000,0.81
2011-05-26,0.80,0.80,0.80,0.80,21000,0.80
2011-05-25,0.80,0.81,0.80,0.80,000,0.80
2011-05-24,0.80,0.81,0.80,0.80,000,0.80
2011-05-23,0.80,0.80,0.80,0.80,123000,0.80
2011-05-20,0.81,0.81,0.81,0.81,149000,0.81
2011-05-19,0.81,0.81,0.81,0.81,155000,0.81
2011-05-18,0.81,0.82,0.81,0.81,000,0.81
2011-05-16,0.83,0.83,0.82,0.82,50000,0.82
2011-05-13,0.83,0.83,0.83,0.83,4000,0.83
2011-05-12,0.83,0.83,0.83,0.83,10000,0.83
2011-05-11,0.84,0.85,0.84,0.85,59000,0.85
2011-05-10,0.83,0.86,0.83,0.83,000,0.83
2011-05-09,0.85,0.85,0.84,0.84,112000,0.84
2011-05-06,0.83,0.83,0.83,0.83,66000,0.83
2011-05-05,0.84,0.84,0.84,0.84,14000,0.84
2011-05-04,0.84,0.84,0.84,0.84,32000,0.84
2011-05-03,0.85,0.85,0.85,0.85,4000,0.85
2011-04-29,0.85,0.85,0.84,0.85,55000,0.85
2011-04-28,0.85,0.85,0.85,0.85,20000,0.85
2011-04-27,0.86,0.86,0.85,0.85,57000,0.85
2011-04-26,0.86,0.86,0.86,0.86,88000,0.86
2011-04-25,0.85,0.86,0.85,0.85,000,0.85
2011-04-21,0.86,0.86,0.86,0.86,70000,0.86
2011-04-20,0.85,0.86,0.85,0.85,000,0.85
2011-04-19,0.86,0.86,0.84,0.85,161000,0.85
2011-04-18,0.87,0.87,0.86,0.86,199000,0.86
2011-04-15,0.87,0.87,0.86,0.86,327000,0.86
2011-04-14,0.87,0.87,0.87,0.87,265000,0.87
2011-04-13,0.87,0.87,0.87,0.87,91000,0.87
2011-04-12,0.87,0.87,0.87,0.87,91000,0.87
2011-04-11,0.88,0.88,0.88,0.88,157000,0.88
2011-04-08,0.88,0.88,0.88,0.88,106000,0.88
2011-04-07,0.88,0.88,0.88,0.88,1273000,0.88
2011-04-06,0.88,0.88,0.88,0.88,167000,0.88
2011-04-05,0.86,0.87,0.86,0.87,117000,0.87
2011-04-04,0.87,0.88,0.87,0.87,61000,0.87
2011-04-01,0.87,0.88,0.87,0.88,109000,0.88
2011-03-31,0.88,0.88,0.86,0.86,793000,0.86
2011-03-30,0.88,0.88,0.88,0.88,2636000,0.88
2011-03-29,0.85,0.88,0.85,0.88,330000,0.88
2011-03-28,0.82,0.85,0.82,0.85,8000,0.85
2011-03-25,0.82,0.82,0.82,0.82,1000,0.82
2011-03-24,0.80,0.81,0.80,0.81,14000,0.81
2011-03-23,0.80,0.81,0.80,0.80,000,0.80
2011-03-22,0.80,0.81,0.80,0.80,000,0.80
2011-03-21,0.81,0.81,0.80,0.80,20000,0.80
2011-03-18,0.80,0.81,0.80,0.81,17000,0.81
2011-03-17,0.79,0.80,0.79,0.79,111000,0.79
2011-03-16,0.80,0.81,0.80,0.80,77000,0.80
2011-03-15,0.82,0.83,0.80,0.80,107000,0.80
2011-03-14,0.83,0.83,0.81,0.81,80000,0.81
2011-03-11,0.86,0.86,0.81,0.82,266000,0.82
2011-03-10,0.87,0.87,0.86,0.87,59000,0.87
2011-03-09,0.88,0.89,0.87,0.87,218000,0.87
2011-03-08,0.87,0.88,0.87,0.87,529000,0.87
2011-03-07,0.83,0.87,0.83,0.87,396000,0.87
2011-03-04,0.80,0.81,0.80,0.81,68000,0.81
2011-03-03,0.80,0.82,0.80,0.80,000,0.80
2011-03-02,0.80,0.80,0.79,0.79,49000,0.79
2011-03-01,0.80,0.82,0.80,0.81,137000,0.81
2011-02-28,0.79,0.82,0.79,0.79,000,0.79
2011-02-25,0.75,0.87,0.75,0.82,227000,0.82
2011-02-24,0.75,0.75,0.75,0.75,1000,0.75
2011-02-23,0.74,0.75,0.74,0.75,20000,0.75
2011-02-22,0.79,0.79,0.73,0.75,366000,0.75
2011-02-21,0.83,0.84,0.80,0.80,102000,0.80
2011-02-18,0.83,0.83,0.83,0.83,14000,0.83
2011-02-17,0.80,0.83,0.80,0.80,000,0.80
2011-02-16,0.80,0.82,0.80,0.82,2000,0.82
